FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121201;0000;;;48,814;
121202;0000;;;56,178;
121203;0000;;;42,2828;
121204;0000;;;43,3126;
121205;0000;;;50,6995;
121206;0000;;;55,5471;
121207;0000;;;48,6744;
121208;0000;;;49,8344;
121209;0000;;;52,1071;
121210;0000;;;57,5093;
121211;0000;;;46,8652;
121212;0000;;;41,5598;
121213;0000;;;34,3267;
121214;0000;;;46,127;
121215;0000;;;41,1484;
121216;0000;;;53,8793;
121217;0000;;;49,4333;
121218;0000;;;52,5654;
121219;0000;;;42,1206;
121220;0000;;;43,0302;
121221;0000;;;54,3406;
121222;0000;;;47,9824;
121223;0000;;;50,0384;
121224;0000;;;68,0931;
121225;0000;;;49,1131;
121226;0000;;;44,6487;
121227;0000;;;37,0518;
121228;0000;;;38,3248;
121229;0000;;;38,9529;
121230;0000;;;40,1902;
121231;0000;;;45,0929;
130101;0000;;;38,1061;
130102;0000;;;38,1429;
130103;0000;;;50,3105;
130104;0000;;;45,979;
130105;0000;;;39,4796;
130106;0000;;;36,6352;
130107;0000;;;32,3427;
130108;0000;;;38,5541;
130109;0000;;;44,1802;
130110;0000;;;56,8734;
130111;0000;;;66,3995;
130112;0000;;;45,765;
130113;0000;;;41,3229;
130114;0000;;;46,0761;
130115;0000;;;54,0784;
130116;0000;;;55,4012;
130117;0000;;;44,8336;
130118;0000;;;43,1829;
130119;0000;;;48,2849;
130120;0000;;;33,5409;
130121;0000;;;44,8481;
130122;0000;;;39,6751;
130123;0000;;;42,4274;
130124;0000;;;44,0454;
130125;0000;;;40,2609;
130126;0000;;;38,2396;
130127;0000;;;37,8005;
130128;0000;;;38,5685;
130129;0000;;;58,12;
130130;0000;;;58,5132;
130131;0000;;;56,5842;
130201;0000;;;60,8511;
130202;0000;;;56,6104;
130203;0000;;;56,7644;
130204;0000;;;60,3159;
130205;0000;;;57,6409;
130206;0000;;;42,8017;
130207;0000;;;38,7399;
130208;0000;;;64,6902;
130209;0000;;;32,8571;
130210;0000;;;37,9248;
130211;0000;;;33,7266;
130212;0000;;;44,2205;
130213;0000;;;50,5606;
130214;0000;;;51,5137;
130215;0000;;;48,4791;
130216;0000;;;50,7466;
130217;0000;;;43,7704;
130218;0000;;;44,8171;
130219;0000;;;49,1942;
130220;0000;;;57,7647;
130221;0000;;;50,75;
130222;0000;;;56,0093;
