FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121019;0000;;;6,29063;
121020;0000;;;7,00727;
121021;0000;;;7,54784;
121022;0000;;;7,74152;
121023;0000;;;6,03768;
121024;0000;;;7,33343;
121025;0000;;;7,62622;
121026;0000;;;7,58743;
121027;0000;;;9,90317;
121028;0000;;;10,3996;
121029;0000;;;14,6704;
121030;0000;;;11,5635;
121031;0000;;;7,89072;
121101;0000;;;8,02229;
121102;0000;;;;
121103;0000;;;8,37421;
121104;0000;;;7,61768;
121105;0000;;;7,2491;
121106;0000;;;6,87547;
121107;0000;;;7,4597;
121108;0000;;;6,85746;
121109;0000;;;6,71468;
121110;0000;;;8,89511;
121111;0000;;;7,43173;
121112;0000;;;8,15149;
121113;0000;;;9,7312;
121114;0000;;;10,023;
121115;0000;;;11,0078;
121116;0000;;;9,95853;
121117;0000;;;7,87151;
121118;0000;;;7,14474;
121119;0000;;;8,24982;
121120;0000;;;7,69257;
121121;0000;;;7,04412;
121122;0000;;;8,2514;
121123;0000;;;5,61468;
121124;0000;;;7,31639;
121125;0000;;;5,47707;
121126;0000;;;5,66759;
121127;0000;;;7,2235;
121128;0000;;;8,21552;
121129;0000;;;11,5909;
121130;0000;;;9,48993;
121201;0000;;;6,8839;
121202;0000;;;8,09673;
121203;0000;;;7,34627;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;9,37418;
121207;0000;;;7,77883;
121208;0000;;;7,86754;
121209;0000;;;9,16533;
121210;0000;;;11,0725;
121211;0000;;;9,06767;
121212;0000;;;6,3438;
121213;0000;;;5,27763;
121214;0000;;;8,66109;
121215;0000;;;5,85163;
121216;0000;;;7,20275;
121217;0000;;;7,34351;
121218;0000;;;8,25604;
121219;0000;;;5,84486;
121220;0000;;;5,91561;
121221;0000;;;7,88764;
121222;0000;;;8,62453;
121223;0000;;;9,51642;
121224;0000;;;10,3706;
121225;0000;;;8,33557;
121226;0000;;;7,85432;
121227;0000;;;7,07878;
121228;0000;;;6,56216;
121229;0000;;;5,75666;
121230;0000;;;7,39295;
121231;0000;;;10,5937;
130101;0000;;;10,3592;
130102;0000;;;5,28806;
130103;0000;;;6,04395;
130104;0000;;;6,0265;
130105;0000;;;5,39046;
130106;0000;;;5,56804;
130107;0000;;;5,07858;
130108;0000;;;6,30139;
130109;0000;;;7,25273;
130110;0000;;;10,3028;
130111;0000;;;9,72839;
130112;0000;;;6,51256;
130113;0000;;;6,90328;
130114;0000;;;6,01771;
130115;0000;;;7,42239;
130116;0000;;;8,39244;
130117;0000;;;8,0943;
130118;0000;;;8,7095;
130119;0000;;;9,66632;
130120;0000;;;6,32489;
130121;0000;;;8,49516;
130122;0000;;;7,17185;
130123;0000;;;7,47974;
130124;0000;;;7,37392;
130125;0000;;;6,28041;
130126;0000;;;5,57829;
130127;0000;;;5,51891;
130128;0000;;;5,62284;
130129;0000;;;6,81721;
130130;0000;;;9,70563;
130131;0000;;;10,8387;
130201;0000;;;10,0464;
130202;0000;;;10,1009;
130203;0000;;;9,52608;
130204;0000;;;14,2069;
130205;0000;;;12,1488;
130206;0000;;;10,3605;
130207;0000;;;8,05238;
130208;0000;;;9,06349;
130209;0000;;;5,05257;
130210;0000;;;6,83672;
130211;0000;;;5,59335;
130212;0000;;;7,18942;
130213;0000;;;8,4718;
130214;0000;;;9,22372;
130215;0000;;;8,81146;
130216;0000;;;9,75789;
130217;0000;;;7,77458;
130218;0000;;;8,10341;
130219;0000;;;7,349;
130220;0000;;;8,88965;
130221;0000;;;7,24186;
130222;0000;;;9,45557;
130223;0000;;;12,4044;
130224;0000;;;9,04327;
130225;0000;;;7,89077;
130226;0000;;;11,2037;
130227;0000;;;8,2511;
130228;0000;;;7,49075;
130301;0000;;;10,0022;
130302;0000;;;8,62392;
130303;0000;;;8,21736;
130304;0000;;;7,53656;
130305;0000;;;8,14835;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;9,56181;
130309;0000;;;10,3413;
130310;0000;;;9,48785;
130311;0000;;;7,15305;
130312;0000;;;4,65643;
130313;0000;;;;
130314;0000;;;4,24881;
130315;0000;;;4,59039;
130316;0000;;;7,21398;
130317;0000;;;6,51286;
130318;0000;;;7,19746;
130319;0000;;;8,99777;
130320;0000;;;5,60492;
130321;0000;;;5,29074;
130322;0000;;;7,91682;
130323;0000;;;7,15065;
130324;0000;;;5,72091;
130325;0000;;;5,62424;
130326;0000;;;6,55209;
130327;0000;;;7,95888;
130328;0000;;;6,85191;
130329;0000;;;4,99519;
130330;0000;;;6,76933;
130331;0000;;;4,52295;
130401;0000;;;6,27656;
130402;0000;;;6,06062;
130403;0000;;;5,82215;
130404;0000;;;6,16216;
130405;0000;;;6,92142;
130406;0000;;;7,1778;
130407;0000;;;6,5788;
130408;0000;;;8,14505;
130409;0000;;;6,18311;
130410;0000;;;6,31329;
130411;0000;;;6,20723;
130412;0000;;;7,36805;
130413;0000;;;6,04238;
130414;0000;;;7,47508;
130415;0000;;;7,07794;
130416;0000;;;9,78093;
130417;0000;;;7,86325;
130418;0000;;;8,89963;
130419;0000;;;9,26047;
130420;0000;;;9,16365;
130421;0000;;;9,27452;
130422;0000;;;9,72215;
130423;0000;;;12,9541;
130424;0000;;;29,2386;
130425;0000;;;16,1287;
130426;0000;;;12,9612;
130427;0000;;;11,8503;
130428;0000;;;7,31844;
130429;0000;;;8,52901;
130430;0000;;;10,7287;
130501;0000;;;11,6157;
130502;0000;;;7,15371;
130503;0000;;;7,54398;
130504;0000;;;7,24589;
130505;0000;;;8,49239;
130506;0000;;;9,99658;
130507;0000;;;10,8595;
130508;0000;;;13,0849;
130509;0000;;;14,6486;
130510;0000;;;14,3808;
130511;0000;;;13,7094;
130512;0000;;;8,48094;
130513;0000;;;7,73787;
130514;0000;;;6,68114;
130515;0000;;;7,8366;
130516;0000;;;10,8465;
130517;0000;;;;
130518;0000;;;;
130519;0000;;;3,46463;
130520;0000;;;4,42212;
130521;0000;;;5,55141;
130522;0000;;;7,82958;
130523;0000;;;6,81161;
130524;0000;;;5,75842;
130525;0000;;;7,67648;
130526;0000;;;5,34856;
130527;0000;;;5,98566;
130528;0000;;;7,45708;
130529;0000;;;6,8933;
130530;0000;;;6,06721;
130531;0000;;;9,15251;
130601;0000;;;7,55338;
130602;0000;;;8,29655;
130603;0000;;;7,92534;
130604;0000;;;9,05754;
130605;0000;;;10,4281;
130606;0000;;;8,8479;
130607;0000;;;13,7239;
130608;0000;;;11,6416;
130609;0000;;;7,74539;
130610;0000;;;8,14111;
130611;0000;;;12,7439;
130612;0000;;;8,05786;
130613;0000;;;9,71385;
130614;0000;;;5,96284;
130615;0000;;;5,6787;
130616;0000;;;6,16606;
130617;0000;;;4,5904;
130618;0000;;;4,15009;
130619;0000;;;4,28113;
130620;0000;;;6,4851;
130621;0000;;;4,38364;
130622;0000;;;5,01969;
130623;0000;;;5,80625;
130624;0000;;;8,78131;
130625;0000;;;7,66129;
130626;0000;;;5,63766;
130627;0000;;;7,50095;
130628;0000;;;6,33338;
130629;0000;;;10,2615;
130630;0000;;;4,19815;
130701;0000;;;8,17773;
130702;0000;;;7,02262;
130703;0000;;;8,89305;
130704;0000;;;6,71458;
130705;0000;;;6,79159;
130706;0000;;;6,10043;
130707;0000;;;6,92325;
130708;0000;;;7,1774;
130709;0000;;;6,73995;
130710;0000;;;6,47598;
130711;0000;;;8,15039;
130712;0000;;;8,33194;
130713;0000;;;10,2205;
130714;0000;;;12,9433;
130715;0000;;;12,2571;
130716;0000;;;11,1516;
130717;0000;;;9,03491;
130718;0000;;;12,4009;
130719;0000;;;8,73184;
130720;0000;;;6,04459;
130721;0000;;;4,35722;
130722;0000;;;5,16802;
130723;0000;;;4,50476;
130724;0000;;;8,08499;
130725;0000;;;7,0337;
130726;0000;;;8,16721;
130727;0000;;;6,74939;
130728;0000;;;7,41086;
130729;0000;;;6,94733;
130730;0000;;;6,62421;
130731;0000;;;;
130801;0000;;;;
130802;0000;;;;
130803;0000;;;9,99751;
130804;0000;;;7,4798;
130805;0000;;;10,8597;
130806;0000;;;10,8164;
130807;0000;;;10,0998;
130808;0000;;;8,9231;
130809;0000;;;10,5113;
130810;0000;;;8,81252;
130811;0000;;;8,4727;
130812;0000;;;10,4931;
130813;0000;;;11,3545;
130814;0000;;;12,3449;
130815;0000;;;12,0101;
130816;0000;;;11,1139;
130817;0000;;;7,55755;
130818;0000;;;14,6944;
130819;0000;;;14,0464;
130820;0000;;;13,8597;
130821;0000;;;11,7887;
130822;0000;;;11,2453;
130823;0000;;;8,99709;
130824;0000;;;23,2736;
130825;0000;;;3,77245;
130826;0000;;;6,24213;
130827;0000;;;6,465;
130828;0000;;;9,80852;
130829;0000;;;7,52335;
130830;0000;;;7,36309;
130831;0000;;;5,56253;
130901;0000;;;8,291;
130902;0000;;;6,82655;
130903;0000;;;8,16432;
130904;0000;;;7,45245;
130905;0000;;;8,40829;
130906;0000;;;6,8959;
130907;0000;;;5,7009;
130908;0000;;;7,18093;
130909;0000;;;9,32582;
130910;0000;;;13,5083;
130911;0000;;;11,4311;
130912;0000;;;8,6284;
130913;0000;;;8,62468;
130914;0000;;;8,35088;
130915;0000;;;5,72265;
130916;0000;;;4,75027;
130917;0000;;;5,79053;
