FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121025;0000;;;0,700212;
121026;0000;;;0,203918;
121027;0000;;;0,319632;
121028;0000;;;0,304243;
121029;0000;;;0,354853;
121030;0000;;;;
121031;0000;;;;
121101;0000;;;;
121102;0000;;;;
121103;0000;;;;
121104;0000;;;;
121105;0000;;;;
121106;0000;;;0,115425;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;;
121110;0000;;;0,14804;
121111;0000;;;0,0797752;
121112;0000;;;0,0607193;
121113;0000;;;0,0896688;
121114;0000;;;0,158404;
121115;0000;;;;
121116;0000;;;;
121117;0000;;;;
121118;0000;;;;
121119;0000;;;;
121120;0000;;;;
121121;0000;;;;
121122;0000;;;;
121123;0000;;;;
121124;0000;;;;
121125;0000;;;;
121126;0000;;;;
121127;0000;;;;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;;
130107;0000;;;;
130108;0000;;;;
130109;0000;;;;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;;
130114;0000;;;;
130115;0000;;;;
130116;0000;;;;
130117;0000;;;;
130118;0000;;;;
130119;0000;;;;
130120;0000;;;;
130121;0000;;;;
130122;0000;;;;
130123;0000;;;;
130124;0000;;;;
130125;0000;;;;
130126;0000;;;;
130127;0000;;;;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;;
130131;0000;;;;
130201;0000;;;;
130202;0000;;;;
130203;0000;;;;
130204;0000;;;;
130205;0000;;;;
130206;0000;;;;
130207;0000;;;;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;;
130215;0000;;;;
130216;0000;;;;
130217;0000;;;;
130218;0000;;;;
130219;0000;;;;
130220;0000;;;;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;;
130316;0000;;;;
130317;0000;;;;
130318;0000;;;;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;;
130322;0000;;;;
130323;0000;;;0,113671;
130324;0000;;;0,039728;
130325;0000;;;0,0739936;
130326;0000;;;0,144431;
130327;0000;;;0,209177;
130328;0000;;;0,284756;
130329;0000;;;0,226366;
130330;0000;;;0,216395;
130331;0000;;;0,192086;
130401;0000;;;0,213328;
130402;0000;;;0,20498;
130403;0000;;;0,219288;
130404;0000;;;0,305599;
130405;0000;;;0,306077;
130406;0000;;;0,28261;
130407;0000;;;0,286407;
130408;0000;;;0,321349;
130409;0000;;;0,307637;
130410;0000;;;0,278435;
130411;0000;;;0,281193;
130412;0000;;;0,362921;
130413;0000;;;0,261429;
130414;0000;;;0,0770593;
130415;0000;;;0,159985;
130416;0000;;;0,384646;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;0,509362;
130421;0000;;;0,504912;
130422;0000;;;0,553475;
130423;0000;;;0,566092;
130424;0000;;;0,610133;
130425;0000;;;0,637925;
130426;0000;;;0,641621;
130427;0000;;;0,66993;
130428;0000;;;0,633771;
130429;0000;;;0,704979;
130430;0000;;;0,773371;
130501;0000;;;0,767029;
130502;0000;;;0,770096;
130503;0000;;;0,867342;
130504;0000;;;0,810034;
130505;0000;;;0,7998;
130506;0000;;;0,913067;
130507;0000;;;0,923463;
130508;0000;;;0,974129;
130509;0000;;;1,01168;
130510;0000;;;1,03812;
130511;0000;;;0,938035;
130512;0000;;;0,165388;
130513;0000;;;0,226299;
130514;0000;;;0,267742;
130515;0000;;;0,284438;
130516;0000;;;;
130517;0000;;;;
130518;0000;;;0,434258;
130519;0000;;;0,44455;
130520;0000;;;0,514559;
130521;0000;;;0,534258;
130522;0000;;;0,680662;
130523;0000;;;0,583022;
130524;0000;;;0,422646;
130525;0000;;;0,547667;
130526;0000;;;0,510405;
130527;0000;;;0,651979;
130528;0000;;;0,762113;
130529;0000;;;0,750617;
130530;0000;;;0,792379;
130531;0000;;;0,934183;
130601;0000;;;0,9139;
130602;0000;;;0,917825;
130603;0000;;;1,03604;
130604;0000;;;1,09765;
130605;0000;;;1,18274;
130606;0000;;;0,806817;
130607;0000;;;0,4147;
130608;0000;;;0,4604;
130609;0000;;;0,464633;
130610;0000;;;0,57198;
130611;0000;;;0,64235;
130612;0000;;;0,589304;
130613;0000;;;0,334662;
130614;0000;;;0,137578;
130615;0000;;;0,115807;
130616;0000;;;0,0812644;
130617;0000;;;0,138581;
130618;0000;;;0,217791;
130619;0000;;;0,292229;
130620;0000;;;0,349213;
130621;0000;;;0,317112;
130622;0000;;;0,314054;
130623;0000;;;0,251829;
