FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121019;0000;;;13,7634;
121020;0000;;;12,6464;
121021;0000;;;13,0615;
121022;0000;;;12,2582;
121023;0000;;;14,4128;
121024;0000;;;12,8201;
121025;0000;;;13,0826;
121026;0000;;;14,1831;
121027;0000;;;15,8055;
121028;0000;;;16,0305;
121029;0000;;;17,8914;
121030;0000;;;14,866;
121031;0000;;;13,6631;
121101;0000;;;11,5878;
121102;0000;;;11,6926;
121103;0000;;;12,2539;
121104;0000;;;10,8819;
121105;0000;;;9,76605;
121106;0000;;;9,19792;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;9,75067;
121110;0000;;;12,5429;
121111;0000;;;10,9543;
121112;0000;;;12,098;
121113;0000;;;13,1939;
121114;0000;;;15,1262;
121115;0000;;;10,6868;
121116;0000;;;11,9958;
121117;0000;;;9,1107;
121118;0000;;;9,71492;
121119;0000;;;10,6943;
121120;0000;;;11,6793;
121121;0000;;;9,97701;
121122;0000;;;11,2738;
121123;0000;;;9,14914;
121124;0000;;;11,9282;
121125;0000;;;8,72186;
121126;0000;;;10,316;
121127;0000;;;11,4662;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;7,24433;
130107;0000;;;7,34029;
130108;0000;;;8,45242;
130109;0000;;;15,0573;
130110;0000;;;14,818;
130111;0000;;;15,9893;
130112;0000;;;9,61967;
130113;0000;;;9,44894;
130114;0000;;;8,82817;
130115;0000;;;9,68105;
130116;0000;;;12,4449;
130117;0000;;;11,82;
130118;0000;;;13,5642;
130119;0000;;;12,9076;
130120;0000;;;8,92387;
130121;0000;;;11,9631;
130122;0000;;;9,28212;
130123;0000;;;9,61446;
130124;0000;;;8,99638;
130125;0000;;;7,80471;
130126;0000;;;7,99333;
130127;0000;;;7,96455;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;11,5191;
130131;0000;;;11,6986;
130201;0000;;;11,068;
130202;0000;;;12,0865;
130203;0000;;;12,8506;
130204;0000;;;16,4135;
130205;0000;;;16,332;
130206;0000;;;12,4079;
130207;0000;;;9,52513;
130208;0000;;;10,0275;
130209;0000;;;6,93729;
130210;0000;;;7,69942;
130211;0000;;;5,80656;
130212;0000;;;8,94958;
130213;0000;;;9,91063;
130214;0000;;;11,1301;
130215;0000;;;9,87541;
130216;0000;;;10,9764;
130217;0000;;;9,5872;
130218;0000;;;9,74971;
130219;0000;;;9,83195;
130220;0000;;;;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;;
130316;0000;;;;
130317;0000;;;;
130318;0000;;;;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;;
130322;0000;;;12,666;
130323;0000;;;10,5478;
130324;0000;;;8,67302;
130325;0000;;;9,81587;
130326;0000;;;11,9837;
130327;0000;;;13,2376;
130328;0000;;;12,3752;
130329;0000;;;9,87854;
130330;0000;;;8,9778;
130331;0000;;;8,16997;
130401;0000;;;10,5982;
130402;0000;;;10,302;
130403;0000;;;8,46725;
130404;0000;;;10,9796;
130405;0000;;;8,82025;
130406;0000;;;9,77623;
130407;0000;;;10,4736;
130408;0000;;;13,8381;
130409;0000;;;10,6138;
130410;0000;;;11,1847;
130411;0000;;;11,4183;
130412;0000;;;10,1809;
130413;0000;;;10,3625;
130414;0000;;;20,6761;
130415;0000;;;16,1088;
130416;0000;;;10,4265;
130417;0000;;;7,51733;
130418;0000;;;;
130419;0000;;;12,3647;
130420;0000;;;12,3261;
130421;0000;;;12,7211;
130422;0000;;;14,1398;
130423;0000;;;15,8135;
130424;0000;;;19,5383;
130425;0000;;;18,1525;
130426;0000;;;18,2299;
130427;0000;;;15,5791;
130428;0000;;;10,4376;
130429;0000;;;12,6662;
130430;0000;;;14,1311;
130501;0000;;;12,4633;
130502;0000;;;10,7413;
130503;0000;;;12,8856;
130504;0000;;;11,8144;
130505;0000;;;13,7486;
130506;0000;;;13,9433;
130507;0000;;;15,4284;
130508;0000;;;15,8679;
130509;0000;;;18,5699;
130510;0000;;;18,0388;
130511;0000;;;16,3312;
130512;0000;;;10,6463;
130513;0000;;;10,7629;
130514;0000;;;9,03096;
130515;0000;;;9,9758;
130516;0000;;;12,4229;
130517;0000;;;8,21019;
130518;0000;;;8,56042;
130519;0000;;;6,83546;
130520;0000;;;7,8795;
130521;0000;;;8,14517;
130522;0000;;;11,3907;
130523;0000;;;10,708;
130524;0000;;;9,65625;
130525;0000;;;11,1103;
130526;0000;;;9,40984;
130527;0000;;;7,8915;
130528;0000;;;9,99509;
130529;0000;;;10,9745;
130530;0000;;;10,9442;
130531;0000;;;12,6241;
130601;0000;;;9,2838;
130602;0000;;;11,374;
130603;0000;;;11,1974;
130604;0000;;;10,8826;
130605;0000;;;12,9556;
130606;0000;;;13,3253;
130607;0000;;;18,0421;
130608;0000;;;16,334;
130609;0000;;;10,4169;
130610;0000;;;10,4912;
130611;0000;;;17,1525;
130612;0000;;;13,5446;
130613;0000;;;12,6367;
130614;0000;;;10,7681;
130615;0000;;;9,80447;
130616;0000;;;7,29913;
130617;0000;;;8,32346;
130618;0000;;;8,54167;
130619;0000;;;8,16212;
130620;0000;;;9,74304;
130621;0000;;;9,39871;
130622;0000;;;7,45783;
130623;0000;;;8,21883;
130624;0000;;;9,98509;
130625;0000;;;12,5002;
130626;0000;;;8,17146;
130627;0000;;;10,2854;
130628;0000;;;9,42076;
130629;0000;;;12,7005;
130630;0000;;;7,55729;
130701;0000;;;11,1069;
130702;0000;;;11,3282;
130703;0000;;;10,8105;
130704;0000;;;11,448;
130705;0000;;;10,933;
130706;0000;;;10,437;
130707;0000;;;9,54187;
130708;0000;;;11,029;
130709;0000;;;12,1287;
130710;0000;;;10,481;
130711;0000;;;10,6252;
130712;0000;;;11,3798;
130713;0000;;;12,7103;
130714;0000;;;15,9304;
130715;0000;;;17,9521;
130716;0000;;;;
130717;0000;;;;
130718;0000;;;18,3807;
130719;0000;;;12,3246;
130720;0000;;;9,11409;
130721;0000;;;7,36457;
130722;0000;;;7,44075;
130723;0000;;;;
130724;0000;;;8,7021;
130725;0000;;;11,7985;
130726;0000;;;12,3414;
130727;0000;;;;
130728;0000;;;;
130729;0000;;;;
130730;0000;;;10,7028;
130731;0000;;;13,2599;
130801;0000;;;12,3032;
130802;0000;;;10,779;
130803;0000;;;11,0323;
130804;0000;;;10,4266;
130805;0000;;;14,6198;
130806;0000;;;14,3623;
130807;0000;;;13,4054;
130808;0000;;;13,0932;
130809;0000;;;13,7874;
130810;0000;;;11,7868;
130811;0000;;;9,5845;
130812;0000;;;15,5379;
130813;0000;;;14,99;
130814;0000;;;18,4538;
130815;0000;;;16,8275;
130816;0000;;;;
130817;0000;;;11,3039;
130818;0000;;;17,9063;
130819;0000;;;17,0415;
130820;0000;;;13,3957;
130821;0000;;;13,6494;
130822;0000;;;10,7429;
130823;0000;;;9,89462;
130824;0000;;;24,1876;
130825;0000;;;;
130826;0000;;;7,21796;
130827;0000;;;8,88454;
130828;0000;;;10,7016;
130829;0000;;;8,0903;
130830;0000;;;8,63567;
130831;0000;;;7,28945;
130901;0000;;;9,21671;
130902;0000;;;8,8288;
130903;0000;;;10,5426;
130904;0000;;;9,51608;
130905;0000;;;10,7434;
130906;0000;;;7,90554;
130907;0000;;;7,18362;
130908;0000;;;9,31009;
130909;0000;;;12,0581;
130910;0000;;;17,29;
130911;0000;;;15,6758;
130912;0000;;;12,2518;
130913;0000;;;11,6567;
130914;0000;;;11,2756;
130915;0000;;;6,78609;
130916;0000;;;6,01625;
130917;0000;;;8,134;
130918;0000;;;7,71829;
130919;0000;;;5,02969;
130920;0000;;;6,19171;
130921;0000;;;5,91788;
130922;0000;;;5,89259;
130923;0000;;;6,22196;
130924;0000;;;5,68454;
130925;0000;;;5,84301;
130926;0000;;;7,45841;
130927;0000;;;8,07762;
130928;0000;;;8,1955;
130929;0000;;;5,823;
130930;0000;;;6,28408;
131001;0000;;;6,48612;
131002;0000;;;6,79975;
131003;0000;;;6,99522;
131004;0000;;;7,58442;
131005;0000;;;6,06517;
131006;0000;;;6,29137;
131007;0000;;;6,134;
131008;0000;;;6,88042;
131009;0000;;;6,37959;
131010;0000;;;8,28038;
131011;0000;;;8,34091;
131012;0000;;;7,33;
131013;0000;;;5,63333;
131014;0000;;;10,4747;
131015;0000;;;7,79892;
131016;0000;;;10,1727;
131017;0000;;;7,68975;
131018;0000;;;7,45116;
131019;0000;;;9,19812;
131020;0000;;;6,97814;
131021;0000;;;7,18787;
131022;0000;;;9,99529;
131023;0000;;;7,99659;
131024;0000;;;7,05125;
131025;0000;;;7,41641;
131026;0000;;;7,00191;
131027;0000;;;7,21825;
131028;0000;;;7,71704;
131029;0000;;;6,75325;
131030;0000;;;9,97508;
131031;0000;;;8,57771;
131101;0000;;;7,63396;
131102;0000;;;7,40963;
131103;0000;;;6,54754;
131104;0000;;;7,96712;
131105;0000;;;10,0918;
131106;0000;;;10,3739;
131107;0000;;;12,9726;
131108;0000;;;;
131109;0000;;;15,3329;
131110;0000;;;11,5208;
131111;0000;;;7,7662;
131112;0000;;;9,08951;
131113;0000;;;11,3252;
131114;0000;;;13,7982;
131115;0000;;;15,2346;
131116;0000;;;14,483;
131117;0000;;;11,9197;
131118;0000;;;15,3404;
131119;0000;;;17,3806;
131120;0000;;;11,857;
131121;0000;;;9,47025;
131122;0000;;;11,8731;
131123;0000;;;13,1836;
131124;0000;;;11,3225;
131125;0000;;;11,1862;
131126;0000;;;13,1957;
131127;0000;;;11,736;
131128;0000;;;14,8355;
131129;0000;;;14,0655;
131130;0000;;;15,0892;
131201;0000;;;11,9841;
131202;0000;;;13,9431;
131203;0000;;;14,4776;
131204;0000;;;15,4109;
131205;0000;;;14,5192;
131206;0000;;;10,9697;
131207;0000;;;10,8662;
131208;0000;;;11,963;
131209;0000;;;12,164;
131210;0000;;;12,297;
131211;0000;;;12,1675;
131212;0000;;;11,9491;
131213;0000;;;10,1748;
131214;0000;;;8,69412;
131215;0000;;;13,1906;
131216;0000;;;10,6775;
131217;0000;;;10,9017;
131218;0000;;;10,3938;
131219;0000;;;11,3447;
131220;0000;;;10,2253;
131221;0000;;;9,00475;
131222;0000;;;10,4908;
131223;0000;;;10,9739;
131224;0000;;;11,2274;
131225;0000;;;8,57242;
131226;0000;;;9,34396;
131227;0000;;;9,91454;
131228;0000;;;12,0769;
131229;0000;;;11,5893;
131230;0000;;;12,6714;
131231;0000;;;14,7353;
140101;0000;;;15,5188;
140102;0000;;;12,6857;
140103;0000;;;10,5783;
140104;0000;;;11,4426;
140105;0000;;;12,9874;
140106;0000;;;11,6059;
140107;0000;;;9,6992;
140108;0000;;;9,6864;
140109;0000;;;10,8583;
140110;0000;;;12,0712;
140111;0000;;;11,1908;
140112;0000;;;11,9398;
140113;0000;;;12,6828;
140114;0000;;;14,6953;
140115;0000;;;15,3482;
140116;0000;;;12,6604;
140117;0000;;;7,64006;
140118;0000;;;10,3721;
140119;0000;;;9,29547;
140120;0000;;;9,14081;
140121;0000;;;10,4686;
140122;0000;;;11,4518;
140123;0000;;;12,9075;
140124;0000;;;10,4653;
140125;0000;;;11,0469;
140126;0000;;;9,10492;
140127;0000;;;12,338;
140128;0000;;;11,8466;
140129;0000;;;10,8631;
140130;0000;;;12,923;
140131;0000;;;12,7972;
140201;0000;;;12,8084;
140202;0000;;;11,5445;
140203;0000;;;11,3896;
140204;0000;;;7,44157;
140205;0000;;;7,85341;
140206;0000;;;10,1522;
140207;0000;;;8,40196;
140208;0000;;;9,83685;
140209;0000;;;9,45291;
140210;0000;;;7,40857;
140211;0000;;;7,77929;
140212;0000;;;8,44919;
140213;0000;;;7,4166;
140214;0000;;;7,9622;
140215;0000;;;8,44458;
140216;0000;;;8,58987;
140217;0000;;;7,54633;
140218;0000;;;8,94894;
140219;0000;;;6,16049;
140220;0000;;;7,0243;
140221;0000;;;6,86197;
140222;0000;;;9,23853;
140223;0000;;;12,2413;
140224;0000;;;;
140225;0000;;;18,761;
140226;0000;;;13,2701;
140227;0000;;;15,6451;
140228;0000;;;21,5531;
140301;0000;;;21,5525;
140302;0000;;;13,9437;
140303;0000;;;12,408;
140304;0000;;;12,0109;
140305;0000;;;12,448;
140306;0000;;;13,4485;
140307;0000;;;15,0194;
140308;0000;;;12,4087;
140309;0000;;;11,592;
140310;0000;;;13,8274;
140311;0000;;;10,9095;
140312;0000;;;11,3951;
140313;0000;;;11,575;
140314;0000;;;11,2663;
140315;0000;;;8,23715;
140316;0000;;;8,84966;
140317;0000;;;10,2107;
140318;0000;;;13,4421;
140319;0000;;;14,5795;
140320;0000;;;11,8811;
140321;0000;;;11,5919;
140322;0000;;;12,6703;
140323;0000;;;10,7886;
140324;0000;;;;
140325;0000;;;;
140326;0000;;;;
140327;0000;;;;
140328;0000;;;;
140329;0000;;;;
140330;0000;;;;
140331;0000;;;;
140401;0000;;;;
140402;0000;;;;
140403;0000;;;;
140404;0000;;;13,8461;
140405;0000;;;14,8445;
140406;0000;;;12,2931;
140407;0000;;;13,327;
140408;0000;;;12,7664;
140409;0000;;;12,6657;
140410;0000;;;10,3536;
140411;0000;;;9,75912;
140412;0000;;;12,3553;
140413;0000;;;10,8174;
140414;0000;;;13,0449;
140415;0000;;;;
140416;0000;;;;
140417;0000;;;15,367;
140418;0000;;;12,9638;
140419;0000;;;12,5788;
140420;0000;;;11,4461;
140421;0000;;;13,0322;
140422;0000;;;12,6865;
140423;0000;;;11,2039;
140424;0000;;;10,3453;
140425;0000;;;8,5139;
140426;0000;;;9,44214;
140427;0000;;;5,73367;
140428;0000;;;7,13509;
140429;0000;;;8,05171;
140430;0000;;;10,6176;
140501;0000;;;8,00627;
140502;0000;;;6,73384;
140503;0000;;;7,04089;
140504;0000;;;7,78831;
140505;0000;;;7,17327;
140506;0000;;;8,14264;
140507;0000;;;9,31729;
140508;0000;;;11,9113;
140509;0000;;;12,589;
140510;0000;;;9,71498;
140511;0000;;;8,13506;
140512;0000;;;8,10985;
140513;0000;;;6,8191;
140514;0000;;;7,40498;
140515;0000;;;5,95784;
140516;0000;;;8,43184;
140517;0000;;;6,52991;
140518;0000;;;7,33216;
140519;0000;;;10,9748;
140520;0000;;;8,18501;
140521;0000;;;6,60685;
140522;0000;;;9,17126;
140523;0000;;;;
140524;0000;;;;
140525;0000;;;;
140526;0000;;;;
140527;0000;;;;
140528;0000;;;7,13626;
140529;0000;;;9,25058;
140530;0000;;;9,4753;
140531;0000;;;9,71693;
140601;0000;;;6,43053;
140602;0000;;;6,18794;
140603;0000;;;6,65762;
140604;0000;;;11,3283;
140605;0000;;;9,31927;
140606;0000;;;8,09792;
140607;0000;;;10,3987;
140608;0000;;;7,18592;
140609;0000;;;33,8018;
140610;0000;;;12,3644;
140611;0000;;;5,67761;
140612;0000;;;7,90473;
140613;0000;;;9,62218;
140614;0000;;;8,93736;
140615;0000;;;7,01997;
140616;0000;;;8,22929;
140617;0000;;;11,368;
140618;0000;;;12,7887;
140619;0000;;;7,6079;
140620;0000;;;8,70354;
140621;0000;;;6,26354;
140622;0000;;;6,76491;
140623;0000;;;5,90499;
140624;0000;;;;
140625;0000;;;4,69152;
140626;0000;;;6,5558;
140627;0000;;;5,35622;
140628;0000;;;6,53993;
140629;0000;;;4,01965;
140630;0000;;;4,59665;
140701;0000;;;7,27133;
140702;0000;;;8,60791;
140703;0000;;;14,6499;
140704;0000;;;6,12189;
140705;0000;;;5,30132;
140706;0000;;;;
140707;0000;;;11,7428;
140708;0000;;;10,5168;
140709;0000;;;6,85188;
140710;0000;;;11,2421;
140711;0000;;;7,53331;
140712;0000;;;15,5186;
140713;0000;;;6,97542;
140714;0000;;;10,8004;
140715;0000;;;8,1241;
140716;0000;;;8,25922;
140717;0000;;;18,9838;
140718;0000;;;18,9148;
140719;0000;;;9,69336;
140720;0000;;;8,96466;
140721;0000;;;8,96574;
140722;0000;;;5,24191;
140723;0000;;;7,98291;
140724;0000;;;6,24698;
140725;0000;;;7,05388;
140726;0000;;;6,80733;
140727;0000;;;5,72615;
140728;0000;;;6,70235;
140729;0000;;;8,93709;
