FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121023;0000;;;6,60109;
121024;0000;;;6,30956;
121025;0000;;;;
121026;0000;;;;
121027;0000;;;;
121028;0000;;;;
121029;0000;;;;
121030;0000;;;;
121031;0000;;;;
121101;0000;;;3,47784;
121102;0000;;;3,61774;
121103;0000;;;3,45882;
121104;0000;;;2,1974;
121105;0000;;;;
121106;0000;;;;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;;
121110;0000;;;;
121111;0000;;;;
121112;0000;;;;
121113;0000;;;;
121114;0000;;;;
121115;0000;;;;
121116;0000;;;;
121117;0000;;;;
121118;0000;;;;
121119;0000;;;;
121120;0000;;;;
121121;0000;;;;
121122;0000;;;;
121123;0000;;;;
121124;0000;;;;
121125;0000;;;;
121126;0000;;;;
121127;0000;;;;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;;
130107;0000;;;;
130108;0000;;;;
130109;0000;;;;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;;
130114;0000;;;;
130115;0000;;;;
130116;0000;;;;
130117;0000;;;;
130118;0000;;;;
130119;0000;;;;
130120;0000;;;;
130121;0000;;;;
130122;0000;;;;
130123;0000;;;;
130124;0000;;;;
130125;0000;;;;
130126;0000;;;;
130127;0000;;;;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;;
130131;0000;;;;
130201;0000;;;;
130202;0000;;;;
130203;0000;;;;
130204;0000;;;;
130205;0000;;;;
130206;0000;;;;
130207;0000;;;;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;;
130215;0000;;;;
130216;0000;;;;
130217;0000;;;;
130218;0000;;;;
130219;0000;;;;
130220;0000;;;;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;;
130316;0000;;;;
130317;0000;;;;
130318;0000;;;;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;;
130322;0000;;;;
130323;0000;;;40,3467;
130324;0000;;;28,5107;
130325;0000;;;19,0009;
130326;0000;;;22,5727;
130327;0000;;;20,1693;
130328;0000;;;8,1696;
130329;0000;;;18,3967;
130330;0000;;;9,09995;
130331;0000;;;17,1297;
130401;0000;;;18,5749;
130402;0000;;;8,95958;
130403;0000;;;5,6938;
130404;0000;;;8,04924;
130405;0000;;;5,43166;
130406;0000;;;2,61556;
130407;0000;;;3,60479;
130408;0000;;;10,4518;
130409;0000;;;8,41916;
130410;0000;;;7,08622;
130411;0000;;;6,66766;
130412;0000;;;10,3205;
130413;0000;;;3,85352;
130414;0000;;;5,20187;
130415;0000;;;22,4798;
130416;0000;;;18,1511;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;9,97366;
130421;0000;;;8,03604;
130422;0000;;;8,84125;
130423;0000;;;10,9544;
130424;0000;;;16,554;
130425;0000;;;21,1447;
130426;0000;;;15,0626;
130427;0000;;;13,693;
130428;0000;;;8,84787;
130429;0000;;;15,6584;
130430;0000;;;16,5245;
130501;0000;;;9,89183;
130502;0000;;;11,7964;
130503;0000;;;17,9299;
130504;0000;;;11,6946;
130505;0000;;;10,1313;
130506;0000;;;21,1853;
130507;0000;;;19,5787;
130508;0000;;;20,6544;
130509;0000;;;17,8313;
130510;0000;;;16,1477;
130511;0000;;;18,9885;
130512;0000;;;11,2799;
130513;0000;;;16,6521;
130514;0000;;;14,8084;
130515;0000;;;12,9779;
130516;0000;;;15,6186;
130517;0000;;;8,65613;
130518;0000;;;7,96474;
130519;0000;;;4,52381;
130520;0000;;;7,93301;
130521;0000;;;7,89065;
130522;0000;;;15,0587;
130523;0000;;;15,4162;
130524;0000;;;15,217;
130525;0000;;;9,64804;
130526;0000;;;7,25421;
130527;0000;;;17,1371;
130528;0000;;;19,6577;
130529;0000;;;18,3035;
130530;0000;;;16,5095;
130531;0000;;;19,9206;
130601;0000;;;11,2575;
130602;0000;;;11,0455;
130603;0000;;;18,8386;
130604;0000;;;19,4385;
130605;0000;;;20,8994;
130606;0000;;;16,5977;
130607;0000;;;19,0795;
130608;0000;;;13,5267;
130609;0000;;;8,70717;
130610;0000;;;20,5959;
130611;0000;;;21,1246;
130612;0000;;;10,7764;
130613;0000;;;12,7555;
130614;0000;;;9,36595;
130615;0000;;;5,15858;
130616;0000;;;6,80479;
130617;0000;;;13,5464;
130618;0000;;;11,1303;
130619;0000;;;10,724;
130620;0000;;;15,9988;
130621;0000;;;11,9958;
130622;0000;;;8,97551;
130623;0000;;;3,41323;
130624;0000;;;12,5659;
130625;0000;;;26,2238;
130626;0000;;;11,4115;
130627;0000;;;24,2165;
130628;0000;;;;
130629;0000;;;15,9231;
130630;0000;;;6,23431;
130701;0000;;;19,9279;
130702;0000;;;13,4273;
130703;0000;;;19,916;
130704;0000;;;;
130705;0000;;;16,0035;
130706;0000;;;6,6114;
130707;0000;;;6,19429;
130708;0000;;;9,94789;
130709;0000;;;11,2323;
130710;0000;;;11,882;
