FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;;
121110;0000;;;;
121111;0000;;;;
121112;0000;;;;
121113;0000;;;;
121114;0000;;;;
121115;0000;;;;
121116;0000;;;;
121117;0000;;;;
121118;0000;;;;
121119;0000;;;;
121120;0000;;;;
121121;0000;;;;
121122;0000;;;;
121123;0000;;;;
121124;0000;;;;
121125;0000;;;;
121126;0000;;;;
121127;0000;;;;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;;
130107;0000;;;;
130108;0000;;;;
130109;0000;;;;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;;
130114;0000;;;;
130115;0000;;;;
130116;0000;;;;
130117;0000;;;;
130118;0000;;;;
130119;0000;;;;
130120;0000;;;;
130121;0000;;;;
130122;0000;;;;
130123;0000;;;;
130124;0000;;;;
130125;0000;;;;
130126;0000;;;;
130127;0000;;;;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;;
130131;0000;;;;
130201;0000;;;;
130202;0000;;;;
130203;0000;;;;
130204;0000;;;;
130205;0000;;;;
130206;0000;;;;
130207;0000;;;;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;;
130215;0000;;;;
130216;0000;;;;
130217;0000;;;;
130218;0000;;;;
130219;0000;;;;
130220;0000;;;;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;;
130316;0000;;;;
130317;0000;;;;
130318;0000;;;;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;;
130322;0000;;;;
130323;0000;;;6,52146;
130324;0000;;;8,8905;
130325;0000;;;8,00629;
130326;0000;;;8,00621;
130327;0000;;;12,059;
130328;0000;;;10,5192;
130329;0000;;;12,7617;
130330;0000;;;9,44838;
130331;0000;;;12,9524;
130401;0000;;;15,2651;
130402;0000;;;12,8245;
130403;0000;;;10,465;
130404;0000;;;12,9856;
130405;0000;;;10,6156;
130406;0000;;;7,98167;
130407;0000;;;9,06775;
130408;0000;;;13,123;
130409;0000;;;11,7458;
130410;0000;;;11,8102;
130411;0000;;;10,8144;
130412;0000;;;12,5177;
130413;0000;;;9,95209;
130414;0000;;;9,3725;
130415;0000;;;13,4444;
130416;0000;;;16,3861;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;9,65459;
130421;0000;;;8,31604;
130422;0000;;;10,3858;
130423;0000;;;11,4026;
130424;0000;;;15,3256;
130425;0000;;;15,016;
130426;0000;;;12,9678;
130427;0000;;;12,8242;
130428;0000;;;8,03291;
130429;0000;;;11,5497;
130430;0000;;;14,4444;
130501;0000;;;12,6317;
130502;0000;;;13,9696;
130503;0000;;;14,8716;
130504;0000;;;11,5182;
130505;0000;;;10,0585;
130506;0000;;;15,0655;
130507;0000;;;16,075;
130508;0000;;;15,511;
130509;0000;;;14,5083;
130510;0000;;;14,8579;
130511;0000;;;15,5175;
130512;0000;;;11,4806;
130513;0000;;;15,7963;
130514;0000;;;17,5636;
130515;0000;;;18,3683;
130516;0000;;;21,0917;
130517;0000;;;15,577;
130518;0000;;;9,69424;
130519;0000;;;7,53829;
130520;0000;;;10,9228;
130521;0000;;;11,7929;
130522;0000;;;12,9931;
130523;0000;;;13,7981;
130524;0000;;;12,0729;
130525;0000;;;11,4492;
130526;0000;;;10,0769;
130527;0000;;;13,9497;
130528;0000;;;12,7782;
130529;0000;;;13,698;
130530;0000;;;13,3884;
130531;0000;;;13,8733;
130601;0000;;;11,9068;
130602;0000;;;10,6116;
130603;0000;;;15,2389;
130604;0000;;;15,5034;
130605;0000;;;15,4005;
130606;0000;;;16,5889;
130607;0000;;;16,94;
130608;0000;;;16,6981;
130609;0000;;;12,5095;
130610;0000;;;14,1212;
130611;0000;;;14,9282;
130612;0000;;;12,8023;
130613;0000;;;14,2148;
130614;0000;;;12,7281;
130615;0000;;;9,55191;
130616;0000;;;9,04521;
130617;0000;;;12,4364;
130618;0000;;;13,1069;
130619;0000;;;13,5286;
130620;0000;;;13,7924;
130621;0000;;;13,9939;
130622;0000;;;11,7007;
130623;0000;;;7,93125;
130624;0000;;;12,8661;
130625;0000;;;17,8162;
130626;0000;;;13,6275;
130627;0000;;;14,7612;
130628;0000;;;13,7523;
130629;0000;;;12,1615;
130630;0000;;;9,41508;
130701;0000;;;13,8101;
130702;0000;;;14,2749;
130703;0000;;;12,4549;
130704;0000;;;;
130705;0000;;;15,1964;
130706;0000;;;10,1691;
130707;0000;;;10,5888;
130708;0000;;;13,3089;
130709;0000;;;11,5345;
130710;0000;;;14,0038;
130711;0000;;;11,6616;
130712;0000;;;13,7263;
130713;0000;;;10,9041;
130714;0000;;;9,19417;
130715;0000;;;14,18;
130716;0000;;;12,9033;
130717;0000;;;;
130718;0000;;;16,4164;
130719;0000;;;15,1307;
130720;0000;;;6,59646;
130721;0000;;;4,02092;
130722;0000;;;11,7951;
130723;0000;;;;
130724;0000;;;15,8686;
130725;0000;;;14,4626;
130726;0000;;;;
130727;0000;;;;
130728;0000;;;10,3732;
130729;0000;;;15,7393;
130730;0000;;;14,877;
130731;0000;;;15,9681;
130801;0000;;;;
130802;0000;;;14,8257;
130803;0000;;;14,7109;
130804;0000;;;10,5365;
130805;0000;;;15,1713;
130806;0000;;;14,1406;
130807;0000;;;14,8495;
130808;0000;;;;
130809;0000;;;14,2762;
130810;0000;;;10,6407;
130811;0000;;;10,6358;
130812;0000;;;12,7984;
130813;0000;;;10,4072;
130814;0000;;;13,0543;
130815;0000;;;10,3817;
130816;0000;;;;
130817;0000;;;;
130818;0000;;;;
130819;0000;;;;
130820;0000;;;13,0404;
130821;0000;;;15,385;
130822;0000;;;16,9933;
130823;0000;;;11,6231;
130824;0000;;;7,68237;
130825;0000;;;;
130826;0000;;;13,3944;
130827;0000;;;14,4236;
130828;0000;;;17,8584;
130829;0000;;;12,8741;
130830;0000;;;12,2138;
130831;0000;;;10,2637;
130901;0000;;;10,7398;
130902;0000;;;12,7837;
130903;0000;;;11,1107;
130904;0000;;;9,72783;
130905;0000;;;12,976;
130906;0000;;;10,0847;
130907;0000;;;8,25188;
130908;0000;;;8,28212;
130909;0000;;;13,5635;
130910;0000;;;12,8557;
130911;0000;;;11,5106;
130912;0000;;;10,888;
130913;0000;;;10,5252;
130914;0000;;;11,5485;
130915;0000;;;10,3981;
130916;0000;;;11,932;
130917;0000;;;11,8823;
130918;0000;;;11,1139;
130919;0000;;;5,50054;
130920;0000;;;8,86992;
130921;0000;;;8,43608;
130922;0000;;;9,37413;
130923;0000;;;14,2795;
130924;0000;;;13,1681;
130925;0000;;;13,7245;
130926;0000;;;14,033;
130927;0000;;;16,7555;
130928;0000;;;13,449;
130929;0000;;;8,23505;
130930;0000;;;12,0566;
131001;0000;;;12,528;
131002;0000;;;11,6205;
131003;0000;;;;
