FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121105;0000;;;;
121106;0000;;;;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;;
121110;0000;;;;
121111;0000;;;;
121112;0000;;;;
121113;0000;;;;
121114;0000;;;;
121115;0000;;;;
121116;0000;;;;
121117;0000;;;;
121118;0000;;;;
121119;0000;;;;
121120;0000;;;;
121121;0000;;;;
121122;0000;;;;
121123;0000;;;;
121124;0000;;;;
121125;0000;;;;
121126;0000;;;;
121127;0000;;;;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;;
130107;0000;;;;
130108;0000;;;;
130109;0000;;;;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;;
130114;0000;;;;
130115;0000;;;;
130116;0000;;;;
130117;0000;;;;
130118;0000;;;;
130119;0000;;;;
130120;0000;;;;
130121;0000;;;;
130122;0000;;;;
130123;0000;;;;
130124;0000;;;;
130125;0000;;;;
130126;0000;;;;
130127;0000;;;;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;;
130131;0000;;;;
130201;0000;;;;
130202;0000;;;;
130203;0000;;;;
130204;0000;;;;
130205;0000;;;;
130206;0000;;;;
130207;0000;;;;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;;
130215;0000;;;;
130216;0000;;;;
130217;0000;;;;
130218;0000;;;;
130219;0000;;;;
130220;0000;;;;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;;
130316;0000;;;;
130317;0000;;;;
130318;0000;;;;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;;
130322;0000;;;;
130323;0000;;;46,0754;
130324;0000;;;33,0225;
130325;0000;;;25,0229;
130326;0000;;;27,8582;
130327;0000;;;31,0811;
130328;0000;;;18,9915;
130329;0000;;;26,6103;
130330;0000;;;17,8419;
130331;0000;;;27,0413;
130401;0000;;;32,5786;
130402;0000;;;22,1442;
130403;0000;;;16,405;
130404;0000;;;21,2685;
130405;0000;;;15,8618;
130406;0000;;;10,5466;
130407;0000;;;12,7847;
130408;0000;;;23,7804;
130409;0000;;;20,3467;
130410;0000;;;19,1233;
130411;0000;;;17,5398;
130412;0000;;;22,8745;
130413;0000;;;13,8323;
130414;0000;;;14,6809;
130415;0000;;;34,859;
130416;0000;;;33,6749;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;20,0365;
130421;0000;;;16,7877;
130422;0000;;;19,6279;
130423;0000;;;22,8009;
130424;0000;;;32,3178;
130425;0000;;;36,5979;
130426;0000;;;28,4692;
130427;0000;;;26,9637;
130428;0000;;;17,3079;
130429;0000;;;27,6274;
130430;0000;;;31,4123;
130501;0000;;;22,9999;
130502;0000;;;26,2223;
130503;0000;;;33,2594;
130504;0000;;;23,6598;
130505;0000;;;20,6256;
130506;0000;;;36,6722;
130507;0000;;;36,103;
130508;0000;;;36,6163;
130509;0000;;;32,772;
130510;0000;;;31,4632;
130511;0000;;;34,9587;
130512;0000;;;23,2038;
130513;0000;;;32,9048;
130514;0000;;;32,8175;
130515;0000;;;31,8457;
130516;0000;;;36,7181;
130517;0000;;;21,1511;
130518;0000;;;17,9716;
130519;0000;;;12,2115;
130520;0000;;;18,9702;
130521;0000;;;19,855;
130522;0000;;;28,2647;
130523;0000;;;29,4829;
130524;0000;;;27,6257;
130525;0000;;;21,4497;
130526;0000;;;17,677;
130527;0000;;;31,3925;
130528;0000;;;32,7209;
130529;0000;;;32,2881;
130530;0000;;;30,1841;
130531;0000;;;34,1016;
130601;0000;;;23,4853;
130602;0000;;;21,9161;
130603;0000;;;34,3245;
130604;0000;;;35,2103;
130605;0000;;;36,6031;
130606;0000;;;33,4741;
130607;0000;;;36,3199;
130608;0000;;;30,5713;
130609;0000;;;21,5264;
130610;0000;;;35,0037;
130611;0000;;;36,337;
130612;0000;;;23,8767;
130613;0000;;;27,3082;
130614;0000;;;22,4179;
130615;0000;;;15,0443;
130616;0000;;;16,1455;
130617;0000;;;26,2768;
130618;0000;;;24,5587;
130619;0000;;;24,5822;
130620;0000;;;30,0659;
130621;0000;;;26,3161;
130622;0000;;;21,0452;
130623;0000;;;11,68;
130624;0000;;;25,6873;
130625;0000;;;44,3782;
130626;0000;;;25,3665;
130627;0000;;;39,2548;
130628;0000;;;28,5632;
130629;0000;;;28,4042;
130630;0000;;;15,9571;
130701;0000;;;34,0468;
130702;0000;;;27,9865;
130703;0000;;;32,6469;
130704;0000;;;;
130705;0000;;;31,481;
130706;0000;;;16,9117;
130707;0000;;;16,9947;
130708;0000;;;23,352;
130709;0000;;;22,7525;
130710;0000;;;26,176;
130711;0000;;;17,6631;
130712;0000;;;24,3636;
130713;0000;;;19,672;
130714;0000;;;13,5364;
130715;0000;;;27,2585;
130716;0000;;;23,1771;
130717;0000;;;;
130718;0000;;;34,008;
130719;0000;;;26,1501;
130720;0000;;;9,22626;
130721;0000;;;5,15491;
130722;0000;;;18,4142;
130723;0000;;;;
130724;0000;;;30,6743;
130725;0000;;;25,3138;
130726;0000;;;31,9478;
130727;0000;;;19,9297;
130728;0000;;;14,512;
130729;0000;;;24,2393;
130730;0000;;;24,0645;
130731;0000;;;26,507;
130801;0000;;;37,2452;
130802;0000;;;26,8515;
130803;0000;;;29,656;
130804;0000;;;17,8128;
130805;0000;;;30,8315;
130806;0000;;;26,5934;
130807;0000;;;28,3234;
130808;0000;;;;
130809;0000;;;31,5267;
130810;0000;;;17,4962;
130811;0000;;;16,4139;
130812;0000;;;22,5433;
130813;0000;;;18,8036;
130814;0000;;;26,7837;
130815;0000;;;17,0313;
130816;0000;;;;
130817;0000;;;;
130818;0000;;;;
130819;0000;;;;
130820;0000;;;23,6091;
130821;0000;;;26,7062;
130822;0000;;;29,5569;
130823;0000;;;18,0397;
130824;0000;;;10,2631;
130825;0000;;;;
130826;0000;;;21,0319;
130827;0000;;;28,9066;
130828;0000;;;38,9772;
130829;0000;;;22,0221;
130830;0000;;;20,2983;
130831;0000;;;15,5484;
130901;0000;;;18,3534;
130902;0000;;;21,2218;
130903;0000;;;18,2756;
130904;0000;;;17,7664;
130905;0000;;;26,0864;
130906;0000;;;15,8415;
130907;0000;;;14,0122;
130908;0000;;;14,036;
130909;0000;;;25,9081;
130910;0000;;;24,3932;
130911;0000;;;19,0016;
130912;0000;;;18,7405;
130913;0000;;;18,1435;
130914;0000;;;19,4796;
130915;0000;;;16,3403;
130916;0000;;;18,1311;
130917;0000;;;19,4007;
130918;0000;;;17,6299;
130919;0000;;;6,92925;
130920;0000;;;12,4848;
130921;0000;;;11,7095;
130922;0000;;;12,807;
130923;0000;;;19,8145;
130924;0000;;;18,8593;
130925;0000;;;19,5364;
130926;0000;;;19,2015;
130927;0000;;;24,4165;
130928;0000;;;19,3611;
130929;0000;;;10,6076;
130930;0000;;;18,4508;
131001;0000;;;17,9247;
131002;0000;;;16,4325;
131003;0000;;;;
131004;0000;;;18,898;
131005;0000;;;12,6046;
131006;0000;;;16,8007;
131007;0000;;;15,965;
131008;0000;;;17,3063;
131009;0000;;;16,3088;
131010;0000;;;18,5978;
131011;0000;;;16,6128;
131012;0000;;;15,2375;
131013;0000;;;9,21841;
131014;0000;;;18,737;
131015;0000;;;16,0469;
131016;0000;;;18,1861;
131017;0000;;;19,5076;
131018;0000;;;16,7831;
131019;0000;;;13,9948;
131020;0000;;;9,03033;
131021;0000;;;13,472;
131022;0000;;;16,825;
131023;0000;;;15,1086;
131024;0000;;;14,0828;
131025;0000;;;17,9337;
131026;0000;;;13,6188;
131027;0000;;;9,64221;
131028;0000;;;15,3429;
131029;0000;;;14,7112;
131030;0000;;;14,9462;
131031;0000;;;9,97363;
131101;0000;;;10,3006;
131102;0000;;;10,7012;
131103;0000;;;8,33855;
131104;0000;;;;
131105;0000;;;15,839;
131106;0000;;;14,9234;
131107;0000;;;;
131108;0000;;;17,4898;
131109;0000;;;12,3222;
