FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;;
121110;0000;;;;
121111;0000;;;;
121112;0000;;;;
121113;0000;;;;
121114;0000;;;;
121115;0000;;;;
121116;0000;;;;
121117;0000;;;;
121118;0000;;;;
121119;0000;;;;
121120;0000;;;;
121121;0000;;;;
121122;0000;;;;
121123;0000;;;;
121124;0000;;;;
121125;0000;;;;
121126;0000;;;;
121127;0000;;;;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;;
130107;0000;;;;
130108;0000;;;;
130109;0000;;;;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;;
130114;0000;;;;
130115;0000;;;;
130116;0000;;;;
130117;0000;;;;
130118;0000;;;;
130119;0000;;;;
130120;0000;;;;
130121;0000;;;;
130122;0000;;;;
130123;0000;;;;
130124;0000;;;;
130125;0000;;;;
130126;0000;;;;
130127;0000;;;;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;;
130131;0000;;;;
130201;0000;;;;
130202;0000;;;;
130203;0000;;;;
130204;0000;;;;
130205;0000;;;;
130206;0000;;;;
130207;0000;;;;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;;
130215;0000;;;;
130216;0000;;;;
130217;0000;;;;
130218;0000;;;;
130219;0000;;;;
130220;0000;;;;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;;
130316;0000;;;;
130317;0000;;;;
130318;0000;;;;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;;
130322;0000;;;;
130323;0000;;;19,1493;
130324;0000;;;21,5896;
130325;0000;;;20,622;
130326;0000;;;23,6915;
130327;0000;;;20,8984;
130328;0000;;;23,2708;
130329;0000;;;26,3382;
130330;0000;;;29,3187;
130331;0000;;;28,5267;
130401;0000;;;27,9475;
130402;0000;;;26,3514;
130403;0000;;;26,0325;
130404;0000;;;21,8545;
130405;0000;;;27,606;
130406;0000;;;27,6557;
130407;0000;;;25,0266;
130408;0000;;;23,5526;
130409;0000;;;24,6024;
130410;0000;;;25,4888;
130411;0000;;;26,1091;
130412;0000;;;25,207;
130413;0000;;;30,2009;
130414;0000;;;31,3203;
130415;0000;;;29,7092;
130416;0000;;;29,0292;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;12,9246;
130421;0000;;;17,636;
130422;0000;;;15,0314;
130423;0000;;;14,009;
130424;0000;;;12,9547;
130425;0000;;;12,4834;
130426;0000;;;12,8088;
130427;0000;;;11,3857;
130428;0000;;;14,7627;
130429;0000;;;13,0771;
130430;0000;;;15,3553;
130501;0000;;;15,3575;
130502;0000;;;15,3672;
130503;0000;;;15,6494;
130504;0000;;;20,3239;
130505;0000;;;20,7399;
130506;0000;;;16,7429;
130507;0000;;;17,3564;
130508;0000;;;14,631;
130509;0000;;;17,5422;
130510;0000;;;25,068;
130511;0000;;;21,2296;
130512;0000;;;25,229;
130513;0000;;;23,0684;
130514;0000;;;24,4162;
130515;0000;;;23,8343;
130516;0000;;;21,9955;
130517;0000;;;17,9313;
130518;0000;;;16,979;
130519;0000;;;21,1057;
130520;0000;;;20,5332;
130521;0000;;;19,9195;
130522;0000;;;17,5362;
130523;0000;;;16,6703;
130524;0000;;;18,7444;
130525;0000;;;20,8413;
130526;0000;;;24,4513;
130527;0000;;;22,7357;
130528;0000;;;22,8035;
130529;0000;;;23,6478;
130530;0000;;;26,0829;
130531;0000;;;25,7274;
130601;0000;;;29,3826;
130602;0000;;;31,6002;
130603;0000;;;30,3999;
130604;0000;;;28,5837;
130605;0000;;;28,0749;
130606;0000;;;28,1262;
130607;0000;;;23,5345;
130608;0000;;;24,5327;
130609;0000;;;27,4355;
130610;0000;;;25,1632;
130611;0000;;;23,8333;
130612;0000;;;23,6078;
130613;0000;;;18,1625;
130614;0000;;;20,8678;
130615;0000;;;27,9088;
130616;0000;;;28,0603;
130617;0000;;;23,6417;
130618;0000;;;23,5211;
130619;0000;;;22,7152;
130620;0000;;;19,7412;
130621;0000;;;20,3957;
130622;0000;;;23,5112;
130623;0000;;;25,9596;
130624;0000;;;25,3996;
130625;0000;;;17,6436;
130626;0000;;;23,0565;
130627;0000;;;23,645;
130628;0000;;;22,7613;
130629;0000;;;22,2399;
130630;0000;;;24,8874;
130701;0000;;;24,606;
130702;0000;;;26,5742;
130703;0000;;;26,3985;
130704;0000;;;23,7381;
130705;0000;;;21,9278;
130706;0000;;;28,7277;
130707;0000;;;28,7538;
130708;0000;;;29,7597;
130709;0000;;;26,1685;
130710;0000;;;28,3388;
130711;0000;;;30,3558;
130712;0000;;;29,9962;
130713;0000;;;31,1682;
130714;0000;;;33,7516;
130715;0000;;;34,7163;
130716;0000;;;35,2397;
130717;0000;;;;
130718;0000;;;30,1951;
130719;0000;;;28,4225;
130720;0000;;;40,3683;
130721;0000;;;45,8554;
130722;0000;;;34,7996;
130723;0000;;;;
130724;0000;;;;
130725;0000;;;;
130726;0000;;;;
130727;0000;;;;
130728;0000;;;;
130729;0000;;;;
130730;0000;;;;
130731;0000;;;;
130801;0000;;;;
130802;0000;;;28,3952;
130803;0000;;;28,1166;
130804;0000;;;28,1823;
130805;0000;;;25,5301;
130806;0000;;;27,3218;
130807;0000;;;26,1791;
130808;0000;;;25,6324;
130809;0000;;;25,661;
130810;0000;;;31,7961;
130811;0000;;;31,3925;
130812;0000;;;28,0542;
130813;0000;;;29,0455;
130814;0000;;;27,1588;
130815;0000;;;29,2764;
130816;0000;;;;
130817;0000;;;32,4777;
130818;0000;;;34,1501;
130819;0000;;;25,9108;
130820;0000;;;26,8015;
130821;0000;;;29,9683;
130822;0000;;;30,4343;
130823;0000;;;32,8371;
130824;0000;;;34,0392;
130825;0000;;;;
130826;0000;;;34,0345;
130827;0000;;;31,5932;
130828;0000;;;25,3073;
130829;0000;;;26,1541;
130830;0000;;;29,5073;
130831;0000;;;33,301;
130901;0000;;;30,4854;
130902;0000;;;24,4233;
130903;0000;;;26,5429;
130904;0000;;;22,5595;
130905;0000;;;21,1536;
130906;0000;;;23,623;
130907;0000;;;23,3142;
130908;0000;;;20,5672;
130909;0000;;;15,8827;
130910;0000;;;17,5305;
130911;0000;;;19,9194;
130912;0000;;;19,9572;
130913;0000;;;18,7944;
130914;0000;;;18,8129;
130915;0000;;;19,5576;
130916;0000;;;20,7007;
130917;0000;;;22,9278;
130918;0000;;;25,3633;
130919;0000;;;28,4783;
130920;0000;;;24,3188;
130921;0000;;;23,2564;
130922;0000;;;25,9716;
130923;0000;;;28,2469;
130924;0000;;;32,4127;
130925;0000;;;31,8367;
130926;0000;;;27,7318;
130927;0000;;;24,3417;
130928;0000;;;31,9128;
130929;0000;;;33,5267;
130930;0000;;;31,0854;
131001;0000;;;29,6562;
131002;0000;;;29,5188;
131003;0000;;;24,4914;
