FECHA (YYMMDD);HORA (HHMM);;
021231;0100;;
021231;0200;;
021231;0300;;
021231;0400;;
021231;0500;;
021231;0600;;
021231;0700;;
021231;0800;;
021231;0900;;
021231;1000;;
021231;1100;;
021231;1200;;
021231;1300;;
021231;1400;;
021231;1500;;
021231;1600;;
021231;1700;;
021231;1800;;
021231;1900;;
021231;2000;;
021231;2100;;
021231;2200;;
021231;2300;259,775;
030101;0000;71,6272;
030101;0100;82,5243;
030101;0200;99,1686;
030101;0300;95,688;
030101;0400;98,6143;
030101;0500;89,1719;
030101;0600;93,5143;
030101;0700;95,9386;
030101;0800;78,7056;
030101;0900;70,0658;
030101;1000;57,8118;
030101;1100;257,455;
030101;1200;255,604;
030101;1300;251,355;
030101;1400;256,298;
030101;1500;262,746;
030101;1600;263,653;
030101;1700;273,193;
030101;1800;273,744;
030101;1900;265,231;
030101;2000;273,801;
030101;2100;243,522;
030101;2200;229,801;
030101;2300;196,592;
030102;0000;68,7118;
030102;0100;74,0719;
030102;0200;86,6277;
030102;0300;97,2854;
030102;0400;99,6742;
030102;0500;100,528;
030102;0600;75,3263;
030102;0700;71,4601;
030102;0800;100,092;
030102;0900;48,1656;
030102;1000;249,547;
030102;1100;243,879;
030102;1200;254,438;
030102;1300;249,365;
030102;1400;257,523;
030102;1500;259,652;
030102;1600;263,275;
030102;1700;262,961;
030102;1800;266,133;
030102;1900;266,703;
030102;2000;261,034;
030102;2100;264,537;
030102;2200;254,001;
030102;2300;246,576;
030103;0000;154,755;
030103;0100;68,5663;
030103;0200;86,4467;
030103;0300;87,9673;
030103;0400;117,695;
030103;0500;96,6205;
030103;0600;94,86;
030103;0700;62,9152;
030103;0800;82,8788;
030103;0900;89,6244;
030103;1000;147,064;
030103;1100;242,611;
030103;1200;248,02;
030103;1300;250,07;
030103;1400;250,552;
030103;1500;261,281;
030103;1600;283,03;
030103;1700;270,648;
030103;1800;291,428;
030103;1900;287,093;
030103;2000;292,563;
030103;2100;250,026;
030103;2200;231,284;
030103;2300;234,915;
030104;0000;56,814;
030104;0100;75,8428;
030104;0200;81,6626;
030104;0300;97,1016;
030104;0400;111,663;
030104;0500;102,849;
030104;0600;100,829;
030104;0700;92,8118;
030104;0800;96,1541;
030104;0900;59,5063;
030104;1000;42,5923;
030104;1100;197,611;
030104;1200;249,85;
030104;1300;259,43;
030104;1400;247,778;
030104;1500;258,267;
030104;1600;259;
030104;1700;262,549;
030104;1800;266,787;
030104;1900;274,031;
030104;2000;280,549;
030104;2100;231,516;
030104;2200;179,571;
030104;2300;203,641;
030105;0000;58,758;
030105;0100;81,1211;
030105;0200;78,0724;
030105;0300;86,1405;
030105;0400;95,9817;
030105;0500;112,988;
030105;0600;92,6747;
030105;0700;95,907;
030105;0800;95,8479;
030105;0900;85,2593;
030105;1000;104,99;
030105;1100;142,094;
030105;1200;221,403;
030105;1300;265,355;
030105;1400;266,159;
030105;1500;263,799;
030105;1600;255,753;
030105;1700;260,125;
030105;1800;263,259;
030105;1900;263,367;
030105;2000;249,453;
030105;2100;256,165;
030105;2200;260,444;
030105;2300;282,82;
030106;0000;88,9651;
030106;0100;83,1753;
030106;0200;86,3676;
030106;0300;93,0728;
030106;0400;105,937;
030106;0500;99,2981;
030106;0600;97,6626;
030106;0700;100,668;
030106;0800;86,6991;
030106;0900;83,7262;
030106;1000;88,214;
030106;1100;99,0061;
030106;1200;255,627;
030106;1300;254,925;
030106;1400;260,201;
030106;1500;274,136;
030106;1600;272,192;
030106;1700;271,396;
030106;1800;271,057;
030106;1900;255,392;
030106;2000;257,328;
030106;2100;274,226;
030106;2200;283,508;
030106;2300;144,753;
030107;0000;124,989;
030107;0100;72,4961;
030107;0200;87,6906;
030107;0300;92,8268;
030107;0400;99,8954;
030107;0500;87,2046;
030107;0600;81,4884;
030107;0700;69,8938;
030107;0800;77,8584;
030107;0900;94,099;
030107;1000;94,6979;
030107;1100;212,347;
030107;1200;262,08;
030107;1300;267,1;
030107;1400;270,85;
030107;1500;273,274;
030107;1600;273,307;
030107;1700;270,151;
030107;1800;267,844;
030107;1900;257,367;
030107;2000;261,634;
030107;2100;270,688;
030107;2200;217,185;
030107;2300;144,08;
030108;0000;82,2207;
030108;0100;182,811;
030108;0200;81,9806;
030108;0300;89,1642;
030108;0400;79,7267;
030108;0500;93,7953;
030108;0600;73,7577;
030108;0700;69,4436;
030108;0800;92,3484;
030108;0900;110,748;
030108;1000;293,46;
030108;1100;252,064;
030108;1200;254,008;
030108;1300;260,722;
030108;1400;259,944;
030108;1500;264,525;
030108;1600;264,496;
030108;1700;268,374;
030108;1800;274,249;
030108;1900;273,689;
030108;2000;265,184;
030108;2100;254,961;
030108;2200;263,67;
030108;2300;189,897;
030109;0000;77,8777;
030109;0100;79,6139;
030109;0200;88,0414;
030109;0300;98,3008;
030109;0400;95,3903;
030109;0500;84,1089;
030109;0600;90,0396;
030109;0700;83,9176;
030109;0800;69,6287;
030109;0900;70,8429;
030109;1000;50,5734;
030109;1100;263,348;
030109;1200;256,196;
030109;1300;253,045;
030109;1400;252,21;
030109;1500;254,626;
030109;1600;257,325;
030109;1700;264,548;
030109;1800;262,392;
030109;1900;261,448;
030109;2000;253,932;
030109;2100;243,603;
030109;2200;236,053;
030109;2300;241,141;
030110;0000;241,583;
030110;0100;281,864;
030110;0200;41,8788;
030110;0300;66,9386;
030110;0400;83,5558;
030110;0500;78,8501;
030110;0600;79,927;
030110;0700;95,4811;
030110;0800;101,43;
030110;0900;100,883;
030110;1000;71,7218;
030110;1100;233,312;
030110;1200;254,106;
030110;1300;258,728;
030110;1400;258,1;
030110;1500;252,605;
030110;1600;251,861;
030110;1700;254,964;
030110;1800;255,268;
030110;1900;259,427;
030110;2000;251,929;
030110;2100;256,868;
030110;2200;257,65;
030110;2300;227,702;
030111;0000;174,878;
030111;0100;56,1205;
030111;0200;81,9452;
030111;0300;96,922;
030111;0400;103,119;
030111;0500;74,4236;
030111;0600;;
030111;0700;;
030111;0800;69,4351;
030111;0900;90,8322;
030111;1000;55,6512;
030111;1100;248,71;
030111;1200;255,263;
030111;1300;260,637;
030111;1400;258,118;
030111;1500;258,34;
030111;1600;258,314;
030111;1700;268,859;
030111;1800;275,178;
030111;1900;257,959;
030111;2000;271,883;
030111;2100;264,896;
030111;2200;247,065;
030111;2300;221,068;
030112;0000;15,1975;
030112;0100;69,9987;
030112;0200;81,5094;
030112;0300;81,6476;
030112;0400;103,214;
030112;0500;101,412;
030112;0600;101,551;
030112;0700;102,595;
030112;0800;84,2266;
030112;0900;91,0392;
030112;1000;92,7688;
030112;1100;220,674;
030112;1200;256,973;
030112;1300;263,743;
030112;1400;276,408;
030112;1500;270,711;
030112;1600;270,678;
030112;1700;273,622;
030112;1800;263,687;
030112;1900;261,693;
030112;2000;270,317;
030112;2100;273,365;
030112;2200;271,263;
030112;2300;179,478;
030113;0000;;
030113;0100;;
030113;0200;80,8356;
030113;0300;97,4922;
030113;0400;104,081;
030113;0500;98,6115;
030113;0600;102,6;
030113;0700;99,5656;
030113;0800;95,6792;
030113;0900;70,8457;
030113;1000;71,573;
030113;1100;218,14;
030113;1200;266,43;
030113;1300;269,415;
030113;1400;267,837;
030113;1500;262,785;
030113;1600;259,593;
030113;1700;262,696;
030113;1800;267,481;
030113;1900;279,552;
030113;2000;271,398;
030113;2100;257,621;
030113;2200;258,755;
030113;2300;243,858;
030114;0000;210,744;
030114;0100;105,374;
030114;0200;67,7726;
030114;0300;79,4004;
030114;0400;93,1333;
030114;0500;104,596;
030114;0600;102,195;
030114;0700;100,019;
030114;0800;98,5802;
030114;0900;99,9633;
030114;1000;65,3645;
030114;1100;16,8224;
030114;1200;210,055;
030114;1300;260,862;
030114;1400;262,873;
030114;1500;255,294;
030114;1600;259,279;
030114;1700;262,193;
030114;1800;269,606;
030114;1900;261,893;
030114;2000;264,203;
030114;2100;259,485;
030114;2200;266,376;
030114;2300;280,319;
030115;0000;313,974;
030115;0100;81,9109;
030115;0200;86,8003;
030115;0300;94,1447;
030115;0400;91,0065;
030115;0500;99,0359;
030115;0600;96,3429;
030115;0700;99,7494;
030115;0800;102,444;
030115;0900;106,373;
030115;1000;68,5099;
030115;1100;251,435;
030115;1200;235,395;
030115;1300;259,16;
030115;1400;262,398;
030115;1500;265,863;
030115;1600;265,52;
030115;1700;264,024;
030115;1800;265,988;
030115;1900;263,085;
030115;2000;267,115;
030115;2100;266,787;
030115;2200;267,851;
030115;2300;260,578;
030116;0000;236,844;
030116;0100;144,623;
030116;0200;72,4557;
030116;0300;75,5094;
030116;0400;74,703;
030116;0500;89,448;
030116;0600;98,4323;
030116;0700;99,5691;
