FECHA (YYMMDD);HORA (HHMM);;
111227;0100;;
111227;0200;;
111227;0300;;
111227;0400;;
111227;0500;;
111227;0600;;
111227;0700;;
111227;0800;;
111227;0900;55,65;
111227;1000;46,21;
111227;1100;36,72;
111227;1200;31,96;
111227;1300;28,62;
111227;1400;26,16;
111227;1500;24,14;
111227;1600;24,61;
111227;1700;19,69;
111227;1800;18,82;
111227;1900;18,81;
111227;2000;21,28;
111227;2100;24,58;
111227;2200;25,51;
111227;2300;25,95;
111228;0000;26,16;
111228;0100;27,54;
111228;0200;31,5;
111228;0300;34,44;
111228;0400;34,05;
111228;0500;33,35;
111228;0600;26,5;
111228;0700;23,48;
111228;0800;20,37;
111228;0900;16;
111228;1000;12,13;
111228;1100;11,5;
111228;1200;11,77;
111228;1300;11,27;
111228;1400;10,08;
111228;1500;9,308;
111228;1600;11,5;
111228;1700;15,27;
111228;1800;18,88;
111228;1900;23,18;
111228;2000;30,69;
111228;2100;26,75;
111228;2200;25,49;
111228;2300;30,77;
111229;0000;32,64;
111229;0100;31,14;
111229;0200;29,72;
111229;0300;31,41;
111229;0400;32,74;
111229;0500;33,04;
111229;0600;28,54;
111229;0700;22,61;
111229;0800;23,03;
111229;0900;20,3;
111229;1000;15,73;
111229;1100;12,39;
111229;1200;12,53;
111229;1300;11,46;
111229;1400;9,64799;
111229;1500;11,07;
111229;1600;12,88;
111229;1700;13,63;
111229;1800;16;
111229;1900;21,01;
111229;2000;25,99;
111229;2100;27,31;
111229;2200;27,69;
111229;2300;28,7;
111230;0000;28,48;
111230;0100;28,85;
111230;0200;29,55;
111230;0300;28,64;
111230;0400;30,14;
111230;0500;30,19;
111230;0600;26,37;
111230;0700;20,89;
111230;0800;17,39;
111230;0900;19,45;
111230;1000;21,8;
111230;1100;22,66;
111230;1200;21,32;
111230;1300;20,91;
111230;1400;19,16;
111230;1500;17,51;
111230;1600;17,93;
111230;1700;22,44;
111230;1800;26,05;
111230;1900;32,66;
111230;2000;29,05;
111230;2100;29;
111230;2200;29,02;
111230;2300;31,96;
111231;0000;37,82;
111231;0100;35,73;
111231;0200;37,18;
111231;0300;39,25;
111231;0400;39,84;
111231;0500;41,66;
111231;0600;37,55;
111231;0700;33,21;
111231;0800;28,99;
111231;0900;27,19;
111231;1000;28,6;
111231;1100;29,86;
111231;1200;31,54;
111231;1300;32,47;
111231;1400;31,01;
111231;1500;28,86;
111231;1600;29,49;
111231;1700;33,94;
111231;1800;32,16;
111231;1900;31,85;
111231;2000;31,74;
111231;2100;32,86;
111231;2200;35,66;
111231;2300;35,6638;
120101;0000;34,968;
120101;0100;36,5213;
120101;0200;42,1388;
120101;0300;42,9976;
120101;0400;43,0618;
120101;0500;43,9185;
120101;0600;42,4836;
120101;0700;38,4374;
120101;0800;34,2261;
120101;0900;31,2853;
120101;1000;29,7308;
120101;1100;29,0743;
120101;1200;30,6338;
120101;1300;31,2445;
120101;1400;30,8421;
120101;1500;28,4035;
120101;1600;26,5058;
120101;1700;27,8806;
120101;1800;29,9353;
120101;1900;28,076;
120101;2000;27,601;
120101;2100;31,1786;
120101;2200;35,1855;
120101;2300;37,6741;
120102;0000;38,0013;
120102;0100;37,8036;
120102;0200;37,1381;
120102;0300;37,7242;
120102;0400;37,6521;
120102;0500;38,0091;
120102;0600;37,9355;
120102;0700;35,157;
120102;0800;31,7413;
120102;0900;33,8085;
120102;1000;36,2371;
120102;1100;33,5215;
120102;1200;34,598;
120102;1300;34,7476;
120102;1400;34,4874;
120102;1500;29,1334;
120102;1600;28,1475;
120102;1700;27,6106;
120102;1800;35,343;
120102;1900;51,6608;
120102;2000;59,4485;
120102;2100;63,7723;
120102;2200;67,3772;
120102;2300;74,6823;
120103;0000;76,9546;
120103;0100;75,3003;
120103;0200;74,1161;
120103;0300;71,1116;
120103;0400;70,1078;
120103;0500;73,6956;
120103;0600;72,2509;
120103;0700;63,3254;
120103;0800;55,1085;
120103;0900;48,8359;
120103;1000;42,8745;
120103;1100;41,6703;
120103;1200;40,9092;
