FECHA (YYMMDD);HORA (HHMM);;
041218;0100;;
041218;0200;;
041218;0300;;
041218;0400;;
041218;0500;;
041218;0600;;
041218;0700;;
041218;0800;;
041218;0900;;
041218;1000;;
041218;1100;;
041218;1200;22,2147;
041218;1300;22,318;
041218;1400;22,6231;
041218;1500;22,952;
041218;1600;;
041218;1700;;
041218;1800;;
041218;1900;;
041218;2000;;
041218;2100;;
041218;2200;;
041218;2300;;
041219;0000;;
041219;0100;;
041219;0200;;
041219;0300;;
041219;0400;;
041219;0500;;
041219;0600;;
041219;0700;;
041219;0800;;
041219;0900;;
041219;1000;;
041219;1100;;
041219;1200;;
041219;1300;;
041219;1400;;
041219;1500;;
041219;1600;;
041219;1700;;
041219;1800;;
041219;1900;;
041219;2000;;
041219;2100;;
041219;2200;;
041219;2300;;
041220;0000;;
041220;0100;;
041220;0200;;
041220;0300;;
041220;0400;;
041220;0500;;
041220;0600;;
041220;0700;;
041220;0800;;
041220;0900;;
041220;1000;;
041220;1100;;
041220;1200;;
041220;1300;;
041220;1400;;
041220;1500;;
041220;1600;;
041220;1700;;
041220;1800;;
041220;1900;;
041220;2000;;
041220;2100;;
041220;2200;;
041220;2300;;
041221;0000;;
041221;0100;;
041221;0200;;
041221;0300;;
041221;0400;;
041221;0500;;
041221;0600;;
041221;0700;;
041221;0800;;
041221;0900;;
041221;1000;;
041221;1100;;
041221;1200;;
041221;1300;;
041221;1400;;
041221;1500;;
041221;1600;;
041221;1700;;
041221;1800;;
041221;1900;;
041221;2000;;
041221;2100;;
041221;2200;;
041221;2300;;
041222;0000;;
041222;0100;;
041222;0200;;
041222;0300;;
041222;0400;;
041222;0500;;
041222;0600;;
041222;0700;;
041222;0800;;
041222;0900;;
041222;1000;;
041222;1100;;
041222;1200;;
041222;1300;;
041222;1400;;
041222;1500;;
041222;1600;;
041222;1700;;
041222;1800;;
041222;1900;;
041222;2000;;
041222;2100;;
041222;2200;;
041222;2300;;
041223;0000;;
041223;0100;;
041223;0200;;
041223;0300;;
041223;0400;;
041223;0500;;
041223;0600;;
041223;0700;;
041223;0800;;
041223;0900;;
041223;1000;;
041223;1100;;
041223;1200;;
041223;1300;;
041223;1400;;
041223;1500;;
041223;1600;;
041223;1700;;
041223;1800;;
041223;1900;;
041223;2000;;
041223;2100;;
041223;2200;;
041223;2300;;
041224;0000;;
041224;0100;;
041224;0200;;
041224;0300;;
041224;0400;;
041224;0500;;
041224;0600;;
041224;0700;;
041224;0800;;
041224;0900;;
041224;1000;;
041224;1100;;
041224;1200;;
041224;1300;;
041224;1400;;
041224;1500;;
041224;1600;;
041224;1700;;
041224;1800;;
041224;1900;;
041224;2000;;
041224;2100;;
041224;2200;;
041224;2300;;
041225;0000;;
041225;0100;;
041225;0200;;
041225;0300;;
041225;0400;;
041225;0500;;
041225;0600;;
041225;0700;;
041225;0800;;
041225;0900;;
041225;1000;;
