FECHA (YYMMDD);HORA (HHMM);;
030108;0100;;
030108;0200;;
030108;0300;;
030108;0400;;
030108;0500;;
030108;0600;;
030108;0700;;
030108;0800;;
030108;0900;;
030108;1000;;
030108;1100;;
030108;1200;;
030108;1300;;
030108;1400;;
030108;1500;;
030108;1600;;
030108;1700;;
030108;1800;;
030108;1900;;
030108;2000;;
030108;2100;;
030108;2200;;
030108;2300;;
030109;0000;;
030109;0100;;
030109;0200;;
030109;0300;;
030109;0400;;
030109;0500;;
030109;0600;;
030109;0700;;
030109;0800;;
030109;0900;;
030109;1000;;
030109;1100;;
030109;1200;;
030109;1300;;
030109;1400;;
030109;1500;;
030109;1600;;
030109;1700;;
030109;1800;;
030109;1900;;
030109;2000;;
030109;2100;;
030109;2200;;
030109;2300;;
030110;0000;;
030110;0100;;
030110;0200;;
030110;0300;;
030110;0400;;
030110;0500;;
030110;0600;;
030110;0700;;
030110;0800;;
030110;0900;;
030110;1000;;
030110;1100;;
030110;1200;;
030110;1300;;
030110;1400;;
030110;1500;;
030110;1600;;
030110;1700;;
030110;1800;;
030110;1900;;
030110;2000;;
030110;2100;;
030110;2200;;
030110;2300;;
030111;0000;;
030111;0100;;
030111;0200;;
030111;0300;;
030111;0400;;
030111;0500;;
030111;0600;;
030111;0700;;
030111;0800;;
030111;0900;;
030111;1000;;
030111;1100;;
030111;1200;;
030111;1300;;
030111;1400;;
030111;1500;;
030111;1600;;
030111;1700;;
030111;1800;;
030111;1900;;
030111;2000;;
030111;2100;;
030111;2200;;
030111;2300;;
030112;0000;;
030112;0100;;
030112;0200;;
030112;0300;;
030112;0400;;
030112;0500;;
030112;0600;;
030112;0700;;
030112;0800;;
030112;0900;;
030112;1000;;
030112;1100;;
030112;1200;;
030112;1300;;
030112;1400;;
030112;1500;;
030112;1600;;
030112;1700;;
030112;1800;;
030112;1900;;
030112;2000;;
030112;2100;;
030112;2200;;
030112;2300;;
030113;0000;;
030113;0100;;
030113;0200;;
030113;0300;;
030113;0400;;
030113;0500;;
030113;0600;;
030113;0700;;
030113;0800;;
030113;0900;;
030113;1000;;
030113;1100;;
030113;1200;;
030113;1300;;
030113;1400;;
030113;1500;;
030113;1600;;
030113;1700;;
030113;1800;;
030113;1900;;
030113;2000;;
030113;2100;;
030113;2200;;
030113;2300;;
030114;0000;;
030114;0100;;
030114;0200;;
030114;0300;;
030114;0400;;
030114;0500;;
030114;0600;;
030114;0700;;
030114;0800;;
030114;0900;;
030114;1000;;
030114;1100;;
030114;1200;;
030114;1300;;
030114;1400;;
030114;1500;;
030114;1600;;
030114;1700;;
030114;1800;;
030114;1900;;
030114;2000;;
030114;2100;;
