FECHA (YYMMDD);HORA (HHMM);;
051231;0100;;
051231;0200;;
051231;0300;;
051231;0400;;
051231;0500;;
051231;0600;;
051231;0700;;
051231;0800;;
051231;0900;;
051231;1000;;
051231;1100;;
051231;1200;;
051231;1300;;
051231;1400;;
051231;1500;;
051231;1600;;
051231;1700;;
051231;1800;;
051231;1900;;
051231;2000;;
051231;2100;;
051231;2200;;
051231;2300;299;
060101;0000;233;
060101;0100;34,4;
060101;0200;223;
060101;0300;71,1;
060101;0400;55,58;
060101;0500;79,3999;
060101;0600;356,3;
060101;0700;304,5;
060101;0800;276,9;
060101;0900;245,6;
060101;1000;242,3;
060101;1100;237,8;
060101;1200;234,9;
060101;1300;239,4;
060101;1400;256,4;
060101;1500;228,2;
060101;1600;201,8;
060101;1700;197,7;
060101;1800;199,3;
060101;1900;196,5;
060101;2000;207,8;
060101;2100;214,2;
060101;2200;316,8;
060101;2300;182,3;
060102;0000;179,4;
060102;0100;172,4;
060102;0200;109,3;
060102;0300;101,4;
060102;0400;29,73;
060102;0500;56,49;
060102;0600;47,3799;
060102;0700;51,8199;
060102;0800;279;
060102;0900;238;
060102;1000;239,3;
060102;1100;247,9;
060102;1200;243,1;
060102;1300;215,4;
060102;1400;205,2;
060102;1500;199,1;
060102;1600;202,1;
060102;1700;199;
060102;1800;203,8;
060102;1900;204,8;
060102;2000;208,5;
060102;2100;313,4;
060102;2200;303,8;
060102;2300;301,4;
060103;0000;276,6;
060103;0100;194,9;
060103;0200;44,89;
060103;0300;67,8999;
060103;0400;83,2998;
060103;0500;55,3799;
060103;0600;25,72;
060103;0700;198,8;
060103;0800;259,6;
060103;0900;280,3;
060103;1000;275,4;
060103;1100;244,1;
060103;1200;231,7;
060103;1300;233;
060103;1400;218,7;
060103;1500;220,2;
060103;1600;208,3;
060103;1700;203,4;
060103;1800;202,6;
060103;1900;199,9;
060103;2000;211,9;
060103;2100;211,4;
060103;2200;243;
060103;2300;286,6;
060104;0000;344,6;
060104;0100;255,7;
060104;0200;351,2;
060104;0300;275,7;
060104;0400;18,73;
060104;0500;38,42;
060104;0600;37,12;
060104;0700;28,89;
060104;0800;244,6;
060104;0900;268,5;
060104;1000;238;
060104;1100;232,6;
060104;1200;229,1;
060104;1300;202,3;
060104;1400;206,8;
060104;1500;204,6;
060104;1600;210,6;
060104;1700;208,2;
060104;1800;206,6;
060104;1900;207,1;
060104;2000;217;
060104;2100;257,7;
060104;2200;227,4;
060104;2300;228,3;
060105;0000;250;
060105;0100;200,9;
060105;0200;224;
060105;0300;268,5;
060105;0400;60,45;
060105;0500;38,49;
060105;0600;38,87;
060105;0700;35,04;
060105;0800;230,1;
060105;0900;234,6;
060105;1000;226,9;
060105;1100;203,2;
060105;1200;227,4;
060105;1300;249,1;
060105;1400;254,1;
060105;1500;260,9;
060105;1600;236,2;
060105;1700;195,2;
060105;1800;191,4;
060105;1900;207,9;
060105;2000;258,7;
060105;2100;308,4;
060105;2200;317,1;
060105;2300;244,4;
060106;0000;360;
060106;0100;337,4;
060106;0200;72,2998;
060106;0300;82,5;
060106;0400;82,3999;
060106;0500;77,6;
060106;0600;74,1;
060106;0700;106,2;
060106;0800;255,6;
060106;0900;239,6;
060106;1000;232;
060106;1100;232,3;
060106;1200;223,3;
060106;1300;239,2;
060106;1400;218;
060106;1500;228,1;
060106;1600;208,6;
060106;1700;205,5;
060106;1800;209,6;
060106;1900;201,4;
060106;2000;196,9;
060106;2100;209;
060106;2200;257,6;
060106;2300;211;
060107;0000;333,3;
060107;0100;19,76;
060107;0200;197,8;
060107;0300;80,5;
060107;0400;59,0099;
060107;0500;15,56;
060107;0600;303,8;
060107;0700;133,9;
060107;0800;235,4;
060107;0900;243,8;
060107;1000;247,6;
060107;1100;248,3;
060107;1200;239,5;
060107;1300;234,3;
060107;1400;225,6;
060107;1500;220,3;
060107;1600;210,2;
060107;1700;212;
060107;1800;210,3;
060107;1900;202,7;
060107;2000;201,5;
060107;2100;192;
060107;2200;219,5;
060107;2300;239,5;
060108;0000;211,2;
060108;0100;154,4;
060108;0200;8,87;
060108;0300;80,2998;
060108;0400;80,2;
060108;0500;91,1;
060108;0600;57,5099;
060108;0700;193,7;
060108;0800;227,8;
060108;0900;255,4;
060108;1000;258;
060108;1100;250,9;
060108;1200;254,8;
060108;1300;259,3;
060108;1400;261,7;
060108;1500;254,4;
060108;1600;238,3;
060108;1700;220,3;
060108;1800;211,4;
060108;1900;201,4;
060108;2000;196,3;
060108;2100;222,4;
060108;2200;235,6;
060108;2300;288,9;
060109;0000;242,7;
060109;0100;227,4;
060109;0200;235,9;
060109;0300;129,6;
060109;0400;132,5;
060109;0500;20,08;
060109;0600;110,3;
060109;0700;134,5;
060109;0800;239,7;
060109;0900;244,8;
060109;1000;244,5;
060109;1100;242,6;
060109;1200;253,6;
060109;1300;234,5;
060109;1400;216,2;
060109;1500;204,7;
060109;1600;204,7;
060109;1700;196,3;
060109;1800;191,2;
060109;1900;193,3;
060109;2000;220,4;
060109;2100;293,6;
060109;2200;323,5;
060109;2300;322,6;
060110;0000;315,4;
060110;0100;15,39;
060110;0200;296,5;
060110;0300;339,6;
060110;0400;29;
060110;0500;9,84;
060110;0600;63,02;
060110;0700;274,4;
060110;0800;244,4;
060110;0900;258,3;
060110;1000;237,5;
060110;1100;257;
060110;1200;242;
060110;1300;254,6;
060110;1400;251;
060110;1500;245,9;
060110;1600;242;
060110;1700;253,4;
060110;1800;252,9;
060110;1900;237,2;
060110;2000;237,9;
060110;2100;228,4;
060110;2200;306,1;
060110;2300;306,4;
060111;0000;297,7;
060111;0100;343,9;
060111;0200;270,8;
060111;0300;293,4;
060111;0400;266,3;
060111;0500;209,5;
060111;0600;170,5;
060111;0700;203;
060111;0800;254,1;
060111;0900;252,8;
060111;1000;249,9;
060111;1100;249,3;
060111;1200;273,2;
060111;1300;255,8;
060111;1400;199,4;
060111;1500;203;
060111;1600;202,6;
060111;1700;196,1;
060111;1800;192,7;
060111;1900;192,5;
060111;2000;207,7;
060111;2100;290,5;
060111;2200;198,2;
060111;2300;207,2;
060112;0000;210,1;
060112;0100;213,7;
060112;0200;229,1;
060112;0300;255,9;
060112;0400;291,2;
060112;0500;330,8;
060112;0600;259,5;
060112;0700;103,3;
060112;0800;256;
060112;0900;230,4;
060112;1000;221,3;
060112;1100;213,4;
060112;1200;203;
060112;1300;203,7;
060112;1400;200,6;
060112;1500;209,5;
060112;1600;206,5;
060112;1700;208,2;
060112;1800;204,7;
060112;1900;200,2;
060112;2000;199,6;
060112;2100;216,4;
060112;2200;226,3;
060112;2300;235,6;
060113;0000;302,7;
060113;0100;285;
060113;0200;222,7;
060113;0300;296,6;
060113;0400;301,7;
060113;0500;294,8;
060113;0600;33,02;
060113;0700;36,48;
060113;0800;254,6;
060113;0900;230,6;
060113;1000;270,3;
060113;1100;250,7;
060113;1200;236,5;
060113;1300;240,3;
060113;1400;253,6;
060113;1500;248,2;
060113;1600;239,5;
060113;1700;206;
060113;1800;212;
060113;1900;202,7;
060113;2000;207,6;
060113;2100;231,5;
060113;2200;327,9;
060113;2300;355,2;
060114;0000;328,4;
060114;0100;221,5;
060114;0200;219,4;
060114;0300;168,1;
060114;0400;186,9;
060114;0500;11,7;
060114;0600;155,1;
060114;0700;224,8;
060114;0800;253,5;
060114;0900;238,7;
060114;1000;237,8;
060114;1100;229,9;
060114;1200;237,9;
060114;1300;235,1;
060114;1400;246,8;
060114;1500;250,3;
060114;1600;242,2;
060114;1700;247,7;
060114;1800;217,6;
060114;1900;209,1;
060114;2000;204,1;
060114;2100;206,3;
060114;2200;246,5;
060114;2300;317,1;
060115;0000;291,3;
060115;0100;308,9;
060115;0200;22,45;
060115;0300;147,5;
060115;0400;70,2998;
060115;0500;70,7998;
060115;0600;97,8999;
060115;0700;285,6;
060115;0800;270,5;
060115;0900;254,6;
060115;1000;244;
060115;1100;248,4;
060115;1200;249,6;
060115;1300;252,2;
060115;1400;253,9;
060115;1500;264,7;
060115;1600;268,9;
060115;1700;253,8;
060115;1800;258,3;
060115;1900;219,5;
060115;2000;221,1;
060115;2100;334,9;
060115;2200;227,1;
060115;2300;247,7;
060116;0000;232,1;
060116;0100;291,9;
060116;0200;339;
060116;0300;310,7;
060116;0400;4,417;
060116;0500;205,7;
060116;0600;29,48;
060116;0700;177,8;
060116;0800;248,9;
060116;0900;256,8;
060116;1000;262,2;
060116;1100;247,8;
060116;1200;239,3;
060116;1300;221,6;
060116;1400;207,8;
060116;1500;215,6;
060116;1600;215,6;
060116;1700;210,8;
060116;1800;202,1;
060116;1900;200,3;
060116;2000;231,9;
060116;2100;280,6;
060116;2200;2,124;
060116;2300;328;
060117;0000;12,5;
060117;0100;303,8;
060117;0200;216,4;
060117;0300;67,62;
060117;0400;334,9;
060117;0500;41,39;
060117;0600;55,86;
060117;0700;219,3;
060117;0800;250,3;
060117;0900;252,9;
060117;1000;234,4;
060117;1100;232,5;
060117;1200;239;
060117;1300;253,6;
060117;1400;249,2;
060117;1500;278,5;
060117;1600;247,1;
060117;1700;217,3;
060117;1800;212;
060117;1900;199,6;
060117;2000;196,2;
060117;2100;205,3;
060117;2200;215,5;
060117;2300;270,2;
060118;0000;15,02;
060118;0100;341,2;
060118;0200;356,2;
060118;0300;85,2998;
060118;0400;86,1;
060118;0500;37,1899;
060118;0600;49,17;
060118;0700;199,4;
060118;0800;292,9;
060118;0900;258,8;
060118;1000;234;
060118;1100;232;
060118;1200;228,8;
060118;1300;227,2;
060118;1400;226,1;
060118;1500;212,7;
060118;1600;211,3;
060118;1700;227,9;
060118;1800;253;
060118;1900;211,3;
060118;2000;216,8;
060118;2100;285,5;
060118;2200;325,2;
060118;2300;253;
060119;0000;294,8;
060119;0100;205,5;
060119;0200;54,33;
060119;0300;67,7599;
060119;0400;52,67;
060119;0500;55,18;
060119;0600;272,5;
060119;0700;328,1;
060119;0800;260,6;
060119;0900;291,5;
060119;1000;269,4;
060119;1100;228,2;
060119;1200;231,5;
060119;1300;226,2;
060119;1400;234;
060119;1500;225;
060119;1600;222,2;
060119;1700;221,5;
060119;1800;228;
060119;1900;339,7;
060119;2000;328,4;
060119;2100;283,6;
060119;2200;200,5;
060119;2300;53,18;
060120;0000;2,604;
060120;0100;272,1;
060120;0200;349,7;
060120;0300;38,61;
060120;0400;39,35;
060120;0500;41,64;
060120;0600;168,4;
060120;0700;27,21;
060120;0800;212,6;
060120;0900;246,7;
060120;1000;253,3;
060120;1100;240,1;
060120;1200;251,8;
060120;1300;259,8;
060120;1400;233,6;
060120;1500;240,9;
060120;1600;272,8;
060120;1700;243,7;
060120;1800;276,2;
060120;1900;267,5;
060120;2000;359;
060120;2100;327,9;
060120;2200;331,2;
060120;2300;333,7;
060121;0000;280,6;
060121;0100;17,34;
060121;0200;184,8;
060121;0300;204;
060121;0400;176,4;
060121;0500;26,23;
060121;0600;157,6;
060121;0700;122,5;
060121;0800;226,1;
060121;0900;239,2;
060121;1000;253,5;
060121;1100;245,3;
060121;1200;259,8;
060121;1300;253,1;
060121;1400;236,7;
060121;1500;234,8;
060121;1600;228;
060121;1700;215,7;
060121;1800;214,6;
060121;1900;318,4;
060121;2000;318,5;
060121;2100;316,1;
060121;2200;329,2;
060121;2300;254,6;
060122;0000;325,9;
060122;0100;244,4;
060122;0200;242;
060122;0300;7,96;
060122;0400;253,2;
060122;0500;184,7;
060122;0600;181,4;
060122;0700;176,8;
060122;0800;228;
060122;0900;261,2;
060122;1000;239,2;
060122;1100;240,4;
060122;1200;226;
060122;1300;217,7;
060122;1400;212,8;
060122;1500;207,5;
060122;1600;212,5;
060122;1700;207,7;
060122;1800;210,3;
060122;1900;334,2;
060122;2000;312,8;
060122;2100;329,2;
060122;2200;291,3;
060122;2300;300,2;
060123;0000;314,2;
060123;0100;293,3;
060123;0200;164,1;
060123;0300;207,6;
060123;0400;189,8;
060123;0500;73,7;
060123;0600;87,7998;
060123;0700;317,8;
060123;0800;220,5;
060123;0900;250,4;
060123;1000;242;
060123;1100;226,8;
060123;1200;228,4;
060123;1300;233,5;
060123;1400;235,7;
060123;1500;215,2;
060123;1600;214,9;
060123;1700;219;
060123;1800;214,4;
060123;1900;210;
060123;2000;350,9;
060123;2100;341,2;
060123;2200;320,3;
060123;2300;352,8;
060124;0000;331;
060124;0100;0,0409999;
060124;0200;62,1;
060124;0300;35,91;
060124;0400;5,972;
060124;0500;4,188;
060124;0600;82,7;
060124;0700;60,68;
060124;0800;234,4;
060124;0900;266,3;
060124;1000;258,1;
060124;1100;237,1;
060124;1200;208,9;
060124;1300;204,8;
060124;1400;205,3;
060124;1500;208,2;
060124;1600;210,3;
060124;1700;206,2;
060124;1800;211;
060124;1900;349,5;
060124;2000;330,5;
060124;2100;331,8;
060124;2200;262;
060124;2300;300,2;
060125;0000;7,99;
060125;0100;7,10999;
060125;0200;320;
060125;0300;223,8;
060125;0400;303,3;
060125;0500;216,9;
060125;0600;351,4;
060125;0700;30,43;
060125;0800;231,7;
060125;0900;255;
060125;1000;266;
060125;1100;263,6;
060125;1200;270,2;
060125;1300;231,6;
060125;1400;220,6;
060125;1500;211;
060125;1600;214,7;
060125;1700;215,2;
060125;1800;212,1;
060125;1900;203,1;
060125;2000;239,8;
060125;2100;304,7;
060125;2200;319,4;
060125;2300;281,2;
060126;0000;298;
060126;0100;259,4;
060126;0200;241,9;
060126;0300;259,1;
060126;0400;263,5;
060126;0500;171,9;
060126;0600;310,5;
060126;0700;33,75;
060126;0800;252;
060126;0900;265,7;
060126;1000;220;
060126;1100;227,5;
060126;1200;233,4;
060126;1300;240;
