FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000103;0000;;101,83;;
000104;0000;;;;
000105;0000;;73,1299;;
000106;0000;;;;
000107;0000;;59,24;;
000108;0000;;;;
000109;0000;;;;
000110;0000;;50,27;;
000111;0000;;;;
000112;0000;;104,29;;
000113;0000;;;;
000114;0000;;44,8;;
000115;0000;;;;
000116;0000;;;;
000117;0000;;86,59;;
000118;0000;;;;
000119;0000;;82,6598;;
000120;0000;;;;
000121;0000;;93,72;;
000122;0000;;;;
000123;0000;;;;
000124;0000;;;;
000125;0000;;;;
000126;0000;;74,6698;;
000127;0000;;;;
000128;0000;;93,7798;;
000129;0000;;;;
000130;0000;;;;
000131;0000;;75,96;;
000201;0000;;;;
000202;0000;;17,08;;
000203;0000;;;;
000204;0000;;61,58;;
000205;0000;;;;
000206;0000;;;;
000207;0000;;84,62;;
000208;0000;;;;
000209;0000;;70,74;;
000210;0000;;;;
000211;0000;;80,6299;;
000212;0000;;;;
000213;0000;;;;
000214;0000;;59;;
000215;0000;;;;
000216;0000;;33,31;;
000217;0000;;;;
000218;0000;;42,34;;
000219;0000;;;;
000220;0000;;;;
000221;0000;;83,5199;;
000222;0000;;;;
000223;0000;;96,48;;
000224;0000;;;;
000225;0000;;48,61;;
000226;0000;;;;
000227;0000;;;;
000228;0000;;95,2599;;
000229;0000;;;;
000301;0000;;49,96;;
000302;0000;;;;
000303;0000;;90,0298;;
000304;0000;;;;
000305;0000;;;;
000306;0000;;70,9198;;
000307;0000;;;;
000308;0000;;78,0497;;
000309;0000;;;;
000310;0000;;104,72;;
000311;0000;;;;
000312;0000;;;;
000313;0000;;118,67;;
000314;0000;;;;
000315;0000;;;;
000316;0000;;73,1299;;
000317;0000;;;;
000318;0000;;;;
000319;0000;;;;
000320;0000;;54,5099;;
000321;0000;;;;
000322;0000;;61,27;;
000323;0000;;;;
000324;0000;;54,08;;
000325;0000;;;;
000326;0000;;;;
000327;0000;;112,34;;
000328;0000;;;;
000329;0000;;94,2699;;
000330;0000;;;;
000331;0000;;73,9297;;
000401;0000;;;;
000402;0000;;;;
000403;0000;;97,4098;;
000404;0000;;;;
000405;0000;;55,31;;
000406;0000;;;;
000407;0000;;140,73;;
000408;0000;;;;
000409;0000;;;;
000410;0000;;91,1399;;
000411;0000;;;;
000412;0000;;62,68;;
000413;0000;;;;
000414;0000;;96,36;;
000415;0000;;;;
000416;0000;;;;
000417;0000;;;;
000418;0000;;76,08;;
000419;0000;;41,24;;
000420;0000;;58,2;;
000421;0000;;;;
000422;0000;;;;
000423;0000;;;;
000424;0000;;129,71;;
000425;0000;;;;
000426;0000;;58,08;;
000427;0000;;;;
000428;0000;;68,09;;
000429;0000;;;;
000430;0000;;;;
000501;0000;;;;
000502;0000;;76,9397;;
000503;0000;;;;
000504;0000;;60,47;;
000505;0000;;72,46;;
000506;0000;;;;
000507;0000;;;;
000508;0000;;62,5;;
000509;0000;;;;
000510;0000;;68,46;;
000511;0000;;;;
000512;0000;;43,6299;;
000513;0000;;;;
000514;0000;;;;
000515;0000;;133,67;;
000516;0000;;;;
000517;0000;;57,95;;
000518;0000;;;;
000519;0000;;73,0099;;
000520;0000;;;;
000521;0000;;;;
000522;0000;;89,85;;
000523;0000;;;;
000524;0000;;58,2;;
000525;0000;;;;
000526;0000;;49,59;;
000527;0000;;;;
000528;0000;;;;
000529;0000;;;;
000530;0000;;75,4297;;
000531;0000;;;;
000601;0000;;75,8999;;
000602;0000;;;;
000603;0000;;;;
000604;0000;;;;
000605;0000;;90,22;;
000606;0000;;;;
000607;0000;;57,09;;
000608;0000;;;;
000609;0000;;57,0699;;
000610;0000;;;;
000611;0000;;;;
000612;0000;;62,68;;
000613;0000;;;;
000614;0000;;56,85;;
000615;0000;;;;
000616;0000;;67,1698;;
000617;0000;;;;
000618;0000;;;;
000619;0000;;;;
000620;0000;;67,48;;
000621;0000;;;;
000622;0000;;;;
000623;0000;;68,71;;
000624;0000;;;;
000625;0000;;;;
000626;0000;;;;
000627;0000;;62,68;;
000628;0000;;69,8097;;
000629;0000;;;;
000630;0000;;74,98;;
000701;0000;;;;
000702;0000;;;;
000703;0000;;110,13;;
000704;0000;;;;
000705;0000;;;;
000706;0000;;;;
000707;0000;;115,6;;
000708;0000;;;;
000709;0000;;;;
000710;0000;;89,5398;;
000711;0000;;;;
000712;0000;;39,95;;
000713;0000;;40,87;;
000714;0000;;44,49;;
000715;0000;;;;
000716;0000;;;;
000717;0000;;46,52;;
000718;0000;;;;
000719;0000;;46,15;;
000720;0000;;;;
000721;0000;;63,18;;
000722;0000;;;;
000723;0000;;;;
000724;0000;;42,71;;
000725;0000;;;;
000726;0000;;61,39;;
000727;0000;;;;
000728;0000;;64,22;;
000729;0000;;;;
000730;0000;;;;
000731;0000;;48,37;;
000801;0000;;47,67;;
000802;0000;;;;
000803;0000;;51,62;;
000804;0000;;;;
000805;0000;;;;
000806;0000;;;;
000807;0000;;;;
000808;0000;;;;
000809;0000;;65,2;;
000810;0000;;;;
000811;0000;;53,16;;
000812;0000;;;;
000813;0000;;;;
000814;0000;;49,29;;
000815;0000;;;;
000816;0000;;49,9;;
000817;0000;;;;
000818;0000;;48,24;;
000819;0000;;;;
000820;0000;;;;
000821;0000;;70,9198;;
000822;0000;;;;
000823;0000;;36,2599;;
000824;0000;;;;
000825;0000;;39,68;;
000826;0000;;;;
000827;0000;;;;
000828;0000;;62,1299;;
000829;0000;;;;
000830;0000;;41,73;;
000831;0000;;;;
000901;0000;;94,46;;
000902;0000;;;;
000903;0000;;;;
000904;0000;;;;
000905;0000;;52,67;;
000906;0000;;52,18;;
000907;0000;;;;
000908;0000;;64,1598;;
000909;0000;;;;
000910;0000;;;;
000911;0000;;43,45;;
000912;0000;;;;
000913;0000;;39,55;;
000914;0000;;;;
000915;0000;;38,78;;
000916;0000;;;;
000917;0000;;;;
000918;0000;;;;
000919;0000;;;;
000920;0000;;63,91;;
000921;0000;;53,65;;
000922;0000;;35,03;;
000923;0000;;;;
000924;0000;;;;
000925;0000;;64,59;;
000926;0000;;;;
000927;0000;;88,1897;;
000928;0000;;;;
000929;0000;;56,48;;
000930;0000;;;;
001001;0000;;;;
001002;0000;;;;
001003;0000;;41,79;;
001004;0000;;;;
001005;0000;;;;
001006;0000;;53,96;;
001007;0000;;;;
001008;0000;;;;
001009;0000;;;;
001010;0000;;62,1299;;
001011;0000;;63,79;;
001012;0000;;63,54;;
001013;0000;;76,8197;;
001014;0000;;;;
001015;0000;;;;
001016;0000;;63,97;;
001017;0000;;;;
001018;0000;;61,09;;
001019;0000;;;;
001020;0000;;66,74;;
001021;0000;;;;
001022;0000;;;;
001023;0000;;62,4399;;
001024;0000;;;;
001025;0000;;66,6797;;
001026;0000;;;;
001027;0000;;68,95;;
001028;0000;;;;
001029;0000;;;;
001030;0000;;84,2599;;
001031;0000;;;;
001101;0000;;;;
