FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
111206;0000;;;17,1137;
111207;0000;;;;
111208;0000;;;;
111209;0000;;;;
111210;0000;;;;
111211;0000;;;;
111212;0000;;;;
111213;0000;;;;
111214;0000;;;;
111215;0000;;;15,4428;
111216;0000;;;;
111217;0000;;;;
111218;0000;;;;
111219;0000;;;;
111220;0000;;;;
111221;0000;;;;
111222;0000;;;;
111223;0000;;;;
111224;0000;;;;
111225;0000;;;;
111226;0000;;;;
111227;0000;;;;
111228;0000;;;;
111229;0000;;;0,0586956;
111230;0000;;;0,135;
111231;0000;;;0,135;
120101;0000;;;0,140666;
120102;0000;;;0,10125;
120103;0000;;;8,72179;
120104;0000;;;12,351;
120105;0000;;;15,5389;
120106;0000;;;11,4305;
120107;0000;;;14,0941;
120108;0000;;;11,6505;
120109;0000;;;12,9607;
120110;0000;;;11,2051;
120111;0000;;;13,0896;
120112;0000;;;12,4012;
120113;0000;;;11,4203;
120114;0000;;;13,3434;
120115;0000;;;11,4022;
120116;0000;;;12,6618;
120117;0000;;;9,42299;
120118;0000;;;10,3253;
120119;0000;;;11,5896;
120120;0000;;;11,3691;
120121;0000;;;11,9332;
120122;0000;;;15,099;
120123;0000;;;12,1469;
120124;0000;;;10,0939;
120125;0000;;;10,183;
120126;0000;;;12,7616;
120127;0000;;;16,0119;
120128;0000;;;11,4763;
120129;0000;;;10,9687;
120130;0000;;;11,8653;
120131;0000;;;12,0188;
120201;0000;;;11,2334;
120202;0000;;;11,0311;
120203;0000;;;13,236;
120204;0000;;;13,5124;
120205;0000;;;19,3637;
120206;0000;;;14,0824;
120207;0000;;;14,9057;
120208;0000;;;13,467;
120209;0000;;;;
120210;0000;;;;
120211;0000;;;9,1852;
120212;0000;;;14,5513;
120213;0000;;;9,26936;
120214;0000;;;12,108;
120215;0000;;;13,7597;
120216;0000;;;14,9346;
120217;0000;;;14,0269;
120218;0000;;;17,1066;
120219;0000;;;;
120220;0000;;;;
120221;0000;;;9,34653;
120222;0000;;;11,2128;
120223;0000;;;;
120224;0000;;;;
120225;0000;;;11,6689;
120226;0000;;;13,8862;
120227;0000;;;11,9904;
120228;0000;;;;
120229;0000;;;;
120301;0000;;;;
120302;0000;;;16,7183;
120303;0000;;;18,7388;
120304;0000;;;16,6956;
120305;0000;;;17,2983;
120306;0000;;;18,6704;
120307;0000;;;14,834;
120308;0000;;;14,6919;
120309;0000;;;12,3565;
120310;0000;;;13,2088;
120311;0000;;;17,2286;
120312;0000;;;13,4427;
120313;0000;;;15,6255;
120314;0000;;;14,6246;
120315;0000;;;13,0176;
120316;0000;;;14,4698;
120317;0000;;;40,3283;
120318;0000;;;10,8562;
120319;0000;;;14,8385;
120320;0000;;;10,0037;
120321;0000;;;;
120322;0000;;;11,3746;
120323;0000;;;;
120324;0000;;;14,5045;
120325;0000;;;15,7909;
120326;0000;;;16,1954;
120327;0000;;;17,2485;
120328;0000;;;15,3692;
120329;0000;;;;
120330;0000;;;15,5162;
120331;0000;;;17,6605;
120401;0000;;;;
120402;0000;;;;
120403;0000;;;;
120404;0000;;;5,85473;
120405;0000;;;9,12082;
120406;0000;;;;
120407;0000;;;;
120408;0000;;;;
120409;0000;;;;
120410;0000;;;11,9829;
120411;0000;;;15,655;
120412;0000;;;13,1875;
120413;0000;;;12,8104;
120414;0000;;;11,0977;
120415;0000;;;12,7852;
120416;0000;;;12,3632;
120417;0000;;;10,4671;
120418;0000;;;13,0316;
120419;0000;;;12,8291;
120420;0000;;;11,8047;
120421;0000;;;16,8721;
120422;0000;;;16,2227;
120423;0000;;;11,7119;
120424;0000;;;12,0851;
120425;0000;;;9,68002;
120426;0000;;;12,378;
120427;0000;;;11,2082;
120428;0000;;;13,2112;
120429;0000;;;13,3633;
120430;0000;;;14,19;
120501;0000;;;17,7833;
120502;0000;;;19,1891;
120503;0000;;;18,8008;
120504;0000;;;21,0332;
120505;0000;;;19,6504;
120506;0000;;;17,175;
120507;0000;;;16,855;
120508;0000;;;14,1558;
120509;0000;;;14,5091;
120510;0000;;;14,989;
120511;0000;;;17,4508;
120512;0000;;;17,6033;
120513;0000;;;16,0391;
120514;0000;;;19,8;
120515;0000;;;2,53237;
120516;0000;;;19,5945;
120517;0000;;;14,366;
120518;0000;;;13,8951;
120519;0000;;;14,3828;
120520;0000;;;;
120521;0000;;;;
120522;0000;;;14,505;
120523;0000;;;20,85;
120524;0000;;;23,1429;
120525;0000;;;20,265;
120526;0000;;;16,8915;
120527;0000;;;13,8972;
120528;0000;;;;
120529;0000;;;16,2354;
120530;0000;;;18,565;
120531;0000;;;21,1977;
120601;0000;;;19,6924;
120602;0000;;;20,1629;
120603;0000;;;20,3228;
120604;0000;;;17,5208;
120605;0000;;;17,0975;
120606;0000;;;16,08;
120607;0000;;;28,1512;
120608;0000;;;26,9925;
120609;0000;;;26,3883;
120610;0000;;;22,8883;
120611;0000;;;20,2669;
120612;0000;;;19,9212;
120613;0000;;;24,3637;
120614;0000;;;21,4927;
120615;0000;;;22,505;
120616;0000;;;17,9321;
120617;0000;;;16,1926;
120618;0000;;;13,783;
120619;0000;;;11,3531;
120620;0000;;;11,3198;
120621;0000;;;11,4166;
120622;0000;;;17,6504;
120623;0000;;;19,7971;
120624;0000;;;19,1654;
120625;0000;;;20,4087;
120626;0000;;;18,6342;
120627;0000;;;17,4191;
120628;0000;;;17,2258;
120629;0000;;;18,1861;
120630;0000;;;15,965;
120701;0000;;;18,6112;
120702;0000;;;15,9599;
120703;0000;;;13,5016;
120704;0000;;;10,4098;
120705;0000;;;14,4233;
120706;0000;;;11,9134;
120707;0000;;;14,8151;
120708;0000;;;14,6441;
120709;0000;;;18,0271;
120710;0000;;;17,9412;
120711;0000;;;16,4904;
120712;0000;;;17,9754;
120713;0000;;;15,1525;
120714;0000;;;14,3061;
120715;0000;;;12,4982;
120716;0000;;;13,4357;
120717;0000;;;18,0262;
120718;0000;;;16,6812;
120719;0000;;;17,1337;
120720;0000;;;18,1721;
120721;0000;;;15,3133;
120722;0000;;;16,0829;
120723;0000;;;17,6483;
120724;0000;;;17,1733;
120725;0000;;;16,7091;
120726;0000;;;15,3594;
120727;0000;;;14,1896;
120728;0000;;;6,77703;
120729;0000;;;13,9225;
120730;0000;;;18,5846;
120731;0000;;;15,7071;
120801;0000;;;16,6787;
120802;0000;;;1,37325;
120803;0000;;;15,9707;
120804;0000;;;12,1615;
120805;0000;;;11,2175;
120806;0000;;;11,422;
120807;0000;;;13,8293;
120808;0000;;;17,7966;
120809;0000;;;17,3579;
120810;0000;;;19,9274;
120811;0000;;;18,1483;
120812;0000;;;15,9889;
120813;0000;;;18,7308;
120814;0000;;;19,1991;
120815;0000;;;17,532;
120816;0000;;;20,3566;
120817;0000;;;17,6229;
120818;0000;;;17,0912;
120819;0000;;;18,859;
120820;0000;;;21,6166;
120821;0000;;;20,7808;
120822;0000;;;16,6483;
120823;0000;;;14,8079;
120824;0000;;;14,0494;
120825;0000;;;16,23;
120826;0000;;;20,0629;
120827;0000;;;20,0854;
120828;0000;;;22,9462;
120829;0000;;;16,2084;
120830;0000;;;13,5231;
120831;0000;;;19,3212;
120901;0000;;;19,1587;
120902;0000;;;20,0166;
120903;0000;;;17,345;
120904;0000;;;14,88;
120905;0000;;;11,4564;
120906;0000;;;20,5878;
120907;0000;;;9,85408;
120908;0000;;;14,3549;
120909;0000;;;17,7969;
120910;0000;;;16,508;
120911;0000;;;16,1633;
120912;0000;;;16,6441;
120913;0000;;;20,08;
120914;0000;;;20,5091;
120915;0000;;;19,0516;
120916;0000;;;18,1304;
120917;0000;;;15,4454;
120918;0000;;;15,4794;
120919;0000;;;13,8072;
120920;0000;;;16,5709;
120921;0000;;;17,8022;
120922;0000;;;23,3587;
120923;0000;;;22,4141;
120924;0000;;;18,7012;
120925;0000;;;17,7346;
120926;0000;;;20,0912;
120927;0000;;;18,2379;
120928;0000;;;15,2362;
120929;0000;;;15,3329;
120930;0000;;;17,4179;
121001;0000;;;14,6144;
121002;0000;;;15,9321;
121003;0000;;;17,3387;
121004;0000;;;16,4974;
121005;0000;;;16,8412;
121006;0000;;;18,4479;
121007;0000;;;14,7442;
121008;0000;;;13,2646;
121009;0000;;;12,1168;
121010;0000;;;20,6112;
121011;0000;;;20,6062;
121012;0000;;;18,3387;
121013;0000;;;17,2341;
121014;0000;;;15,8804;
121015;0000;;;14,4959;
121016;0000;;;19,7241;
121017;0000;;;15,6779;
121018;0000;;;16,2141;
121019;0000;;;19,4258;
121020;0000;;;18,9671;
121021;0000;;;17,6558;
121022;0000;;;15,3616;
121023;0000;;;15,678;
121024;0000;;;15,7632;
121025;0000;;;17,3221;
121026;0000;;;18,9208;
121027;0000;;;17,3325;
121028;0000;;;1,35608;
121029;0000;;;26,3708;
121030;0000;;;19,7408;
121031;0000;;;17,8029;
121101;0000;;;16,4291;
121102;0000;;;21,7875;
121103;0000;;;20,2779;
121104;0000;;;22,9575;
121105;0000;;;21,3904;
121106;0000;;;20,2269;
121107;0000;;;43,9564;
121108;0000;;;41,6599;
121109;0000;;;15,1239;
