FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040301;0000;;1,71;;
040302;0000;;2,45;;
040303;0000;;1,55;;
040304;0000;;2,2;;
040305;0000;;3,34;;
040306;0000;;5,38;;
040307;0000;;4,73;;
040308;0000;;3,26;;
040309;0000;;;;
040310;0000;;4,07999;;
040311;0000;;3,42;;
040312;0000;;2,04;;
040313;0000;;3,5;;
040314;0000;;2,45;;
040315;0000;;;;
040316;0000;;4,89;;
040317;0000;;3,59;;
040318;0000;;0,73;;
040319;0000;;1,71;;
040320;0000;;3,83;;
040321;0000;;1,63;;
040322;0000;;1,55;;
040323;0000;;2,85;;
040324;0000;;1,39;;
040325;0000;;0,73;;
040326;0000;;1,22;;
040327;0000;;2,2;;
040328;0000;;2,04;;
040329;0000;;2,69;;
040330;0000;;6,03;;
040331;0000;;3,34;;
040401;0000;;1,22;;
040402;0000;;3,18;;
040403;0000;;1,79;;
040404;0000;;3,1;;
040405;0000;;6,2;;
040406;0000;;2,61;;
040407;0000;;1,3;;
040408;0000;;1,55;;
040409;0000;;2,61;;
040410;0000;;2,28;;
040411;0000;;5,05;;
040412;0000;;0,9;;
040413;0000;;2,2;;
040414;0000;;3,67;;
040415;0000;;3,34;;
040416;0000;;5,3;;
040417;0000;;9,28998;;
040418;0000;;4,96999;;
040419;0000;;1,47;;
040420;0000;;0,98;;
040421;0000;;2,2;;
040422;0000;;2,53;;
040423;0000;;3,42;;
040424;0000;;0,49;;
040425;0000;;2,61;;
040426;0000;;2,61;;
040427;0000;;5,53999;;
040428;0000;;2,36;;
040429;0000;;0,0799997;;
040430;0000;;0,809999;;
040501;0000;;0,16;;
040502;0000;;0,24;;
040503;0000;;0,49;;
040504;0000;;0,73;;
040505;0000;;1,71;;
040506;0000;;0,65;;
040507;0000;;1,71;;
040508;0000;;0,809999;;
040509;0000;;0,57;;
040510;0000;;0,809999;;
040511;0000;;0,809999;;
040512;0000;;1,06;;
040513;0000;;0,809999;;
040514;0000;;1,3;;
040515;0000;;1,39;;
040516;0000;;1,22;;
040517;0000;;1,3;;
040518;0000;;2,04;;
040519;0000;;1,39;;
040520;0000;;1,3;;
040521;0000;;1,06;;
040522;0000;;0,9;;
040523;0000;;1,14;;
040524;0000;;0,809999;;
040525;0000;;0,65;;
040526;0000;;0,98;;
040527;0000;;1,06;;
040528;0000;;0,98;;
040529;0000;;1,06;;
040530;0000;;0,809999;;
040531;0000;;1,22;;
040601;0000;;1,63;;
040602;0000;;1,71;;
040603;0000;;1,88;;
040604;0000;;1,79;;
040605;0000;;1,63;;
040606;0000;;;;
040607;0000;;;;
040608;0000;;;;
040609;0000;;1,22;;
040610;0000;;0,98;;
040611;0000;;1,39;;
040612;0000;;1,79;;
040613;0000;;1,3;;
040614;0000;;1,71;;
040615;0000;;1,3;;
040616;0000;;2,12;;
040617;0000;;1,22;;
040618;0000;;0,9;;
040619;0000;;1,55;;
040620;0000;;1,96;;
