FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;;7,79976;;
000102;0000;;6,7683;;
000103;0000;;7,4329;;
000104;0000;;6,92249;;
000105;0000;;7,69343;;
000106;0000;;6,79488;;
000107;0000;;7,19363;;
000108;0000;;7,01819;;
000109;0000;;5,64114;;
000110;0000;;7,41164;;
000111;0000;;8,89502;;
000112;0000;;8,42183;;
000113;0000;;7,36378;;
000114;0000;;6,81084;;
000115;0000;;7,23087;;
000116;0000;;6,64069;;
000117;0000;;7,26807;;
000118;0000;;6,75767;;
000119;0000;;9,20871;;
000120;0000;;10,6389;;
000121;0000;;11,7767;;
000122;0000;;7,83167;;
000123;0000;;8,06029;;
000124;0000;;7,18832;;
000125;0000;;7,97522;;
000126;0000;;5,99203;;
000127;0000;;6,32169;;
000128;0000;;5,52415;;
000129;0000;;5,86443;;
000130;0000;;7,24149;;
000131;0000;;5,35934;;
000201;0000;;5,57732;;
000202;0000;;5,04034;;
000203;0000;;6,45992;;
000204;0000;;6,05053;;
000205;0000;;7,89545;;
000206;0000;;7,54456;;
000207;0000;;7,91673;;
000208;0000;;10,3731;;
000209;0000;;8,82059;;
000210;0000;;8,11876;;
000211;0000;;8,10814;;
000212;0000;;7,11921;;
000213;0000;;7,69875;;
000214;0000;;7,25213;;
000215;0000;;9,9637;;
000216;0000;;6,5769;;
000217;0000;;6,75767;;
000218;0000;;7,99648;;
000219;0000;;7,62431;;
000220;0000;;7,59241;;
000221;0000;;7,51266;;
000222;0000;;6,84274;;
000223;0000;;5,16261;;
000224;0000;;6,47056;;
000225;0000;;5,19453;;
000226;0000;;7,41695;;
000227;0000;;7,73595;;
000228;0000;;7,63493;;
000229;0000;;9,02263;;
000301;0000;;14,8764;;
000302;0000;;;;
000303;0000;;10,5326;;
000304;0000;;8,03902;;
000305;0000;;8,71956;;
000306;0000;;10,2189;;
000307;0000;;10,0275;;
000308;0000;;9,13428;;
000309;0000;;8,37398;;
000310;0000;;8,91095;;
000311;0000;;11,0058;;
000312;0000;;7,27872;;
000313;0000;;11,1015;;
000314;0000;;9,18744;;
000315;0000;;8,00179;;
000316;0000;;7,2734;;
000317;0000;;7,56051;;
000318;0000;;7,94331;;
000319;0000;;7,83167;;
000320;0000;;7,70406;;
000321;0000;;9,72977;;
000322;0000;;8,2251;;
000323;0000;;8,49094;;
000324;0000;;9,20871;;
000325;0000;;7,24149;;
000326;0000;;7,62962;;
000327;0000;;11,0324;;
000328;0000;;8,85248;;
000329;0000;;6,646;;
000330;0000;;7,90078;;
000331;0000;;7,84229;;
000401;0000;;6,65133;;
000402;0000;;7,41695;;
000403;0000;;9,549;;
000404;0000;;7,94862;;
000405;0000;;7,92737;;
000406;0000;;8,63448;;
000407;0000;;9,37885;;
000408;0000;;11,1812;;
000409;0000;;8,59726;;
000410;0000;;11,3035;;
000411;0000;;8,59195;;
000412;0000;;5,14668;;
000413;0000;;5,30086;;
000414;0000;;9,02263;;
000415;0000;;9,49582;;
000416;0000;;8,97478;;
000417;0000;;9,15555;;
000418;0000;;10,0275;;
000419;0000;;9,38416;;
000420;0000;;12,3563;;
000421;0000;;9,12897;;
000422;0000;;12,6218;;
000423;0000;;9,31505;;
000424;0000;;8,43245;;
000425;0000;;9,41608;;
000426;0000;;7,05009;;
000427;0000;;7,91673;;
000428;0000;;9,868;;
000429;0000;;9,13959;;
000430;0000;;7,24149;;
000501;0000;;6,69917;;
000502;0000;;10,3837;;
000503;0000;;7,47012;;
000504;0000;;10,4529;;
000505;0000;;10,0381;;
000506;0000;;8,64513;;
000507;0000;;9,40543;;
000508;0000;;10,6815;;
000509;0000;;9,62343;;
000510;0000;;12,9996;;
000511;0000;;10,841;;
000512;0000;;9,76166;;
000513;0000;;7,47012;;
000514;0000;;9,87862;;
000515;0000;;10,8725;;
000516;0000;;16,615;;
