FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040301;0000;;3,25;;
040302;0000;;5,68999;;
040303;0000;;4,21;;
040304;0000;;4,91;;
040305;0000;;7,12;;
040306;0000;;13,25;;
040307;0000;;9,18999;;
040308;0000;;7,93999;;
040309;0000;;;;
040310;0000;;6,46999;;
040311;0000;;5,17999;;
040312;0000;;3,26;;
040313;0000;;4,67;;
040314;0000;;6,27;;
040315;0000;;;;
040316;0000;;8,28998;;
040317;0000;;6,50999;;
040318;0000;;1,48;;
040319;0000;;2,88;;
040320;0000;;8,03;;
040321;0000;;3,17;;
040322;0000;;2,45;;
040323;0000;;3,76;;
040324;0000;;2,66;;
040325;0000;;1,37;;
040326;0000;;2,82;;
040327;0000;;5,43999;;
040328;0000;;4,27;;
040329;0000;;4,66;;
040330;0000;;9,43999;;
040331;0000;;5,52;;
040401;0000;;3,99;;
040402;0000;;10,3;;
040403;0000;;7,06;;
040404;0000;;8,03998;;
040405;0000;;12,47;;
040406;0000;;6,81;;
040407;0000;;3,75;;
040408;0000;;3,46;;
040409;0000;;8,50998;;
040410;0000;;5,37;;
040411;0000;;12,02;;
040412;0000;;2,28;;
040413;0000;;5,92;;
040414;0000;;7,02;;
040415;0000;;11,37;;
040416;0000;;12,37;;
040417;0000;;18,92;;
040418;0000;;11,09;;
040419;0000;;2,85;;
040420;0000;;2,84;;
040421;0000;;6,60999;;
040422;0000;;8,95998;;
040423;0000;;11,35;;
040424;0000;;2,83;;
040425;0000;;5,27;;
040426;0000;;5,75;;
040427;0000;;14,53;;
040428;0000;;7,52;;
040429;0000;;0,19;;
040430;0000;;1,67;;
040501;0000;;0,22;;
040502;0000;;0,35;;
040503;0000;;0,86;;
040504;0000;;1,85;;
040505;0000;;4,42;;
040506;0000;;1,98;;
040507;0000;;3,25;;
040508;0000;;1,08;;
040509;0000;;0,839995;;
040510;0000;;1,19;;
040511;0000;;1,24;;
040512;0000;;1,54;;
040513;0000;;1,13;;
040514;0000;;1,78;;
040515;0000;;1,65;;
040516;0000;;1,65;;
040517;0000;;1,89;;
040518;0000;;2,83;;
040519;0000;;2,02;;
040520;0000;;1,94;;
040521;0000;;1,54;;
040522;0000;;1,75;;
040523;0000;;1,57;;
040524;0000;;1,13;;
040525;0000;;0,919995;;
040526;0000;;1,46;;
040527;0000;;1,65;;
040528;0000;;1,46;;
040529;0000;;1,65;;
040530;0000;;1,61;;
040531;0000;;1,22;;
040601;0000;;2,21;;
040602;0000;;2,3;;
040603;0000;;2,67;;
040604;0000;;2,38;;
040605;0000;;2,11;;
040606;0000;;;;
040607;0000;;;;
040608;0000;;;;
040609;0000;;1,81;;
040610;0000;;1,51;;
040611;0000;;2,08;;
040612;0000;;2,22;;
040613;0000;;1,94;;
040614;0000;;2,4;;
040615;0000;;1,94;;
040616;0000;;2,86;;
040617;0000;;1,75;;
040618;0000;;1,22;;
040619;0000;;2,03;;
040620;0000;;3,18;;
040621;0000;;2,94;;
040622;0000;;3,49;;
040623;0000;;3,6;;
040624;0000;;3,07;;
040625;0000;;1,86;;
040626;0000;;1,72;;
040627;0000;;1,78;;
040628;0000;;3,25;;
040629;0000;;1,75;;
040630;0000;;2,62;;
040701;0000;;2,44;;
040702;0000;;2,17;;
040703;0000;;3,13;;
040704;0000;;3,1;;
040705;0000;;3,16;;
040706;0000;;2,46;;
040707;0000;;2,66;;
040708;0000;;2,27;;
040709;0000;;4,45;;
040710;0000;;4,82;;
040711;0000;;2,3;;
040712;0000;;3,13;;
040713;0000;;2,32;;
040714;0000;;1,78;;
040715;0000;;2,62;;
040716;0000;;1,49;;
040717;0000;;2,29;;
040718;0000;;2,53;;
040719;0000;;2,13;;
040720;0000;;3,3;;
040721;0000;;2,54;;
040722;0000;;2,29;;
040723;0000;;1,73;;
040724;0000;;1,37;;
040725;0000;;1,86;;
040726;0000;;1,67;;
040727;0000;;1,7;;
040728;0000;;2,19;;
040729;0000;;3,99;;
040730;0000;;1,95;;
040731;0000;;2,72;;
040801;0000;;2,21;;
040802;0000;;2,4;;
040803;0000;;1,49;;
040804;0000;;2,13;;
040805;0000;;1,35;;
040806;0000;;1,51;;
040807;0000;;1,24;;
040808;0000;;2,07;;
040809;0000;;1,92;;
040810;0000;;2,51;;
040811;0000;;2,08;;
040812;0000;;1,38;;
040813;0000;;1,3;;
040814;0000;;1,73;;
040815;0000;;1,65;;
040816;0000;;1,57;;
040817;0000;;1,75;;
040818;0000;;1,76;;
040819;0000;;1,57;;
040820;0000;;1,57;;
040821;0000;;1,43;;
040822;0000;;1,78;;
040823;0000;;2,8;;
040824;0000;;2,05;;
040825;0000;;2,1;;
040826;0000;;1,4;;
040827;0000;;1,19;;
040828;0000;;1,57;;
040829;0000;;3,24;;
040830;0000;;1,73;;
040831;0000;;1,43;;
040901;0000;;1,78;;
040902;0000;;2,06;;
040903;0000;;1,41;;
040904;0000;;1,92;;
040905;0000;;2,42;;
040906;0000;;1,86;;
040907;0000;;1,59;;
040908;0000;;1,51;;
040909;0000;;1,11;;
040910;0000;;1,48;;
040911;0000;;1,84;;
040912;0000;;1,53;;
040913;0000;;1,89;;
040914;0000;;1,73;;
040915;0000;;1,83;;
040916;0000;;1,59;;
040917;0000;;2,07;;
040918;0000;;1,95;;
