FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
111215;0000;;;3,96558;
111216;0000;;;;
111217;0000;;;;
111218;0000;;;;
111219;0000;;;;
111220;0000;;;;
111221;0000;;;;
111222;0000;;;;
111223;0000;;;;
111224;0000;;;;
111225;0000;;;;
111226;0000;;;;
111227;0000;;;;
111228;0000;;;;
111229;0000;;;10,9031;
111230;0000;;;29,4444;
111231;0000;;;13,5871;
120101;0000;;;14,6464;
120102;0000;;;13,2794;
120103;0000;;;14,4294;
120104;0000;;;12,8835;
120105;0000;;;12,3129;
120106;0000;;;22,9;
120107;0000;;;12,5427;
120108;0000;;;14,799;
120109;0000;;;11,2614;
120110;0000;;;13,3804;
120111;0000;;;14,9142;
120112;0000;;;14,9802;
120113;0000;;;19,2958;
120114;0000;;;16,3317;
120115;0000;;;16,2558;
120116;0000;;;13,1734;
120117;0000;;;14,6695;
120118;0000;;;17,0737;
120119;0000;;;14,0761;
120120;0000;;;14,7179;
120121;0000;;;27,8988;
120122;0000;;;6,44183;
120123;0000;;;5,58853;
120124;0000;;;5,93037;
120125;0000;;;4,9272;
120126;0000;;;8,82036;
120127;0000;;;21,6981;
120128;0000;;;19,5035;
120129;0000;;;19,7888;
120130;0000;;;13,1658;
120131;0000;;;11,2386;
120201;0000;;;18,4221;
120202;0000;;;20,3327;
120203;0000;;;29,3881;
120204;0000;;;16,2034;
120205;0000;;;12,9745;
120206;0000;;;13,3622;
120207;0000;;;12,004;
120208;0000;;;12,3787;
120209;0000;;;;
120210;0000;;;;
120211;0000;;;12,9881;
120212;0000;;;16,2693;
120213;0000;;;12,3884;
120214;0000;;;9,45258;
120215;0000;;;9,92056;
120216;0000;;;10,5639;
120217;0000;;;16,4446;
120218;0000;;;11,6617;
120219;0000;;;;
120220;0000;;;;
120221;0000;;;13,1377;
120222;0000;;;11,5291;
120223;0000;;;;
120224;0000;;;;
120225;0000;;;7,49055;
120226;0000;;;6,61591;
120227;0000;;;8,64435;
120228;0000;;;;
120229;0000;;;;
120301;0000;;;;
120302;0000;;;12,5112;
120303;0000;;;5,79205;
120304;0000;;;4,85439;
120305;0000;;;5,99121;
120306;0000;;;5,50648;
120307;0000;;;4,41825;
120308;0000;;;6,28517;
120309;0000;;;8,61844;
120310;0000;;;4,57648;
120311;0000;;;6,2601;
120312;0000;;;6,33689;
120313;0000;;;6,09464;
120314;0000;;;8,0208;
120315;0000;;;9,61186;
120316;0000;;;6,85196;
120317;0000;;;11,9479;
120318;0000;;;6,9734;
120319;0000;;;13,9996;
120320;0000;;;3,04804;
120321;0000;;;;
120322;0000;;;8,08737;
120323;0000;;;;
120324;0000;;;5,97775;
120325;0000;;;7,96581;
120326;0000;;;8,32489;
120327;0000;;;6,40805;
120328;0000;;;8,22333;
120329;0000;;;;
120330;0000;;;9,07973;
120331;0000;;;12,1539;
120401;0000;;;;
120402;0000;;;;
120403;0000;;;;
120404;0000;;;7,61723;
120405;0000;;;9,26134;
120406;0000;;;;
120407;0000;;;;
120408;0000;;;;
120409;0000;;;;
120410;0000;;;10,1175;
120411;0000;;;4,65173;
120412;0000;;;4,7261;
120413;0000;;;21,4467;
120414;0000;;;4,55314;
120415;0000;;;10,4538;
120416;0000;;;8,9559;
120417;0000;;;12,5083;
120418;0000;;;9,10309;
120419;0000;;;9,32506;
120420;0000;;;12,6723;
120421;0000;;;8,89375;
120422;0000;;;6,99765;
120423;0000;;;9,50148;
120424;0000;;;6,99251;
120425;0000;;;7,4538;
120426;0000;;;8,28708;
120427;0000;;;12,4725;
120428;0000;;;6,58877;
120429;0000;;;12,6482;
120430;0000;;;15,0766;
120501;0000;;;13,5299;
120502;0000;;;7,56052;
120503;0000;;;8,02362;
120504;0000;;;7,62614;
120505;0000;;;9,04005;
120506;0000;;;11,0881;
120507;0000;;;6,40025;
120508;0000;;;10,5857;
120509;0000;;;6,81445;
120510;0000;;;10,8176;
120511;0000;;;17,9749;
120512;0000;;;7,8186;
120513;0000;;;5,32934;
120514;0000;;;4,10573;
120515;0000;;;6,94612;
120516;0000;;;11,5222;
120517;0000;;;13,1175;
120518;0000;;;9,38014;
120519;0000;;;8,18256;
120520;0000;;;;
120521;0000;;;;
120522;0000;;;9,71297;
120523;0000;;;9,11681;
120524;0000;;;12,4349;
120525;0000;;;18,3656;
120526;0000;;;6,73657;
120527;0000;;;12,816;
120528;0000;;;;
120529;0000;;;14,8093;
120530;0000;;;12,6759;
120531;0000;;;8,53534;
120601;0000;;;7,32027;
120602;0000;;;8,95494;
120603;0000;;;8,97327;
120604;0000;;;9,27768;
120605;0000;;;12,0502;
120606;0000;;;14,2675;
120607;0000;;;8,48753;
120608;0000;;;11,0365;
120609;0000;;;10,1701;
120610;0000;;;15,9626;
120611;0000;;;16,8952;
120612;0000;;;14,2623;
120613;0000;;;9,14861;
120614;0000;;;14,7931;
120615;0000;;;16,4987;
120616;0000;;;11,9932;
120617;0000;;;11,2918;
120618;0000;;;9,11227;
120619;0000;;;13,1482;
120620;0000;;;12,784;
120621;0000;;;9,51674;
120622;0000;;;26,3693;
120623;0000;;;15,8372;
120624;0000;;;15,5259;
120625;0000;;;11,6012;
120626;0000;;;16,9989;
120627;0000;;;13,9682;
120628;0000;;;11,7585;
120629;0000;;;20,8373;
120630;0000;;;15,3941;
120701;0000;;;11,6425;
120702;0000;;;14,8272;
120703;0000;;;19,582;
120704;0000;;;21,4655;
120705;0000;;;15,6345;
120706;0000;;;17,6428;
120707;0000;;;15,3552;
120708;0000;;;18,0259;
120709;0000;;;12,5942;
120710;0000;;;14,8178;
120711;0000;;;19,9162;
120712;0000;;;12,2374;
120713;0000;;;26,4417;
120714;0000;;;21,6053;
120715;0000;;;17,5678;
120716;0000;;;14,6373;
120717;0000;;;19,2836;
120718;0000;;;8,29916;
120719;0000;;;15,4381;
120720;0000;;;17,2695;
120721;0000;;;9,86868;
120722;0000;;;11,1376;
120723;0000;;;11,9645;
120724;0000;;;11,7374;
120725;0000;;;17,7017;
120726;0000;;;22,781;
120727;0000;;;37,4164;
120728;0000;;;22,2773;
120729;0000;;;25,3335;
120730;0000;;;28,8295;
120731;0000;;;20,9026;
120801;0000;;;14,8507;
120802;0000;;;22,3967;
120803;0000;;;29,3128;
120804;0000;;;21,9787;
120805;0000;;;25,145;
120806;0000;;;26,4375;
120807;0000;;;15,7332;
120808;0000;;;21,4507;
120809;0000;;;24,8558;
120810;0000;;;21,0534;
120811;0000;;;20,1392;
120812;0000;;;21,2467;
120813;0000;;;21,6197;
120814;0000;;;15,7676;
120815;0000;;;11,5658;
120816;0000;;;15,7906;
120817;0000;;;18,7443;
120818;0000;;;7,71462;
120819;0000;;;10,6218;
120820;0000;;;13,9198;
120821;0000;;;13,1856;
120822;0000;;;15,5276;
120823;0000;;;13,8038;
120824;0000;;;16,8913;
120825;0000;;;18,5633;
120826;0000;;;12,3453;
120827;0000;;;12,9383;
120828;0000;;;15,5646;
120829;0000;;;15,6371;
120830;0000;;;11,0355;
120831;0000;;;18,2059;
120901;0000;;;8,76971;
120902;0000;;;6,24723;
120903;0000;;;5,80048;
120904;0000;;;7,20526;
120905;0000;;;11,8977;
120906;0000;;;18,8312;
120907;0000;;;19,4003;
120908;0000;;;14,2173;
120909;0000;;;16,055;
120910;0000;;;14,4734;
120911;0000;;;17,0217;
120912;0000;;;16,0486;
120913;0000;;;16,5159;
120914;0000;;;22,4324;
120915;0000;;;17,0425;
120916;0000;;;17,3516;
120917;0000;;;14,3326;
120918;0000;;;12,0891;
120919;0000;;;16,6412;
120920;0000;;;17,5948;
120921;0000;;;11,4224;
120922;0000;;;11,1584;
120923;0000;;;12,1169;
120924;0000;;;7,41625;
120925;0000;;;12,8159;
120926;0000;;;14,6112;
120927;0000;;;15,7653;
120928;0000;;;20,6205;
120929;0000;;;17,1049;
120930;0000;;;15,1063;
121001;0000;;;11,1212;
121002;0000;;;11,082;
121003;0000;;;11,4875;
121004;0000;;;15,8385;
121005;0000;;;22,9026;
121006;0000;;;12,9307;
121007;0000;;;15,7385;
121008;0000;;;11,4453;
121009;0000;;;17,8276;
121010;0000;;;15,122;
121011;0000;;;15,7347;
121012;0000;;;12,9048;
121013;0000;;;7,2218;
121014;0000;;;14,0661;
121015;0000;;;12,3112;
121016;0000;;;15,3637;
121017;0000;;;12,3703;
121018;0000;;;13,3447;
121019;0000;;;10,2774;
121020;0000;;;13,0295;
121021;0000;;;15,7889;
121022;0000;;;15,8418;
121023;0000;;;14,2755;
121024;0000;;;15,5845;
121025;0000;;;9,53932;
121026;0000;;;18,9861;
121027;0000;;;9,28038;
121028;0000;;;8,82712;
121029;0000;;;10,8574;
121030;0000;;;9,05048;
121031;0000;;;9,00343;
121101;0000;;;11,9446;
121102;0000;;;18,2215;
121103;0000;;;14,1201;
121104;0000;;;15,6718;
121105;0000;;;16,3395;
121106;0000;;;12,8969;
121107;0000;;;11,2764;
121108;0000;;;13,2889;
121109;0000;;;14,5119;
121110;0000;;;9,92603;
121111;0000;;;;
121112;0000;;;12,7062;
