FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080101;0000;;2,2;;
080102;0000;;2,61666;;
080103;0000;;10,825;;
080104;0000;;2,94166;;
080105;0000;;6,64998;;
080106;0000;;0,316666;;
080107;0000;;0,474999;;
080108;0000;;0,666666;;
080109;0000;;0;;
080110;0000;;0;;
080111;0000;;0,908333;;
080112;0000;;0,108333;;
080113;0000;;1,45416;;
080114;0000;;1,49166;;
080115;0000;;;;
080116;0000;;2,11666;;
080117;0000;;0,549999;;
080118;0000;;4,55833;;
080119;0000;;4,45833;;
080120;0000;;5,80833;;
080121;0000;;12,5833;;
080122;0000;;13,5667;;
080123;0000;;7,17916;;
080124;0000;;14,8667;;
080125;0000;;14,5791;;
080126;0000;;4,37916;;
080127;0000;;8,72499;;
080128;0000;;5,03749;;
080129;0000;;2,94166;;
080130;0000;;10,875;;
080131;0000;;7,95415;;
080201;0000;;14,6792;;
080202;0000;;8,77083;;
080203;0000;;12,7166;;
080204;0000;;7,19999;;
080205;0000;;4,79583;;
080206;0000;;9,51248;;
080207;0000;;15,7375;;
080208;0000;;14,2542;;
080209;0000;;20,9;;
080210;0000;;10,8833;;
080211;0000;;23,9375;;
080212;0000;;18,7625;;
080213;0000;;;;
080214;0000;;24,4041;;
080215;0000;;39,4083;;
080216;0000;;32,9208;;
080217;0000;;26,075;;
080218;0000;;21,975;;
080219;0000;;14,9875;;
080220;0000;;12,3167;;
080221;0000;;11,3708;;
080222;0000;;37,6957;;
080223;0000;;36,9041;;
080224;0000;;22,6416;;
080225;0000;;24,0238;;
080226;0000;;33,4916;;
080227;0000;;43,8541;;
080228;0000;;45,1916;;
080229;0000;;25,1666;;
080301;0000;;75,604;;
080302;0000;;39,4125;;
080303;0000;;25,5667;;
080304;0000;;30,0875;;
080305;0000;;51,1083;;
080306;0000;;56,85;;
080307;0000;;47,0999;;
080308;0000;;33,3541;;
080309;0000;;34,9083;;
080310;0000;;50,3375;;
080311;0000;;50,725;;
080312;0000;;63,2416;;
080313;0000;;79,0582;;
080314;0000;;41,4083;;
080315;0000;;74,6708;;
080316;0000;;42,4666;;
080317;0000;;32,9208;;
080318;0000;;32,1583;;
080319;0000;;27,475;;
080320;0000;;49,6583;;
080321;0000;;28,9749;;
080322;0000;;21,8041;;
080323;0000;;17,0417;;
080324;0000;;18,875;;
080325;0000;;22,2166;;
080326;0000;;;;
080327;0000;;11,2875;;
080328;0000;;8,44165;;
080329;0000;;11,7083;;
080330;0000;;14,1833;;
080331;0000;;35,0958;;
080401;0000;;38,5791;;
080402;0000;;56,6083;;
080403;0000;;50,5791;;
080404;0000;;52,7874;;
080405;0000;;46,0708;;
080406;0000;;21,1416;;
080407;0000;;25,275;;
080408;0000;;20,9791;;
080409;0000;;20,6083;;
080410;0000;;21,8375;;
080411;0000;;18,9208;;
080412;0000;;28,0208;;
080413;0000;;15,375;;
080414;0000;;0,495833;;
080415;0000;;1,8;;
080416;0000;;16,125;;
080417;0000;;19,0375;;
080418;0000;;11,1083;;
080419;0000;;7,02083;;
080420;0000;;7,26665;;
080421;0000;;25,3916;;
080422;0000;;37,3291;;
080423;0000;;36,3916;;
080424;0000;;13,0333;;
080425;0000;;14,8875;;
080426;0000;;11,3333;;
080427;0000;;11,3167;;
080428;0000;;22,4;;
080429;0000;;28,1625;;
080430;0000;;20,8916;;
080501;0000;;81,0833;;
080502;0000;;23,625;;
080503;0000;;82,7207;;
080504;0000;;40,8458;;
080505;0000;;60,6833;;
080506;0000;;38,6375;;
080507;0000;;32,3958;;
080508;0000;;24,2125;;
080509;0000;;18,975;;
080510;0000;;22,8542;;
080511;0000;;3,95416;;
080512;0000;;25,875;;
080513;0000;;18,1541;;
080514;0000;;30,5875;;
080515;0000;;20,2591;;
080516;0000;;3,34166;;
080517;0000;;4,62083;;
080518;0000;;7,15833;;
080519;0000;;4,31666;;
080520;0000;;5,59166;;
080521;0000;;3,075;;
080522;0000;;19,0368;;
080523;0000;;11,7045;;
080524;0000;;18,26;;
080525;0000;;13,9792;;
080526;0000;;38,575;;
080527;0000;;25,5333;;
080528;0000;;18,4333;;
080529;0000;;28,2041;;
080530;0000;;3,05416;;
080531;0000;;20,5791;;
080601;0000;;29,4749;;
080602;0000;;29,4708;;
080603;0000;;7,32082;;
080604;0000;;3,52608;;
080605;0000;;2,9625;;
080606;0000;;1,09167;;
080607;0000;;9,57082;;
080608;0000;;3,65416;;
080609;0000;;3,48333;;
080610;0000;;0,429166;;
080611;0000;;0,390909;;
080612;0000;;15,2417;;
080613;0000;;5,14583;;
080614;0000;;8,52916;;
080615;0000;;22,3375;;
080616;0000;;16,8666;;
080617;0000;;23,1166;;
080618;0000;;1,39166;;
080619;0000;;17,0042;;
080620;0000;;5,55416;;
080621;0000;;2,025;;
080622;0000;;3,67083;;
080623;0000;;3,19583;;
080624;0000;;4,21666;;
080625;0000;;2,28333;;
080626;0000;;2,44583;;
080627;0000;;5,03333;;
080628;0000;;2,02916;;
080629;0000;;6,86666;;
080630;0000;;4,7913;;
080701;0000;;2,57916;;
080702;0000;;15,3;;
080703;0000;;16,6608;;
080704;0000;;15,9375;;
080705;0000;;19,8833;;
080706;0000;;5,72499;;
080707;0000;;8,09166;;
080708;0000;;42,5541;;
080709;0000;;6,19582;;
080710;0000;;8,29166;;
080711;0000;;34,6749;;
080712;0000;;13,3291;;
080713;0000;;24,8083;;
080714;0000;;2,87083;;
080715;0000;;1,82916;;
080716;0000;;13,8333;;
080717;0000;;22,1833;;
080718;0000;;5,12499;;
080719;0000;;14,1958;;
080720;0000;;21,975;;
080721;0000;;10,3583;;
080722;0000;;51,9666;;
080723;0000;;40,8041;;
080724;0000;;22,9416;;
080725;0000;;4,66666;;
080726;0000;;6,88749;;
080727;0000;;24,6875;;
080728;0000;;11,35;;
080729;0000;;12,3542;;
080730;0000;;5,74166;;
080731;0000;;12,4609;;
080801;0000;;14,489;;
080802;0000;;36,1423;;
080803;0000;;0,722303;;
080804;0000;;8,78061;;
080805;0000;;3,77062;;
080806;0000;;7,83398;;
080807;0000;;10,0566;;
080808;0000;;33,7765;;
080809;0000;;4,06972;;
080810;0000;;7,03213;;
080811;0000;;16,7769;;
080812;0000;;17,1603;;
080813;0000;;32,8962;;
080814;0000;;5,8023;;
080815;0000;;14,8518;;
080816;0000;;8,48151;;
080817;0000;;14,961;;
080818;0000;;2,38473;;
080819;0000;;1,63148;;
080820;0000;;1,6578;;
080821;0000;;5,49683;;
080822;0000;;3,91222;;
080823;0000;;2,87172;;
080824;0000;;4,62816;;
080825;0000;;9,82588;;
080826;0000;;11,008;;
080827;0000;;11,7923;;
080828;0000;;10,6691;;
080829;0000;;7,8567;;
080830;0000;;4,66157;;
080831;0000;;11,0232;;
080901;0000;;30,6333;;
080902;0000;;12,5458;;
080903;0000;;8,91249;;
080904;0000;;11,4958;;
080905;0000;;15,2458;;
080906;0000;;28,7708;;
080907;0000;;8,93748;;
080908;0000;;8,37082;;
080909;0000;;7,49166;;
080910;0000;;8,65909;;
080911;0000;;29,2583;;
080912;0000;;18,0363;;
080913;0000;;7,68749;;
080914;0000;;15,6292;;
080915;0000;;27,8625;;
080916;0000;;15,9792;;
080917;0000;;13,4625;;
080918;0000;;8,65833;;
080919;0000;;14,3792;;
080920;0000;;9,96664;;
080921;0000;;9,80415;;
080922;0000;;20,9083;;
080923;0000;;10,8958;;
080924;0000;;11,7083;;
080925;0000;;10,475;;
080926;0000;;12,5291;;
080927;0000;;12,075;;
080928;0000;;10,6416;;
080929;0000;;8,93748;;
080930;0000;;8,21664;;
081001;0000;;3,55833;;
081002;0000;;2,25833;;
081003;0000;;8,7458;;
081004;0000;;7,14999;;
081005;0000;;10,3208;;
081006;0000;;10,65;;
081007;0000;;6,78749;;
081008;0000;;6,22499;;
081009;0000;;2,0619;;
081010;0000;;2,00833;;
081011;0000;;4,32082;;
081012;0000;;11,9304;;
081013;0000;;2,83478;;
