FECHA (YYMMDD);HORA (HHMM);;
051231;0100;;
051231;0200;;
051231;0300;;
051231;0400;;
051231;0500;;
051231;0600;;
051231;0700;;
051231;0800;;
051231;0900;;
051231;1000;;
051231;1100;;
051231;1200;;
051231;1300;;
051231;1400;;
051231;1500;;
051231;1600;;
051231;1700;;
051231;1800;;
051231;1900;;
051231;2000;;
051231;2100;;
051231;2200;;
051231;2300;1,213;
060101;0000;0,491;
060101;0100;0,0689999;
060101;0200;0,205;
060101;0300;0,31;
060101;0400;0,54;
060101;0500;0,691998;
060101;0600;0,978;
060101;0700;1,034;
060101;0800;0,889;
060101;0900;1,936;
060101;1000;2,704;
060101;1100;2,963;
060101;1200;3,014;
060101;1300;3,005;
060101;1400;3,497;
060101;1500;4,45;
060101;1600;4,878;
060101;1700;4,62199;
060101;1800;3,668;
060101;1900;3,215;
060101;2000;1,617;
060101;2100;1,465;
060101;2200;1,038;
060101;2300;0,398;
060102;0000;0,507998;
060102;0100;0,198;
060102;0200;0,291;
060102;0300;0,978998;
060102;0400;0,559;
060102;0500;0,716;
060102;0600;0,62;
060102;0700;0,504998;
060102;0800;1,263;
060102;0900;2,306;
060102;1000;2,331;
060102;1100;2,741;
060102;1200;3,425;
060102;1300;4,342;
060102;1400;4,224;
060102;1500;4,63599;
060102;1600;4,355;
060102;1700;3,733;
060102;1800;3,615;
060102;1900;2,682;
060102;2000;1,41;
060102;2100;1,112;
060102;2200;0,707998;
060102;2300;0,481;
060103;0000;0,197;
060103;0100;0,333;
060103;0200;0,528998;
060103;0300;0,825;
060103;0400;1,29;
060103;0500;1,216;
060103;0600;1,029;
060103;0700;0,432;
060103;0800;1,036;
060103;0900;1,716;
060103;1000;2,211;
060103;1100;3,418;
060103;1200;3,441;
060103;1300;3,994;
060103;1400;3,913;
060103;1500;4,618;
060103;1600;4,917;
060103;1700;4,559;
060103;1800;3,559;
060103;1900;2,5;
060103;2000;1,694;
060103;2100;1,071;
060103;2200;0,955998;
060103;2300;0,726998;
060104;0000;0,796;
060104;0100;0,592999;
060104;0200;1,131;
060104;0300;0,323;
060104;0400;1,031;
060104;0500;2,277;
060104;0600;3,483;
060104;0700;1,515;
060104;0800;1,678;
060104;0900;2,284;
060104;1000;2,984;
060104;1100;3,477;
060104;1200;3,611;
060104;1300;3,903;
060104;1400;4,744;
060104;1500;4,978;
060104;1600;4,932;
060104;1700;4,286;
060104;1800;3,692;
060104;1900;2,808;
060104;2000;1,761;
060104;2100;0,950998;
060104;2200;0,752;
060104;2300;0,415;
060105;0000;0,513;
060105;0100;0,473;
060105;0200;0,507998;
060105;0300;0,424;
060105;0400;0,997998;
060105;0500;3,683;
060105;0600;3,682;
060105;0700;2,757;
060105;0800;1,021;
060105;0900;1,481;
060105;1000;1,626;
060105;1100;1,832;
060105;1200;1,896;
060105;1300;1,939;
060105;1400;2,103;
060105;1500;2,151;
060105;1600;2,76;
060105;1700;4,222;
060105;1800;3,782;
060105;1900;2,906;
060105;2000;1,329;
060105;2100;1,148;
060105;2200;0,992;
060105;2300;0,201;
060106;0000;0,224;
060106;0100;0,451;
060106;0200;0,298;
060106;0300;0,768998;
060106;0400;0,632998;
060106;0500;0,533998;
060106;0600;0,601;
060106;0700;0,469;
060106;0800;1,122;
060106;0900;1,826;
060106;1000;2,911;
060106;1100;3,447;
060106;1200;4,20599;
060106;1300;4,25;
060106;1400;4,12;
060106;1500;3,734;
060106;1600;3,562;
060106;1700;3,927;
060106;1800;3,958;
060106;1900;3,213;
060106;2000;2,438;
060106;2100;1,382;
060106;2200;0,891;
060106;2300;1,09;
060107;0000;0,868999;
060107;0100;0,585999;
060107;0200;0,054;
060107;0300;0,511;
060107;0400;0,95;
060107;0500;0,394;
060107;0600;0,338;
060107;0700;1,051;
060107;0800;0,971998;
060107;0900;1,369;
060107;1000;1,74;
060107;1100;2,071;
060107;1200;2,442;
060107;1300;3,676;
060107;1400;3,654;
060107;1500;3,61;
060107;1600;3,884;
060107;1700;3,526;
060107;1800;3,123;
060107;1900;2,43;
060107;2000;1,91;
060107;2100;1,713;
060107;2200;1,165;
060107;2300;0,551998;
060108;0000;0,269;
060108;0100;0,288;
060108;0200;0,526999;
060108;0300;0,526999;
060108;0400;0,858;
060108;0500;0,402;
060108;0600;0,53;
060108;0700;0,337;
060108;0800;0,867998;
060108;0900;1,616;
060108;1000;1,77;
060108;1100;1,949;
060108;1200;2,042;
060108;1300;2,214;
060108;1400;2,574;
060108;1500;2,646;
060108;1600;3,009;
060108;1700;3,423;
060108;1800;3,484;
060108;1900;2,735;
060108;2000;1,93;
060108;2100;1,219;
060108;2200;0,943;
060108;2300;0,568998;
060109;0000;0,667998;
060109;0100;0,737;
060109;0200;0,394;
060109;0300;0,568998;
060109;0400;0,526999;
060109;0500;0,371;
060109;0600;0,123;
060109;0700;0,24;
060109;0800;1,271;
060109;0900;1,631;
060109;1000;1,973;
060109;1100;2,206;
060109;1200;2,636;
060109;1300;3,779;
060109;1400;4,44299;
060109;1500;4,81;
060109;1600;4,56699;
060109;1700;4,073;
060109;1800;3,554;
060109;1900;2,764;
060109;2000;1,518;
060109;2100;1,193;
060109;2200;1,307;
060109;2300;0,926998;
060110;0000;0,905998;
060110;0100;0,674;
060110;0200;1,015;
060110;0300;0,608998;
060110;0400;0,44;
060110;0500;0,487;
060110;0600;0,429;
060110;0700;0,724998;
060110;0800;1,433;
060110;0900;1,761;
060110;1000;2,762;
060110;1100;2,986;
060110;1200;3,018;
060110;1300;2,715;
060110;1400;3,017;
060110;1500;3,306;
060110;1600;3,071;
060110;1700;2,602;
060110;1800;2,181;
060110;1900;1,698;
060110;2000;0,683;
060110;2100;0,938998;
060110;2200;1,168;
060110;2300;0,895;
060111;0000;0,502998;
060111;0100;0,797;
060111;0200;0,537998;
060111;0300;0,47;
060111;0400;0,582;
060111;0500;0,457;
060111;0600;0,39;
060111;0700;0,592;
060111;0800;1,028;
060111;0900;1,559;
060111;1000;1,826;
060111;1100;1,979;
060111;1200;2,607;
060111;1300;3,194;
060111;1400;4,382;
060111;1500;4,44199;
060111;1600;4,89899;
060111;1700;4,334;
060111;1800;3,893;
060111;1900;3,629;
060111;2000;2,052;
060111;2100;1,036;
060111;2200;1,242;
060111;2300;1,851;
060112;0000;1,985;
060112;0100;1,583;
060112;0200;1,022;
060112;0300;0,773998;
060112;0400;0,552999;
060112;0500;0,683;
060112;0600;0,483;
060112;0700;0,432;
060112;0800;1,288;
060112;0900;2,503;
060112;1000;3,504;
060112;1100;4,088;
060112;1200;4,905;
060112;1300;5,327;
060112;1400;5,62399;
060112;1500;4,87299;
060112;1600;4,519;
060112;1700;3,912;
060112;1800;3,41;
060112;1900;2,955;
060112;2000;2,174;
060112;2100;1,88;
060112;2200;1,107;
060112;2300;1,088;
060113;0000;0,811998;
060113;0100;0,563998;
060113;0200;0,5;
060113;0300;0,733998;
060113;0400;0,507998;
060113;0500;0,208;
060113;0600;2,868;
060113;0700;2,927;
060113;0800;0,907;
060113;0900;0,988998;
060113;1000;1,954;
060113;1100;1,623;
060113;1200;1,757;
060113;1300;2,078;
060113;1400;2,334;
060113;1500;2,366;
060113;1600;2,886;
060113;1700;3,804;
060113;1800;3,432;
060113;1900;3,027;
060113;2000;2,108;
060113;2100;1,062;
060113;2200;0,901;
060113;2300;0,573;
060114;0000;0,318;
060114;0100;0,198;
060114;0200;0,107;
060114;0300;0,111;
060114;0400;0,04;
060114;0500;0,243;
060114;0600;0,281;
060114;0700;0,282;
060114;0800;0,688;
060114;0900;1,419;
060114;1000;2,038;
060114;1100;2,195;
060114;1200;2,793;
060114;1300;2,994;
060114;1400;3,319;
060114;1500;2,714;
060114;1600;3,265;
060114;1700;2,867;
060114;1800;2,38;
060114;1900;2,262;
060114;2000;1,901;
060114;2100;1,718;
060114;2200;1,103;
060114;2300;0,813;
060115;0000;0,457;
060115;0100;1,045;
060115;0200;1;
060115;0300;0,148;
060115;0400;0,618999;
060115;0500;0,385;
060115;0600;0,404;
060115;0700;0,41;
060115;0800;0,813998;
060115;0900;1,731;
060115;1000;2,844;
060115;1100;2,903;
060115;1200;3,046;
060115;1300;3,104;
060115;1400;3,303;
060115;1500;2,498;
060115;1600;2,405;
060115;1700;2,256;
060115;1800;1,668;
060115;1900;2,435;
060115;2000;1,629;
060115;2100;1,419;
060115;2200;1,01;
060115;2300;0,912998;
060116;0000;0,922;
060116;0100;0,511;
060116;0200;0,46;
060116;0300;0,383;
060116;0400;0,77;
060116;0500;0,214;
060116;0600;0,544;
060116;0700;0,391;
060116;0800;1,279;
060116;0900;1,536;
060116;1000;2,136;
060116;1100;3,461;
060116;1200;3,994;
060116;1300;4,015;
060116;1400;3,598;
060116;1500;3,86;
060116;1600;3,759;
060116;1700;3,87;
060116;1800;3,216;
060116;1900;2,439;
060116;2000;1,235;
060116;2100;0,848;
060116;2200;1,01;
060116;2300;0,875998;
060117;0000;0,383;
060117;0100;0,159;
060117;0200;0,415;
060117;0300;0,405;
060117;0400;0,221;
060117;0500;0,102;
060117;0600;0,422;
060117;0700;0,575;
060117;0800;0,955998;
060117;0900;1,674;
060117;1000;2,784;
060117;1100;3,105;
060117;1200;3,071;
060117;1300;3,157;
060117;1400;3,848;
060117;1500;3,279;
060117;1600;3,362;
060117;1700;3,832;
060117;1800;3,419;
060117;1900;2,521;
060117;2000;2,18;
060117;2100;1,338;
060117;2200;0,827998;
060117;2300;0,660998;
060118;0000;0,695998;
060118;0100;0,202;
060118;0200;0,513;
060118;0300;0,401;
060118;0400;0,428;
060118;0500;0,518998;
060118;0600;0,757998;
060118;0700;0,253;
060118;0800;0,886998;
060118;0900;1,447;
060118;1000;2,261;
060118;1100;2,488;
060118;1200;3,067;
060118;1300;3,844;
060118;1400;4,278;
060118;1500;4,562;
060118;1600;4,029;
060118;1700;3,572;
060118;1800;2,744;
060118;1900;2,379;
060118;2000;1,609;
060118;2100;1,018;
060118;2200;0,461;
060118;2300;0,247;
060119;0000;0,297;
060119;0100;0,236;
060119;0200;0,632998;
060119;0300;0,655;
060119;0400;2,338;
060119;0500;2,127;
060119;0600;0,651999;
060119;0700;0,863;
060119;0800;0,99;
060119;0900;1,552;
060119;1000;2,658;
060119;1100;2,936;
060119;1200;3,178;
060119;1300;3,805;
060119;1400;2,99;
060119;1500;3,606;
060119;1600;3,68;
060119;1700;3,233;
060119;1800;1,99;
060119;1900;1,438;
060119;2000;1,051;
060119;2100;0,773;
060119;2200;0,544998;
060119;2300;0,627;
060120;0000;0,643998;
060120;0100;0,275;
060120;0200;0,608;
060120;0300;0,355;
060120;0400;0,9;
060120;0500;0,931998;
060120;0600;0,301;
060120;0700;0,287;
060120;0800;0,714;
060120;0900;1,558;
060120;1000;1,177;
060120;1100;1,953;
060120;1200;2,272;
060120;1300;2,792;
060120;1400;3,925;
060120;1500;3,589;
060120;1600;2,726;
060120;1700;2,558;
060120;1800;1,634;
060120;1900;1,859;
060120;2000;1,38;
060120;2100;1,093;
060120;2200;0,858;
060120;2300;0,62;
060121;0000;0,471;
060121;0100;0,547998;
060121;0200;0,412;
060121;0300;0,228;
060121;0400;0,258;
060121;0500;0,352;
060121;0600;0,305;
060121;0700;0,309;
060121;0800;0,846998;
060121;0900;1,282;
060121;1000;1,554;
060121;1100;2,209;
060121;1200;2,553;
060121;1300;3,744;
060121;1400;3,848;
060121;1500;3,425;
060121;1600;3,998;
060121;1700;3,428;
060121;1800;2,888;
060121;1900;2,057;
060121;2000;0,99;
060121;2100;0,62;
060121;2200;1,442;
060121;2300;0,794998;
060122;0000;0,922;
060122;0100;0,445;
060122;0200;0,412;
060122;0300;0,863998;
060122;0400;0,655998;
060122;0500;0,238;
060122;0600;0,197;
060122;0700;0,319;
060122;0800;0,806;
060122;0900;1,206;
060122;1000;2,432;
060122;1100;2,267;
060122;1200;3,017;
060122;1300;4,403;
060122;1400;4,369;
060122;1500;4,589;
060122;1600;4,466;
060122;1700;4,312;
060122;1800;2,929;
060122;1900;1,726;
060122;2000;1,592;
060122;2100;0,592;
060122;2200;0,419;
060122;2300;0,584;
060123;0000;0,452;
060123;0100;0,374;
060123;0200;0,359;
060123;0300;0,13;
060123;0400;0,314;
060123;0500;0,582998;
060123;0600;0,344;
060123;0700;0,203;
060123;0800;0,901;
060123;0900;1,289;
060123;1000;2,067;
060123;1100;2,135;
060123;1200;2,659;
060123;1300;3,187;
060123;1400;3,776;
060123;1500;4,02399;
060123;1600;3,97;
060123;1700;3,295;
060123;1800;3,621;
060123;1900;2,496;
060123;2000;2,168;
060123;2100;1,522;
060123;2200;1,237;
060123;2300;0,802999;
060124;0000;0,927999;
060124;0100;0,724;
060124;0200;0,136;
060124;0300;0,757998;
060124;0400;0,472;
060124;0500;0,507998;
060124;0600;0,516;
060124;0700;0,266;
060124;0800;0,787998;
060124;0900;1,474;
060124;1000;2,774;
060124;1100;3,653;
060124;1200;4,644;
060124;1300;4,462;
060124;1400;4,67799;
060124;1500;4,556;
060124;1600;4,783;
060124;1700;4,365;
060124;1800;2,68;
060124;1900;2,193;
060124;2000;1,606;
060124;2100;1,077;
060124;2200;0,549998;
060124;2300;0,665998;
060125;0000;0,568998;
060125;0100;0,245;
060125;0200;0,463;
060125;0300;0,257;
060125;0400;0,184;
060125;0500;0,307;
060125;0600;0,599998;
060125;0700;0,322;
060125;0800;0,646;
060125;0900;1,532;
060125;1000;1,583;
060125;1100;1,745;
060125;1200;2,05;
060125;1300;3,831;
060125;1400;3,724;
060125;1500;3,882;
060125;1600;3,907;
060125;1700;2,775;
060125;1800;2,705;
060125;1900;2,02;
060125;2000;1,335;
