FECHA (YYMMDD);HORA (HHMM);;
190813;0100;;
190813;0200;;
190813;0300;;
190813;0400;;
190813;0500;;
190813;0600;;
190813;0700;;
190813;0800;;
190813;0900;;
190813;1000;;
190813;1100;;
190813;1200;;
190813;1300;;
190813;1400;287,107;
190813;1500;285,289;
190813;1600;278,701;
190813;1700;250,168;
190813;1800;220,417;
190813;1900;189,885;
190813;2000;224,936;
190813;2100;242,279;
190813;2200;265,62;
190813;2300;;
190814;0000;200,819;
190814;0100;178,939;
190814;0200;224,181;
190814;0300;199,004;
190814;0400;290,432;
190814;0500;247,256;
190814;0600;194,974;
190814;0700;172,386;
190814;0800;193,943;
190814;0900;283,759;
190814;1000;271,615;
190814;1100;;
190814;1200;285,397;
190814;1300;296,958;
190814;1400;279,05;
190814;1500;277,544;
190814;1600;268,578;
190814;1700;274,412;
190814;1800;269,007;
190814;1900;279,477;
190814;2000;276,074;
190814;2100;259,163;
190814;2200;277,05;
190814;2300;178,339;
190815;0000;259,682;
190815;0100;285,495;
190815;0200;258,08;
190815;0300;216,39;
190815;0400;138,438;
190815;0500;95,682;
190815;0600;118,561;
190815;0700;119,26;
190815;0800;132,37;
190815;0900;275,47;
190815;1000;283,682;
190815;1100;284,143;
190815;1200;283,046;
190815;1300;278,139;
190815;1400;286,874;
190815;1500;259,238;
190815;1600;245,669;
190815;1700;241,488;
190815;1800;236,055;
190815;1900;235,51;
190815;2000;252,956;
190815;2100;274,586;
190815;2200;270,229;
190815;2300;270,908;
190816;0000;292,515;
190816;0100;260,09;
190816;0200;288,772;
190816;0300;307,462;
190816;0400;195,391;
190816;0500;226,572;
190816;0600;278,887;
190816;0700;291,389;
190816;0800;272,116;
190816;0900;273,714;
190816;1000;273,629;
190816;1100;248,977;
190816;1200;249,977;
190816;1300;260,971;
190816;1400;248,983;
190816;1500;243,205;
190816;1600;238,838;
190816;1700;233,145;
190816;1800;231,999;
190816;1900;229,129;
190816;2000;240,313;
190816;2100;236,569;
190816;2200;241,679;
190816;2300;272,36;
190817;0000;269,547;
190817;0100;300,78;
190817;0200;275,271;
190817;0300;253,599;
190817;0400;275,758;
190817;0500;289,418;
190817;0600;213,615;
190817;0700;83,981;
190817;0800;203,725;
190817;0900;241,4;
190817;1000;240,57;
190817;1100;234,855;
190817;1200;241,477;
190817;1300;235,177;
190817;1400;231,792;
190817;1500;226,115;
190817;1600;225,85;
190817;1700;227,932;
190817;1800;235,595;
190817;1900;240,469;
190817;2000;237,613;
190817;2100;269,892;
190817;2200;262,64;
190817;2300;246,234;
190818;0000;268,984;
190818;0100;227,967;
190818;0200;261,816;
190818;0300;233,442;
190818;0400;106,979;
190818;0500;190,955;
190818;0600;261,343;
