FECHA (YYMMDD);HORA (HHMM);;
190812;0100;;
190812;0200;;
190812;0300;;
190812;0400;;
190812;0500;;
190812;0600;;
190812;0700;;
190812;0800;;
190812;0900;;
190812;1000;;
190812;1100;;
190812;1200;;
190812;1300;;
190812;1400;;
190812;1500;;
190812;1600;;
190812;1700;0;
190812;1800;0;
190812;1900;0;
190812;2000;0;
190812;2100;0;
190812;2200;0;
190812;2300;;
190813;0000;0;
190813;0100;0;
190813;0200;0;
190813;0300;0;
190813;0400;0;
190813;0500;0;
190813;0600;0;
190813;0700;0;
190813;0800;0;
190813;0900;0;
190813;1000;0;
190813;1100;0;
190813;1200;0;
190813;1300;0;
190813;1400;0;
190813;1500;0;
190813;1600;0;
190813;1700;0;
190813;1800;0;
190813;1900;0;
190813;2000;0;
190813;2100;0;
190813;2200;0;
190813;2300;0;
190814;0000;0;
190814;0100;0;
190814;0200;0;
190814;0300;0;
190814;0400;0;
190814;0500;0;
190814;0600;0;
190814;0700;0;
190814;0800;0;
190814;0900;0;
190814;1000;0;
190814;1100;;
190814;1200;0;
190814;1300;0;
190814;1400;0;
190814;1500;0;
190814;1600;0;
190814;1700;0;
190814;1800;0;
190814;1900;0;
190814;2000;0;
190814;2100;0;
190814;2200;0;
190814;2300;0;
190815;0000;0;
190815;0100;0;
190815;0200;0;
190815;0300;0;
190815;0400;0;
190815;0500;0;
190815;0600;0;
190815;0700;0;
190815;0800;0;
190815;0900;0;
190815;1000;0;
190815;1100;0;
190815;1200;0;
190815;1300;0;
190815;1400;0;
190815;1500;0;
190815;1600;0;
190815;1700;0;
190815;1800;0;
190815;1900;0;
190815;2000;0;
190815;2100;0;
190815;2200;0;
190815;2300;0;
190816;0000;0;
190816;0100;0;
190816;0200;0;
190816;0300;0;
190816;0400;0;
190816;0500;0;
190816;0600;0;
190816;0700;0;
190816;0800;0;
190816;0900;0;
190816;1000;0;
190816;1100;0;
190816;1200;0;
190816;1300;0;
190816;1400;0;
190816;1500;0;
190816;1600;0;
190816;1700;0;
190816;1800;0;
190816;1900;0;
190816;2000;0;
190816;2100;0;
190816;2200;0;
190816;2300;0;
190817;0000;;
190817;0100;;
190817;0200;;
190817;0300;;
190817;0400;;
190817;0500;;
190817;0600;;
190817;0700;;
190817;0800;;
190817;0900;;
190817;1000;;
190817;1100;;
190817;1200;;
190817;1300;;
190817;1400;;
190817;1500;;
190817;1600;;
190817;1700;;
190817;1800;;
190817;1900;;
190817;2000;;
190817;2100;;
190817;2200;;
190817;2300;0;
190818;0000;;
190818;0100;;
190818;0200;;
190818;0300;;
190818;0400;;
190818;0500;;
190818;0600;;
190818;0700;;
190818;0800;;
190818;0900;;
190818;1000;;
190818;1100;;
190818;1200;;
190818;1300;;
190818;1400;;
190818;1500;;
190818;1600;;
190818;1700;;
190818;1800;;
190818;1900;;
190818;2000;;
190818;2100;;
190818;2200;;
190818;2300;0;
190819;0000;;
190819;0100;;
190819;0200;;
190819;0300;;
190819;0400;;
190819;0500;;
190819;0600;;
190819;0700;;
190819;0800;;
190819;0900;;
190819;1000;;
190819;1100;;
190819;1200;;
190819;1300;;
190819;1400;;
190819;1500;;
190819;1600;;
190819;1700;;
190819;1800;;
190819;1900;;
190819;2000;;
190819;2100;;
190819;2200;;
190819;2300;0;
190820;0000;;
190820;0100;;
190820;0200;;
190820;0300;;
190820;0400;;
190820;0500;;
190820;0600;;
190820;0700;;
190820;0800;;
190820;0900;;
190820;1000;;
190820;1100;;
190820;1200;;
190820;1300;;
