FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;51;
190804;0000;;;31;
190805;0000;;;42;
190806;0000;;;43;
190807;0000;;;43;
190808;0000;;;41;
190809;0000;;;37;
190810;0000;;;39;
190811;0000;;;36;
190812;0000;;;38;
190813;0000;;;41;
190814;0000;;;31;
190815;0000;;;25;
190816;0000;;;25;
190817;0000;;;29;
190818;0000;;;28;
190819;0000;;;29;
190820;0000;;;28;
190821;0000;;;24;
190822;0000;;;28;
190823;0000;;;24;
190824;0000;;;27;
190825;0000;;;39;
190826;0000;;;38;
190827;0000;;;37;
190828;0000;;;26;
190829;0000;;;30;
190830;0000;;;30;
190831;0000;;;26;
190901;0000;;;28;
190902;0000;;;29;
190903;0000;;;30;
190904;0000;;;35;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;39;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;36;
191020;0000;;;37;
191021;0000;;;35;
191022;0000;;;24;
191023;0000;;;30;
191024;0000;;;34;
191025;0000;;;33;
191026;0000;;;23;
191027;0000;;;25;
191028;0000;;;35;
191029;0000;;;37;
191030;0000;;;30;
191031;0000;;;38;
191101;0000;;;31;
191102;0000;;;27;
191103;0000;;;25;
191104;0000;;;75;
191105;0000;;;29;
191106;0000;;;27;
191107;0000;;;31;
191108;0000;;;27;
191109;0000;;;26;
191110;0000;;;27;
191111;0000;;;32;
191112;0000;;;31;
