FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;21;
190804;0000;;;9;
190805;0000;;;11;
190806;0000;;;17;
190807;0000;;;15;
190808;0000;;;15;
190809;0000;;;8;
190810;0000;;;12;
190811;0000;;;13;
190812;0000;;;14;
190813;0000;;;13;
190814;0000;;;10;
190815;0000;;;10;
190816;0000;;;9;
190817;0000;;;13;
190818;0000;;;11;
190819;0000;;;11;
190820;0000;;;11;
190821;0000;;;11;
190822;0000;;;12;
190823;0000;;;7;
190824;0000;;;9;
190825;0000;;;18;
190826;0000;;;16;
190827;0000;;;14;
190828;0000;;;6;
190829;0000;;;10;
190830;0000;;;9;
190831;0000;;;9;
190901;0000;;;11;
190902;0000;;;9;
190903;0000;;;9;
190904;0000;;;12;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;12;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;10;
191020;0000;;;9;
191021;0000;;;9;
191022;0000;;;7;
191023;0000;;;10;
191024;0000;;;14;
191025;0000;;;12;
191026;0000;;;7;
191027;0000;;;7;
191028;0000;;;13;
191029;0000;;;9;
191030;0000;;;7;
191031;0000;;;8;
191101;0000;;;7;
191102;0000;;;7;
191103;0000;;;7;
191104;0000;;;51;
191105;0000;;;8;
191106;0000;;;7;
191107;0000;;;11;
191108;0000;;;12;
191109;0000;;;;
191110;0000;;;;
191111;0000;;;;
191112;0000;;;;
191113;0000;;;4;
191114;0000;;;1;
191115;0000;;;3;
191116;0000;;;3;
191117;0000;;;5;
191118;0000;;;8;
191119;0000;;;5;
191120;0000;;;4;
191121;0000;;;6;
