FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;17,6534;
190804;0000;;;3,33923;
190805;0000;;;56,5087;
190806;0000;;;8,09027;
190807;0000;;;10,1655;
190808;0000;;;7,63477;
190809;0000;;;13,9346;
190810;0000;;;8,59032;
190811;0000;;;3,23348;
190812;0000;;;10,7439;
190813;0000;;;10,1493;
190814;0000;;;5,17632;
190815;0000;;;7,58475;
190816;0000;;;2,77517;
190817;0000;;;3,4122;
190818;0000;;;6,34334;
190819;0000;;;10,4037;
190820;0000;;;16,0419;
190821;0000;;;3,70531;
190822;0000;;;3,57494;
190823;0000;;;1,86954;
190824;0000;;;9,62404;
190825;0000;;;5,13978;
190826;0000;;;8,67653;
190827;0000;;;8,28343;
190828;0000;;;3,32044;
190829;0000;;;7,40663;
190830;0000;;;120,04;
190831;0000;;;117,126;
190901;0000;;;17,4363;
190902;0000;;;12,1339;
190903;0000;;;11,4716;
190904;0000;;;73,437;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;36,5738;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;19,4217;
191020;0000;;;18,2298;
191021;0000;;;14,0006;
191022;0000;;;6,81371;
191023;0000;;;12,8761;
191024;0000;;;8,41899;
191025;0000;;;19,4904;
191026;0000;;;13,846;
191027;0000;;;17,155;
191028;0000;;;30,5396;
191029;0000;;;26,0725;
191030;0000;;;42,5206;
191031;0000;;;55,1121;
191101;0000;;;34,449;
191102;0000;;;43,0536;
191103;0000;;;28,3002;
191104;0000;;;40,6141;
191105;0000;;;32,0924;
191106;0000;;;15,8571;
191107;0000;;;21,7952;
191108;0000;;;17,7487;
191109;0000;;;23,2057;
191110;0000;;;23,4422;
191111;0000;;;32,0295;
191112;0000;;;41,3552;
191113;0000;;;15,7483;
191114;0000;;;11,4028;
191115;0000;;;39,6505;
191116;0000;;;31,5975;
191117;0000;;;47,4133;
191118;0000;;;55,7109;
191119;0000;;;24,2031;
191120;0000;;;27,8358;
191121;0000;;;30,4688;
191122;0000;;;23,8151;
191123;0000;;;14,1059;
191124;0000;;;28,2905;
191125;0000;;;35,7344;
191126;0000;;;43,0618;
191127;0000;;;24,567;
191128;0000;;;3,56929;
191129;0000;;;0,145648;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;;
191203;0000;;;;
191204;0000;;;;
191205;0000;;;;
191206;0000;;;;
191207;0000;;;;
191208;0000;;;;
191209;0000;;;;
191210;0000;;;;
191211;0000;;;;
191212;0000;;;;
191213;0000;;;;
191214;0000;;;;
191215;0000;;;;
191216;0000;;;;
191217;0000;;;;
191218;0000;;;;
191219;0000;;;;
191220;0000;;;;
191221;0000;;;;
191222;0000;;;;
191223;0000;;;;
191224;0000;;;;
191225;0000;;;;
191226;0000;;;;
191227;0000;;;;
191228;0000;;;;
191229;0000;;;;
191230;0000;;;;
191231;0000;;;;
200101;0000;;;;
200102;0000;;;;
200103;0000;;;;
200104;0000;;;;
200105;0000;;;;
200106;0000;;;;
200107;0000;;;;
200108;0000;;;;
200109;0000;;;;
200110;0000;;;;
200111;0000;;;;
200112;0000;;;;
200113;0000;;;;
200114;0000;;;;
200115;0000;;;;
200116;0000;;;;
