FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;11,8;
190804;0000;;;2,38;
190805;0000;;;21,77;
190806;0000;;;3,77;
190807;0000;;;6,71;
190808;0000;;;4,75;
190809;0000;;;3,7;
190810;0000;;;7,29;
190811;0000;;;2,85;
190812;0000;;;8,76;
190813;0000;;;1,9;
190814;0000;;;3,9;
190815;0000;;;5,71;
190816;0000;;;1,93;
190817;0000;;;2,92;
190818;0000;;;4,8;
190819;0000;;;8,86;
190820;0000;;;5,9;
190821;0000;;;2,1;
190822;0000;;;2,56;
190823;0000;;;0,91;
190824;0000;;;5,24;
190825;0000;;;3,65;
190826;0000;;;7,39;
190827;0000;;;0,69;
190828;0000;;;1,85;
190829;0000;;;4,26;
190830;0000;;;4,65;
190831;0000;;;1,53;
190901;0000;;;4,52;
190902;0000;;;7,31;
190903;0000;;;7,34;
190904;0000;;;24,91;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;0,33;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;11,47;
191020;0000;;;10,74;
191021;0000;;;8,71;
191022;0000;;;2,8;
191023;0000;;;7,2;
191024;0000;;;4,04;
191025;0000;;;6,66;
191026;0000;;;8,02;
191027;0000;;;9,38;
191028;0000;;;14,66;
