FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;6,12964;
190804;0000;;;1,15945;
190805;0000;;;19,6211;
190806;0000;;;2,80912;
190807;0000;;;3,52969;
190808;0000;;;2,65096;
190809;0000;;;4,8384;
190810;0000;;;2,98275;
190811;0000;;;1,12274;
190812;0000;;;3,73052;
190813;0000;;;3,52406;
190814;0000;;;1,79733;
190815;0000;;;2,63359;
190816;0000;;;0,963599;
190817;0000;;;1,18479;
190818;0000;;;2,20255;
190819;0000;;;3,61241;
190820;0000;;;5,57012;
190821;0000;;;1,28657;
190822;0000;;;1,2413;
190823;0000;;;0,649147;
190824;0000;;;3,34168;
190825;0000;;;1,78465;
190826;0000;;;3,01268;
190827;0000;;;2,87619;
190828;0000;;;1,15293;
190829;0000;;;2,57174;
190830;0000;;;41,6807;
190831;0000;;;40,6689;
190901;0000;;;6,05428;
190902;0000;;;4,21317;
190903;0000;;;3,98319;
190904;0000;;;25,499;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;12,6992;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;6,74364;
191020;0000;;;6,32978;
191021;0000;;;4,86134;
191022;0000;;;2,36587;
191023;0000;;;4,47088;
191024;0000;;;2,92326;
191025;0000;;;6,76749;
191026;0000;;;4,80763;
191027;0000;;;5,9566;
191028;0000;;;10,604;
191029;0000;;;9,05296;
191030;0000;;;14,7641;
191031;0000;;;19,1361;
191101;0000;;;11,9615;
191102;0000;;;14,9492;
191103;0000;;;9,82645;
191104;0000;;;14,1021;
191105;0000;;;11,1432;
191106;0000;;;5,50594;
191107;0000;;;7,56776;
191108;0000;;;6,16275;
191109;0000;;;8,05753;
191110;0000;;;8,13965;
191111;0000;;;11,1214;
191112;0000;;;14,3594;
191113;0000;;;5,46815;
191114;0000;;;3,95929;
191115;0000;;;13,7675;
191116;0000;;;10,9714;
191117;0000;;;16,463;
191118;0000;;;19,3441;
191119;0000;;;8,40384;
191120;0000;;;9,66522;
191121;0000;;;10,5795;
191122;0000;;;8,26912;
191123;0000;;;4,89788;
191124;0000;;;9,8231;
191125;0000;;;12,4078;
191126;0000;;;14,952;
191127;0000;;;8,53021;
191128;0000;;;1,23934;
191129;0000;;;0,050572;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;;
191203;0000;;;;
191204;0000;;;;
191205;0000;;;;
191206;0000;;;;
191207;0000;;;;
191208;0000;;;;
191209;0000;;;;
191210;0000;;;;
191211;0000;;;;
191212;0000;;;;
191213;0000;;;;
191214;0000;;;;
191215;0000;;;;
191216;0000;;;;
191217;0000;;;;
191218;0000;;;;
191219;0000;;;;
191220;0000;;;;
191221;0000;;;;
191222;0000;;;;
191223;0000;;;;
191224;0000;;;;
191225;0000;;;;
191226;0000;;;;
191227;0000;;;;
191228;0000;;;;
191229;0000;;;;
191230;0000;;;;
191231;0000;;;;
200101;0000;;;;
200102;0000;;;;
200103;0000;;;;
200104;0000;;;;
200105;0000;;;;
200106;0000;;;;
200107;0000;;;;
200108;0000;;;;
200109;0000;;;;
200110;0000;;;;
200111;0000;;;;
200112;0000;;;;
200113;0000;;;;
200114;0000;;;;
200115;0000;;;;
200116;0000;;;;
200117;0000;;;;
200118;0000;;;;
200119;0000;;;;
200120;0000;;;;
200121;0000;;;;
200122;0000;;;;
200123;0000;;;;
200124;0000;;;;
200125;0000;;;;
200126;0000;;;;
200127;0000;;;;
200128;0000;;;;
200129;0000;;;;
200130;0000;;;;
200131;0000;;;7,65115;
200201;0000;;;5,4013;
200202;0000;;;11,8712;
200203;0000;;;14,569;
200204;0000;;;10,0333;
200205;0000;;;12,545;
200206;0000;;;14,2038;
200207;0000;;;23,9502;
200208;0000;;;15,2282;
200209;0000;;;12,9252;
200210;0000;;;13,9463;
200211;0000;;;18,1623;
200212;0000;;;13,3221;
200213;0000;;;0;
200214;0000;;;0;
200215;0000;;;;
200216;0000;;;;
200217;0000;;;;
200218;0000;;;20,4777;
200219;0000;;;19,1617;
200220;0000;;;17,3235;
200221;0000;;;16,6867;
200222;0000;;;12,5471;
200223;0000;;;19,4004;
200224;0000;;;16,1288;
200225;0000;;;11,4454;
200226;0000;;;38,4376;
200227;0000;;;12,6245;
200228;0000;;;;
200229;0000;;;;
200301;0000;;;;
200302;0000;;;15,8887;
200303;0000;;;11,6046;
200304;0000;;;0;
200305;0000;;;0;
200306;0000;;;;
200307;0000;;;;
200308;0000;;;;
200309;0000;;;0;
200310;0000;;;0;
200311;0000;;;0,241478;
200312;0000;;;0;
200313;0000;;;0;
200314;0000;;;;
200315;0000;;;;
200316;0000;;;;
200317;0000;;;;
200318;0000;;;;
200319;0000;;;;
200320;0000;;;;
200321;0000;;;;
200322;0000;;;;
200323;0000;;;;
200324;0000;;;;
200325;0000;;;;
200326;0000;;;0;
200327;0000;;;0;
200328;0000;;;0;
200329;0000;;;0;
200330;0000;;;;
200331;0000;;;;
200401;0000;;;3,68522;
200402;0000;;;1,92875;
200403;0000;;;7,85674;
200404;0000;;;9,58011;
200405;0000;;;0;
200406;0000;;;3,25551;
200407;0000;;;15,2004;
200408;0000;;;10,9485;
200409;0000;;;18,969;
200410;0000;;;19,3983;
200411;0000;;;19,9775;
200412;0000;;;10,7982;
