FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;11;
190804;0000;;;12;
190805;0000;;;6;
190806;0000;;;11;
190807;0000;;;12;
190808;0000;;;15;
190809;0000;;;22;
190810;0000;;;16;
190811;0000;;;17;
190812;0000;;;15;
190813;0000;;;17;
190814;0000;;;14;
190815;0000;;;14;
190816;0000;;;15;
190817;0000;;;15;
190818;0000;;;15;
190819;0000;;;13;
190820;0000;;;19;
190821;0000;;;15;
190822;0000;;;13;
190823;0000;;;13;
190824;0000;;;11;
190825;0000;;;11;
190826;0000;;;10;
190827;0000;;;13;
190828;0000;;;11;
190829;0000;;;11;
190830;0000;;;11;
190831;0000;;;15;
190901;0000;;;17;
190902;0000;;;16;
190903;0000;;;14;
190904;0000;;;8;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;16;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;15;
191020;0000;;;16;
191021;0000;;;17;
191022;0000;;;20;
191023;0000;;;15;
191024;0000;;;16;
191025;0000;;;21;
191026;0000;;;21;
191027;0000;;;19;
191028;0000;;;18;
191029;0000;;;16;
191030;0000;;;15;
191031;0000;;;11;
191101;0000;;;13;
191102;0000;;;13;
191103;0000;;;14;
191104;0000;;;13;
191105;0000;;;16;
191106;0000;;;17;
191107;0000;;;17;
191108;0000;;;21;
191109;0000;;;18;
191110;0000;;;16;
191111;0000;;;12;
191112;0000;;;11;
191113;0000;;;6;
191114;0000;;;1;
191115;0000;;;16;
191116;0000;;;13;
191117;0000;;;11;
191118;0000;;;8;
191119;0000;;;14;
191120;0000;;;14;
191121;0000;;;13;
191122;0000;;;15;
191123;0000;;;12;
191124;0000;;;10;
191125;0000;;;10;
191126;0000;;;11;
191127;0000;;;12;
191128;0000;;;18;
191129;0000;;;1;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;;
191203;0000;;;;
191204;0000;;;;
191205;0000;;;;
191206;0000;;;;
191207;0000;;;;
191208;0000;;;;
191209;0000;;;;
191210;0000;;;;
191211;0000;;;;
191212;0000;;;;
191213;0000;;;;
191214;0000;;;;
191215;0000;;;;
191216;0000;;;;
191217;0000;;;;
191218;0000;;;;
191219;0000;;;;
191220;0000;;;;
191221;0000;;;;
191222;0000;;;;
191223;0000;;;;
191224;0000;;;;
191225;0000;;;;
191226;0000;;;;
191227;0000;;;;
191228;0000;;;;
191229;0000;;;;
191230;0000;;;;
191231;0000;;;;
200101;0000;;;;
200102;0000;;;;
200103;0000;;;;
200104;0000;;;;
200105;0000;;;;
200106;0000;;;;
200107;0000;;;;
200108;0000;;;;
200109;0000;;;;
200110;0000;;;;
200111;0000;;;;
200112;0000;;;;
200113;0000;;;;
200114;0000;;;;
200115;0000;;;;
200116;0000;;;;
200117;0000;;;;
200118;0000;;;;
200119;0000;;;;
200120;0000;;;;
200121;0000;;;;
200122;0000;;;;
200123;0000;;;;
200124;0000;;;;
200125;0000;;;;
200126;0000;;;;
200127;0000;;;;
200128;0000;;;;
200129;0000;;;;
200130;0000;;;;
200131;0000;;;11;
200201;0000;;;8;
200202;0000;;;9;
200203;0000;;;10;
200204;0000;;;10;
200205;0000;;;9;
200206;0000;;;8;
200207;0000;;;10;
200208;0000;;;9;
200209;0000;;;10;
200210;0000;;;10;
200211;0000;;;10;
200212;0000;;;6;
200213;0000;;;0;
200214;0000;;;0;
200215;0000;;;;
200216;0000;;;;
200217;0000;;;;
200218;0000;;;7;
200219;0000;;;7;
200220;0000;;;7;
200221;0000;;;9;
200222;0000;;;9;
200223;0000;;;7;
200224;0000;;;8;
200225;0000;;;12;
200226;0000;;;7;
200227;0000;;;7;
200228;0000;;;;
200229;0000;;;;
200301;0000;;;;
