FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190803;0000;;;3,05;
190804;0000;;;1,79;
190805;0000;;;5,73;
190806;0000;;;2,42;
190807;0000;;;2,39;
190808;0000;;;2,35;
190809;0000;;;5,13;
190810;0000;;;2,48;
190811;0000;;;2,26;
190812;0000;;;3,9;
190813;0000;;;5,4;
190814;0000;;;2,52;
190815;0000;;;2,98;
190816;0000;;;2,73;
190817;0000;;;2,93;
190818;0000;;;3,28;
190819;0000;;;3,05;
190820;0000;;;5,49;
190821;0000;;;2,72;
190822;0000;;;2,72;
190823;0000;;;2,29;
190824;0000;;;2,92;
190825;0000;;;2,76;
190826;0000;;;2,68;
190827;0000;;;5,04;
190828;0000;;;1,91;
190829;0000;;;2,55;
190830;0000;;;2,98;
190831;0000;;;1,9;
190901;0000;;;3,03;
190902;0000;;;2,89;
190903;0000;;;2,81;
190904;0000;;;5,04;
190905;0000;;;;
190906;0000;;;;
190907;0000;;;;
190908;0000;;;1,7;
190909;0000;;;;
190910;0000;;;;
190911;0000;;;;
190912;0000;;;;
190913;0000;;;;
190914;0000;;;;
190915;0000;;;;
190916;0000;;;;
190917;0000;;;;
190918;0000;;;;
190919;0000;;;;
190920;0000;;;;
190921;0000;;;;
190922;0000;;;;
190923;0000;;;;
190924;0000;;;;
190925;0000;;;;
190926;0000;;;;
190927;0000;;;;
190928;0000;;;;
190929;0000;;;;
190930;0000;;;;
191001;0000;;;;
191002;0000;;;;
191003;0000;;;;
191004;0000;;;;
191005;0000;;;;
191006;0000;;;;
191007;0000;;;;
191008;0000;;;;
191009;0000;;;;
191010;0000;;;;
191011;0000;;;;
191012;0000;;;;
191013;0000;;;;
191014;0000;;;;
191015;0000;;;;
191016;0000;;;;
191017;0000;;;;
191018;0000;;;;
191019;0000;;;3,95;
191020;0000;;;4,17;
191021;0000;;;4,19;
191022;0000;;;3,27;
191023;0000;;;4,17;
191024;0000;;;3,48;
191025;0000;;;6,84;
191026;0000;;;3,66;
191027;0000;;;3,83;
191028;0000;;;7,77;
191029;0000;;;3,41;
191030;0000;;;4,16;
191031;0000;;;4,7;
191101;0000;;;2,75;
191102;0000;;;3,46;
191103;0000;;;2,76;
191104;0000;;;3,91;
191105;0000;;;3,36;
191106;0000;;;2,89;
191107;0000;;;3,9;
191108;0000;;;5,63;
191109;0000;;;3,79;
191110;0000;;;3,72;
191111;0000;;;3,7;
191112;0000;;;3,86;
191113;0000;;;1,77;
191114;0000;;;0,74;
191115;0000;;;5,85;
191116;0000;;;3,55;
191117;0000;;;3,79;
191118;0000;;;5,48;
191119;0000;;;3,08;
191120;0000;;;2,49;
191121;0000;;;2,61;
191122;0000;;;8,57;
191123;0000;;;6,44;
191124;0000;;;6,67;
191125;0000;;;6,56;
