FECHA (YYMMDD);HORA (HHMM);;
190812;0100;;
190812;0200;;
190812;0300;;
190812;0400;;
190812;0500;;
190812;0600;;
190812;0700;;
190812;0800;;
190812;0900;;
190812;1000;;
190812;1100;;
190812;1200;;
190812;1300;;
190812;1400;;
190812;1500;;
190812;1600;;
190812;1700;1,43341;
190812;1800;0,886319;
190812;1900;0,619275;
190812;2000;0,631382;
190812;2100;0,893981;
190812;2200;0,880966;
190812;2300;;
190813;0000;0,978871;
190813;0100;1,28362;
190813;0200;1,07239;
190813;0300;1,45156;
190813;0400;1,0646;
190813;0500;0,594936;
190813;0600;0,624605;
190813;0700;0,885436;
190813;0800;0,797334;
190813;0900;1,34736;
190813;1000;1,86414;
190813;1100;2,33416;
190813;1200;2,74086;
190813;1300;3,01874;
190813;1400;2,66994;
190813;1500;2,3697;
190813;1600;1,81103;
190813;1700;1,69987;
190813;1800;1,68128;
190813;1900;1,61227;
190813;2000;1,65861;
190813;2100;1,50609;
190813;2200;1,53922;
190813;2300;1,34228;
190814;0000;1,4462;
190814;0100;1,61662;
190814;0200;0,943297;
190814;0300;1,07157;
190814;0400;0,935873;
190814;0500;0,39372;
190814;0600;0,395406;
190814;0700;0,78033;
190814;0800;1,1985;
190814;0900;1,97444;
190814;1000;2,18678;
190814;1100;;
190814;1200;2,19908;
190814;1300;2,23819;
190814;1400;2,10998;
190814;1500;1,82261;
190814;1600;1,75455;
190814;1700;1,8355;
190814;1800;1,42218;
190814;1900;1,27342;
190814;2000;1,30356;
190814;2100;1,00366;
190814;2200;1,24857;
190814;2300;1,45526;
190815;0000;0,958808;
190815;0100;1,03304;
190815;0200;0,653542;
190815;0300;0,935949;
190815;0400;0,776611;
190815;0500;1,02095;
190815;0600;1,54469;
190815;0700;1,76347;
190815;0800;1,06223;
190815;0900;1,4919;
190815;1000;2,02306;
190815;1100;2,11054;
190815;1200;2,20368;
190815;1300;2,22548;
190815;1400;2,64337;
190815;1500;3,17897;
190815;1600;3,11432;
190815;1700;3,12692;
190815;1800;2,71295;
190815;1900;2,49562;
190815;2000;1,74727;
190815;2100;1,61742;
190815;2200;1,23776;
190815;2300;0,564896;
190816;0000;0,833589;
190816;0100;0,795195;
190816;0200;1,0226;
190816;0300;1,01515;
190816;0400;1,00734;
190816;0500;0,400866;
190816;0600;0,597182;
190816;0700;0,909963;
190816;0800;1,07517;
190816;0900;1,60801;
190816;1000;2,08332;
190816;1100;2,32904;
190816;1200;2,75157;
190816;1300;2,85587;
190816;1400;2,97662;
190816;1500;2,82087;
190816;1600;3,17756;
190816;1700;2,90225;
190816;1800;2,64473;
190816;1900;2,38601;
190816;2000;2,13647;
190816;2100;1,99093;
190816;2200;2,12729;
190816;2300;0,989455;
190817;0000;1,02525;
190817;0100;0,920603;
190817;0200;0,584109;
190817;0300;0,579715;
190817;0400;0,619855;
190817;0500;0,588463;
190817;0600;0,546113;
190817;0700;1,17396;
190817;0800;1,84129;
190817;0900;3,04847;
190817;1000;3,35951;
190817;1100;3,23696;
190817;1200;2,98407;
190817;1300;3,0651;
190817;1400;3,37265;
190817;1500;3,44848;
190817;1600;3,28269;
190817;1700;3,26181;
190817;1800;2,68443;
190817;1900;1,84626;
190817;2000;1,15481;
190817;2100;1,36669;
190817;2200;1,21491;
190817;2300;1,38412;
190818;0000;0,54871;
190818;0100;0,439244;
190818;0200;0,505771;
190818;0300;0,70987;
190818;0400;0,916664;
190818;0500;0,558218;
190818;0600;0,613509;
190818;0700;0,433564;
