FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;0,9;
190326;0000;;;0,55;
190327;0000;;;0,34;
190328;0000;;;0,31;
190329;0000;;;0,4;
190330;0000;;;0,47;
190331;0000;;;0,41;
190401;0000;;;0,29;
190402;0000;;;0,29;
190403;0000;;;0,58;
190404;0000;;;0,21;
190405;0000;;;0,28;
190406;0000;;;0,33;
190407;0000;;;0,37;
190408;0000;;;0,41;
190409;0000;;;0,68;
190410;0000;;;0,27;
190411;0000;;;0,43;
190412;0000;;;0,49;
190413;0000;;;0,37;
190414;0000;;;0,31;
190415;0000;;;0,97;
190416;0000;;;0,71;
190417;0000;;;0,62;
190418;0000;;;0,51;
190419;0000;;;0,47;
190420;0000;;;0,47;
190421;0000;;;0,64;
190422;0000;;;1,26;
190423;0000;;;0,58;
190424;0000;;;0,68;
190425;0000;;;0,75;
190426;0000;;;0,97;
190427;0000;;;0,71;
190428;0000;;;0,43;
190429;0000;;;0,82;
190430;0000;;;0,48;
190501;0000;;;0,49;
190502;0000;;;0,3;
190503;0000;;;0,29;
190504;0000;;;0,46;
190505;0000;;;0,74;
190506;0000;;;1,3;
190507;0000;;;0,69;
190508;0000;;;0,54;
190509;0000;;;0,92;
190510;0000;;;0,96;
190511;0000;;;0,93;
190512;0000;;;0,48;
190513;0000;;;0,86;
190514;0000;;;0,96;
190515;0000;;;0,89;
190516;0000;;;0,67;
190517;0000;;;0,73;
190518;0000;;;0,92;
190519;0000;;;0,72;
190520;0000;;;1,6;
190521;0000;;;0,92;
190522;0000;;;1,1;
190523;0000;;;1,5;
190524;0000;;;1,97;
190525;0000;;;1,58;
190526;0000;;;1,8;
190527;0000;;;0,8;
190528;0000;;;1,57;
190529;0000;;;0,99;
190530;0000;;;0,52;
190531;0000;;;0,55;
190601;0000;;;0,44;
190602;0000;;;0,81;
190603;0000;;;0,82;
190604;0000;;;0,6;
190605;0000;;;0,64;
190606;0000;;;0,99;
190607;0000;;;1,22;
190608;0000;;;1,15;
190609;0000;;;0,92;
190610;0000;;;1,55;
190611;0000;;;1,21;
190612;0000;;;0,66;
190613;0000;;;0,51;
190614;0000;;;0,58;
190615;0000;;;0,77;
190616;0000;;;0,87;
190617;0000;;;1,26;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;0,86;
190622;0000;;;0,82;
190623;0000;;;;
190624;0000;;;;
190625;0000;;;;
190626;0000;;;;
190627;0000;;;;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;0,62;
190711;0000;;;0,6;
190712;0000;;;0,71;
190713;0000;;;0,48;
190714;0000;;;0,64;
190715;0000;;;1,11;
190716;0000;;;0,69;
190717;0000;;;0,61;
190718;0000;;;1,17;
190719;0000;;;0,48;
190720;0000;;;0,35;
190721;0000;;;0,49;
190722;0000;;;0,38;
190723;0000;;;0,26;
190724;0000;;;0,67;
190725;0000;;;1,27;
190726;0000;;;1,71;
190727;0000;;;0,69;
190728;0000;;;0,37;
190729;0000;;;0,31;
190730;0000;;;0,57;
190731;0000;;;0,82;
190801;0000;;;0,6;
190802;0000;;;0,36;
190803;0000;;;0,89;
190804;0000;;;0,76;
190805;0000;;;0,47;
190806;0000;;;0,78;
190807;0000;;;0,41;
190808;0000;;;0,49;
190809;0000;;;0,84;
190810;0000;;;0,79;
190811;0000;;;0,51;
190812;0000;;;0,48;
190813;0000;;;0,65;
190814;0000;;;0,89;
190815;0000;;;0,76;
190816;0000;;;1,24;
190817;0000;;;0,78;
190818;0000;;;1,43;
190819;0000;;;1,28;
190820;0000;;;1,13;
190821;0000;;;0,93;
190822;0000;;;0,98;
190823;0000;;;1,49;
190824;0000;;;1,42;
190825;0000;;;0,81;
190826;0000;;;1,33;
190827;0000;;;0,79;
190828;0000;;;0,53;
190829;0000;;;0,58;
190830;0000;;;0,64;
190831;0000;;;0,42;
190901;0000;;;0,43;
190902;0000;;;0,28;
190903;0000;;;1,37;
190904;0000;;;0,96;
190905;0000;;;0,52;
190906;0000;;;0,6;
190907;0000;;;0,56;
190908;0000;;;0,55;
190909;0000;;;0,41;
190910;0000;;;1,1;
190911;0000;;;0,69;
190912;0000;;;0,67;
190913;0000;;;0,71;
190914;0000;;;0,35;
190915;0000;;;0,27;
190916;0000;;;0,68;
190917;0000;;;0,12;
190918;0000;;;0,38;
190919;0000;;;0,38;
190920;0000;;;0,34;
190921;0000;;;0,23;
190922;0000;;;0,29;
190923;0000;;;0,67;
190924;0000;;;0,79;
190925;0000;;;0,27;
190926;0000;;;0,32;
190927;0000;;;0,34;
190928;0000;;;0,33;
190929;0000;;;0,29;
190930;0000;;;0,88;
191001;0000;;;0,29;
191002;0000;;;0,2;
191003;0000;;;0,45;
191004;0000;;;0,43;
191005;0000;;;0,43;
191006;0000;;;0,27;
191007;0000;;;0,88;
191008;0000;;;0,3;
191009;0000;;;0,44;
191010;0000;;;0,38;
191011;0000;;;0,33;
191012;0000;;;0,22;
191013;0000;;;0,2;
191014;0000;;;0,87;
191015;0000;;;0,35;
191016;0000;;;0,32;
191017;0000;;;0,27;
191018;0000;;;0,37;
191019;0000;;;0,35;
191020;0000;;;0,29;
191021;0000;;;0,19;
191022;0000;;;0,4;
191023;0000;;;0,32;
191024;0000;;;0,23;
191025;0000;;;0,32;
191026;0000;;;0,29;
191027;0000;;;0,26;
191028;0000;;;0,87;
191029;0000;;;0,4;
191030;0000;;;0,42;
191031;0000;;;0,35;
191101;0000;;;0,39;
191102;0000;;;0,18;
191103;0000;;;0,25;
191104;0000;;;0,78;
191105;0000;;;0,18;
191106;0000;;;0,22;
191107;0000;;;0,2;
191108;0000;;;0,25;
191109;0000;;;0,2;
191110;0000;;;;
191111;0000;;;0,83;
191112;0000;;;0,22;
191113;0000;;;0,75;
191114;0000;;;0,26;
191115;0000;;;0,27;
191116;0000;;;0,26;
191117;0000;;;0,23;
191118;0000;;;0,74;
191119;0000;;;0,32;
191120;0000;;;0,22;
191121;0000;;;0,18;
191122;0000;;;0,24;
191123;0000;;;0,28;
191124;0000;;;0,22;
191125;0000;;;0,27;
191126;0000;;;0,27;
191127;0000;;;0,21;
191128;0000;;;0,25;
191129;0000;;;0,23;
191130;0000;;;0,18;
191201;0000;;;0,19;
191202;0000;;;0,7;
191203;0000;;;0,09;
191204;0000;;;0,12;
191205;0000;;;0,13;
191206;0000;;;0,15;
191207;0000;;;0,15;
