FECHA (YYMMDD);HORA (HHMM);;
190324;0100;;
190324;0200;;
190324;0300;;
190324;0400;;
190324;0500;;
190324;0600;;
190324;0700;315;
190324;0800;320,6;
190324;0900;315,7;
190324;1000;141,2;
190324;1100;136,6;
190324;1200;126,1;
190324;1300;134,3;
190324;1400;138,1;
190324;1500;141,4;
190324;1600;136,4;
190324;1700;138,1;
190324;1800;138,9;
190324;1900;141;
190324;2000;144,3;
190324;2100;148,4;
190324;2200;147,5;
190324;2300;155,2;
190325;0000;134,9;
190325;0100;330,2;
190325;0200;282,5;
190325;0300;244,2;
190325;0400;154,2;
190325;0500;238,2;
190325;0600;296,9;
190325;0700;154,9;
190325;0800;139,5;
190325;0900;129,5;
190325;1000;125,7;
190325;1100;116,8;
190325;1200;130,7;
190325;1300;127,7;
190325;1400;113,8;
190325;1500;91,5;
190325;1600;109,8;
190325;1700;112,5;
190325;1800;126,7;
190325;1900;178,5;
190325;2000;269,1;
190325;2100;336,6;
190325;2200;336,6;
190325;2300;319,3;
190326;0000;309,3;
190326;0100;325,4;
190326;0200;333,2;
190326;0300;62;
190326;0400;332,8;
190326;0500;307,4;
190326;0600;342,5;
190326;0700;330,2;
190326;0800;101,4;
190326;0900;113,4;
190326;1000;138,3;
190326;1100;135,3;
190326;1200;140,1;
190326;1300;114,2;
190326;1400;132,4;
190326;1500;137,8;
190326;1600;135;
190326;1700;175,5;
190326;1800;171,8;
190326;1900;298,5;
190326;2000;311;
190326;2100;318,5;
190326;2200;157,5;
190326;2300;83,8;
190327;0000;118,2;
190327;0100;358,1;
190327;0200;323,7;
190327;0300;328;
190327;0400;324;
190327;0500;342,1;
190327;0600;356;
190327;0700;5,922;
190327;0800;14,38;
190327;0900;40,13;
190327;1000;13,43;
190327;1100;358,6;
190327;1200;8,7;
190327;1300;332,4;
190327;1400;329,9;
190327;1500;353,4;
190327;1600;350,6;
190327;1700;315,1;
190327;1800;326,8;
190327;1900;301,9;
190327;2000;309,1;
190327;2100;309,5;
190327;2200;311,6;
190327;2300;262,7;
190328;0000;229,4;
190328;0100;149,9;
190328;0200;238,4;
190328;0300;322,4;
190328;0400;1,626;
190328;0500;123,6;
190328;0600;238,1;
190328;0700;268,8;
190328;0800;297,2;
190328;0900;315,4;
190328;1000;325,9;
190328;1100;310,4;
190328;1200;304,3;
190328;1300;351,8;
190328;1400;55,18;
190328;1500;132,4;
190328;1600;146,5;
190328;1700;140,5;
190328;1800;146;
190328;1900;142,8;
190328;2000;145,4;
190328;2100;144,5;
190328;2200;115,9;
190328;2300;264,9;
190329;0000;270,2;
190329;0100;288,9;
190329;0200;281,5;
190329;0300;249,7;
190329;0400;325,2;
190329;0500;311,3;
190329;0600;284,6;
190329;0700;296;
190329;0800;306,1;
190329;0900;314,4;
190329;1000;136;
190329;1100;116,9;
190329;1200;97;
190329;1300;87,4;
190329;1400;128,6;
190329;1500;122,9;
190329;1600;117,7;
190329;1700;90,1;
190329;1800;149,6;
190329;1900;137,4;
190329;2000;135,6;
190329;2100;137,9;
190329;2200;140;
190329;2300;141,6;
190330;0000;213,9;
190330;0100;132,7;
190330;0200;111,5;
190330;0300;116,6;
190330;0400;284,1;
190330;0500;70,4401;
190330;0600;279,1;
190330;0700;307,3;
190330;0800;256,4;
190330;0900;156,5;
190330;1000;133,4;
190330;1100;146;
190330;1200;132;
190330;1300;123;
190330;1400;124,5;
190330;1500;84,2;
190330;1600;66,84;
190330;1700;109,8;
190330;1800;244,7;
190330;1900;284,1;
190330;2000;298,6;
190330;2100;310,9;
190330;2200;216;
190330;2300;297,8;
190331;0000;313,3;
190331;0100;332;
190331;0200;172,4;
190331;0300;311,6;
190331;0400;66,49;
190331;0500;159,2;
190331;0600;274,8;
190331;0700;290,7;
190331;0800;325,4;
190331;0900;307,1;
190331;1000;316,7;
190331;1100;304,3;
190331;1200;343,6;
190331;1300;359,3;
190331;1400;340,2;
190331;1500;355;
190331;1600;340,5;
190331;1700;344,1;
190331;1800;294,5;
190331;1900;274,7;
190331;2000;308,4;
190331;2100;263,9;
190331;2200;327,7;
190331;2300;320,9;
190401;0000;160;
190401;0100;124,6;
190401;0200;135,4;
190401;0300;175,8;
190401;0400;272,2;
190401;0500;309,1;
190401;0600;128,3;
190401;0700;134,3;
190401;0800;217,7;
190401;0900;270,9;
190401;1000;177,4;
190401;1100;127,6;
190401;1200;162,2;
190401;1300;133,4;
190401;1400;130,2;
190401;1500;132,6;
190401;1600;133,6;
190401;1700;142,1;
190401;1800;133,3;
190401;1900;132,6;
190401;2000;128,5;
190401;2100;103,1;
190401;2200;149,5;
190401;2300;150,9;
190402;0000;150,1;
190402;0100;149,8;
190402;0200;186,7;
190402;0300;183,4;
190402;0400;70,88;
190402;0500;8,12;
190402;0600;67,14;
190402;0700;125,9;
190402;0800;169,1;
190402;0900;151;
190402;1000;136,7;
190402;1100;138,3;
190402;1200;137,3;
190402;1300;136,3;
190402;1400;130,5;
190402;1500;123,2;
190402;1600;125,4;
190402;1700;128,3;
190402;1800;145,8;
190402;1900;145;
190402;2000;149,8;
190402;2100;147,8;
190402;2200;145,8;
190402;2300;143,4;
190403;0000;151,2;
190403;0100;148,4;
190403;0200;309,3;
190403;0300;317,2;
190403;0400;313,5;
190403;0500;313,8;
190403;0600;313,2;
190403;0700;302,3;
190403;0800;322,5;
190403;0900;34,42;
190403;1000;330,9;
190403;1100;331,5;
190403;1200;339,1;
190403;1300;350,7;
190403;1400;299,3;
190403;1500;294,7;
190403;1600;296,9;
190403;1700;308,4;
190403;1800;300,1;
190403;1900;303,4;
190403;2000;309,6;
190403;2100;308,9;
190403;2200;228,4;
190403;2300;239;
190404;0000;24,81;
190404;0100;321,2;
190404;0200;328,8;
190404;0300;308,4;
190404;0400;250,9;
190404;0500;341,4;
190404;0600;35,7;
190404;0700;160,2;
190404;0800;102,5;
190404;0900;126,8;
190404;1000;147,5;
190404;1100;144,6;
190404;1200;135,8;
190404;1300;138,7;
190404;1400;135,8;
190404;1500;141,1;
190404;1600;154,1;
190404;1700;163,1;
190404;1800;164,3;
190404;1900;157,5;
190404;2000;151,3;
190404;2100;146,2;
190404;2200;144,6;
190404;2300;136,7;
190405;0000;136,2;
190405;0100;138,5;
190405;0200;149,3;
190405;0300;147,9;
190405;0400;209,2;
190405;0500;151,5;
190405;0600;144,7;
190405;0700;263,4;
190405;0800;156,4;
190405;0900;179,7;
190405;1000;135,7;
190405;1100;133,6;
190405;1200;135,6;
190405;1300;121,4;
190405;1400;112,6;
190405;1500;134,2;
190405;1600;128,6;
190405;1700;139,3;
190405;1800;147,8;
190405;1900;127,5;
190405;2000;130,2;
190405;2100;129,9;
190405;2200;135,8;
190405;2300;137,8;
190406;0000;130,5;
190406;0100;147,2;
190406;0200;141;
190406;0300;143,9;
190406;0400;140,3;
190406;0500;216,7;
190406;0600;323,3;
190406;0700;302,3;
190406;0800;126,8;
190406;0900;132,8;
190406;1000;140;
190406;1100;130,4;
190406;1200;140,3;
190406;1300;133,7;
190406;1400;130,9;
190406;1500;136,3;
190406;1600;137,2;
190406;1700;135,1;
190406;1800;141,4;
190406;1900;16,92;
190406;2000;283,8;
190406;2100;299,9;
190406;2200;328,9;
190406;2300;309,8;
190407;0000;296,6;
190407;0100;310,1;
190407;0200;293,5;
190407;0300;312,9;
190407;0400;282,5;
190407;0500;261,4;
190407;0600;273,7;
190407;0700;333,8;
190407;0800;331,3;
190407;0900;128,8;
190407;1000;148,5;
190407;1100;144,7;
190407;1200;132,7;
190407;1300;126,2;
190407;1400;129,3;
190407;1500;119;
190407;1600;111;
190407;1700;137,7;
190407;1800;145,4;
190407;1900;158;
190407;2000;192,4;
190407;2100;297,4;
190407;2200;284,1;
190407;2300;287,2;
190408;0000;280,3;
190408;0100;322,4;
190408;0200;321,6;
190408;0300;326;
190408;0400;313,4;
190408;0500;326,9;
190408;0600;321,2;
190408;0700;315,9;
190408;0800;333;
190408;0900;3,775;
190408;1000;317,5;
190408;1100;116,3;
190408;1200;76,16;
190408;1300;105,1;
190408;1400;104,8;
190408;1500;127;
190408;1600;146,8;
190408;1700;135,2;
190408;1800;133,5;
190408;1900;113,5;
190408;2000;350,8;
190408;2100;95,8;
190408;2200;126,4;
190408;2300;148,8;
190409;0000;318;
190409;0100;312,2;
190409;0200;312;
190409;0300;311,6;
190409;0400;320,5;
190409;0500;308,9;
190409;0600;307,6;
190409;0700;315,2;
190409;0800;315,8;
190409;0900;31,9;
190409;1000;324,5;
190409;1100;326,8;
190409;1200;314,5;
190409;1300;305,8;
190409;1400;310,7;
190409;1500;30,88;
190409;1600;345,9;
190409;1700;291,4;
190409;1800;288;
190409;1900;287,8;
190409;2000;180,1;
190409;2100;103,9;
190409;2200;270,4;
190409;2300;142,2;
190410;0000;149,6;
190410;0100;155,3;
190410;0200;163,1;
190410;0300;179,3;
190410;0400;158,3;
190410;0500;140;
190410;0600;249,1;
190410;0700;198,4;
190410;0800;136,2;
190410;0900;141,8;
190410;1000;130,7;
190410;1100;135,1;
190410;1200;136,5;
190410;1300;135,4;
190410;1400;138,6;
190410;1500;143,4;
190410;1600;137,3;
190410;1700;141,1;
190410;1800;144,1;
190410;1900;146,6;
190410;2000;150,4;
190410;2100;131,7;
190410;2200;132,9;
190410;2300;142;
190411;0000;309,1;
190411;0100;324,9;
190411;0200;335,8;
190411;0300;356,2;
190411;0400;327;
190411;0500;321,8;
190411;0600;299,3;
190411;0700;315,5;
190411;0800;129,3;
190411;0900;138,5;
190411;1000;136,6;
190411;1100;134,3;
190411;1200;124,8;
190411;1300;121,4;
190411;1400;133,3;
190411;1500;139,7;
190411;1600;135,7;
190411;1700;129,7;
190411;1800;140,6;
190411;1900;146,1;
190411;2000;143,7;
190411;2100;130,3;
190411;2200;272;
190411;2300;131,7;
190412;0000;119,1;
190412;0100;80,8;
190412;0200;187,3;
190412;0300;185,9;
190412;0400;319,9;
190412;0500;332,9;
190412;0600;70,02;
190412;0700;101,2;
190412;0800;60,49;
190412;0900;349,4;
190412;1000;46,63;
190412;1100;135,2;
190412;1200;152,8;
190412;1300;121;
190412;1400;11,02;
190412;1500;358,1;
190412;1600;2,705;
190412;1700;10,03;
190412;1800;14,56;
190412;1900;346,4;
190412;2000;340,2;
190412;2100;333,4;
190412;2200;350,4;
190412;2300;348,8;
190413;0000;349,9;
190413;0100;312;
190413;0200;352,4;
190413;0300;325,1;
190413;0400;327,8;
190413;0500;322,9;
190413;0600;136,2;
