FECHA (YYMMDD);HORA (HHMM);;
190324;0100;;
190324;0200;;
190324;0300;;
190324;0400;;
190324;0500;;
190324;0600;;
190324;0700;78,25;
190324;0800;65,61;
190324;0900;46,3;
190324;1000;42;
190324;1100;34,61;
190324;1200;28,22;
190324;1300;21,94;
190324;1400;18,48;
190324;1500;19,4;
190324;1600;20,26;
190324;1700;22,51;
190324;1800;26,55;
190324;1900;37,69;
190324;2000;47,7;
190324;2100;49,82;
190324;2200;53,31;
190324;2300;56,14;
190325;0000;64,75;
190325;0100;66,63;
190325;0200;71,0699;
190325;0300;73,4301;
190325;0400;74,77;
190325;0500;80,6;
190325;0600;82,6;
190325;0700;74,25;
190325;0800;67,21;
190325;0900;60,21;
190325;1000;47,46;
190325;1100;46,64;
190325;1200;40,29;
190325;1300;36,15;
190325;1400;30,44;
190325;1500;29,38;
190325;1600;27,98;
190325;1700;29,96;
190325;1800;38,95;
190325;1900;51,97;
190325;2000;47,84;
190325;2100;51,32;
190325;2200;57,37;
190325;2300;63,66;
190326;0000;69,5;
190326;0100;70,63;
190326;0200;70,84;
190326;0300;77,02;
190326;0400;77,84;
190326;0500;79,62;
190326;0600;78,25;
190326;0700;72;
190326;0800;58,4;
190326;0900;46,16;
190326;1000;34,68;
190326;1100;25,01;
190326;1200;22,2;
190326;1300;21,83;
190326;1400;20,12;
190326;1500;21,38;
190326;1600;18,86;
190326;1700;19,64;
190326;1800;34,47;
190326;1900;38,33;
190326;2000;43,19;
190326;2100;48,52;
190326;2200;52,55;
190326;2300;61,34;
190327;0000;66,05;
190327;0100;74,1801;
190327;0200;80,5;
190327;0300;86,5;
190327;0400;87,2;
190327;0500;90,2;
190327;0600;91,8;
190327;0700;92,6;
190327;0800;91,3;
190327;0900;75,8199;
190327;1000;61,1;
190327;1100;54,13;
190327;1200;45,21;
190327;1300;39,81;
190327;1400;32,8;
190327;1500;31,05;
190327;1600;29,07;
190327;1700;48,81;
190327;1800;61,35;
190327;1900;67,76;
190327;2000;73,02;
190327;2100;76,99;
190327;2200;80,8;
190327;2300;86,2;
190328;0000;87,9;
190328;0100;88,9;
190328;0200;89,6;
190328;0300;89,7;
190328;0400;87,6;
190328;0500;88,9;
190328;0600;91,3;
190328;0700;90,5;
190328;0800;87,9;
190328;0900;86,2;
190328;1000;82,3;
190328;1100;78,46;
190328;1200;74,46;
190328;1300;68,1;
190328;1400;67,15;
190328;1500;71,28;
190328;1600;73,88;
190328;1700;76,2;
190328;1800;80,7;
190328;1900;81,5;
190328;2000;80,3;
190328;2100;83,2;
190328;2200;87,5;
190328;2300;88,3;
190329;0000;87,7;
190329;0100;85;
190329;0200;80,8;
190329;0300;79,28;
190329;0400;81,5;
190329;0500;81;
190329;0600;80,3;
190329;0700;78,5601;
190329;0800;74,97;
190329;0900;65,88;
190329;1000;64,14;
190329;1100;57,75;
190329;1200;49,27;
190329;1300;50,54;
190329;1400;43,74;
190329;1500;43,94;
190329;1600;43,01;
190329;1700;47,42;
190329;1800;57,68;
190329;1900;69,16;
190329;2000;74,9401;
190329;2100;78,76;
190329;2200;82,5;
190329;2300;87;
190330;0000;89,6;
190330;0100;89,8;
190330;0200;91,1;
190330;0300;90,9;
190330;0400;93,4;
190330;0500;94,5;
190330;0600;94,8;
190330;0700;95,9;
190330;0800;93,8;
190330;0900;69,6801;
190330;1000;58,84;
190330;1100;48,28;
190330;1200;36,25;
190330;1300;26,93;
190330;1400;23,61;
190330;1500;22,07;
190330;1600;23,36;
190330;1700;27,19;
190330;1800;50,21;
190330;1900;49,38;
190330;2000;54,98;
190330;2100;58,91;
190330;2200;61,34;
190330;2300;72,03;
190331;0000;73,26;
190331;0100;76,8199;
190331;0200;70,9401;
190331;0300;75,76;
190331;0400;79,99;
190331;0500;77,87;
190331;0600;77,64;
190331;0700;72,03;
190331;0800;70,77;
190331;0900;65,09;
190331;1000;50,85;
190331;1100;38,58;
190331;1200;35,98;
190331;1300;35,4;
190331;1400;46,47;
190331;1500;53,54;
190331;1600;55,25;
190331;1700;53,61;
190331;1800;61,44;
190331;1900;65,6801;
190331;2000;73,16;
190331;2100;77,05;
190331;2200;81,6;
190331;2300;84,8;
190401;0000;85,4;
190401;0100;86,1;
190401;0200;88,8;
190401;0300;89,4;
190401;0400;92,3;
190401;0500;92,6;
190401;0600;90,3;
190401;0700;82,1;
190401;0800;84,4;
190401;0900;76,99;
190401;1000;61,03;
190401;1100;54,81;
190401;1200;48,35;
190401;1300;42,13;
190401;1400;41,27;
190401;1500;32,45;
190401;1600;33,44;
190401;1700;41,13;
190401;1800;40,52;
190401;1900;45,55;
190401;2000;46,3;
190401;2100;45,58;
190401;2200;48,59;
190401;2300;52,25;
190402;0000;56,55;
190402;0100;60,45;
190402;0200;65,27;
190402;0300;71,42;
190402;0400;75,0699;
190402;0500;75,9301;
190402;0600;79,8199;
190402;0700;75,38;
190402;0800;65,78;
190402;0900;62,02;
190402;1000;60,72;
190402;1100;51,91;
190402;1200;47,09;
190402;1300;37,14;
190402;1400;29,93;
190402;1500;22,85;
190402;1600;19,98;
190402;1700;27,02;
190402;1800;39,08;
190402;1900;42,92;
190402;2000;51,08;
190402;2100;53,48;
190402;2200;53,65;
190402;2300;56,86;
190403;0000;58,26;
190403;0100;63,32;
190403;0200;70,84;
190403;0300;67,09;
190403;0400;72,45;
190403;0500;76,12;
190403;0600;77,38;
190403;0700;72,25;
190403;0800;55,37;
190403;0900;57,41;
190403;1000;50,2;
190403;1100;45,48;
190403;1200;31,2;
190403;1300;23,58;
190403;1400;15,72;
190403;1500;13,05;
190403;1600;29,35;
190403;1700;54,33;
190403;1800;72,99;
190403;1900;76;
190403;2000;76,4401;
190403;2100;72,54;
190403;2200;56,52;
190403;2300;60,58;
190404;0000;71,14;
190404;0100;69,0601;
190404;0200;69,78;
190404;0300;77,26;
190404;0400;77,09;
190404;0500;82;
190404;0600;82,2;
190404;0700;84,1;
190404;0800;90,7;
190404;0900;84,2;
190404;1000;69,91;
190404;1100;60,89;
190404;1200;52,66;
190404;1300;46,78;
190404;1400;44,76;
190404;1500;44,97;
190404;1600;42,03;
190404;1700;42,92;
190404;1800;51,05;
190404;1900;51,36;
190404;2000;56,66;
190404;2100;60,52;
190404;2200;60,18;
190404;2300;60,15;
190405;0000;57,38;
190405;0100;60,01;
190405;0200;66,61;
190405;0300;66,6801;
190405;0400;79,1901;
190405;0500;70,2;
190405;0600;69,24;
190405;0700;75,4301;
190405;0800;62,85;
190405;0900;51,84;
190405;1000;42,99;
190405;1100;35,33;
190405;1200;30,55;
190405;1300;27,06;
190405;1400;25,01;
190405;1500;23,95;
190405;1600;22,03;
190405;1700;23,13;
190405;1800;27,34;
190405;1900;34,07;
190405;2000;41,59;
190405;2100;45,55;
190405;2200;53,55;
190405;2300;54,92;
190406;0000;55,5;
190406;0100;56,46;
190406;0200;65,65;
190406;0300;71,7;
190406;0400;73;
190406;0500;78,85;
190406;0600;83,3;
190406;0700;77,75;
190406;0800;70,0699;
190406;0900;61,14;
190406;1000;52,11;
190406;1100;47,16;
190406;1200;45,04;
190406;1300;42,51;
190406;1400;36,08;
190406;1500;34,31;
190406;1600;34,72;
190406;1700;34,58;
190406;1800;42,27;
190406;1900;57;
190406;2000;55,83;
190406;2100;59,76;
190406;2200;67,52;
190406;2300;72,04;
190407;0000;72,54;
190407;0100;74,36;
190407;0200;76,55;
190407;0300;82,4;
190407;0400;82,3;
190407;0500;78,49;
190407;0600;85,8;
190407;0700;84;
190407;0800;72,17;
190407;0900;56,21;
190407;1000;49,55;
190407;1100;42,34;
190407;1200;35,64;
190407;1300;30,92;
190407;1400;29,48;
190407;1500;27,57;
190407;1600;27,67;
190407;1700;28,66;
190407;1800;41,96;
190407;1900;40,63;
190407;2000;46,3;
190407;2100;54,57;
190407;2200;54,47;
190407;2300;65,27;
190408;0000;63,69;
190408;0100;75,55;
190408;0200;79,17;
190408;0300;84,7;
190408;0400;87,4;
190408;0500;88,5;
190408;0600;90,1;
190408;0700;89,5;
190408;0800;79,45;
190408;0900;66,6;
190408;1000;64,48;
190408;1100;55,22;
190408;1200;53,1;
190408;1300;47,29;
190408;1400;48,25;
190408;1500;51,39;
190408;1600;56,31;
190408;1700;61,99;
190408;1800;66,63;
190408;1900;70,36;
190408;2000;80,4;
190408;2100;80,8;
190408;2200;82,4;
190408;2300;85,9;
190409;0000;90,2;
190409;0100;91,3;
190409;0200;90,2;
190409;0300;87,8;
190409;0400;87,5;
190409;0500;86,7;
190409;0600;86,4;
190409;0700;85,3;
190409;0800;82,7;
190409;0900;69,0601;
190409;1000;65,33;
190409;1100;49,48;
190409;1200;46,85;
190409;1300;47,29;
190409;1400;45,17;
190409;1500;46,57;
190409;1600;58,23;
190409;1700;61,3;
190409;1800;65,5;
190409;1900;71,1801;
190409;2000;73,47;
190409;2100;72,75;
190409;2200;78,63;
190409;2300;76,61;
190410;0000;79,1;
190410;0100;80,8;
190410;0200;84,3;
190410;0300;84,1;
190410;0400;76,8199;
190410;0500;87,1;
190410;0600;89,1;
190410;0700;84,1;
190410;0800;75,38;
190410;0900;64,38;
190410;1000;60,07;
190410;1100;56,93;
190410;1200;53,75;
190410;1300;49,58;
190410;1400;45,89;
190410;1500;41,28;
190410;1600;40,87;
190410;1700;48,45;
190410;1800;56,35;
190410;1900;62,5;
190410;2000;66,22;
190410;2100;71,3199;
190410;2200;74,0601;
190410;2300;78,33;
190411;0000;84,1;
190411;0100;86,9;
190411;0200;87,1;
190411;0300;89,5;
190411;0400;90,9;
190411;0500;91,8;
190411;0600;92,4;
190411;0700;92,7;
190411;0800;88,4;
190411;0900;78,91;
190411;1000;67,35;
190411;1100;60,99;
190411;1200;58,53;
190411;1300;51,05;
190411;1400;45,55;
190411;1500;44,56;
190411;1600;42;
190411;1700;46,92;
190411;1800;54,98;
190411;1900;63,35;
190411;2000;69,26;
190411;2100;76,58;
190411;2200;78,49;
190411;2300;85;
190412;0000;85,7;
190412;0100;88,2;
190412;0200;91;
190412;0300;91,7;
190412;0400;93;
190412;0500;94,2;
190412;0600;94,6;
190412;0700;94,7;
190412;0800;94,5;
190412;0900;93,8;
190412;1000;86,1;
190412;1100;84,8;
190412;1200;72,65;
190412;1300;64,6801;
190412;1400;62,4;
190412;1500;66,29;
190412;1600;68,6801;
190412;1700;72,03;
190412;1800;72,65;
190412;1900;79,04;
190412;2000;82,8;
190412;2100;88,4;
190412;2200;90,8;
190412;2300;91,1;
