FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;6;
190326;0000;;;29;
190327;0000;;;19;
190328;0000;;;21;
190329;0000;;;41;
190330;0000;;;31;
190331;0000;;;25;
190401;0000;;;10;
190402;0000;;;7;
190403;0000;;;12;
190404;0000;;;6;
190405;0000;;;8;
190406;0000;;;13;
190407;0000;;;16;
190408;0000;;;22;
190409;0000;;;18;
190410;0000;;;11;
190411;0000;;;25;
190412;0000;;;26;
190413;0000;;;12;
190414;0000;;;9;
190415;0000;;;10;
190416;0000;;;32;
190417;0000;;;29;
190418;0000;;;25;
190419;0000;;;25;
190420;0000;;;23;
190421;0000;;;28;
190422;0000;;;44;
190423;0000;;;29;
190424;0000;;;43;
190425;0000;;;50;
190426;0000;;;60;
190427;0000;;;37;
190428;0000;;;12;
190429;0000;;;7;
190430;0000;;;15;
190501;0000;;;22;
190502;0000;;;7;
190503;0000;;;6;
190504;0000;;;18;
190505;0000;;;28;
190506;0000;;;33;
190507;0000;;;39;
190508;0000;;;24;
190509;0000;;;58;
190510;0000;;;54;
190511;0000;;;54;
190512;0000;;;25;
190513;0000;;;81;
190514;0000;;;53;
190515;0000;;;54;
190516;0000;;;45;
190517;0000;;;31;
190518;0000;;;43;
190519;0000;;;28;
190520;0000;;;135;
190521;0000;;;33;
190522;0000;;;48;
190523;0000;;;75;
190524;0000;;;120;
190525;0000;;;94;
190526;0000;;;117;
190527;0000;;;30;
190528;0000;;;49;
190529;0000;;;42;
190530;0000;;;48;
190531;0000;;;10;
190601;0000;;;91;
190602;0000;;;31;
190603;0000;;;26;
190604;0000;;;18;
190605;0000;;;94;
190606;0000;;;42;
190607;0000;;;54;
190608;0000;;;47;
190609;0000;;;39;
190610;0000;;;75;
190611;0000;;;65;
190612;0000;;;62;
190613;0000;;;28;
190614;0000;;;33;
190615;0000;;;44;
190616;0000;;;57;
190617;0000;;;48;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;68;
190622;0000;;;82;
190623;0000;;;21;
190624;0000;;;32;
190625;0000;;;23;
190626;0000;;;6;
190627;0000;;;19;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
