FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;19,4909;
190326;0000;;;10,2272;
190327;0000;;;5,75779;
190328;0000;;;2,6395;
190329;0000;;;2,62342;
190330;0000;;;4,57542;
190331;0000;;;2,4365;
190401;0000;;;2,49791;
190402;0000;;;2,37677;
190403;0000;;;16,9036;
190404;0000;;;1,80371;
190405;0000;;;4,94615;
190406;0000;;;4,53524;
190407;0000;;;2,60552;
190408;0000;;;6,29171;
190409;0000;;;13,2624;
190410;0000;;;2,37757;
190411;0000;;;8,96329;
190412;0000;;;9,26962;
190413;0000;;;2,55257;
190414;0000;;;1,34143;
190415;0000;;;18,9532;
190416;0000;;;10,5562;
190417;0000;;;11,9096;
190418;0000;;;9,18863;
190419;0000;;;4,27854;
190420;0000;;;5,37171;
190421;0000;;;4,34879;
190422;0000;;;19,335;
190423;0000;;;5,38808;
190424;0000;;;6,90774;
190425;0000;;;4,63741;
190426;0000;;;13,8413;
190427;0000;;;6,16138;
190428;0000;;;;
190429;0000;;;;
190430;0000;;;;
190501;0000;;;1,50552;
190502;0000;;;4,44961;
190503;0000;;;6,77345;
190504;0000;;;5,98426;
190505;0000;;;;
190506;0000;;;23,7135;
190507;0000;;;3,72145;
190508;0000;;;4,21;
190509;0000;;;14,2506;
190510;0000;;;9,01434;
190511;0000;;;10,6084;
190512;0000;;;;
190513;0000;;;;
190514;0000;;;8,91348;
190515;0000;;;6,91821;
190516;0000;;;6,30021;
190517;0000;;;8,28468;
190518;0000;;;8,95895;
190519;0000;;;3,01185;
190520;0000;;;21,9215;
190521;0000;;;2,68663;
190522;0000;;;9,86935;
190523;0000;;;19,0489;
190524;0000;;;21,257;
190525;0000;;;13,535;
190526;0000;;;6,54218;
190527;0000;;;8,82669;
190528;0000;;;25,9808;
190529;0000;;;10,0807;
190530;0000;;;4,576;
190531;0000;;;6,02139;
190601;0000;;;3,14205;
190602;0000;;;6,01226;
190603;0000;;;9,88564;
190604;0000;;;8,20633;
190605;0000;;;9,02777;
190606;0000;;;;
190607;0000;;;11,9243;
190608;0000;;;10,2234;
190609;0000;;;3,88835;
190610;0000;;;;
190611;0000;;;13,2009;
190612;0000;;;;
190613;0000;;;6,69328;
190614;0000;;;6,87761;
190615;0000;;;6,03824;
190616;0000;;;6,15967;
190617;0000;;;23,3295;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;9,97847;
190622;0000;;;1,71814;
190623;0000;;;1,04691;
190624;0000;;;;
190625;0000;;;6,45534;
190626;0000;;;;
190627;0000;;;;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;7,23634;
190711;0000;;;5,3007;
190712;0000;;;8,15379;
190713;0000;;;4,33721;
190714;0000;;;3,10479;
190715;0000;;;9,40288;
190716;0000;;;3,78979;
190717;0000;;;2,89542;
190718;0000;;;13,2641;
190719;0000;;;7,8515;
190720;0000;;;2,90542;
190721;0000;;;1,03004;
190722;0000;;;0,935958;
190723;0000;;;0,672875;
190724;0000;;;4,90862;
190725;0000;;;14,1263;
190726;0000;;;20,8076;
190727;0000;;;7,8728;
190728;0000;;;1,61867;
190729;0000;;;3,74221;
190730;0000;;;7,92292;
190731;0000;;;6,52921;
190801;0000;;;4,88108;
190802;0000;;;0,670959;
190803;0000;;;4,67704;
190804;0000;;;3,46788;
190805;0000;;;4,82435;
190806;0000;;;8,73737;
190807;0000;;;3,34617;
190808;0000;;;2,67313;
190809;0000;;;7,86617;
190810;0000;;;9,33333;
190811;0000;;;1,88167;
190812;0000;;;0,407959;
190813;0000;;;3,81525;
190814;0000;;;8,49008;
190815;0000;;;3,21463;
190816;0000;;;7,68817;
190817;0000;;;4,41826;
190818;0000;;;1,16954;
190819;0000;;;9,22433;
190820;0000;;;7,43321;
190821;0000;;;7,61138;
190822;0000;;;6,72946;
190823;0000;;;19,8272;
190824;0000;;;11,3256;
190825;0000;;;3,51021;
190826;0000;;;19,2344;
190827;0000;;;6,81741;
190828;0000;;;1,63096;
190829;0000;;;3,67742;
190830;0000;;;3,499;
190831;0000;;;0,337208;
190901;0000;;;0,746875;
190902;0000;;;0,479208;
190903;0000;;;19,93;
190904;0000;;;9,28342;
190905;0000;;;4,99751;
190906;0000;;;6,81287;
190907;0000;;;3,96029;
190908;0000;;;2,65096;
190909;0000;;;5,27062;
190910;0000;;;15,7781;
190911;0000;;;7,95216;
190912;0000;;;5,95125;
190913;0000;;;8,44348;
190914;0000;;;4,66133;
190915;0000;;;1,41246;
190916;0000;;;14,0033;
190917;0000;;;0,396208;
190918;0000;;;1,99225;
190919;0000;;;1,16658;
190920;0000;;;0,698958;
190921;0000;;;0,29875;
190922;0000;;;0,969209;
190923;0000;;;17,0236;
190924;0000;;;0,260625;
190925;0000;;;2,61317;
190926;0000;;;3,80004;
190927;0000;;;3,42667;
190928;0000;;;3,42513;
190929;0000;;;1,38029;
190930;0000;;;18,5437;
191001;0000;;;3,86721;
191002;0000;;;1,28871;
191003;0000;;;4,51063;
191004;0000;;;5,75633;
191005;0000;;;4,02033;
191006;0000;;;1,32508;
191007;0000;;;17,1234;
191008;0000;;;1,38271;
191009;0000;;;4,72254;
191010;0000;;;7,11533;
191011;0000;;;7,81738;
191012;0000;;;1,00413;
191013;0000;;;0,555782;
191014;0000;;;18,9756;
191015;0000;;;2,9375;
191016;0000;;;4,36096;
191017;0000;;;1,44548;
191018;0000;;;4,33109;
191019;0000;;;2,63233;
191020;0000;;;0,989083;
191021;0000;;;0,622209;
191022;0000;;;14,4655;
191023;0000;;;5,30425;
191024;0000;;;2,54758;
191025;0000;;;6,38458;
191026;0000;;;2,30296;
191027;0000;;;1,39675;
191028;0000;;;17,1397;
191029;0000;;;3,30842;
191030;0000;;;6,16613;
191031;0000;;;4,03071;
191101;0000;;;2,53946;
191102;0000;;;0,5895;
191103;0000;;;2,16645;
191104;0000;;;15,6392;
191105;0000;;;1,14512;
191106;0000;;;1,84233;
191107;0000;;;1,15692;
191108;0000;;;4,58113;
191109;0000;;;1,05808;
191110;0000;;;;
191111;0000;;;17,8482;
191112;0000;;;2,05275;
191113;0000;;;1,45275;
191114;0000;;;5,72058;
191115;0000;;;5,01125;
191116;0000;;;3,59312;
191117;0000;;;2,51371;
191118;0000;;;15,102;
191119;0000;;;5,5855;
191120;0000;;;1,55225;
191121;0000;;;1,5105;
191122;0000;;;3,52579;
191123;0000;;;3,93358;
191124;0000;;;1,88146;
191125;0000;;;25,6537;
191126;0000;;;3,9713;
191127;0000;;;2,68646;
191128;0000;;;5,32562;
191129;0000;;;4,17137;
191130;0000;;;1,944;
191201;0000;;;1,31225;
191202;0000;;;14,3979;
191203;0000;;;0,723917;
191204;0000;;;0,989208;
191205;0000;;;1,00208;
191206;0000;;;1,20621;
191207;0000;;;0,887625;
191208;0000;;;0,753333;
191209;0000;;;16,523;
191210;0000;;;3,33404;
191211;0000;;;3,44221;
191212;0000;;;0,945251;
191213;0000;;;2,65263;
191214;0000;;;2,01625;
191215;0000;;;1,14587;
191216;0000;;;15,0052;
191217;0000;;;1,62717;
191218;0000;;;4,14912;
191219;0000;;;1,881;
191220;0000;;;9,51204;
191221;0000;;;1,4975;
191222;0000;;;1,3545;
191223;0000;;;15,2516;
191224;0000;;;1,73633;
191225;0000;;;0,668333;
191226;0000;;;2,07992;
191227;0000;;;6,45329;
191228;0000;;;3,18192;
191229;0000;;;2,10204;
191230;0000;;;21,2446;
191231;0000;;;3,59717;
200101;0000;;;2,74591;
200102;0000;;;2,31665;
200103;0000;;;2,03179;
200104;0000;;;0,984667;
200105;0000;;;1,09592;
200106;0000;;;13,4514;
200107;0000;;;3,72525;
200108;0000;;;2,92925;
200109;0000;;;3,78846;
200110;0000;;;1,95967;
200111;0000;;;1,20746;
200112;0000;;;2,19292;
200113;0000;;;15,8227;
200114;0000;;;1,96888;
200115;0000;;;0,725541;
200116;0000;;;0,882667;
200117;0000;;;3,21058;
200118;0000;;;2,09429;
200119;0000;;;0,599;
200120;0000;;;27,1032;
200121;0000;;;2,57571;
200122;0000;;;3,82563;
200123;0000;;;3,71354;
200124;0000;;;2,75421;
200125;0000;;;0,478708;
200126;0000;;;0,606914;
200127;0000;;;23,6161;
200128;0000;;;3,02725;
200129;0000;;;0,73075;
200130;0000;;;2,28175;
200131;0000;;;1,40108;
200201;0000;;;2,67759;
200202;0000;;;2,54937;
200203;0000;;;15,8873;
200204;0000;;;2,26612;
200205;0000;;;1,988;
200206;0000;;;2,78513;
200207;0000;;;2,58708;
200208;0000;;;2,12783;
200209;0000;;;1,10796;
200210;0000;;;15,2778;
200211;0000;;;2,70067;
200212;0000;;;3,32929;
200213;0000;;;0,962833;
200214;0000;;;1,9407;
200215;0000;;;2,30996;
200216;0000;;;1,96808;
200217;0000;;;17,9905;
200218;0000;;;1,47921;
200219;0000;;;1,10592;
200220;0000;;;1,34979;
200221;0000;;;5,03059;
200222;0000;;;2,90821;
200223;0000;;;1,04112;
200224;0000;;;14,7316;
200225;0000;;;1,55279;
200226;0000;;;1,68067;
200227;0000;;;2,87204;
200228;0000;;;2,48583;
200229;0000;;;4,52008;
200301;0000;;;3,08121;
200302;0000;;;17,6565;
200303;0000;;;4,40092;
200304;0000;;;1,98729;
200305;0000;;;3,44392;
200306;0000;;;3,75621;
200307;0000;;;1,06913;
200308;0000;;;1,60179;
200309;0000;;;20,2272;
200310;0000;;;11,5309;
200311;0000;;;5,57117;
200312;0000;;;5,60179;
200313;0000;;;5,42538;
200314;0000;;;1,05379;
200315;0000;;;1,39496;
200316;0000;;;16,5399;
200317;0000;;;3,41171;
200318;0000;;;4,66883;
200319;0000;;;2,11008;
200320;0000;;;3,82271;
200321;0000;;;2,66508;
200322;0000;;;1,21771;
200323;0000;;;22,8277;
200324;0000;;;2,903;
200325;0000;;;4,45284;
200326;0000;;;5,1105;
200327;0000;;;3,91587;
200328;0000;;;3,90754;
200329;0000;;;2,04016;
200330;0000;;;18,4707;
200331;0000;;;2,74275;
200401;0000;;;2,66054;
200402;0000;;;2,59517;
200403;0000;;;1,1085;
200404;0000;;;0,794125;
200405;0000;;;1,20588;
200406;0000;;;14,7425;
200407;0000;;;2,17467;
200408;0000;;;5,01721;
200409;0000;;;5,60338;
200410;0000;;;2,78425;
200411;0000;;;0,39775;
200412;0000;;;1,15708;
200413;0000;;;21,1026;
200414;0000;;;3,40012;
200415;0000;;;2,89408;
200416;0000;;;2,54213;
200417;0000;;;2,54158;
200418;0000;;;2,64842;
200419;0000;;;1,86829;
200420;0000;;;8,99246;
200421;0000;;;3,58029;
200422;0000;;;3,19454;
200423;0000;;;2,69429;
200424;0000;;;2,38237;
200425;0000;;;2,99725;
200426;0000;;;2,6455;
200427;0000;;;3,73708;
200428;0000;;;9,73917;
200429;0000;;;3,77204;
200430;0000;;;13,4463;
200501;0000;;;7,25438;
200502;0000;;;7,02025;
200503;0000;;;4,60309;
200504;0000;;;41,3589;
200505;0000;;;3,47354;
200506;0000;;;3,48587;
200507;0000;;;6,25892;
200508;0000;;;8,9102;
200509;0000;;;3,25687;
200510;0000;;;3,18258;
200511;0000;;;18,2308;
200512;0000;;;4,13783;
200513;0000;;;6,27312;
200514;0000;;;5,27363;
200515;0000;;;8,48262;
200516;0000;;;4,70963;
200517;0000;;;7,44912;
200518;0000;;;18,4877;
200519;0000;;;2,57037;
200520;0000;;;5,8745;
200521;0000;;;2,50879;
200522;0000;;;8,92979;
200523;0000;;;8,70529;
200524;0000;;;2,14037;
200525;0000;;;23,0201;
200526;0000;;;7,75471;
200527;0000;;;4,93992;
200528;0000;;;5,56837;
200529;0000;;;3,41962;
200530;0000;;;2,89259;
200531;0000;;;2,96921;
200601;0000;;;24,4292;
200602;0000;;;4,40679;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;5,14542;
200607;0000;;;3,03183;
200608;0000;;;19,8111;
200609;0000;;;3,82833;
200610;0000;;;3,80042;
200611;0000;;;2,03762;
200612;0000;;;8,21666;
200613;0000;;;9,49429;
200614;0000;;;4,10296;
200615;0000;;;21,2603;
200616;0000;;;5,98125;
200617;0000;;;3,54629;
200618;0000;;;2,13054;
200619;0000;;;4,40212;
200620;0000;;;2,37892;
