FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;12,44;
190326;0000;;;10,68;
190327;0000;;;10,43;
190328;0000;;;8,32;
190329;0000;;;8,45;
190330;0000;;;8,23;
190331;0000;;;7,79;
190401;0000;;;4,99;
190402;0000;;;4,3;
190403;0000;;;8,17;
190404;0000;;;3,8;
190405;0000;;;5,85;
190406;0000;;;5,7;
190407;0000;;;4,81;
190408;0000;;;8,39;
190409;0000;;;11,64;
190410;0000;;;5,08;
190411;0000;;;6,88;
190412;0000;;;8,75;
190413;0000;;;5,67;
190414;0000;;;3,39;
190415;0000;;;11,24;
190416;0000;;;11,01;
190417;0000;;;8,7;
190418;0000;;;9,97;
190419;0000;;;7,43;
190420;0000;;;8,74;
190421;0000;;;6,53;
190422;0000;;;12,87;
190423;0000;;;6,93;
190424;0000;;;9,89;
190425;0000;;;8,2;
190426;0000;;;11,17;
190427;0000;;;7,79;
190428;0000;;;4,18;
190429;0000;;;7,48;
190430;0000;;;5,45;
190501;0000;;;4,35;
190502;0000;;;4,02;
190503;0000;;;4,34;
190504;0000;;;5,86;
190505;0000;;;5,71;
190506;0000;;;11,8;
190507;0000;;;5,75;
190508;0000;;;6,22;
190509;0000;;;8,99;
190510;0000;;;8,38;
190511;0000;;;8,24;
190512;0000;;;6,05;
190513;0000;;;10,76;
190514;0000;;;10,77;
190515;0000;;;10,43;
190516;0000;;;8,57;
190517;0000;;;7,23;
190518;0000;;;8,52;
190519;0000;;;4,93;
190520;0000;;;14,3;
190521;0000;;;6,95;
190522;0000;;;9,77;
190523;0000;;;13,77;
190524;0000;;;13,01;
190525;0000;;;12,02;
190526;0000;;;11,34;
190527;0000;;;7,77;
190528;0000;;;15,09;
190529;0000;;;8,61;
190530;0000;;;4,72;
190531;0000;;;5,07;
190601;0000;;;4,04;
190602;0000;;;6,18;
190603;0000;;;6,74;
190604;0000;;;5,36;
190605;0000;;;6,94;
190606;0000;;;7,91;
190607;0000;;;11;
190608;0000;;;8,42;
190609;0000;;;6,53;
190610;0000;;;13,77;
190611;0000;;;10,22;
190612;0000;;;6,17;
190613;0000;;;8,06;
190614;0000;;;9,56;
190615;0000;;;8,23;
190616;0000;;;8,66;
190617;0000;;;13,6;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;10,15;
190622;0000;;;3,26;
190623;0000;;;1,3;
190624;0000;;;13,66;
190625;0000;;;6,33;
190626;0000;;;4,07;
190627;0000;;;8,11;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;6,96;
190711;0000;;;7,37;
190712;0000;;;7,49;
190713;0000;;;6,19;
190714;0000;;;5,49;
190715;0000;;;9,64;
190716;0000;;;6,6;
190717;0000;;;6,73;
190718;0000;;;12,05;
190719;0000;;;6,75;
190720;0000;;;3,45;
190721;0000;;;4,53;
190722;0000;;;4,16;
190723;0000;;;3,58;
190724;0000;;;9;
190725;0000;;;12,46;
190726;0000;;;14,89;
190727;0000;;;7,94;
190728;0000;;;3,35;
190729;0000;;;3,98;
190730;0000;;;6,73;
190731;0000;;;8,76;
190801;0000;;;6,6;
190802;0000;;;4,16;
190803;0000;;;8,85;
190804;0000;;;8,17;
190805;0000;;;5,62;
190806;0000;;;9,67;
190807;0000;;;3,92;
190808;0000;;;6,15;
190809;0000;;;9,66;
190810;0000;;;8,06;
190811;0000;;;4,85;
190812;0000;;;4,46;
190813;0000;;;7,9;
190814;0000;;;10,72;
190815;0000;;;8,36;
190816;0000;;;10,06;
190817;0000;;;5,26;
190818;0000;;;1,82;
190819;0000;;;8,04;
190820;0000;;;9,09;
190821;0000;;;8,3;
190822;0000;;;9,35;
190823;0000;;;13,7;
190824;0000;;;8,57;
190825;0000;;;6,03;
190826;0000;;;12,65;
190827;0000;;;7,01;
190828;0000;;;4,54;
190829;0000;;;6,3;
190830;0000;;;5,75;
190831;0000;;;2,85;
190901;0000;;;2,47;
190902;0000;;;2,17;
190903;0000;;;15,89;
190904;0000;;;13,13;
190905;0000;;;8,06;
190906;0000;;;8,15;
190907;0000;;;7,32;
190908;0000;;;5,08;
190909;0000;;;7,05;
190910;0000;;;13,48;
190911;0000;;;8,3;
190912;0000;;;8,23;
190913;0000;;;10,01;
190914;0000;;;5,24;
190915;0000;;;3,88;
190916;0000;;;7,63;
190917;0000;;;1,84;
