FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;19;
190326;0000;;;14;
190327;0000;;;16;
190328;0000;;;11;
190329;0000;;;21;
190330;0000;;;15;
190331;0000;;;16;
190401;0000;;;15;
190402;0000;;;16;
190403;0000;;;21;
190404;0000;;;16;
190405;0000;;;16;
190406;0000;;;14;
190407;0000;;;14;
190408;0000;;;11;
190409;0000;;;9;
190410;0000;;;13;
190411;0000;;;9;
190412;0000;;;6;
190413;0000;;;13;
190414;0000;;;14;
190415;0000;;;18;
190416;0000;;;10;
190417;0000;;;8;
190418;0000;;;7;
190419;0000;;;7;
190420;0000;;;7;
190421;0000;;;9;
190422;0000;;;14;
190423;0000;;;6;
190424;0000;;;8;
190425;0000;;;10;
190426;0000;;;7;
190427;0000;;;7;
190428;0000;;;9;
190429;0000;;;22;
190430;0000;;;19;
190501;0000;;;10;
190502;0000;;;10;
190503;0000;;;9;
190504;0000;;;11;
190505;0000;;;8;
190506;0000;;;12;
190507;0000;;;6;
190508;0000;;;8;
190509;0000;;;4;
190510;0000;;;8;
190511;0000;;;8;
190512;0000;;;10;
190513;0000;;;19;
190514;0000;;;11;
190515;0000;;;10;
190516;0000;;;15;
190517;0000;;;14;
190518;0000;;;10;
190519;0000;;;12;
190520;0000;;;16;
190521;0000;;;11;
190522;0000;;;10;
190523;0000;;;5;
190524;0000;;;6;
190525;0000;;;5;
190526;0000;;;6;
190527;0000;;;9;
190528;0000;;;15;
190529;0000;;;10;
190530;0000;;;17;
190531;0000;;;16;
190601;0000;;;15;
190602;0000;;;13;
190603;0000;;;4;
190604;0000;;;7;
190605;0000;;;18;
190606;0000;;;16;
190607;0000;;;5;
190608;0000;;;4;
190609;0000;;;7;
190610;0000;;;19;
190611;0000;;;6;
190612;0000;;;14;
190613;0000;;;15;
190614;0000;;;11;
190615;0000;;;10;
190616;0000;;;12;
190617;0000;;;8;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;6;
190622;0000;;;4;
190623;0000;;;12;
190624;0000;;;26;
190625;0000;;;11;
190626;0000;;;;
190627;0000;;;;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;15;
190711;0000;;;13;
190712;0000;;;11;
190713;0000;;;19;
190714;0000;;;20;
190715;0000;;;16;
190716;0000;;;8;
190717;0000;;;19;
190718;0000;;;17;
190719;0000;;;12;
190720;0000;;;23;
190721;0000;;;28;
190722;0000;;;21;
190723;0000;;;28;
190724;0000;;;21;
190725;0000;;;12;
190726;0000;;;17;
190727;0000;;;10;
190728;0000;;;16;
190729;0000;;;20;
190730;0000;;;22;
190731;0000;;;20;
190801;0000;;;17;
190802;0000;;;26;
190803;0000;;;20;
190804;0000;;;14;
190805;0000;;;17;
190806;0000;;;26;
190807;0000;;;24;
190808;0000;;;26;
190809;0000;;;17;
190810;0000;;;11;
190811;0000;;;22;
190812;0000;;;20;
190813;0000;;;21;
190814;0000;;;16;
190815;0000;;;20;
190816;0000;;;13;
190817;0000;;;20;
190818;0000;;;12;
190819;0000;;;11;
190820;0000;;;10;
190821;0000;;;14;
190822;0000;;;16;
190823;0000;;;12;
190824;0000;;;10;
190825;0000;;;13;
190826;0000;;;21;
190827;0000;;;11;
190828;0000;;;18;
190829;0000;;;18;
190830;0000;;;22;
190831;0000;;;28;
190901;0000;;;27;
190902;0000;;;30;
190903;0000;;;32;
190904;0000;;;19;
190905;0000;;;19;
190906;0000;;;15;
190907;0000;;;18;
190908;0000;;;17;
190909;0000;;;23;
190910;0000;;;22;
190911;0000;;;15;
190912;0000;;;17;
190913;0000;;;14;
190914;0000;;;13;
190915;0000;;;22;
190916;0000;;;30;
190917;0000;;;27;
190918;0000;;;20;
190919;0000;;;22;
190920;0000;;;20;
190921;0000;;;26;
190922;0000;;;24;
190923;0000;;;30;
190924;0000;;;29;
190925;0000;;;23;
190926;0000;;;20;
190927;0000;;;23;
190928;0000;;;17;
190929;0000;;;16;
190930;0000;;;25;
191001;0000;;;16;
191002;0000;;;20;
191003;0000;;;16;
191004;0000;;;20;
191005;0000;;;18;
191006;0000;;;18;
191007;0000;;;24;
191008;0000;;;23;
191009;0000;;;20;
191010;0000;;;13;
191011;0000;;;17;
191012;0000;;;21;
191013;0000;;;27;
191014;0000;;;26;
191015;0000;;;19;
191016;0000;;;18;
191017;0000;;;24;
191018;0000;;;23;
191019;0000;;;22;
191020;0000;;;26;
191021;0000;;;27;
191022;0000;;;30;
191023;0000;;;28;
191024;0000;;;20;
191025;0000;;;15;
191026;0000;;;18;
191027;0000;;;19;
191028;0000;;;24;
191029;0000;;;19;
191030;0000;;;16;
191031;0000;;;14;
191101;0000;;;18;
191102;0000;;;23;
191103;0000;;;19;
191104;0000;;;25;
191105;0000;;;23;
191106;0000;;;21;
191107;0000;;;25;
191108;0000;;;25;
191109;0000;;;27;
191110;0000;;;;
191111;0000;;;27;
191112;0000;;;18;
191113;0000;;;48;
191114;0000;;;15;
191115;0000;;;8;
191116;0000;;;16;
191117;0000;;;20;
191118;0000;;;29;
191119;0000;;;20;
191120;0000;;;21;
191121;0000;;;26;
191122;0000;;;25;
191123;0000;;;19;
191124;0000;;;19;
191125;0000;;;27;
191126;0000;;;16;
191127;0000;;;19;
191128;0000;;;19;
191129;0000;;;16;
191130;0000;;;20;
191201;0000;;;22;
191202;0000;;;23;
191203;0000;;;21;
191204;0000;;;23;
191205;0000;;;23;
191206;0000;;;20;
191207;0000;;;22;
191208;0000;;;22;
191209;0000;;;26;
191210;0000;;;17;
191211;0000;;;17;
191212;0000;;;21;
191213;0000;;;18;
191214;0000;;;17;
191215;0000;;;19;
191216;0000;;;24;
191217;0000;;;19;
191218;0000;;;14;
191219;0000;;;15;
191220;0000;;;22;
191221;0000;;;20;
191222;0000;;;20;
191223;0000;;;22;
191224;0000;;;17;
191225;0000;;;21;
191226;0000;;;17;
191227;0000;;;14;
191228;0000;;;16;
191229;0000;;;23;
191230;0000;;;26;
191231;0000;;;21;
200101;0000;;;27;
200102;0000;;;26;
200103;0000;;;13;
200104;0000;;;18;
200105;0000;;;18;
200106;0000;;;20;
200107;0000;;;15;
200108;0000;;;14;
200109;0000;;;14;
200110;0000;;;20;
200111;0000;;;22;
200112;0000;;;24;
200113;0000;;;22;
200114;0000;;;15;
200115;0000;;;20;
200116;0000;;;21;
200117;0000;;;23;
200118;0000;;;19;
200119;0000;;;24;
200120;0000;;;28;
200121;0000;;;21;
200122;0000;;;26;
200123;0000;;;22;
200124;0000;;;24;
200125;0000;;;15;
200126;0000;;;16;
200127;0000;;;25;
200128;0000;;;14;
200129;0000;;;21;
200130;0000;;;22;
200131;0000;;;12;
200201;0000;;;14;
200202;0000;;;21;
200203;0000;;;23;
200204;0000;;;18;
200205;0000;;;20;
200206;0000;;;22;
200207;0000;;;23;
200208;0000;;;27;
200209;0000;;;27;
200210;0000;;;31;
200211;0000;;;21;
200212;0000;;;18;
200213;0000;;;22;
200214;0000;;;18;
200215;0000;;;21;
200216;0000;;;16;
200217;0000;;;23;
200218;0000;;;22;
200219;0000;;;25;
200220;0000;;;27;
200221;0000;;;28;
200222;0000;;;25;
200223;0000;;;27;
200224;0000;;;25;
200225;0000;;;20;
200226;0000;;;23;
200227;0000;;;19;
200228;0000;;;22;
200229;0000;;;28;
200301;0000;;;24;
200302;0000;;;37;
200303;0000;;;22;
200304;0000;;;21;
200305;0000;;;20;
200306;0000;;;25;
200307;0000;;;20;
200308;0000;;;21;
200309;0000;;;28;
200310;0000;;;20;
200311;0000;;;19;
200312;0000;;;12;
200313;0000;;;14;
200314;0000;;;25;
200315;0000;;;21;
200316;0000;;;24;
200317;0000;;;16;
200318;0000;;;18;
200319;0000;;;21;
200320;0000;;;25;
200321;0000;;;22;
200322;0000;;;25;
200323;0000;;;27;
200324;0000;;;10;
200325;0000;;;15;
200326;0000;;;20;
200327;0000;;;13;
200328;0000;;;14;
200329;0000;;;20;
200330;0000;;;24;
200331;0000;;;18;
200401;0000;;;21;
200402;0000;;;23;
200403;0000;;;23;
200404;0000;;;23;
200405;0000;;;23;
200406;0000;;;30;
200407;0000;;;20;
200408;0000;;;25;
200409;0000;;;15;
200410;0000;;;15;
200411;0000;;;25;
200412;0000;;;23;
200413;0000;;;26;
200414;0000;;;19;
200415;0000;;;16;
200416;0000;;;14;
200417;0000;;;12;
200418;0000;;;11;
200419;0000;;;19;
200420;0000;;;31;
200421;0000;;;20;
200422;0000;;;24;
200423;0000;;;21;
200424;0000;;;15;
200425;0000;;;15;
200426;0000;;;9;
200427;0000;;;15;
200428;0000;;;19;
200429;0000;;;14;
200430;0000;;;13;
200501;0000;;;13;
200502;0000;;;6;
200503;0000;;;9;
200504;0000;;;15;
200505;0000;;;19;
200506;0000;;;19;
200507;0000;;;15;
200508;0000;;;12;
200509;0000;;;20;
200510;0000;;;22;
200511;0000;;;22;
200512;0000;;;17;
200513;0000;;;16;
200514;0000;;;11;
200515;0000;;;10;
200516;0000;;;11;
200517;0000;;;10;
200518;0000;;;15;
200519;0000;;;16;
200520;0000;;;10;
200521;0000;;;10;
200522;0000;;;11;
200523;0000;;;11;
200524;0000;;;9;
200525;0000;;;14;
200526;0000;;;8;
200527;0000;;;13;
200528;0000;;;11;
200529;0000;;;18;
200530;0000;;;15;
200531;0000;;;14;
200601;0000;;;15;
200602;0000;;;6;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;7;
200607;0000;;;10;
200608;0000;;;16;
200609;0000;;;9;
200610;0000;;;13;
200611;0000;;;21;
200612;0000;;;14;
200613;0000;;;11;
200614;0000;;;10;
200615;0000;;;15;
200616;0000;;;13;
200617;0000;;;13;
200618;0000;;;21;
200619;0000;;;18;
200620;0000;;;18;
200621;0000;;;10;
200622;0000;;;24;
200623;0000;;;15;
200624;0000;;;14;
200625;0000;;;12;
200626;0000;;;8;
200627;0000;;;10;
200628;0000;;;14;
200629;0000;;;24;
200630;0000;;;17;
200701;0000;;;18;
200702;0000;;;9;
200703;0000;;;16;
200704;0000;;;7;
200705;0000;;;17;
200706;0000;;;13;
200707;0000;;;6;
200708;0000;;;13;
200709;0000;;;19;
200710;0000;;;20;
200711;0000;;;13;
200712;0000;;;19;
200713;0000;;;20;
200714;0000;;;7;
200715;0000;;;8;
200716;0000;;;7;
200717;0000;;;18;
200718;0000;;;24;
200719;0000;;;20;
200720;0000;;;21;
200721;0000;;;18;
200722;0000;;;14;
200723;0000;;;15;
200724;0000;;;9;
200725;0000;;;11;
200726;0000;;;19;
200727;0000;;;23;
200728;0000;;;20;
200729;0000;;;10;
200730;0000;;;9;
200731;0000;;;8;
200801;0000;;;13;
200802;0000;;;11;
200803;0000;;;17;
200804;0000;;;9;
200805;0000;;;22;
200806;0000;;;8;
200807;0000;;;5;
200808;0000;;;15;
200809;0000;;;13;
200810;0000;;;22;
200811;0000;;;34;
200812;0000;;;24;
200813;0000;;;14;
200814;0000;;;21;
200815;0000;;;21;
200816;0000;;;15;
200817;0000;;;21;
200818;0000;;;18;
200819;0000;;;27;
200820;0000;;;23;
200821;0000;;;21;
200822;0000;;;18;
200823;0000;;;23;
200824;0000;;;26;
200825;0000;;;23;
200826;0000;;;25;
200827;0000;;;17;
200828;0000;;;21;
200829;0000;;;27;
200830;0000;;;30;
200831;0000;;;;
200901;0000;;;;
200902;0000;;;15;
200903;0000;;;15;
200904;0000;;;15;
200905;0000;;;14;
200906;0000;;;18;
200907;0000;;;20;
200908;0000;;;18;
200909;0000;;;18;
200910;0000;;;24;
200911;0000;;;18;
200912;0000;;;18;
200913;0000;;;27;
200914;0000;;;33;
200915;0000;;;20;
200916;0000;;;20;
200917;0000;;;23;
200918;0000;;;32;
200919;0000;;;34;
200920;0000;;;28;
200921;0000;;;21;
200922;0000;;;26;
200923;0000;;;21;
200924;0000;;;8;
200925;0000;;;6;
200926;0000;;;6;
200927;0000;;;10;
200928;0000;;;13;
200929;0000;;;11;
200930;0000;;;9;
201001;0000;;;9;
201002;0000;;;9;
201003;0000;;;8;
201004;0000;;;9;
201005;0000;;;17;
201006;0000;;;10;
201007;0000;;;11;
201008;0000;;;7;
201009;0000;;;10;
201010;0000;;;11;
201011;0000;;;18;
201012;0000;;;21;
201013;0000;;;11;
201014;0000;;;13;
201015;0000;;;12;
201016;0000;;;10;
201017;0000;;;8;
201018;0000;;;11;
201019;0000;;;16;
201020;0000;;;15;
201021;0000;;;12;
201022;0000;;;13;
201023;0000;;;11;
201024;0000;;;7;
201025;0000;;;9;
201026;0000;;;13;
201027;0000;;;11;
201028;0000;;;13;
201029;0000;;;17;
201030;0000;;;12;
201031;0000;;;10;
201101;0000;;;10;
201102;0000;;;17;
201103;0000;;;36;
201104;0000;;;21;
201105;0000;;;22;
201106;0000;;;25;
201107;0000;;;22;
201108;0000;;;24;
201109;0000;;;23;
201110;0000;;;22;
201111;0000;;;13;
201112;0000;;;22;
201113;0000;;;19;
201114;0000;;;24;
201115;0000;;;23;
201116;0000;;;22;
201117;0000;;;25;
201118;0000;;;23;
201119;0000;;;21;
201120;0000;;;22;
201121;0000;;;16;
201122;0000;;;14;
201123;0000;;;14;
201124;0000;;;13;
201125;0000;;;15;
201126;0000;;;22;
201127;0000;;;20;
201128;0000;;;12;
201129;0000;;;21;
201130;0000;;;18;
201201;0000;;;19;
201202;0000;;;16;
201203;0000;;;21;
201204;0000;;;20;
201205;0000;;;28;
201206;0000;;;23;
201207;0000;;;20;
201208;0000;;;16;
201209;0000;;;21;
201210;0000;;;13;
201211;0000;;;12;
201212;0000;;;12;
201213;0000;;;18;
201214;0000;;;16;
201215;0000;;;20;
201216;0000;;;24;
201217;0000;;;24;
201218;0000;;;;
201219;0000;;;13;
201220;0000;;;18;
201221;0000;;;20;
201222;0000;;;15;
201223;0000;;;15;
201224;0000;;;15;
201225;0000;;;14;
201226;0000;;;14;
201227;0000;;;17;
201228;0000;;;12;
201229;0000;;;13;
201230;0000;;;18;
201231;0000;;;19;
210101;0000;;;18;
210102;0000;;;20;
210103;0000;;;14;
210104;0000;;;18;
210105;0000;;;21;
210106;0000;;;21;
210107;0000;;;16;
210108;0000;;;20;
210109;0000;;;20;
210110;0000;;;16;
210111;0000;;;19;
210112;0000;;;;
210113;0000;;;23;
210114;0000;;;17;
210115;0000;;;14;
210116;0000;;;17;
210117;0000;;;20;
210118;0000;;;27;
210119;0000;;;16;
210120;0000;;;19;
210121;0000;;;19;
210122;0000;;;13;
210123;0000;;;12;
210124;0000;;;16;
210125;0000;;;20;
210126;0000;;;17;
210127;0000;;;15;
210128;0000;;;11;
210129;0000;;;8;
210130;0000;;;16;
210131;0000;;;14;
210201;0000;;;13;
210202;0000;;;18;
210203;0000;;;25;
210204;0000;;;33;
210205;0000;;;18;
210206;0000;;;16;
210207;0000;;;20;
210208;0000;;;20;
210209;0000;;;20;
210210;0000;;;27;
210211;0000;;;16;
210212;0000;;;16;
210213;0000;;;22;
210214;0000;;;20;
210215;0000;;;24;
210216;0000;;;22;
210217;0000;;;19;
210218;0000;;;10;
210219;0000;;;19;
210220;0000;;;21;
210221;0000;;;18;
210222;0000;;;17;
210223;0000;;;25;
210224;0000;;;22;
210225;0000;;;25;
210226;0000;;;15;
210227;0000;;;16;
210228;0000;;;14;
210301;0000;;;16;
210302;0000;;;16;
210303;0000;;;17;
210304;0000;;;17;
210305;0000;;;22;
210306;0000;;;19;
210307;0000;;;14;
210308;0000;;;22;
210309;0000;;;25;
210310;0000;;;10;
210311;0000;;;19;
210312;0000;;;19;
210313;0000;;;27;
210314;0000;;;26;
210315;0000;;;16;
210316;0000;;;14;
210317;0000;;;20;
210318;0000;;;18;
210319;0000;;;16;
210320;0000;;;19;
210321;0000;;;20;
210322;0000;;;20;
210323;0000;;;19;
210324;0000;;;20;
210325;0000;;;18;
210326;0000;;;18;
210327;0000;;;24;
210328;0000;;;19;
210329;0000;;;22;
210330;0000;;;14;
210331;0000;;;13;
210401;0000;;;14;
210402;0000;;;17;
210403;0000;;;17;
210404;0000;;;20;
210405;0000;;;24;
210406;0000;;;10;
210407;0000;;;12;
210408;0000;;;7;
210409;0000;;;11;
210410;0000;;;13;
210411;0000;;;;
210412;0000;;;18;
210413;0000;;;19;
210414;0000;;;22;
210415;0000;;;14;
210416;0000;;;19;
210417;0000;;;19;
210418;0000;;;21;
210419;0000;;;14;
210420;0000;;;13;
210421;0000;;;11;
210422;0000;;;14;
210423;0000;;;10;
210424;0000;;;17;
210425;0000;;;15;
210426;0000;;;16;
210427;0000;;;11;
210428;0000;;;11;
210429;0000;;;10;
210430;0000;;;10;
210501;0000;;;17;
210502;0000;;;13;
210503;0000;;;18;
210504;0000;;;;
210505;0000;;;18;
210506;0000;;;18;
210507;0000;;;16;
210508;0000;;;15;
210509;0000;;;24;
210510;0000;;;20;
210511;0000;;;14;
210512;0000;;;13;
210513;0000;;;11;
210514;0000;;;10;
210515;0000;;;13;
210516;0000;;;12;
210517;0000;;;10;
210518;0000;;;8;
210519;0000;;;18;
210520;0000;;;14;
210521;0000;;;11;
210522;0000;;;16;
210523;0000;;;13;
210524;0000;;;7;
210525;0000;;;11;
210526;0000;;;7;
210527;0000;;;13;
210528;0000;;;18;
210529;0000;;;13;
210530;0000;;;10;
210531;0000;;;14;
210601;0000;;;15;
210602;0000;;;8;
210603;0000;;;11;
210604;0000;;;10;
210605;0000;;;15;
210606;0000;;;10;
210607;0000;;;7;
210608;0000;;;10;
210609;0000;;;18;
210610;0000;;;12;
210611;0000;;;10;
210612;0000;;;4;
210613;0000;;;15;
210614;0000;;;26;
210615;0000;;;14;
210616;0000;;;9;
210617;0000;;;10;
210618;0000;;;10;
210619;0000;;;13;
210620;0000;;;9;
210621;0000;;;13;
210622;0000;;;12;
210623;0000;;;20;
210624;0000;;;22;
210625;0000;;;15;
210626;0000;;;16;
210627;0000;;;15;
210628;0000;;;15;
210629;0000;;;13;
210630;0000;;;5;
210701;0000;;;9;
210702;0000;;;14;
210703;0000;;;13;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;;
210707;0000;;;;
210708;0000;;;10;
210709;0000;;;21;
210710;0000;;;18;
210711;0000;;;16;
210712;0000;;;11;
210713;0000;;;13;
210714;0000;;;11;
210715;0000;;;12;
210716;0000;;;18;
210717;0000;;;17;
210718;0000;;;15;
210719;0000;;;22;
210720;0000;;;16;
210721;0000;;;11;
210722;0000;;;12;
210723;0000;;;17;
210724;0000;;;10;
210725;0000;;;24;
210726;0000;;;30;
210727;0000;;;30;
210728;0000;;;23;
210729;0000;;;20;
210730;0000;;;9;
210731;0000;;;23;
210801;0000;;;21;
210802;0000;;;24;
210803;0000;;;22;
210804;0000;;;13;
210805;0000;;;21;
210806;0000;;;10;
210807;0000;;;27;
210808;0000;;;18;
210809;0000;;;12;
210810;0000;;;15;
210811;0000;;;16;
210812;0000;;;13;
210813;0000;;;14;
210814;0000;;;17;
210815;0000;;;19;
210816;0000;;;26;
210817;0000;;;19;
210818;0000;;;25;
210819;0000;;;25;
210820;0000;;;19;
210821;0000;;;26;
210822;0000;;;21;
210823;0000;;;17;
210824;0000;;;18;
210825;0000;;;19;
210826;0000;;;24;
210827;0000;;;15;
210828;0000;;;17;
210829;0000;;;8;
210830;0000;;;15;
210831;0000;;;14;
210901;0000;;;15;
210902;0000;;;13;
210903;0000;;;6;
210904;0000;;;15;
210905;0000;;;19;
210906;0000;;;20;
210907;0000;;;17;
210908;0000;;;15;
210909;0000;;;15;
210910;0000;;;13;
210911;0000;;;22;
210912;0000;;;28;
210913;0000;;;20;
210914;0000;;;17;
210915;0000;;;17;
210916;0000;;;16;
210917;0000;;;16;
210918;0000;;;21;
210919;0000;;;27;
210920;0000;;;27;
210921;0000;;;25;
210922;0000;;;25;
210923;0000;;;22;
210924;0000;;;22;
210925;0000;;;22;
210926;0000;;;28;
210927;0000;;;25;
210928;0000;;;19;
210929;0000;;;17;
210930;0000;;;21;
211001;0000;;;20;
211002;0000;;;22;
211003;0000;;;28;
211004;0000;;;39;
211005;0000;;;28;
211006;0000;;;30;
211007;0000;;;28;
211008;0000;;;24;
