FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190325;0000;;;8,36;
190326;0000;;;3,08;
190327;0000;;;1,97;
190328;0000;;;1,34;
190329;0000;;;2,21;
190330;0000;;;1,76;
190331;0000;;;2,06;
190401;0000;;;1,46;
190402;0000;;;1,13;
190403;0000;;;11,34;
190404;0000;;;0,86;
190405;0000;;;1,11;
190406;0000;;;1,25;
190407;0000;;;2,24;
190408;0000;;;1,97;
190409;0000;;;14;
190410;0000;;;1,13;
190411;0000;;;1,45;
190412;0000;;;1,62;
190413;0000;;;1,36;
190414;0000;;;1,2;
190415;0000;;;7,21;
190416;0000;;;1,73;
190417;0000;;;1,88;
190418;0000;;;1,73;
190419;0000;;;1,29;
190420;0000;;;1,44;
190421;0000;;;1,23;
190422;0000;;;7,22;
190423;0000;;;1,44;
190424;0000;;;1,48;
190425;0000;;;1,44;
190426;0000;;;1,6;
190427;0000;;;1,66;
190428;0000;;;1,04;
190429;0000;;;6,77;
190430;0000;;;0,72;
190501;0000;;;0,82;
190502;0000;;;0,86;
190503;0000;;;0,75;
190504;0000;;;0,91;
190505;0000;;;0,99;
190506;0000;;;7,21;
190507;0000;;;1,16;
190508;0000;;;1,07;
190509;0000;;;1,21;
190510;0000;;;1,26;
190511;0000;;;1,44;
190512;0000;;;1,34;
190513;0000;;;20,99;
190514;0000;;;2,28;
190515;0000;;;2,23;
190516;0000;;;1,66;
190517;0000;;;1,63;
190518;0000;;;1,74;
190519;0000;;;3,33;
190520;0000;;;8,08;
190521;0000;;;1,7;
190522;0000;;;1,84;
190523;0000;;;2,18;
190524;0000;;;2,13;
190525;0000;;;1,96;
190526;0000;;;1,87;
190527;0000;;;1,7;
190528;0000;;;7,77;
190529;0000;;;1,72;
190530;0000;;;1,43;
190531;0000;;;1,25;
190601;0000;;;1,28;
190602;0000;;;1,2;
190603;0000;;;1,24;
190604;0000;;;1,09;
190605;0000;;;12,18;
190606;0000;;;1,07;
190607;0000;;;1,32;
190608;0000;;;1,41;
190609;0000;;;1,28;
190610;0000;;;13,92;
190611;0000;;;1,96;
190612;0000;;;1,39;
190613;0000;;;1,25;
190614;0000;;;1,24;
190615;0000;;;1,83;
190616;0000;;;1,92;
190617;0000;;;7,26;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;1,43;
190622;0000;;;1,91;
190623;0000;;;1,59;
190624;0000;;;7,55;
190625;0000;;;1,74;
190626;0000;;;1,58;
190627;0000;;;1,68;
190628;0000;;;;
190629;0000;;;;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;0,61;
190711;0000;;;0,71;
190712;0000;;;0,79;
190713;0000;;;0,75;
190714;0000;;;0,63;
190715;0000;;;0,97;
190716;0000;;;0,97;
190717;0000;;;0,72;
190718;0000;;;4,56;
190719;0000;;;0,86;
190720;0000;;;0,45;
190721;0000;;;0,92;
190722;0000;;;0,57;
190723;0000;;;0,54;
