FECHA (YYMMDD);HORA (HHMM);;
190324;0100;;
190324;0200;;
190324;0300;;
190324;0400;;
190324;0500;;
190324;0600;;
190324;0700;7,729;
190324;0800;10,18;
190324;0900;14,33;
190324;1000;17,85;
190324;1100;19,9;
190324;1200;21,74;
190324;1300;24,16;
190324;1400;25,35;
190324;1500;25,53;
190324;1600;25,84;
190324;1700;25,22;
190324;1800;22,85;
190324;1900;20,6;
190324;2000;18,34;
190324;2100;17,18;
190324;2200;16,12;
190324;2300;15,5;
190325;0000;14,4;
190325;0100;12,75;
190325;0200;11,57;
190325;0300;11,14;
190325;0400;10,19;
190325;0500;9,47;
190325;0600;8,56;
190325;0700;9,66;
190325;0800;12,06;
190325;0900;14,19;
190325;1000;16,72;
190325;1100;19,56;
190325;1200;21,56;
190325;1300;23,16;
190325;1400;24,83;
190325;1500;26,49;
190325;1600;27,11;
190325;1700;26,61;
190325;1800;24,96;
190325;1900;21,01;
190325;2000;18,64;
190325;2100;17,87;
190325;2200;16,77;
190325;2300;15,5;
190326;0000;14,28;
190326;0100;13,63;
190326;0200;13,31;
190326;0300;12,41;
190326;0400;11,78;
190326;0500;11,59;
190326;0600;11,58;
190326;0700;11,33;
190326;0800;14,49;
190326;0900;17,88;
190326;1000;21,42;
190326;1100;24,95;
190326;1200;27,16;
190326;1300;28,87;
190326;1400;29,9;
190326;1500;30,82;
190326;1600;31,09;
190326;1700;32,18;
190326;1800;30,19;
190326;1900;24,2;
190326;2000;22,14;
190326;2100;20,44;
190326;2200;19,91;
190326;2300;18,47;
190327;0000;16,6;
190327;0100;15,11;
190327;0200;13,65;
190327;0300;12,4;
190327;0400;11,58;
190327;0500;11,05;
190327;0600;10,55;
190327;0700;10,38;
190327;0800;10,63;
190327;0900;12,37;
190327;1000;16,23;
190327;1100;19,24;
190327;1200;22,42;
190327;1300;24,22;
190327;1400;26,2;
190327;1500;27,22;
190327;1600;26,49;
190327;1700;24,16;
190327;1800;20,11;
190327;1900;16,54;
190327;2000;14,72;
190327;2100;13,54;
190327;2200;12,74;
190327;2300;11,41;
190328;0000;11,04;
190328;0100;10,49;
190328;0200;10,02;
190328;0300;9,47;
190328;0400;10,34;
190328;0500;10,62;
190328;0600;10,77;
190328;0700;10,94;
190328;0800;11,18;
190328;0900;11,56;
190328;1000;11,96;
190328;1100;12,51;
190328;1200;13,51;
190328;1300;14,85;
190328;1400;15,34;
190328;1500;15,37;
190328;1600;14,75;
190328;1700;14,27;
190328;1800;13,72;
190328;1900;13,36;
190328;2000;13,56;
190328;2100;13,23;
190328;2200;12,38;
190328;2300;11,43;
190329;0000;10,68;
190329;0100;11,43;
190329;0200;12,2;
190329;0300;12,71;
190329;0400;12,68;
190329;0500;12,22;
190329;0600;12,08;
190329;0700;11,87;
190329;0800;12,29;
190329;0900;13,38;
190329;1000;14,54;
190329;1100;15,83;
190329;1200;17,96;
190329;1300;19,16;
190329;1400;20,51;
190329;1500;21,21;
190329;1600;21,75;
190329;1700;22,07;
190329;1800;19,47;
190329;1900;16,22;
190329;2000;13,9;
190329;2100;12,55;
190329;2200;11,64;
190329;2300;10,33;
190330;0000;9,25;
190330;0100;9,02;
190330;0200;8,39;
190330;0300;8,25999;
190330;0400;7,233;
190330;0500;6,673;
190330;0600;6,021;
190330;0700;6,073;
190330;0800;7,641;
190330;0900;11,24;
190330;1000;14,34;
190330;1100;17,16;
190330;1200;20,04;
190330;1300;24,11;
190330;1400;26,18;
190330;1500;28,15;
190330;1600;27,61;
190330;1700;27,65;
190330;1800;24,13;
190330;1900;19,91;
190330;2000;18,53;
190330;2100;17,52;
190330;2200;15,67;
190330;2300;15,47;
190331;0000;14,44;
190331;0100;13,57;
190331;0200;12,77;
190331;0300;12,69;
190331;0400;12,5;
190331;0500;12,3;
190331;0600;12,46;
190331;0700;12,71;
190331;0800;13,5;
190331;0900;15,69;
190331;1000;17,69;
190331;1100;20,26;
190331;1200;23,01;
190331;1300;24,43;
190331;1400;23,38;
190331;1500;21,12;
190331;1600;20,36;
190331;1700;21,13;
190331;1800;19,41;
190331;1900;17,66;
190331;2000;16,42;
190331;2100;15,26;
190331;2200;14,23;
190331;2300;13,33;
190401;0000;13,04;
190401;0100;12,83;
190401;0200;12,31;
190401;0300;11,51;
190401;0400;10,98;
190401;0500;10,55;
190401;0600;10,41;
190401;0700;11,18;
190401;0800;12,18;
190401;0900;12,67;
190401;1000;15,75;
190401;1100;18,44;
190401;1200;20,01;
190401;1300;22,11;
190401;1400;23,75;
190401;1500;25,07;
190401;1600;25,15;
190401;1700;24,19;
190401;1800;22,73;
190401;1900;20,88;
190401;2000;19,45;
190401;2100;18,33;
190401;2200;17,38;
190401;2300;16,46;
190402;0000;15,89;
190402;0100;15,49;
190402;0200;14,16;
190402;0300;13,68;
190402;0400;13,2;
190402;0500;13,71;
190402;0600;14,09;
190402;0700;14,5;
190402;0800;17,86;
190402;0900;20,51;
190402;1000;20,63;
190402;1100;21,77;
190402;1200;23,38;
190402;1300;24,22;
190402;1400;25,49;
190402;1500;27;
190402;1600;27,67;
190402;1700;26,61;
190402;1800;23,34;
190402;1900;21,21;
190402;2000;19,9;
190402;2100;18,59;
190402;2200;17,82;
190402;2300;16,92;
190403;0000;15,88;
190403;0100;14,93;
190403;0200;12,83;
190403;0300;10,7;
190403;0400;9,45;
190403;0500;8,71001;
190403;0600;7,895;
190403;0700;7,881;
190403;0800;9,53999;
190403;0900;13,99;
190403;1000;16,72;
190403;1100;19,64;
190403;1200;22,33;
190403;1300;25,03;
190403;1400;25,19;
190403;1500;24,11;
190403;1600;22,82;
190403;1700;19,04;
190403;1800;15,2;
190403;1900;13,56;
190403;2000;13,39;
190403;2100;13,7;
190403;2200;13,96;
190403;2300;13,14;
190404;0000;11,91;
190404;0100;10,39;
190404;0200;10,51;
190404;0300;10,47;
190404;0400;9,67;
190404;0500;9,25999;
190404;0600;9,41;
190404;0700;9,63;
190404;0800;9,69;
190404;0900;10,64;
190404;1000;12,8;
190404;1100;14,16;
190404;1200;15,46;
190404;1300;16,6;
190404;1400;17,75;
190404;1500;17,4;
190404;1600;17,81;
190404;1700;17,36;
190404;1800;15,41;
190404;1900;13,74;
190404;2000;13,08;
190404;2100;12,47;
190404;2200;12,09;
190404;2300;11,52;
190405;0000;11,41;
190405;0100;11,29;
190405;0200;10,26;
190405;0300;8,36;
190405;0400;7,535;
190405;0500;8,38;
190405;0600;8,92;
190405;0700;7,171;
190405;0800;9,83;
190405;0900;13,17;
190405;1000;16,04;
190405;1100;18,05;
190405;1200;20,36;
190405;1300;22,68;
190405;1400;24,57;
190405;1500;25,66;
190405;1600;25,39;
190405;1700;24,6;
190405;1800;22,6;
190405;1900;19,3;
190405;2000;18,09;
190405;2100;16,75;
190405;2200;14,48;
190405;2300;13,61;
190406;0000;12,3;
190406;0100;11,36;
190406;0200;10,82;
190406;0300;9,62;
190406;0400;8,39999;
190406;0500;7,574;
190406;0600;6,577;
190406;0700;6,32;
190406;0800;9,49001;
190406;0900;11,44;
190406;1000;14,77;
190406;1100;17,08;
190406;1200;19,22;
190406;1300;20,38;
190406;1400;22,02;
190406;1500;22,97;
190406;1600;23,1;
190406;1700;22,54;
190406;1800;20,71;
190406;1900;17,79;
190406;2000;15,72;
190406;2100;14,37;
190406;2200;13,36;
190406;2300;12,5;
190407;0000;11,51;
190407;0100;10,77;
190407;0200;10,57;
190407;0300;9,2;
190407;0400;9,02;
190407;0500;8,78999;
190407;0600;7,85;
190407;0700;7,346;
190407;0800;9,47;
190407;0900;14,06;
190407;1000;17,81;
190407;1100;21,05;
190407;1200;23,66;
190407;1300;25,54;
190407;1400;27,13;
190407;1500;28,11;
190407;1600;28,6;
190407;1700;27,8;
190407;1800;25,53;
190407;1900;21,65;
190407;2000;20,25;
190407;2100;18,39;
190407;2200;17,07;
190407;2300;15,61;
190408;0000;14,48;
190408;0100;13,59;
190408;0200;12,44;
190408;0300;11,49;
190408;0400;10,48;
190408;0500;9,95;
190408;0600;9,60001;
190408;0700;9,11;
190408;0800;10,54;
190408;0900;14,53;
190408;1000;16,57;
190408;1100;18,78;
190408;1200;20,23;
190408;1300;21,72;
190408;1400;22,64;
190408;1500;22,66;
190408;1600;20,81;
190408;1700;19,86;
190408;1800;18,18;
190408;1900;16,84;
190408;2000;15,33;
190408;2100;14,23;
190408;2200;13,23;
190408;2300;12,31;
190409;0000;11,21;
190409;0100;10,71;
190409;0200;10,94;
190409;0300;11,31;
190409;0400;11,75;
190409;0500;11,94;
190409;0600;11,7;
190409;0700;11,73;
190409;0800;12,51;
190409;0900;14,66;
190409;1000;16,3;
190409;1100;18,46;
190409;1200;19,66;
190409;1300;20,22;
190409;1400;20,53;
190409;1500;20,66;
190409;1600;20,05;
190409;1700;19,1;
190409;1800;18,41;
190409;1900;17,64;
190409;2000;16,67;
190409;2100;16;
190409;2200;15,47;
190409;2300;15,21;
190410;0000;15,03;
190410;0100;14,52;
190410;0200;13,58;
190410;0300;12,72;
190410;0400;13,08;
190410;0500;13,07;
190410;0600;11,83;
190410;0700;11,46;
190410;0800;14,11;
190410;0900;15,71;
190410;1000;16,78;
190410;1100;17,41;
190410;1200;18,41;
190410;1300;19,55;
190410;1400;20,44;
190410;1500;21,13;
190410;1600;21,5;
190410;1700;20,67;
190410;1800;18,73;
190410;1900;17,11;
190410;2000;15,91;
190410;2100;14,4;
190410;2200;13,69;
190410;2300;12,56;
190411;0000;10,66;
190411;0100;9,78999;
190411;0200;9,35001;
190411;0300;8,75999;
190411;0400;8,03999;
190411;0500;7,355;
190411;0600;7,074;
190411;0700;6,279;
190411;0800;7,225;
190411;0900;10,64;
190411;1000;13,95;
190411;1100;15,27;
190411;1200;16,92;
190411;1300;19,07;
190411;1400;20,42;
190411;1500;21,47;
190411;1600;22,27;
190411;1700;21,91;
190411;1800;19,61;
190411;1900;16,99;
190411;2000;15,26;
190411;2100;14,43;
190411;2200;12,67;
190411;2300;11,82;
190412;0000;10,96;
190412;0100;10,18;
190412;0200;9,37;
190412;0300;8,92;
190412;0400;7,994;
190412;0500;7,171;
190412;0600;7,451;
190412;0700;7,821;
190412;0800;8,53999;
190412;0900;9,56;
190412;1000;10,72;
190412;1100;11,45;
190412;1200;12,86;
190412;1300;15,04;
190412;1400;17,08;
190412;1500;16,7;
190412;1600;15,89;
190412;1700;14,54;
190412;1800;13,62;
190412;1900;13,38;
190412;2000;13,05;
190412;2100;12,74;
190412;2200;11,7;
