FECHA (YYMMDD);HORA (HHMM);;
190324;0100;;
190324;0200;;
190324;0300;;
190324;0400;;
190324;0500;;
190324;0600;;
190324;0700;1,772;
190324;0800;1,578;
190324;0900;1,203;
190324;1000;4,011;
190324;1100;3,366;
190324;1200;3,615;
190324;1300;3,943;
190324;1400;4,283;
190324;1500;5,464;
190324;1600;5,202;
190324;1700;4,188;
190324;1800;3,784;
190324;1900;3,774;
190324;2000;3,937;
190324;2100;2,363;
190324;2200;2,128;
190324;2300;2,079;
190325;0000;1,836;
190325;0100;0,735;
190325;0200;1,02;
190325;0300;0,765;
190325;0400;0,612;
190325;0500;0,484;
190325;0600;0,52;
190325;0700;0,901;
190325;0800;1,443;
190325;0900;1,827;
190325;1000;1,208;
190325;1100;1,316;
190325;1200;1,235;
190325;1300;1,331;
190325;1400;1,078;
190325;1500;1,069;
190325;1600;1,567;
190325;1700;2,004;
190325;1800;1,374;
190325;1900;0,414;
190325;2000;0,364;
190325;2100;0,723;
190325;2200;0,479;
190325;2300;0,943;
190326;0000;1,282;
190326;0100;0,699;
190326;0200;1,231;
190326;0300;0,188;
190326;0400;0,8;
190326;0500;0,789;
190326;0600;0,924;
190326;0700;0,625;
190326;0800;0,899;
190326;0900;0,829;
190326;1000;2,03;
190326;1100;2,403;
190326;1200;2,069;
190326;1300;1,9;
190326;1400;1,848;
190326;1500;1,393;
190326;1600;1,339;
190326;1700;0,507;
190326;1800;0,051;
190326;1900;0,416;
190326;2000;0,563;
190326;2100;1,35;
190326;2200;0,871;
190326;2300;1,47;
190327;0000;0,696;
190327;0100;0,191;
190327;0200;1,002;
190327;0300;1,067;
190327;0400;0,92;
190327;0500;0,865;
190327;0600;0,831;
190327;0700;0,382;
190327;0800;0,291;
190327;0900;0,501;
190327;1000;0,684;
190327;1100;0,836;
190327;1200;1,136;
190327;1300;1,683;
190327;1400;1,435;
190327;1500;2,363;
190327;1600;2,226;
190327;1700;2,313;
190327;1800;1,977;
190327;1900;3,113;
190327;2000;4,277;
190327;2100;3,867;
190327;2200;1,802;
190327;2300;0,66;
190328;0000;0,231;
190328;0100;0,004;
190328;0200;0,134;
190328;0300;0,312;
190328;0400;0,121;
190328;0500;0,013;
190328;0600;0,42;
190328;0700;0,644;
190328;0800;0,831;
190328;0900;0,635;
190328;1000;0,8;
190328;1100;1,06;
190328;1200;1,206;
190328;1300;0,803;
190328;1400;0,653;
190328;1500;1,647;
190328;1600;2,57;
190328;1700;2,638;
190328;1800;2,861;
190328;1900;2,62;
190328;2000;0,582;
190328;2100;1,452;
190328;2200;0,0779999;
190328;2300;0,612;
190329;0000;0,652;
190329;0100;0,431;
190329;0200;0,7;
190329;0300;0,231;
190329;0400;0,067;
190329;0500;0,714;
190329;0600;0,733;
190329;0700;1,005;
190329;0800;0,814;
190329;0900;0,733;
190329;1000;1,052;
190329;1100;1,101;
190329;1200;0,99;
190329;1300;1,261;
190329;1400;1,153;
190329;1500;1,374;
190329;1600;1,192;
190329;1700;0,69;
190329;1800;2,744;
190329;1900;3,436;
190329;2000;3,391;
190329;2100;3,207;
190329;2200;2,01;
190329;2300;0,153;
190330;0000;0,157;
190330;0100;0,333;
190330;0200;0,29;
190330;0300;0,334;
190330;0400;0,125;
190330;0500;0,006;
190330;0600;0,514;
190330;0700;0,211;
190330;0800;0,321;
190330;0900;0,792;
190330;1000;1,682;
190330;1100;1,585;
190330;1200;2,339;
190330;1300;1,18;
190330;1400;1,133;
190330;1500;0,739;
190330;1600;1,311;
190330;1700;0,924;
190330;1800;0,4;
190330;1900;1,51;
190330;2000;1,01;
190330;2100;1,822;
190330;2200;1,171;
190330;2300;1,304;
190331;0000;1,306;
190331;0100;0,984;
190331;0200;0,779;
190331;0300;1,117;
190331;0400;1,022;
190331;0500;1,035;
190331;0600;0,403;
190331;0700;0,98;
190331;0800;1,709;
190331;0900;2,439;
190331;1000;1,775;
190331;1100;2,74;
190331;1200;1,831;
190331;1300;1,633;
190331;1400;2,65;
190331;1500;2,593;
190331;1600;1,816;
190331;1700;1,533;
190331;1800;1,205;
190331;1900;1,737;
190331;2000;1,613;
190331;2100;0,521;
190331;2200;0,674;
190331;2300;0,594;
190401;0000;0,41;
190401;0100;0,999;
190401;0200;1,846;
190401;0300;1,079;
190401;0400;0,496;
190401;0500;0,455;
190401;0600;0,85;
190401;0700;0,941;
190401;0800;0,267;
190401;0900;1,208;
190401;1000;1,127;
190401;1100;1,483;
190401;1200;1,223;
190401;1300;0,929;
190401;1400;1,287;
190401;1500;1,918;
190401;1600;3,607;
190401;1700;3,925;
190401;1800;3,041;
190401;1900;3,244;
190401;2000;2,433;
190401;2100;1,761;
190401;2200;2,75;
190401;2300;1,178;
190402;0000;1,48;
190402;0100;1,728;
190402;0200;0,46;
190402;0300;0,349;
190402;0400;0,66;
190402;0500;0,673;
190402;0600;1,136;
190402;0700;1,632;
190402;0800;1,5;
190402;0900;2,731;
190402;1000;4,785;
190402;1100;4,732;
190402;1200;4,412;
190402;1300;5,065;
190402;1400;4,879;
190402;1500;4,219;
190402;1600;3,464;
190402;1700;2,961;
190402;1800;3,758;
190402;1900;3,535;
190402;2000;2,836;
190402;2100;3,413;
190402;2200;2,843;
190402;2300;3,24;
190403;0000;3,566;
190403;0100;2,168;
190403;0200;1,026;
190403;0300;1,601;
190403;0400;1,774;
190403;0500;1,393;
190403;0600;1,45;
190403;0700;1,301;
190403;0800;1,429;
190403;0900;0,798;
190403;1000;0,849;
190403;1100;1,301;
190403;1200;1,522;
190403;1300;2,002;
190403;1400;3,984;
190403;1500;5,514;
190403;1600;5,923;
190403;1700;4,328;
190403;1800;6,743;
190403;1900;5,628;
190403;2000;4,047;
190403;2100;3,43;
190403;2200;3,731;
190403;2300;1,684;
190404;0000;1,329;
190404;0100;1,001;
190404;0200;0,743;
190404;0300;0,6;
190404;0400;0,844;
190404;0500;0,466;
190404;0600;0,249;
190404;0700;0,791;
190404;0800;1,02;
190404;0900;0,234;
190404;1000;2,821;
190404;1100;3,627;
190404;1200;4,377;
190404;1300;3,806;
190404;1400;4,379;
190404;1500;5,535;
190404;1600;3,712;
190404;1700;2,672;
190404;1800;1,817;
190404;1900;2,684;
190404;2000;3,183;
190404;2100;3,799;
190404;2200;5,51;
190404;2300;2,539;
190405;0000;3,37;
190405;0100;3,277;
190405;0200;2,188;
190405;0300;1,154;
190405;0400;1,445;
190405;0500;0,875;
190405;0600;2,159;
190405;0700;1,134;
190405;0800;0,343;
190405;0900;1,119;
190405;1000;3,315;
190405;1100;3,18;
190405;1200;2,905;
190405;1300;2,408;
190405;1400;2,227;
190405;1500;2,871;
190405;1600;3,566;
190405;1700;3,188;
190405;1800;2,424;
190405;1900;1,421;
190405;2000;2,398;
190405;2100;2,582;
190405;2200;1,012;
190405;2300;1,468;
190406;0000;1,034;
190406;0100;0,884;
190406;0200;1,658;
190406;0300;1,53;
190406;0400;0,429;
190406;0500;0,363;
190406;0600;0,739;
190406;0700;0,352;
190406;0800;1,073;
190406;0900;2,162;
190406;1000;2,19;
190406;1100;2,585;
190406;1200;2,144;
190406;1300;2,584;
190406;1400;2,795;
190406;1500;3,412;
190406;1600;3,595;
190406;1700;2,759;
190406;1800;2,712;
190406;1900;0,301;
190406;2000;0,256;
190406;2100;0,263;
190406;2200;1,073;
190406;2300;0,805;
190407;0000;0,848;
190407;0100;0,395;
190407;0200;0,751;
190407;0300;0,935;
190407;0400;0,67;
190407;0500;1,109;
190407;0600;0,447;
190407;0700;0,748;
190407;0800;0,851;
190407;0900;0,925;
190407;1000;0,427;
190407;1100;1,459;
190407;1200;2,341;
190407;1300;1,807;
190407;1400;0,986;
190407;1500;1,049;
190407;1600;1,013;
190407;1700;1,785;
190407;1800;1;
190407;1900;0,223;
190407;2000;0,164;
190407;2100;0,042;
190407;2200;0,095;
190407;2300;0,58;
190408;0000;0,7;
190408;0100;1,223;
190408;0200;1,254;
190408;0300;1,161;
190408;0400;1,077;
190408;0500;0,571;
190408;0600;0,484;
190408;0700;1,295;
190408;0800;1,04;
190408;0900;0,187;
190408;1000;0,59;
190408;1100;0,963;
190408;1200;1,202;
190408;1300;1,115;
190408;1400;1,399;
190408;1500;1,995;
190408;1600;2,852;
190408;1700;2,268;
190408;1800;1,496;
190408;1900;1,455;
190408;2000;0,289;
190408;2100;0,895;
190408;2200;1,014;
190408;2300;0,433;
190409;0000;0,536;
190409;0100;1,307;
190409;0200;1,517;
190409;0300;1,202;
190409;0400;0,569;
190409;0500;0,408;
190409;0600;0,563;
190409;0700;0,774;
190409;0800;0,703;
190409;0900;0,564;
190409;1000;0,763;
190409;1100;1,445;
190409;1200;2,19;
190409;1300;1,966;
190409;1400;1,537;
190409;1500;0,819;
190409;1600;1,568;
190409;1700;1,839;
190409;1800;1,591;
190409;1900;1,502;
190409;2000;0,901;
190409;2100;0,656;
190409;2200;0,139;
190409;2300;0,579;
190410;0000;0,689;
190410;0100;0,819;
190410;0200;0,767;
190410;0300;0,291;
190410;0400;0,785;
190410;0500;1,928;
190410;0600;0,38;
190410;0700;0,501;
190410;0800;1,77;
190410;0900;3,282;
190410;1000;4,543;
190410;1100;4,992;
190410;1200;5,043;
190410;1300;4,869;
190410;1400;5,07;
190410;1500;4,869;
190410;1600;4,264;
190410;1700;4,313;
190410;1800;3,984;
190410;1900;3,544;
190410;2000;1,857;
190410;2100;0,78;
190410;2200;1,444;
190410;2300;0,769;
190411;0000;0,818;
190411;0100;1,482;
190411;0200;1,167;
190411;0300;0,447;
190411;0400;1,109;
190411;0500;1,078;
190411;0600;0,656;
190411;0700;0,496;
190411;0800;0,679;
190411;0900;1,886;
190411;1000;3,935;
190411;1100;3,914;
190411;1200;3,139;
190411;1300;2,057;
190411;1400;2,422;
190411;1500;2,587;
190411;1600;2,61;
190411;1700;2,315;
190411;1800;1,769;
190411;1900;0,491;
190411;2000;0,374;
190411;2100;0,773;
190411;2200;0,404;
190411;2300;0,123;
190412;0000;0,204;
190412;0100;0,444;
190412;0200;0,371;
190412;0300;0,315;
190412;0400;0,422;
190412;0500;0,824;
190412;0600;0,058;
190412;0700;0,209;
190412;0800;0,066;
190412;0900;0,516;
190412;1000;0,641;
190412;1100;1,431;
190412;1200;1,656;
190412;1300;1,256;
190412;1400;1,621;
190412;1500;2,109;
190412;1600;2,236;
190412;1700;2,052;
190412;1800;1,873;
190412;1900;1,634;
190412;2000;1,144;
190412;2100;1,642;
190412;2200;2,08;
190412;2300;1,678;
