FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;;0,565456;
120317;0000;;;0,53105;
120318;0000;;;0,518314;
120319;0000;;;1,06509;
120320;0000;;;0,604422;
120321;0000;;;0,600606;
120322;0000;;;0,571317;
120323;0000;;;0,565529;
120324;0000;;;0,561904;
120325;0000;;;0,541143;
120326;0000;;;1,01551;
120327;0000;;;0,52206;
120328;0000;;;0,579556;
120329;0000;;;0,588779;
120330;0000;;;;
120331;0000;;;0,313164;
120401;0000;;;0,484811;
120402;0000;;;2,08912;
120403;0000;;;0,522761;
120404;0000;;;0,567084;
120405;0000;;;0,522939;
120406;0000;;;0,577046;
120407;0000;;;0,608088;
120408;0000;;;0,610908;
120409;0000;;;1,12448;
120410;0000;;;0,703612;
120411;0000;;;0,757959;
120412;0000;;;0,769314;
120413;0000;;;0,794859;
120414;0000;;;0,742109;
120415;0000;;;0,747904;
120416;0000;;;0,736202;
120417;0000;;;1,09219;
120418;0000;;;0,761012;
120419;0000;;;0,776817;
120420;0000;;;0,772393;
120421;0000;;;0,808564;
120422;0000;;;0,896828;
120423;0000;;;1,4716;
120424;0000;;;1,02136;
120425;0000;;;0,967557;
120426;0000;;;1,05494;
120427;0000;;;1,12966;
120428;0000;;;0,92798;
120429;0000;;;0,684949;
120430;0000;;;1,2082;
120501;0000;;;0,695994;
120502;0000;;;1,55242;
120503;0000;;;0,954105;
120504;0000;;;0,999841;
120505;0000;;;1,03541;
120506;0000;;;0,968349;
120507;0000;;;1,46619;
120508;0000;;;0,986147;
120509;0000;;;1,0064;
120510;0000;;;1,08859;
120511;0000;;;1,01113;
120512;0000;;;1,08108;
120513;0000;;;1,18599;
120514;0000;;;1,63176;
120515;0000;;;1,13103;
120516;0000;;;1,08109;
120517;0000;;;1,06699;
120518;0000;;;1,0817;
120519;0000;;;1,13179;
120520;0000;;;1,06001;
120521;0000;;;1,56098;
120522;0000;;;1,1378;
120523;0000;;;1,25492;
120524;0000;;;1,37681;
120525;0000;;;1,25015;
120526;0000;;;1,22953;
120527;0000;;;1,49723;
120528;0000;;;1,37544;
120529;0000;;;1,26043;
120530;0000;;;1,23148;
120531;0000;;;1,69637;
120601;0000;;;1,25349;
120602;0000;;;1,09281;
120603;0000;;;1,12049;
120604;0000;;;1,10769;
120605;0000;;;1,89402;
120606;0000;;;1,06267;
120607;0000;;;1,09089;
120608;0000;;;1,19213;
120609;0000;;;1,33002;
120610;0000;;;1,28565;
120611;0000;;;1,7216;
120612;0000;;;1,23066;
120613;0000;;;1,2485;
120614;0000;;;1,25325;
120615;0000;;;1,30476;
120616;0000;;;1,27628;
120617;0000;;;1,2439;
120618;0000;;;1,70903;
120619;0000;;;1,27748;
120620;0000;;;1,24137;
120621;0000;;;1,2981;
120622;0000;;;1,30034;
120623;0000;;;1,31064;
120624;0000;;;1,31482;
120625;0000;;;1,79835;
120626;0000;;;1,48397;
120627;0000;;;1,37107;
120628;0000;;;1,36414;
120629;0000;;;1,39896;
120630;0000;;;1,38638;
120701;0000;;;1,33628;
120702;0000;;;1,37748;
120703;0000;;;1,36983;
120704;0000;;;1,81095;
120705;0000;;;1,44231;
120706;0000;;;1,44617;
120707;0000;;;1,50295;
120708;0000;;;1,44039;
120709;0000;;;1,40713;
120710;0000;;;1,4372;
120711;0000;;;1,78722;
120712;0000;;;1,55052;
120713;0000;;;1,49514;
120714;0000;;;1,5424;
120715;0000;;;1,57637;
120716;0000;;;2,14714;
120717;0000;;;1,61188;
120718;0000;;;1,59161;
120719;0000;;;1,65843;
120720;0000;;;1,75602;
120721;0000;;;1,65401;
120722;0000;;;1,64066;
120723;0000;;;1,64425;
120724;0000;;;2,20476;
120725;0000;;;1,62363;
120726;0000;;;1,62989;
120727;0000;;;1,64426;
120728;0000;;;1,66243;
120729;0000;;;1,66099;
120730;0000;;;2,23946;
120731;0000;;;1,78446;
120801;0000;;;2,80135;
120802;0000;;;;
120803;0000;;;;
120804;0000;;;;
120805;0000;;;;
120806;0000;;;;
120807;0000;;;;
120808;0000;;;;
120809;0000;;;;
120810;0000;;;;
120811;0000;;;;
120812;0000;;;;
120813;0000;;;;
120814;0000;;;;
120815;0000;;;;
120816;0000;;;;
120817;0000;;;;
120818;0000;;;;
120819;0000;;;;
120820;0000;;;;
120821;0000;;;;
120822;0000;;;;
120823;0000;;;;
120824;0000;;;0,139813;
120825;0000;;;0,155621;
120826;0000;;;0,256649;
120827;0000;;;0,887724;
120828;0000;;;0,353329;
120829;0000;;;0,395985;
120830;0000;;;0,420121;
120831;0000;;;0,438461;
120901;0000;;;0,503988;
120902;0000;;;0,529109;
120903;0000;;;1,93135;
120904;0000;;;0,252427;
120905;0000;;;0,650331;
120906;0000;;;0,90063;
120907;0000;;;0,946633;
120908;0000;;;0,889151;
120909;0000;;;1,01798;
120910;0000;;;1,69825;
120911;0000;;;1,05449;
120912;0000;;;1,08466;
120913;0000;;;1,10772;
120914;0000;;;1,16272;
120915;0000;;;1,1305;
120916;0000;;;1,1565;
120917;0000;;;1,71523;
120918;0000;;;1,17601;
120919;0000;;;1,2291;
120920;0000;;;1,25017;
120921;0000;;;1,27576;
120922;0000;;;1,2943;
120923;0000;;;1,34719;
120924;0000;;;2,25765;
120925;0000;;;0,398571;
120926;0000;;;0,456666;
120927;0000;;;0,449249;
120928;0000;;;0,55428;
120929;0000;;;0,552908;
120930;0000;;;0,284385;
121001;0000;;;2,12595;
121002;0000;;;0,272131;
121003;0000;;;0,29119;
121004;0000;;;0,358527;
121005;0000;;;0,283933;
121006;0000;;;0,105243;
121007;0000;;;1,17728;
121008;0000;;;;
121009;0000;;;;
121010;0000;;;0,290712;
121011;0000;;;0,533457;
121012;0000;;;0,540488;
121013;0000;;;0,622325;
121014;0000;;;0,599724;
121015;0000;;;1,13437;
121016;0000;;;0,586376;
121017;0000;;;0,627377;
121018;0000;;;0,580776;
121019;0000;;;0,61297;
121020;0000;;;0,615412;
121021;0000;;;0,612408;
121022;0000;;;1,15193;
121023;0000;;;0,605897;
121024;0000;;;0,621456;
121025;0000;;;0,636082;
121026;0000;;;0,669952;
121027;0000;;;0,659515;
121028;0000;;;0,641415;
121029;0000;;;1,20147;
121030;0000;;;0,676234;
121031;0000;;;0,695596;
121101;0000;;;0,656054;
121102;0000;;;0,725678;
121103;0000;;;0,687815;
121104;0000;;;0,657668;
121105;0000;;;2,09186;
121106;0000;;;0,704839;
121107;0000;;;0,710019;
121108;0000;;;0,706918;
121109;0000;;;0,605756;
121110;0000;;;0,633068;
121111;0000;;;0,615776;
121112;0000;;;1,16416;
121113;0000;;;0,618186;
121114;0000;;;0,69045;
121115;0000;;;0,571967;
121116;0000;;;0,545241;
121117;0000;;;0,552838;
121118;0000;;;0,532363;
121119;0000;;;1,03728;
121120;0000;;;0,476259;
121121;0000;;;0,454742;
121122;0000;;;0,438056;
121123;0000;;;0,459877;
121124;0000;;;0,502898;
121125;0000;;;0,676391;
121126;0000;;;1,13375;
121127;0000;;;0,578856;
121128;0000;;;0,685936;
121129;0000;;;0,606901;
121130;0000;;;0,608769;
121201;0000;;;0,612185;
121202;0000;;;0,629433;
