FECHA (YYMMDD);HORA (HHMM);;
120313;0100;;
120313;0200;;
120313;0300;;
120313;0400;;
120313;0500;;
120313;0600;;
120313;0700;;
120313;0800;;
120313;0900;;
120313;1000;;
120313;1100;;
120313;1200;;
120313;1300;;
120313;1400;182,378;
120313;1500;184,364;
120313;1600;183,588;
120313;1700;180,771;
120313;1800;182,252;
120313;1900;180,745;
120313;2000;163,726;
120313;2100;169,492;
120313;2200;174,594;
120313;2300;185,195;
120314;0000;182,069;
120314;0100;187,99;
120314;0200;180,738;
120314;0300;175,381;
120314;0400;176,463;
120314;0500;162,953;
120314;0600;162,737;
120314;0700;165,353;
120314;0800;170,103;
120314;0900;169,759;
120314;1000;176,307;
120314;1100;175,267;
120314;1200;184,087;
120314;1300;184,833;
120314;1400;184,078;
120314;1500;174,697;
120314;1600;173,627;
120314;1700;177,635;
120314;1800;179,662;
120314;1900;159,777;
120314;2000;158,078;
120314;2100;161,259;
120314;2200;169,765;
120314;2300;171,678;
120315;0000;159,947;
120315;0100;174,832;
120315;0200;161,095;
120315;0300;163,569;
120315;0400;165,306;
120315;0500;153,86;
120315;0600;154,562;
120315;0700;163,928;
120315;0800;167,555;
120315;0900;164,208;
120315;1000;162,373;
120315;1100;144,917;
120315;1200;154,308;
120315;1300;168,97;
120315;1400;178,309;
120315;1500;176,203;
120315;1600;197,611;
120315;1700;173,805;
120315;1800;169,199;
120315;1900;259,75;
120315;2000;271,084;
120315;2100;280,051;
120315;2200;287,64;
120315;2300;238,609;
120316;0000;259,653;
120316;0100;255,115;
120316;0200;185,9;
120316;0300;25,6597;
120316;0400;70,1846;
120316;0500;36,6401;
120316;0600;357,666;
120316;0700;27,1488;
120316;0800;350,991;
120316;0900;338,468;
120316;1000;348,427;
120316;1100;348,934;
120316;1200;348,428;
120316;1300;347,126;
120316;1400;13,4247;
120316;1500;10,6174;
120316;1600;6,03796;
120316;1700;17,6838;
120316;1800;331,604;
120316;1900;231,041;
120316;2000;118,895;
120316;2100;75,5503;
120316;2200;99,9048;
120316;2300;223,423;
120317;0000;87,278;
120317;0100;66,8939;
120317;0200;65,6804;
120317;0300;54,8011;
120317;0400;58,6356;
120317;0500;35,6218;
120317;0600;23,526;
120317;0700;351,357;
120317;0800;349,312;
120317;0900;342,625;
120317;1000;354,129;
120317;1100;357,312;
120317;1200;356,454;
120317;1300;346,26;
120317;1400;310,943;
120317;1500;311,627;
120317;1600;329,959;
120317;1700;33,0717;
120317;1800;328,719;
120317;1900;278,624;
120317;2000;136,353;
120317;2100;135,104;
120317;2200;127,952;
120317;2300;113,925;
120318;0000;110,82;
120318;0100;104,027;
120318;0200;115,293;
120318;0300;67,3434;
120318;0400;124,071;
120318;0500;100,541;
120318;0600;269,299;
120318;0700;79,5607;
120318;0800;41,4482;
120318;0900;7,96944;
120318;1000;349,463;
120318;1100;354,796;
120318;1200;350,966;
120318;1300;347,134;
120318;1400;335,001;
120318;1500;322,11;
120318;1600;282,518;
120318;1700;274,271;
120318;1800;253,469;
120318;1900;271,706;
120318;2000;259,64;
120318;2100;114,428;
120318;2200;117,609;
120318;2300;132,338;
120319;0000;135,724;
120319;0100;167,004;
120319;0200;130,646;
120319;0300;53,3335;
120319;0400;120,596;
120319;0500;128,624;
120319;0600;76,0907;
120319;0700;45,6617;
120319;0800;48,0051;
120319;0900;8,55782;
120319;1000;343,473;
