FECHA (YYMMDD);HORA (HHMM);;
120313;0100;;
120313;0200;;
120313;0300;;
120313;0400;;
120313;0500;;
120313;0600;;
120313;0700;;
120313;0800;;
120313;0900;;
120313;1000;;
120313;1100;;
120313;1200;;
120313;1300;;
120313;1400;38,4059;
120313;1500;35,3491;
120313;1600;35,2016;
120313;1700;37,4899;
120313;1800;40,1299;
120313;1900;46,3857;
120313;2000;52,0574;
120313;2100;54,14;
120313;2200;63,4432;
120313;2300;68,334;
120314;0000;69,6974;
120314;0100;71,6615;
120314;0200;73,9666;
120314;0300;75,224;
120314;0400;76,6482;
120314;0500;77,2539;
120314;0600;77,1681;
120314;0700;76,4633;
120314;0800;70,4982;
120314;0900;61,0057;
120314;1000;53,5399;
120314;1100;46,1949;
120314;1200;40,3083;
120314;1300;36,025;
120314;1400;33,0033;
120314;1500;31,315;
120314;1600;30,0491;
120314;1700;30,8533;
120314;1800;36,5141;
120314;1900;39,6049;
120314;2000;44,4916;
120314;2100;54,0958;
120314;2200;60,6924;
120314;2300;65,2074;
120315;0000;68,5374;
120315;0100;71,6139;
120315;0200;72,8324;
120315;0300;74,7622;
120315;0400;76,2356;
120315;0500;77,4314;
120315;0600;79,2589;
120315;0700;79,2981;
120315;0800;71,6073;
120315;0900;61,2999;
120315;1000;52,33;
120315;1100;46,4141;
120315;1200;39,8691;
120315;1300;32,7416;
120315;1400;31,305;
120315;1500;31,1341;
120315;1600;26,9783;
120315;1700;28,3716;
120315;1800;35,7424;
120315;1900;61,39;
120315;2000;61,9949;
120315;2100;69,1499;
120315;2200;76,5514;
120315;2300;84,9248;
120316;0000;89,9248;
120316;0100;92,5498;
120316;0200;94,3164;
120316;0300;94,9749;
120316;0400;95,45;
120316;0500;95,6166;
120316;0600;95,7582;
120316;0700;96,1166;
120316;0800;96,3582;
120316;0900;96,4248;
120316;1000;93,3333;
120316;1100;86,7166;
120316;1200;81,5414;
120316;1300;79,9866;
120316;1400;78,6824;
120316;1500;77,2974;
120316;1600;74,6924;
120316;1700;73,2183;
120316;1800;73,8623;
120316;1900;80,2383;
120316;2000;86,3164;
120316;2100;90,7666;
120316;2200;88,1582;
120316;2300;88,9749;
120317;0000;89,6582;
120317;0100;85,5664;
120317;0200;78,709;
120317;0300;75,7289;
120317;0400;76,2031;
120317;0500;78,6316;
120317;0600;79,1299;
120317;0700;79,4873;
120317;0800;78,7622;
120317;0900;78,5122;
120317;1000;75,0508;
120317;1100;68,7798;
120317;1200;60,4557;
120317;1300;57,8124;
120317;1400;59,4;
120317;1500;56,4441;
120317;1600;53,6049;
120317;1700;52,7783;
120317;1800;53,7233;
120317;1900;70,6841;
120317;2000;84,0916;
120317;2100;90,8499;
120317;2200;93,95;
120317;2300;94,8916;
120318;0000;95,2083;
120318;0100;95,5664;
120318;0200;95,8832;
120318;0300;95,6332;
120318;0400;94,2333;
120318;0500;94,9331;
120318;0600;95,5664;
120318;0700;96,1166;
120318;0800;85,8958;
120318;0900;71,3423;
120318;1000;61,5766;
120318;1100;54,785;
120318;1200;50,0716;
120318;1300;46,4532;
120318;1400;42,5608;
120318;1500;41,5724;
120318;1600;47,8058;
120318;1700;62,1366;
120318;1800;66,0199;
120318;1900;66,839;
120318;2000;75,1439;
120318;2100;88,4583;
120318;2200;87,7749;
120318;2300;89,7416;
120319;0000;91,5249;
120319;0100;92,5414;
