FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;;32,0713;
120317;0000;;;24,0587;
120318;0000;;;16,0848;
120319;0000;;;11,7583;
120320;0000;;;11,6608;
120321;0000;;;22,1777;
120322;0000;;;22,9193;
120323;0000;;;21,0402;
120324;0000;;;18,1428;
120325;0000;;;16,2824;
120326;0000;;;18,9894;
120327;0000;;;28,4278;
120328;0000;;;34,4358;
120329;0000;;;29,8038;
120330;0000;;;44,4406;
120331;0000;;;31,7679;
120401;0000;;;20,8388;
120402;0000;;;30,1877;
120403;0000;;;27,7312;
120404;0000;;;14,7291;
120405;0000;;;14,4886;
120406;0000;;;14,0408;
120407;0000;;;16,9769;
120408;0000;;;14,1084;
120409;0000;;;18,2304;
120410;0000;;;29,4972;
120411;0000;;;34,7489;
120412;0000;;;33,4944;
120413;0000;;;32,8311;
120414;0000;;;20,9916;
120415;0000;;;22,076;
120416;0000;;;19,3183;
120417;0000;;;24,3398;
120418;0000;;;19,7744;
120419;0000;;;21,2301;
120420;0000;;;20,3264;
120421;0000;;;25,3672;
120422;0000;;;41,4988;
120423;0000;;;35,764;
120424;0000;;;43,9094;
120425;0000;;;39,8834;
120426;0000;;;49,6215;
120427;0000;;;47,8085;
120428;0000;;;16,9508;
120429;0000;;;18,0717;
120430;0000;;;17,1984;
120501;0000;;;16,1417;
120502;0000;;;24,1141;
120503;0000;;;26,7892;
120504;0000;;;28,6072;
120505;0000;;;32,0405;
120506;0000;;;17,422;
120507;0000;;;8,42062;
120508;0000;;;14,8213;
120509;0000;;;16,5596;
120510;0000;;;19,8922;
120511;0000;;;11,4325;
120512;0000;;;23,1882;
120513;0000;;;28,4976;
120514;0000;;;27,4363;
120515;0000;;;28,3465;
120516;0000;;;12,7711;
120517;0000;;;10,6761;
120518;0000;;;14,7118;
120519;0000;;;18,3235;
120520;0000;;;10,972;
120521;0000;;;10,634;
120522;0000;;;19,9997;
120523;0000;;;25,6842;
120524;0000;;;42,3256;
120525;0000;;;34,8105;
120526;0000;;;;
120527;0000;;;;
120528;0000;;;;
120529;0000;;;20,7211;
120530;0000;;;15,6185;
120531;0000;;;22,9842;
120601;0000;;;26,2275;
120602;0000;;;9,46848;
120603;0000;;;11,4102;
120604;0000;;;9,32094;
120605;0000;;;10,7371;
120606;0000;;;11,6413;
120607;0000;;;13,9292;
120608;0000;;;25,1021;
120609;0000;;;50,7642;
120610;0000;;;36,674;
120611;0000;;;40,1656;
120612;0000;;;6,52538;
120613;0000;;;10,7579;
120614;0000;;;15,7128;
120615;0000;;;13,1181;
120616;0000;;;7,16415;
120617;0000;;;;
120618;0000;;;;
120619;0000;;;9,96275;
120620;0000;;;;
120621;0000;;;11,2138;
120622;0000;;;13,1119;
120623;0000;;;9,14499;
120624;0000;;;10,095;
120625;0000;;;17,6489;
120626;0000;;;25,0084;
120627;0000;;;19,7198;
120628;0000;;;12,9053;
120629;0000;;;7,08984;
120630;0000;;;;
120701;0000;;;10,6766;
120702;0000;;;8,25714;
120703;0000;;;11,0682;
120704;0000;;;10,1507;
120705;0000;;;11,4245;
120706;0000;;;13,1709;
120707;0000;;;15,2712;
120708;0000;;;10,4243;
120709;0000;;;7,80953;
120710;0000;;;11,908;
120711;0000;;;28,8539;
120712;0000;;;73,9121;
120713;0000;;;;
120714;0000;;;17,2136;
120715;0000;;;20,7623;
120716;0000;;;19,272;
120717;0000;;;21,7063;
120718;0000;;;15,5545;
120719;0000;;;27,4459;
120720;0000;;;32,8909;
120721;0000;;;13,7127;
120722;0000;;;13,3412;
120723;0000;;;14,7584;
120724;0000;;;9,05154;
120725;0000;;;0,762753;
120726;0000;;;0,743779;
120727;0000;;;2,29641;
120728;0000;;;6,22772;
120729;0000;;;5,6319;
120730;0000;;;6,72157;
120731;0000;;;6,82699;
120801;0000;;;10,2103;
120802;0000;;;9,04871;
120803;0000;;;9,35965;
120804;0000;;;6,03844;
120805;0000;;;5,87138;
120806;0000;;;7,43333;
120807;0000;;;7,064;
120808;0000;;;8,55013;
120809;0000;;;9,40056;
120810;0000;;;7,189;
120811;0000;;;7,70225;
120812;0000;;;7,46571;
120813;0000;;;6,82957;
120814;0000;;;9,58838;
120815;0000;;;10,6869;
120816;0000;;;11,7142;
120817;0000;;;11,7876;
120818;0000;;;10,9047;
120819;0000;;;10,6761;
120820;0000;;;11,8494;
120821;0000;;;9,96016;
120822;0000;;;7,518;
120823;0000;;;7,56652;
120824;0000;;;6,92798;
120825;0000;;;9,20099;
120826;0000;;;9,49228;
120827;0000;;;322,37;
120828;0000;;;554,34;
120829;0000;;;9,63138;
120830;0000;;;9,21848;
120831;0000;;;12,3416;
120901;0000;;;14,7132;
120902;0000;;;14,669;
120903;0000;;;11,2032;
120904;0000;;;11,7946;
120905;0000;;;;
120906;0000;;;11,0753;
120907;0000;;;11,3879;
120908;0000;;;11,8128;
120909;0000;;;11,3775;
120910;0000;;;11,7256;
120911;0000;;;11,0601;
120912;0000;;;12,8795;
120913;0000;;;14,2797;
120914;0000;;;10,9137;
120915;0000;;;12,4611;
120916;0000;;;10,3219;
120917;0000;;;9,43919;
120918;0000;;;9,10341;
120919;0000;;;7,29812;
120920;0000;;;8,78885;
120921;0000;;;10,2277;
120922;0000;;;13,398;
120923;0000;;;12,8177;
120924;0000;;;14,3315;
120925;0000;;;15,3724;
120926;0000;;;14,5594;
120927;0000;;;10,5153;
120928;0000;;;12,2862;
120929;0000;;;11,0779;
120930;0000;;;9,06157;
121001;0000;;;;
121002;0000;;;9,67413;
121003;0000;;;10,0288;
121004;0000;;;8,4906;
121005;0000;;;10,4304;
121006;0000;;;8,42845;
121007;0000;;;;
121008;0000;;;13,6407;
