FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120404;0000;;;309,08;
120405;0000;;;144,824;
120406;0000;;;253,927;
120407;0000;;;318,618;
120408;0000;;;132,375;
120409;0000;;;449,143;
120410;0000;;;416,246;
120411;0000;;;630,034;
120412;0000;;;938,426;
120413;0000;;;419,152;
120414;0000;;;575,677;
120415;0000;;;295,277;
120416;0000;;;405,861;
120417;0000;;;357,271;
120418;0000;;;408,937;
120419;0000;;;373,041;
120420;0000;;;342,347;
120421;0000;;;428,392;
120422;0000;;;495,302;
120423;0000;;;635,931;
120424;0000;;;608,242;
120425;0000;;;936,034;
120426;0000;;;1516,73;
120427;0000;;;2252,26;
120428;0000;;;434,791;
120429;0000;;;865,322;
120430;0000;;;1037,16;
120501;0000;;;901,064;
120502;0000;;;931,558;
120503;0000;;;1112,31;
120504;0000;;;958,391;
120505;0000;;;1098,78;
120506;0000;;;341,302;
120507;0000;;;456,314;
120508;0000;;;933,172;
120509;0000;;;1395,13;
120510;0000;;;632,113;
120511;0000;;;442,128;
120512;0000;;;932,298;
120513;0000;;;1227,65;
120514;0000;;;860,094;
120515;0000;;;533,888;
120516;0000;;;605,433;
120517;0000;;;767,424;
120518;0000;;;773,44;
120519;0000;;;395,788;
120520;0000;;;328,815;
120521;0000;;;318,348;
120522;0000;;;681,472;
120523;0000;;;1642,18;
120524;0000;;;2307,56;
120525;0000;;;374,892;
120526;0000;;;;
120527;0000;;;;
120528;0000;;;2725,84;
120529;0000;;;485,473;
120530;0000;;;317,454;
120531;0000;;;800,188;
120601;0000;;;556,606;
120602;0000;;;405,021;
120603;0000;;;341,42;
120604;0000;;;255,917;
120605;0000;;;269,714;
120606;0000;;;376,864;
120607;0000;;;430,503;
120608;0000;;;532,631;
120609;0000;;;614,329;
120610;0000;;;432,875;
120611;0000;;;364,315;
120612;0000;;;334,503;
120613;0000;;;390,083;
120614;0000;;;407,555;
120615;0000;;;657,076;
120616;0000;;;378,531;
120617;0000;;;259,649;
120618;0000;;;419,136;
120619;0000;;;509,291;
120620;0000;;;268,261;
120621;0000;;;322,739;
120622;0000;;;252,357;
120623;0000;;;362,246;
120624;0000;;;359,253;
120625;0000;;;647,488;
120626;0000;;;844,998;
120627;0000;;;265,746;
120628;0000;;;305,656;
120629;0000;;;372,906;
120630;0000;;;305,177;
120701;0000;;;299,239;
120702;0000;;;274,434;
120703;0000;;;440,729;
120704;0000;;;332,127;
120705;0000;;;525,552;
120706;0000;;;725,104;
120707;0000;;;547,572;
120708;0000;;;323,972;
120709;0000;;;316,173;
120710;0000;;;310,402;
120711;0000;;;510,895;
120712;0000;;;851,471;
120713;0000;;;366,729;
120714;0000;;;410,572;
120715;0000;;;350,688;
120716;0000;;;471,59;
120717;0000;;;443,112;
120718;0000;;;439,34;
120719;0000;;;523,905;
120720;0000;;;731,834;
120721;0000;;;0,667346;
120722;0000;;;0,554731;
120723;0000;;;0,498377;
120724;0000;;;4,83583;
120725;0000;;;0,358506;
120726;0000;;;0,435707;
120727;0000;;;0,409553;
120728;0000;;;0,488878;
120729;0000;;;0,772876;
120730;0000;;;8,92393;
120731;0000;;;0,51504;
120801;0000;;;12,1716;
120802;0000;;;0,265805;
120803;0000;;;0,335142;
120804;0000;;;0,749102;
120805;0000;;;0,75138;
120806;0000;;;0,358496;
120807;0000;;;0,817966;
120808;0000;;;0,446596;
120809;0000;;;0,401079;
120810;0000;;;4,36073;
120811;0000;;;0,473814;
120812;0000;;;0,426745;
120813;0000;;;7,29807;
