FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;;2,60056;
120317;0000;;;;
120318;0000;;;;
120319;0000;;;8,0184;
120320;0000;;;4,34334;
120321;0000;;;2,32194;
120322;0000;;;1,4432;
120323;0000;;;1,25092;
120324;0000;;;1,26946;
120325;0000;;;1,11501;
120326;0000;;;7,1522;
120327;0000;;;8,27608;
120328;0000;;;1,7308;
120329;0000;;;1,75498;
120330;0000;;;3,67847;
120331;0000;;;1,92351;
120401;0000;;;0,753392;
120402;0000;;;54,4901;
120403;0000;;;1,92298;
120404;0000;;;;
120405;0000;;;;
120406;0000;;;;
120407;0000;;;;
120408;0000;;;;
120409;0000;;;;
120410;0000;;;;
120411;0000;;;3,03342;
120412;0000;;;1,87722;
120413;0000;;;1,15654;
120414;0000;;;;
120415;0000;;;;
120416;0000;;;;
120417;0000;;;;
120418;0000;;;;
120419;0000;;;;
120420;0000;;;;
120421;0000;;;;
120422;0000;;;;
120423;0000;;;6,72141;
120424;0000;;;2,37575;
120425;0000;;;2,28183;
120426;0000;;;3,21849;
120427;0000;;;5,56245;
120428;0000;;;0,847388;
120429;0000;;;;
120430;0000;;;;
120501;0000;;;1,45666;
120502;0000;;;16,3792;
120503;0000;;;2,4174;
120504;0000;;;2,98414;
120505;0000;;;2,05816;
120506;0000;;;;
120507;0000;;;;
120508;0000;;;1,69535;
120509;0000;;;2,35317;
120510;0000;;;0,884523;
120511;0000;;;;
120512;0000;;;1,7731;
120513;0000;;;1,79147;
120514;0000;;;;
120515;0000;;;1,37125;
120516;0000;;;;
120517;0000;;;;
120518;0000;;;2,96121;
120519;0000;;;;
120520;0000;;;;
120521;0000;;;;
120522;0000;;;;
120523;0000;;;2,32956;
120524;0000;;;4,52948;
120525;0000;;;;
120526;0000;;;;
120527;0000;;;5,0441;
120528;0000;;;;
120529;0000;;;;
120530;0000;;;;
120531;0000;;;3,70078;
120601;0000;;;2,1249;
120602;0000;;;;
120603;0000;;;;
120604;0000;;;;
120605;0000;;;;
120606;0000;;;;
120607;0000;;;;
120608;0000;;;;
120609;0000;;;1,23673;
120610;0000;;;;
120611;0000;;;1,54242;
120612;0000;;;;
120613;0000;;;;
120614;0000;;;1,02693;
120615;0000;;;1,45487;
120616;0000;;;;
120617;0000;;;;
120618;0000;;;;
120619;0000;;;;
120620;0000;;;;
120621;0000;;;;
120622;0000;;;;
120623;0000;;;;
120624;0000;;;;
120625;0000;;;;
120626;0000;;;1,82386;
120627;0000;;;;
120628;0000;;;;
120629;0000;;;;
120630;0000;;;;
120701;0000;;;;
120702;0000;;;;
120703;0000;;;;
120704;0000;;;;
120705;0000;;;;
120706;0000;;;;
120707;0000;;;;
120708;0000;;;;
120709;0000;;;;
120710;0000;;;;
120711;0000;;;;
120712;0000;;;;
120713;0000;;;;
120714;0000;;;;
120715;0000;;;;
120716;0000;;;;
120717;0000;;;;
120718;0000;;;;
120719;0000;;;1,68883;
120720;0000;;;3,84522;
120721;0000;;;1,66452;
120722;0000;;;;
120723;0000;;;;
120724;0000;;;;
120725;0000;;;;
120726;0000;;;;
120727;0000;;;;
120728;0000;;;;
120729;0000;;;;
120730;0000;;;;
120731;0000;;;;
120801;0000;;;;
120802;0000;;;;
120803;0000;;;;
120804;0000;;;2,13773;
120805;0000;;;;
120806;0000;;;;
120807;0000;;;;
120808;0000;;;;
120809;0000;;;;
120810;0000;;;1,48645;
120811;0000;;;;
120812;0000;;;;
120813;0000;;;;
120814;0000;;;;
120815;0000;;;;
120816;0000;;;;
120817;0000;;;;
120818;0000;;;;
120819;0000;;;;
120820;0000;;;;
120821;0000;;;;
120822;0000;;;;
120823;0000;;;;
120824;0000;;;;
120825;0000;;;;
120826;0000;;;;
120827;0000;;;;
120828;0000;;;5,08088;
120829;0000;;;;
120830;0000;;;2,53277;
120831;0000;;;;
120901;0000;;;1,83433;
120902;0000;;;;
120903;0000;;;;
120904;0000;;;;
120905;0000;;;;
120906;0000;;;;
120907;0000;;;;
120908;0000;;;;
120909;0000;;;;
120910;0000;;;3,14476;
120911;0000;;;;
120912;0000;;;;
120913;0000;;;;
120914;0000;;;;
120915;0000;;;;
120916;0000;;;;
120917;0000;;;;
120918;0000;;;;
120919;0000;;;;
120920;0000;;;;
120921;0000;;;;
120922;0000;;;;
120923;0000;;;;
120924;0000;;;;
120925;0000;;;;
120926;0000;;;3,01189;
120927;0000;;;;
120928;0000;;;;
120929;0000;;;;
120930;0000;;;;
121001;0000;;;;
121002;0000;;;;
121003;0000;;;;
121004;0000;;;;
121005;0000;;;;
121006;0000;;;;
121007;0000;;;;
121008;0000;;;;
121009;0000;;;;
121010;0000;;;;
121011;0000;;;1,10918;
121012;0000;;;;
121013;0000;;;;
121014;0000;;;;
121015;0000;;;;
121016;0000;;;;
121017;0000;;;;
121018;0000;;;;
121019;0000;;;;
121020;0000;;;;
121021;0000;;;;
121022;0000;;;;
121023;0000;;;;
121024;0000;;;;
121025;0000;;;;
121026;0000;;;;
121027;0000;;;;
121028;0000;;;;
121029;0000;;;;
121030;0000;;;;
121031;0000;;;;
121101;0000;;;;
121102;0000;;;;
121103;0000;;;;
121104;0000;;;;
121105;0000;;;;
121106;0000;;;;
121107;0000;;;;
121108;0000;;;;
121109;0000;;;;
121110;0000;;;66,0541;
121111;0000;;;57,3685;
121112;0000;;;67,6772;
121113;0000;;;66,1937;
121114;0000;;;58,7191;
121115;0000;;;56,4601;
121116;0000;;;55,1962;
121117;0000;;;52,4387;
121118;0000;;;57,1206;
121119;0000;;;73,6077;
121120;0000;;;86,8663;
121121;0000;;;137,856;
121122;0000;;;;
121123;0000;;;;
121124;0000;;;;
121125;0000;;;;
121126;0000;;;;
121127;0000;;;;
121128;0000;;;;
121129;0000;;;;
121130;0000;;;;
121201;0000;;;;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;;
121207;0000;;;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;;;
121213;0000;;;1,69777;
121214;0000;;;;
121215;0000;;;;
121216;0000;;;;
121217;0000;;;8,44383;
121218;0000;;;;
121219;0000;;;;
121220;0000;;;;
121221;0000;;;;
121222;0000;;;;
121223;0000;;;;
121224;0000;;;;
121225;0000;;;;
121226;0000;;;;
121227;0000;;;;
121228;0000;;;;
121229;0000;;;;
121230;0000;;;;
121231;0000;;;;
130101;0000;;;;
130102;0000;;;;
130103;0000;;;;
130104;0000;;;;
130105;0000;;;;
130106;0000;;;;
130107;0000;;;;
130108;0000;;;;
130109;0000;;;;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;;
130114;0000;;;9,9436;
130115;0000;;;3,23274;
130116;0000;;;;
130117;0000;;;;
130118;0000;;;5,88762;
130119;0000;;;5,76794;
130120;0000;;;2,70646;
130121;0000;;;;
130122;0000;;;2,54324;
130123;0000;;;;
130124;0000;;;;
130125;0000;;;;
130126;0000;;;;
130127;0000;;;;
130128;0000;;;;
130129;0000;;;;
130130;0000;;;;
130131;0000;;;;
130201;0000;;;;
130202;0000;;;;
130203;0000;;;;
130204;0000;;;;
130205;0000;;;;
130206;0000;;;;
130207;0000;;;1,98875;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;28,0213;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;;
130215;0000;;;;
130216;0000;;;;
130217;0000;;;;
130218;0000;;;;
130219;0000;;;;
130220;0000;;;;
130221;0000;;;2,42481;
130222;0000;;;4,0056;
130223;0000;;;;
130224;0000;;;;
130225;0000;;;;
130226;0000;;;;
130227;0000;;;;
130228;0000;;;;
130301;0000;;;;
130302;0000;;;;
130303;0000;;;;
130304;0000;;;;
130305;0000;;;;
130306;0000;;;;
130307;0000;;;;
130308;0000;;;;
130309;0000;;;;
130310;0000;;;;
130311;0000;;;;
130312;0000;;;;
130313;0000;;;;
130314;0000;;;;
130315;0000;;;1,96689;
130316;0000;;;;
130317;0000;;;1,71263;
130318;0000;;;;
130319;0000;;;2,8494;
130320;0000;;;;
130321;0000;;;1,17898;
130322;0000;;;;
130323;0000;;;;
130324;0000;;;;
130325;0000;;;;
130326;0000;;;;
130327;0000;;;;
130328;0000;;;;
130329;0000;;;;
130330;0000;;;;
130331;0000;;;;
130401;0000;;;40,9018;
130402;0000;;;2,42294;
130403;0000;;;;
130404;0000;;;;
130405;0000;;;;
130406;0000;;;;
130407;0000;;;;
130408;0000;;;;
130409;0000;;;2,10229;
130410;0000;;;;
130411;0000;;;;
130412;0000;;;;
130413;0000;;;;
130414;0000;;;;
130415;0000;;;;
130416;0000;;;;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;;
130421;0000;;;;
130422;0000;;;;
130423;0000;;;;
130424;0000;;;;
130425;0000;;;;
130426;0000;;;;
130427;0000;;;;
130428;0000;;;;
130429;0000;;;;
130430;0000;;;;
130501;0000;;;;
130502;0000;;;;
130503;0000;;;;
130504;0000;;;;
130505;0000;;;;
130506;0000;;;;
130507;0000;;;;
130508;0000;;;;
130509;0000;;;;
130510;0000;;;;
130511;0000;;;;
130512;0000;;;;
130513;0000;;;;
130514;0000;;;;
130515;0000;;;;
130516;0000;;;;
130517;0000;;;;
130518;0000;;;;
130519;0000;;;;
130520;0000;;;;
130521;0000;;;;
130522;0000;;;;
130523;0000;;;;
130524;0000;;;;
130525;0000;;;;
130526;0000;;;;
130527;0000;;;;
130528;0000;;;;
130529;0000;;;;
130530;0000;;;;
130531;0000;;;;
130601;0000;;;;
130602;0000;;;;
130603;0000;;;;
130604;0000;;;;
130605;0000;;;;
130606;0000;;;;
130607;0000;;;;
130608;0000;;;;
130609;0000;;;;
130610;0000;;;;
130611;0000;;;;
130612;0000;;;;
130613;0000;;;;
130614;0000;;;;
130615;0000;;;;
130616;0000;;;;
130617;0000;;;;
130618;0000;;;;
130619;0000;;;;
130620;0000;;;;
130621;0000;;;;
130622;0000;;;;
130623;0000;;;;
130624;0000;;;;
130625;0000;;;;
130626;0000;;;1,57314;
130627;0000;;;;
130628;0000;;;;
130629;0000;;;;
130630;0000;;;;
130701;0000;;;;
130702;0000;;;;
130703;0000;;;;
130704;0000;;;;
130705;0000;;;1,91156;
130706;0000;;;1,98014;
130707;0000;;;;
130708;0000;;;;
130709;0000;;;;
130710;0000;;;;
130711;0000;;;;
130712;0000;;;1,79694;
130713;0000;;;;
130714;0000;;;;
130715;0000;;;;
130716;0000;;;;
130717;0000;;;;
130718;0000;;;0,944256;
130719;0000;;;;
130720;0000;;;;
130721;0000;;;;
130722;0000;;;;
130723;0000;;;;
130724;0000;;;0,979792;
130725;0000;;;1,4607;
130726;0000;;;;
130727;0000;;;;
130728;0000;;;;
130729;0000;;;2,0518;
130730;0000;;;;
130731;0000;;;;
130801;0000;;;3,35411;
130802;0000;;;;
130803;0000;;;;
130804;0000;;;;
130805;0000;;;;
130806;0000;;;;
130807;0000;;;;
130808;0000;;;;
130809;0000;;;;
130810;0000;;;1,45497;
130811;0000;;;;
130812;0000;;;;
130813;0000;;;;
130814;0000;;;1,64094;
130815;0000;;;;
130816;0000;;;;
130817;0000;;;1,395;
130818;0000;;;;
130819;0000;;;;
130820;0000;;;;
130821;0000;;;;
130822;0000;;;;
130823;0000;;;;
130824;0000;;;;
130825;0000;;;;
130826;0000;;;;
130827;0000;;;;
130828;0000;;;6,51896;
130829;0000;;;1,55449;
130830;0000;;;;
130831;0000;;;1,34297;
130901;0000;;;;
130902;0000;;;;
130903;0000;;;2,26446;
130904;0000;;;4,29925;
130905;0000;;;;
130906;0000;;;;
130907;0000;;;;
130908;0000;;;;
130909;0000;;;;
130910;0000;;;;
130911;0000;;;;
130912;0000;;;;
130913;0000;;;;
130914;0000;;;;
130915;0000;;;;
130916;0000;;;;
130917;0000;;;;
130918;0000;;;;
130919;0000;;;;
130920;0000;;;;
130921;0000;;;;
130922;0000;;;;
130923;0000;;;;
130924;0000;;;1,84524;
130925;0000;;;;
130926;0000;;;;
130927;0000;;;;
130928;0000;;;;
130929;0000;;;;
130930;0000;;;;
131001;0000;;;;
131002;0000;;;;
131003;0000;;;;
131004;0000;;;;
131005;0000;;;;
131006;0000;;;;
131007;0000;;;;
131008;0000;;;;
131009;0000;;;;
131010;0000;;;;
131011;0000;;;;
131012;0000;;;;
131013;0000;;;;
131014;0000;;;;
131015;0000;;;;
131016;0000;;;;
131017;0000;;;;
131018;0000;;;;
131019;0000;;;;
131020;0000;;;;
131021;0000;;;;
131022;0000;;;;
131023;0000;;;;
131024;0000;;;;
131025;0000;;;5,9015;
131026;0000;;;;
131027;0000;;;;
131028;0000;;;;
131029;0000;;;;
131030;0000;;;;
131031;0000;;;;
131101;0000;;;;
131102;0000;;;;
131103;0000;;;;
131104;0000;;;;
131105;0000;;;;
131106;0000;;;;
131107;0000;;;;
131108;0000;;;;
131109;0000;;;11,1717;
131110;0000;;;13,1225;
131111;0000;;;11,846;
131112;0000;;;13,4231;
131113;0000;;;8,54485;
131114;0000;;;12,3281;
131115;0000;;;11,3129;
131116;0000;;;17,8479;
131117;0000;;;20,5365;
131118;0000;;;;
131119;0000;;;;
131120;0000;;;11,9342;
131121;0000;;;14,996;
131122;0000;;;15,8814;
131123;0000;;;18,6723;
131124;0000;;;24,2011;
131125;0000;;;;
131126;0000;;;33,6148;
131127;0000;;;23,9609;
131128;0000;;;;
131129;0000;;;;
131130;0000;;;;
131201;0000;;;;
131202;0000;;;;
131203;0000;;;;
131204;0000;;;;
131205;0000;;;;
131206;0000;;;;
131207;0000;;;;
131208;0000;;;;
131209;0000;;;;
131210;0000;;;;
131211;0000;;;;
131212;0000;;;;
131213;0000;;;;
131214;0000;;;;
131215;0000;;;;
131216;0000;;;;
131217;0000;;;;
131218;0000;;;;
131219;0000;;;;
131220;0000;;;;
131221;0000;;;;
131222;0000;;;;
131223;0000;;;;
131224;0000;;;;
131225;0000;;;;
131226;0000;;;;
131227;0000;;;;
131228;0000;;;;
131229;0000;;;;
131230;0000;;;;
131231;0000;;;;
140101;0000;;;;
140102;0000;;;;
140103;0000;;;;
140104;0000;;;;
140105;0000;;;;
140106;0000;;;;
140107;0000;;;;
140108;0000;;;;
140109;0000;;;;
140110;0000;;;;
140111;0000;;;;
140112;0000;;;12,6071;
140113;0000;;;11,7668;
140114;0000;;;3,56569;
140115;0000;;;;
140116;0000;;;2,73435;
140117;0000;;;;
140118;0000;;;;
140119;0000;;;;
140120;0000;;;;
140121;0000;;;;
140122;0000;;;;
140123;0000;;;;
140124;0000;;;;
140125;0000;;;;
140126;0000;;;;
140127;0000;;;;
140128;0000;;;;
140129;0000;;;;
140130;0000;;;;
140131;0000;;;;
140201;0000;;;;
140202;0000;;;;
140203;0000;;;;
140204;0000;;;;
140205;0000;;;3,18172;
140206;0000;;;;
140207;0000;;;;
140208;0000;;;;
140209;0000;;;;
140210;0000;;;;
140211;0000;;;;
140212;0000;;;;
140213;0000;;;;
140214;0000;;;;
140215;0000;;;;
140216;0000;;;;
140217;0000;;;;
140218;0000;;;;
140219;0000;;;;
140220;0000;;;;
140221;0000;;;;
140222;0000;;;;
140223;0000;;;;
140224;0000;;;;
140225;0000;;;;
140226;0000;;;;
140227;0000;;;;
140228;0000;;;;
140301;0000;;;;
140302;0000;;;;
140303;0000;;;;
140304;0000;;;;
140305;0000;;;;
140306;0000;;;;
140307;0000;;;;
140308;0000;;;;
140309;0000;;;;
140310;0000;;;;
140311;0000;;;;
140312;0000;;;;
140313;0000;;;;
140314;0000;;;;
140315;0000;;;;
140316;0000;;;;
140317;0000;;;;
140318;0000;;;;
140319;0000;;;;
140320;0000;;;;
140321;0000;;;;
140322;0000;;;;
140323;0000;;;;
140324;0000;;;;
140325;0000;;;;
140326;0000;;;;
140327;0000;;;;
140328;0000;;;;
140329;0000;;;;
140330;0000;;;;
140331;0000;;;;
140401;0000;;;;
140402;0000;;;2,39824;
140403;0000;;;;
140404;0000;;;;
140405;0000;;;;
140406;0000;;;;
140407;0000;;;;
140408;0000;;;;
140409;0000;;;;
140410;0000;;;;
140411;0000;;;;
140412;0000;;;;
140413;0000;;;;
140414;0000;;;;
140415;0000;;;;
140416;0000;;;;
140417;0000;;;;
140418;0000;;;;
140419;0000;;;;
140420;0000;;;;
140421;0000;;;0,924665;
140422;0000;;;6,44736;
140423;0000;;;2,45438;
140424;0000;;;1,87083;
140425;0000;;;1,49821;
140426;0000;;;;
140427;0000;;;;
140428;0000;;;;
140429;0000;;;;
140430;0000;;;;
140501;0000;;;;
140502;0000;;;;
140503;0000;;;;
140504;0000;;;;
140505;0000;;;;
140506;0000;;;;
140507;0000;;;;
140508;0000;;;;
140509;0000;;;;
140510;0000;;;;
140511;0000;;;;
140512;0000;;;;
140513;0000;;;;
140514;0000;;;;
140515;0000;;;;
140516;0000;;;;
140517;0000;;;;
140518;0000;;;;
140519;0000;;;;
140520;0000;;;;
140521;0000;;;;
140522;0000;;;;
140523;0000;;;;
140524;0000;;;;
140525;0000;;;;
140526;0000;;;;
140527;0000;;;;
140528;0000;;;;
140529;0000;;;;
140530;0000;;;;
140531;0000;;;;
140601;0000;;;;
140602;0000;;;;
140603;0000;;;;
140604;0000;;;;
140605;0000;;;;
140606;0000;;;;
140607;0000;;;;
140608;0000;;;;
140609;0000;;;;
140610;0000;;;;
140611;0000;;;;
140612;0000;;;;
140613;0000;;;;
140614;0000;;;;
140615;0000;;;;
140616;0000;;;;
140617;0000;;;;
140618;0000;;;0,97565;
140619;0000;;;1,84395;
140620;0000;;;;
140621;0000;;;;
140622;0000;;;;
140623;0000;;;;
140624;0000;;;;
140625;0000;;;;
140626;0000;;;1,05246;
140627;0000;;;;
140628;0000;;;1,70665;
140629;0000;;;;
140630;0000;;;;
140701;0000;;;;
140702;0000;;;;
140703;0000;;;;
140704;0000;;;;
140705;0000;;;;
140706;0000;;;;
140707;0000;;;;
140708;0000;;;;
140709;0000;;;2,14914;
140710;0000;;;2,70527;
140711;0000;;;;
140712;0000;;;;
140713;0000;;;;
140714;0000;;;;
140715;0000;;;;
140716;0000;;;;
140717;0000;;;;
140718;0000;;;;
140719;0000;;;;
140720;0000;;;;
140721;0000;;;;
140722;0000;;;;
140723;0000;;;;
140724;0000;;;;
140725;0000;;;;
140726;0000;;;;
140727;0000;;;;
140728;0000;;;;
140729;0000;;;;
140730;0000;;;;
140731;0000;;;;
140801;0000;;;;
140802;0000;;;;
140803;0000;;;;
140804;0000;;;;
140805;0000;;;;
140806;0000;;;;
140807;0000;;;;
140808;0000;;;;
140809;0000;;;;
140810;0000;;;;
140811;0000;;;;
140812;0000;;;;
140813;0000;;;;
140814;0000;;;;
140815;0000;;;;
140816;0000;;;;
140817;0000;;;;
140818;0000;;;;
140819;0000;;;;
140820;0000;;;;
140821;0000;;;;
140822;0000;;;;
140823;0000;;;;
140824;0000;;;;
140825;0000;;;;
140826;0000;;;;
140827;0000;;;;
140828;0000;;;;
