FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;;17,8908;
120317;0000;;;15,015;
120318;0000;;;8,50381;
120319;0000;;;12,36;
120320;0000;;;10,9969;
120321;0000;;;17,4786;
120322;0000;;;18,4591;
120323;0000;;;19,2345;
120324;0000;;;17,0974;
120325;0000;;;17,5764;
120326;0000;;;25,036;
120327;0000;;;26,239;
120328;0000;;;22,6355;
120329;0000;;;21,9545;
120330;0000;;;17,8409;
120331;0000;;;19,6499;
120401;0000;;;16,4532;
120402;0000;;;31,3906;
120403;0000;;;19,7021;
120404;0000;;;15,3459;
120405;0000;;;16,4652;
120406;0000;;;13,5614;
120407;0000;;;9,50615;
120408;0000;;;17,1861;
120409;0000;;;21,3395;
120410;0000;;;17,1652;
120411;0000;;;15,9029;
120412;0000;;;19,1752;
120413;0000;;;13,006;
120414;0000;;;15,9712;
120415;0000;;;16,2532;
120416;0000;;;23,4217;
120417;0000;;;17,9149;
120418;0000;;;19,2748;
120419;0000;;;18,925;
120420;0000;;;21,3763;
120421;0000;;;16,9553;
120422;0000;;;14,8467;
120423;0000;;;19,3362;
120424;0000;;;14,9869;
120425;0000;;;7,98563;
120426;0000;;;3,75568;
120427;0000;;;8,47023;
120428;0000;;;13,986;
120429;0000;;;11,6367;
120430;0000;;;13,847;
120501;0000;;;8,84721;
120502;0000;;;14,2243;
120503;0000;;;12,7536;
120504;0000;;;8,84294;
120505;0000;;;14,6177;
120506;0000;;;20,1496;
120507;0000;;;23,4268;
120508;0000;;;9,17032;
120509;0000;;;10,5061;
120510;0000;;;9,08865;
120511;0000;;;15,8409;
120512;0000;;;7,67163;
120513;0000;;;6,5709;
120514;0000;;;12,8287;
120515;0000;;;13,1867;
120516;0000;;;11,6022;
120517;0000;;;9,26562;
120518;0000;;;9,00215;
120519;0000;;;15,2997;
120520;0000;;;17,1629;
120521;0000;;;20,6744;
120522;0000;;;27,2225;
120523;0000;;;11,464;
120524;0000;;;4,91676;
120525;0000;;;17,676;
120526;0000;;;;
120527;0000;;;;
120528;0000;;;30,53;
120529;0000;;;10,6035;
120530;0000;;;12,3462;
120531;0000;;;11,3984;
120601;0000;;;5,23341;
120602;0000;;;14,4699;
120603;0000;;;13,696;
120604;0000;;;20,4961;
120605;0000;;;23,4675;
120606;0000;;;21,0751;
120607;0000;;;17,7779;
120608;0000;;;10,9711;
120609;0000;;;8,0674;
120610;0000;;;8,9373;
120611;0000;;;13,4545;
120612;0000;;;21,9747;
120613;0000;;;19,2741;
120614;0000;;;14,9059;
120615;0000;;;7,44549;
120616;0000;;;16,7882;
120617;0000;;;24,3334;
120618;0000;;;18,1329;
120619;0000;;;10,5639;
120620;0000;;;21,5678;
120621;0000;;;16,6328;
120622;0000;;;16,7551;
120623;0000;;;14,6458;
120624;0000;;;13,9467;
120625;0000;;;17,7076;
120626;0000;;;10,7593;
120627;0000;;;22,597;
120628;0000;;;19,6757;
