FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;;1,78909;
120317;0000;;;1,76642;
120318;0000;;;1,76445;
120319;0000;;;7,34526;
120320;0000;;;1,94261;
120321;0000;;;1,84106;
120322;0000;;;1,91685;
120323;0000;;;1,94609;
120324;0000;;;1,8745;
120325;0000;;;1,90541;
120326;0000;;;8,3098;
120327;0000;;;2,42241;
120328;0000;;;2,00113;
120329;0000;;;1,91312;
120330;0000;;;2,23367;
120331;0000;;;1,93131;
120401;0000;;;1,87902;
120402;0000;;;8,60049;
120403;0000;;;2,04858;
120404;0000;;;1,92608;
120405;0000;;;1,87499;
120406;0000;;;1,86575;
120407;0000;;;1,83272;
120408;0000;;;1,81299;
120409;0000;;;1,84985;
120410;0000;;;2,0561;
120411;0000;;;1,97654;
120412;0000;;;2,33857;
120413;0000;;;2,04544;
120414;0000;;;1,92911;
120415;0000;;;1,97599;
120416;0000;;;1,92245;
120417;0000;;;5,99955;
120418;0000;;;1,96278;
120419;0000;;;1,86482;
120420;0000;;;1,87795;
120421;0000;;;2,66116;
120422;0000;;;2,23567;
120423;0000;;;7,53595;
120424;0000;;;2,1485;
120425;0000;;;1,85638;
120426;0000;;;1,96167;
120427;0000;;;2,00261;
120428;0000;;;1,96123;
120429;0000;;;2,03171;
120430;0000;;;7,77876;
120501;0000;;;1,94235;
120502;0000;;;3,5322;
120503;0000;;;1,8827;
120504;0000;;;1,85823;
120505;0000;;;1,86676;
120506;0000;;;1,80702;
120507;0000;;;7,3772;
120508;0000;;;1,89197;
120509;0000;;;1,88683;
120510;0000;;;2,13005;
120511;0000;;;1,81706;
120512;0000;;;1,9793;
120513;0000;;;1,86896;
120514;0000;;;7,71754;
120515;0000;;;1,86508;
120516;0000;;;1,93164;
120517;0000;;;1,85743;
120518;0000;;;1,9849;
120519;0000;;;1,98747;
120520;0000;;;1,94572;
120521;0000;;;7,51093;
120522;0000;;;1,9132;
120523;0000;;;1,98987;
120524;0000;;;1,9625;
120525;0000;;;1,95605;
120526;0000;;;;
120527;0000;;;21,5768;
120528;0000;;;19,499;
120529;0000;;;1,8791;
120530;0000;;;1,90423;
120531;0000;;;7,33799;
120601;0000;;;1,94753;
120602;0000;;;1,98848;
120603;0000;;;1,93965;
120604;0000;;;2,01704;
120605;0000;;;11,9948;
120606;0000;;;2,08151;
120607;0000;;;2,09343;
120608;0000;;;2,23732;
120609;0000;;;2,06465;
120610;0000;;;2,04179;
120611;0000;;;7,04379;
120612;0000;;;2,09654;
120613;0000;;;2,02235;
120614;0000;;;2,11058;
120615;0000;;;2,04661;
120616;0000;;;2,03522;
120617;0000;;;2,00718;
120618;0000;;;9,9408;
120619;0000;;;2,0192;
120620;0000;;;2,54015;
120621;0000;;;2,1083;
120622;0000;;;2,17923;
120623;0000;;;2,09108;
120624;0000;;;2,11671;
120625;0000;;;2,64949;
120626;0000;;;2,14217;
120627;0000;;;2,12376;
120628;0000;;;2,08754;
120629;0000;;;2,04634;
120630;0000;;;1,9933;
120701;0000;;;1,98838;
120702;0000;;;2,05567;
120703;0000;;;2,11204;
120704;0000;;;9,64156;
120705;0000;;;2,11041;
120706;0000;;;2,1295;
120707;0000;;;2,10397;
120708;0000;;;2,10848;
120709;0000;;;2,15991;
120710;0000;;;2,45153;
120711;0000;;;6,79793;
120712;0000;;;2,13511;
120713;0000;;;2,17266;
120714;0000;;;2,19745;
120715;0000;;;2,1898;
120716;0000;;;7,56891;
120717;0000;;;1,39744;
120718;0000;;;0,407652;
