FECHA (YYMMDD);HORA (HHMM);;
120313;0100;;
120313;0200;;
120313;0300;;
120313;0400;;
120313;0500;;
120313;0600;;
120313;0700;;
120313;0800;;
120313;0900;;
120313;1000;;
120313;1100;;
120313;1200;;
120313;1300;;
120313;1400;24,088;
120313;1500;24,8433;
120313;1600;24,8358;
120313;1700;24,4117;
120313;1800;22,995;
120313;1900;20,6666;
120313;2000;19,44;
120313;2100;18,9733;
120313;2200;17,7975;
120313;2300;16,6558;
120314;0000;15,7033;
120314;0100;14,9975;
120314;0200;14,385;
120314;0300;14,3492;
120314;0400;14,2841;
120314;0500;14,3042;
120314;0600;14,415;
120314;0700;14,7167;
120314;0800;16,3733;
120314;0900;18,5316;
120314;1000;20,9533;
120314;1100;23,2267;
120314;1200;25,6891;
120314;1300;27,2541;
120314;1400;28,3275;
120314;1500;29,5841;
120314;1600;30,01;
120314;1700;29,2075;
120314;1800;27,2458;
120314;1900;25,1166;
120314;2000;23,8025;
120314;2100;22,28;
120314;2200;20,8116;
120314;2300;19,3325;
120315;0000;18,4225;
120315;0100;17,5308;
120315;0200;16,8975;
120315;0300;16,4041;
120315;0400;15,93;
120315;0500;15,4533;
120315;0600;14,9825;
120315;0700;14,8683;
120315;0800;16,9675;
120315;0900;19,5316;
120315;1000;22,1725;
120315;1100;24,4541;
120315;1200;27,0383;
120315;1300;29,5425;
120315;1400;30,8708;
120315;1500;31,6591;
120315;1600;32,3525;
120315;1700;32,2299;
120315;1800;30,5566;
120315;1900;23,5158;
120315;2000;20,3425;
120315;2100;17,7033;
120315;2200;15,7216;
120315;2300;13,8333;
120316;0000;12,6425;
120316;0100;12,0758;
120316;0200;11,5217;
120316;0300;10,8683;
120316;0400;10,37;
120316;0500;9,6433;
120316;0600;10,4467;
120316;0700;11,8908;
120316;0800;12,6142;
120316;0900;13,07;
120316;1000;13,9566;
120316;1100;15,03;
120316;1200;16,0858;
120316;1300;16,4825;
120316;1400;17,0216;
120316;1500;17,5283;
120316;1600;18,1708;
120316;1700;18,6216;
120316;1800;18,375;
120316;1900;16,9833;
120316;2000;15,615;
120316;2100;14,6258;
120316;2200;15,525;
120316;2300;15,44;
120317;0000;15,5683;
120317;0100;15,8033;
120317;0200;16,34;
120317;0300;16,6558;
120317;0400;16,65;
120317;0500;16,4033;
120317;0600;16,3666;
120317;0700;16,35;
120317;0800;16,7525;
120317;0900;17,0758;
120317;1000;17,9091;
120317;1100;19,3158;
120317;1200;20,6941;
120317;1300;20,7416;
120317;1400;20,895;
120317;1500;21,9808;
120317;1600;22,2341;
120317;1700;22,395;
120317;1800;21,825;
120317;1900;17,825;
120317;2000;15,0058;
120317;2100;13,3325;
120317;2200;12,2883;
120317;2300;11,5717;
120318;0000;10,8067;
120318;0100;10,125;
120318;0200;9,50165;
120318;0300;11,0092;
120318;0400;10,6808;
120318;0500;10,3025;
120318;0600;9,10332;
120318;0700;9,10248;
120318;0800;13,7683;
120318;0900;17,53;
120318;1000;20,275;
120318;1100;21,9983;
120318;1200;23,27;
120318;1300;24,1766;
120318;1400;25,0841;
120318;1500;25,2258;
120318;1600;24,7483;
120318;1700;22,7316;
120318;1800;22,0183;
120318;1900;20,875;
120318;2000;19,2175;
120318;2100;17,1425;
120318;2200;17,1891;
120318;2300;16,78;
120319;0000;16,6608;
120319;0100;16,0741;
120319;0200;15,8792;
