FECHA (YYMMDD);HORA (HHMM);;
120313;0100;;
120313;0200;;
120313;0300;;
120313;0400;;
120313;0500;;
120313;0600;;
120313;0700;;
120313;0800;;
120313;0900;;
120313;1000;;
120313;1100;;
120313;1200;;
120313;1300;;
120313;1400;3,71687;
120313;1500;3,51123;
120313;1600;3,54158;
120313;1700;3,19619;
120313;1800;2,69428;
120313;1900;1,87467;
120313;2000;1,99939;
120313;2100;2,38072;
120313;2200;2,7218;
120313;2300;3,60977;
120314;0000;3,4115;
120314;0100;3,02317;
120314;0200;2,77502;
120314;0300;2,77524;
120314;0400;2,49944;
120314;0500;3,15387;
120314;0600;3,92087;
120314;0700;3,82917;
120314;0800;3,55022;
120314;0900;4,12732;
120314;1000;3,63164;
120314;1100;3,82533;
120314;1200;3,90223;
120314;1300;4,45132;
120314;1400;4,83041;
120314;1500;3,58207;
120314;1600;3,33718;
120314;1700;3,8027;
120314;1800;2,69694;
120314;1900;3,08435;
120314;2000;3,92857;
120314;2100;3,91068;
120314;2200;3,42004;
120314;2300;2,90673;
120315;0000;3,42406;
120315;0100;2,51664;
120315;0200;2,66614;
120315;0300;2,35071;
120315;0400;2,18521;
120315;0500;2,48934;
120315;0600;2,06348;
120315;0700;1,43144;
120315;0800;2,27622;
120315;0900;2,60935;
120315;1000;2,35725;
120315;1100;2,13664;
120315;1200;1,79207;
120315;1300;1,37376;
120315;1400;1,62732;
120315;1500;1,66737;
120315;1600;1,46981;
120315;1700;1,01873;
120315;1800;0,472618;
120315;1900;0,974409;
120315;2000;2,1738;
120315;2100;1,71071;
120315;2200;1,25803;
120315;2300;0,634861;
120316;0000;0,405667;
120316;0100;0,176041;
120316;0200;0,00358333;
120316;0300;0,270615;
120316;0400;0,35252;
120316;0500;0,125921;
120316;0600;0,181902;
120316;0700;0,850859;
120316;0800;0,908286;
120316;0900;1,64727;
120316;1000;1,94152;
120316;1100;2,25168;
120316;1200;2,09959;
120316;1300;2,58502;
120316;1400;2,33531;
120316;1500;1,68469;
120316;1600;1,65191;
120316;1700;1,25569;
120316;1800;1,38363;
120316;1900;0,740497;
120316;2000;0,612735;
120316;2100;0,360755;
120316;2200;0,258996;
120316;2300;0,0837071;
120317;0000;0,413259;
120317;0100;0,932351;
120317;0200;1,44505;
120317;0300;1,60242;
120317;0400;1,28723;
120317;0500;1,33283;
120317;0600;1,40635;
120317;0700;1,10622;
120317;0800;1,49584;
120317;0900;1,40976;
120317;1000;2,25758;
120317;1100;3,0862;
120317;1200;3,41455;
120317;1300;3,05467;
120317;1400;3,0963;
120317;1500;2,23167;
120317;1600;1,85702;
120317;1700;1,26517;
120317;1800;0,851241;
120317;1900;0,153695;
120317;2000;0,198412;
120317;2100;0,386961;
120317;2200;0,392305;
120317;2300;0,319879;
120318;0000;0,350607;
120318;0100;0,248533;
120318;0200;0,106534;
120318;0300;1,22681;
120318;0400;0,105235;
120318;0500;0,13232;
120318;0600;0,203467;
120318;0700;0,631079;
120318;0800;0,549521;
120318;0900;1,46005;
120318;1000;1,7713;
120318;1100;2,75851;
120318;1200;3,1477;
120318;1300;2,91577;
120318;1400;2,75286;
120318;1500;3,30946;
120318;1600;3,21635;
120318;1700;1,23095;
120318;1800;2,04651;
120318;1900;2,23338;
120318;2000;0,516727;
120318;2100;0,499896;
120318;2200;0,721295;
120318;2300;0,304687;
120319;0000;0,390123;
