FECHA (YYMMDD);HORA (HHMM);;
180827;0100;;
180827;0200;;
180827;0300;;
180827;0400;;
180827;0500;;
180827;0600;;
180827;0700;;
180827;0800;;
180827;0900;;
180827;1000;;
180827;1100;;
180827;1200;;
180827;1300;;
180827;1400;85,72;
180827;1500;77,37;
180827;1600;77,4401;
180827;1700;83,83;
180827;1800;90,08;
180827;1900;89,83;
180827;2000;92,03;
180827;2100;94,3;
180827;2200;95,7;
180827;2300;94,28;
180828;0000;92,97;
180828;0100;96;
180828;0200;96,62;
180828;0300;92,28;
180828;0400;89,22;
180828;0500;89,8;
180828;0600;90,17;
180828;0700;84,88;
180828;0800;94,12;
180828;0900;91,42;
180828;1000;82,95;
180828;1100;71,08;
180828;1200;55,93;
180828;1300;56,99;
180828;1400;57,2;
180828;1500;59,39;
180828;1600;64,55;
180828;1700;75,79;
180828;1800;81,12;
180828;1900;80,52;
180828;2000;79,48;
180828;2100;81,85;
180828;2200;82,4;
180828;2300;83,62;
180829;0000;87,2;
180829;0100;88,78;
180829;0200;91,38;
180829;0300;92,55;
180829;0400;92,88;
180829;0500;92,38;
180829;0600;93,2;
180829;0700;92,33;
180829;0800;89,55;
180829;0900;85,22;
180829;1000;81,97;
180829;1100;77,47;
180829;1200;75,8101;
180829;1300;79,1;
180829;1400;80,4401;
180829;1500;82,7;
180829;1600;83,03;
180829;1700;86,78;
180829;1800;93,55;
180829;1900;96,3;
180829;2000;97,35;
180829;2100;97,15;
180829;2200;97,45;
180829;2300;98,47;
180830;0000;95,72;
180830;0100;96,67;
180830;0200;96,12;
180830;0300;96,6;
180830;0400;95,8;
180830;0500;93,88;
180830;0600;91,48;
180830;0700;90,97;
180830;0800;84,72;
180830;0900;79,24;
180830;1000;75,08;
180830;1100;69,1801;
180830;1200;60,73;
180830;1300;60,48;
180830;1400;63,19;
180830;1500;65,79;
180830;1600;70,16;
180830;1700;81,0699;
180830;1800;82,79;
180830;1900;86,95;
180830;2000;90,65;
180830;2100;90,15;
180830;2200;86,2;
180830;2300;88,98;
180831;0000;91,12;
180831;0100;90,05;
180831;0200;92,12;
180831;0300;94,55;
180831;0400;94,28;
180831;0500;90,33;
180831;0600;87,5;
180831;0700;87,08;
180831;0800;85,4;
180831;0900;80,11;
180831;1000;73,61;
180831;1100;68,0601;
180831;1200;69,73;
180831;1300;68,55;
180831;1400;70,08;
180831;1500;74,6801;
180831;1600;78,5699;
180831;1700;81,6;
180831;1800;88,05;
180831;1900;89,38;
180831;2000;93,03;
180831;2100;94,53;
180831;2200;96,58;
180831;2300;98,38;
180901;0000;98,83;
180901;0100;98,2;
180901;0200;99,22;
180901;0300;99,15;
180901;0400;100;
180901;0500;100;
180901;0600;100;
180901;0700;100;
180901;0800;100;
180901;0900;92,75;
180901;1000;84,08;
180901;1100;82,33;
180901;1200;70,38;
180901;1300;64,67;
180901;1400;71,09;
180901;1500;75,73;
180901;1600;74,0601;
180901;1700;76,72;
180901;1800;77,78;
180901;1900;82,05;
180901;2000;85,17;
180901;2100;83,95;
180901;2200;83,38;
180901;2300;85,47;
180902;0000;81,73;
180902;0100;77,27;
180902;0200;75,26;
180902;0300;75;
180902;0400;74,5;
180902;0500;73,13;
180902;0600;76,33;
180902;0700;87,6;
180902;0800;78,88;
180902;0900;70,88;
180902;1000;68,03;
180902;1100;66,42;
180902;1200;64,58;
180902;1300;66,51;
180902;1400;68,33;
180902;1500;71,34;
180902;1600;77,78;
180902;1700;79,83;
180902;1800;85,55;
180902;1900;90,83;
180902;2000;92,28;
180902;2100;92,8;
180902;2200;91,4;
180902;2300;94,1;
180903;0000;94,78;
180903;0100;97,03;
180903;0200;98,1;
180903;0300;98,8;
180903;0400;98,38;
180903;0500;96,25;
180903;0600;96,4;
180903;0700;93,9;
180903;0800;83,67;
180903;0900;72,12;
180903;1000;64,86;
180903;1100;57,43;
180903;1200;57,98;
180903;1300;50,34;
180903;1400;48,56;
180903;1500;52,88;
180903;1600;55,88;
180903;1700;63,91;
180903;1800;70,64;
180903;1900;71,78;
180903;2000;66,61;
180903;2100;64,27;
180903;2200;68,33;
180903;2300;74,41;
180904;0000;78,1;
180904;0100;78,54;
180904;0200;80,41;
180904;0300;79,71;
180904;0400;82,55;
180904;0500;82,7;
180904;0600;83,08;
180904;0700;86,3;
180904;0800;73,77;
180904;0900;66,75;
180904;1000;67,84;
180904;1100;62,46;
180904;1200;54,16;
180904;1300;58,36;
180904;1400;59,23;
180904;1500;68,78;
180904;1600;76,12;
180904;1700;81,77;
180904;1800;89,55;
180904;1900;91,42;
180904;2000;91,47;
180904;2100;91,92;
180904;2200;94,55;
180904;2300;94,5;
180905;0000;94,3;
180905;0100;95,33;
180905;0200;99,6;
180905;0300;99,47;
180905;0400;95,1;
180905;0500;92,15;
180905;0600;85,25;
180905;0700;77,97;
180905;0800;82,15;
180905;0900;82,45;
180905;1000;77,1;
180905;1100;74,88;
180905;1200;74,59;
180905;1300;76,6;
180905;1400;87,15;
180905;1500;93,58;
180905;1600;94,17;
180905;1700;82,5;
180905;1800;94,6;
180905;1900;98,7;
180905;2000;98,75;
180905;2100;97,22;
180905;2200;97,83;
180905;2300;97,42;
180906;0000;97,35;
180906;0100;97,95;
180906;0200;98,97;
180906;0300;99,73;
180906;0400;99,92;
180906;0500;100;
180906;0600;100;
180906;0700;100;
180906;0800;100;
180906;0900;97,45;
180906;1000;66,91;
180906;1100;53,04;
180906;1200;51,83;
180906;1300;53,95;
180906;1400;57,14;
180906;1500;57,11;
180906;1600;61,71;
180906;1700;66,84;
180906;1800;72,03;
180906;1900;75,78;
180906;2000;77,3101;
180906;2100;82;
180906;2200;85,53;
180906;2300;88,12;
180907;0000;89,8;
180907;0100;89,78;
180907;0200;88,15;
180907;0300;85,25;
180907;0400;90,85;
180907;0500;95,45;
180907;0600;96;
180907;0700;87,28;
180907;0800;78,21;
180907;0900;72,15;
180907;1000;63,85;
180907;1100;56,79;
180907;1200;54,98;
180907;1300;52,92;
180907;1400;58,47;
180907;1500;60,48;
180907;1600;62,04;
180907;1700;62,3;
180907;1800;68,89;
180907;1900;70,37;
180907;2000;74,9301;
180907;2100;78,9301;
180907;2200;80,3;
180907;2300;83,65;
180908;0000;88,72;
180908;0100;89,15;
180908;0200;87,65;
180908;0300;89,9;
180908;0400;94,65;
180908;0500;96,1;
180908;0600;94,75;
180908;0700;91,83;
180908;0800;75,8199;
180908;0900;61,9;
180908;1000;59,01;
180908;1100;56,09;
180908;1200;47,83;
180908;1300;41,85;
180908;1400;45,32;
180908;1500;55,75;
180908;1600;63,05;
180908;1700;66,59;
180908;1800;73,92;
180908;1900;75,6;
180908;2000;76,7;
180908;2100;83,5699;
180908;2200;87,12;
180908;2300;87,47;
180909;0000;89,2;
180909;0100;91;
180909;0200;92,85;
180909;0300;95,8;
180909;0400;95,95;
180909;0500;90,85;
180909;0600;90,03;
180909;0700;89,03;
180909;0800;79,9301;
180909;0900;70,78;
180909;1000;56,15;
180909;1100;56,67;
180909;1200;50,63;
180909;1300;48,43;
180909;1400;53,77;
180909;1500;58,88;
180909;1600;66,58;
180909;1700;76,53;
180909;1800;85,58;
180909;1900;89,47;
180909;2000;90,4;
180909;2100;92,35;
180909;2200;92,77;
180909;2300;91,95;
180910;0000;92,12;
180910;0100;94,4;
180910;0200;96,5;
180910;0300;95,42;
180910;0400;95,75;
180910;0500;96,72;
180910;0600;99,6;
180910;0700;100;
180910;0800;96,5;
180910;0900;87,2;
180910;1000;79,59;
180910;1100;64,96;
180910;1200;63,4;
180910;1300;64,0699;
180910;1400;65,63;
180910;1500;60,3;
180910;1600;55,71;
180910;1700;57,7;
180910;1800;62,76;
180910;1900;69,6801;
180910;2000;65,53;
180910;2100;61,51;
180910;2200;61,44;
180910;2300;66,67;
180911;0000;74,22;
180911;0100;78,97;
180911;0200;84,22;
180911;0300;83,17;
180911;0400;81,65;
180911;0500;83,1;
180911;0600;86,9;
180911;0700;83,42;
180911;0800;78,37;
180911;0900;80,16;
180911;1000;78,25;
180911;1100;75,51;
180911;1200;73,76;
180911;1300;72,65;
180911;1400;73,4301;
180911;1500;73,02;
180911;1600;75,04;
180911;1700;76,9;
180911;1800;82,83;
180911;1900;88,38;
180911;2000;87,55;
180911;2100;86,62;
