FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100921;0000;;;32,9966;
100922;0000;;;58,7081;
100923;0000;;;69,0459;
100924;0000;;;44,4094;
100925;0000;;;57,8201;
100926;0000;;;51,3415;
100927;0000;;;29,3743;
100928;0000;;;48,1369;
100929;0000;;;52,0735;
100930;0000;;;57,9535;
101001;0000;;;53,4096;
101002;0000;;;50,4717;
101003;0000;;;28,3252;
101004;0000;;;45,4439;
101005;0000;;;49,6192;
101006;0000;;;55,7488;
101007;0000;;;45,5469;
101008;0000;;;59,6726;
101009;0000;;;57,8356;
101010;0000;;;54,4143;
101011;0000;;;50,7418;
101012;0000;;;38,9818;
101013;0000;;;30,1308;
101014;0000;;;33,8273;
101015;0000;;;39,6625;
101016;0000;;;43,5216;
101017;0000;;;28,0788;
101018;0000;;;34,0114;
101019;0000;;;27,0062;
101020;0000;;;;
101021;0000;;;;
101022;0000;;;;
101023;0000;;;32,2669;
101024;0000;;;49,9171;
101025;0000;;;;
101026;0000;;;;
101027;0000;;;;
101028;0000;;;;
101029;0000;;;;
101030;0000;;;;
101031;0000;;;;
101101;0000;;;;
101102;0000;;;;
101103;0000;;;;
101104;0000;;;;
101105;0000;;;;
101106;0000;;;;
101107;0000;;;;
101108;0000;;;;
101109;0000;;;;
101110;0000;;;;
101111;0000;;;;
101112;0000;;;;
101113;0000;;;;
101114;0000;;;;
101115;0000;;;;
101116;0000;;;;
101117;0000;;;;
101118;0000;;;;
101119;0000;;;;
101120;0000;;;;
101121;0000;;;;
101122;0000;;;;
101123;0000;;;;
101124;0000;;;;
101125;0000;;;;
101126;0000;;;;
101127;0000;;;;
101128;0000;;;;
101129;0000;;;;
101130;0000;;;;
101201;0000;;;;
101202;0000;;;;
101203;0000;;;;
101204;0000;;;;
101205;0000;;;;
101206;0000;;;;
101207;0000;;;;
101208;0000;;;;
101209;0000;;;;
101210;0000;;;;
101211;0000;;;;
101212;0000;;;;
101213;0000;;;;
101214;0000;;;;
101215;0000;;;;
101216;0000;;;;
101217;0000;;;;
101218;0000;;;;
101219;0000;;;;
101220;0000;;;;
101221;0000;;;;
101222;0000;;;;
101223;0000;;;;
101224;0000;;;;
101225;0000;;;;
101226;0000;;;;
101227;0000;;;;
101228;0000;;;;
101229;0000;;;;
101230;0000;;;;
101231;0000;;;;
110101;0000;;;;
110102;0000;;;;
110103;0000;;;;
