FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090912;0000;;;;
090913;0000;;;;
090914;0000;;;;
090915;0000;;;;
090916;0000;;;;
090917;0000;;;;
090918;0000;;;;
090919;0000;;;;
090920;0000;;;;
090921;0000;;;;
090922;0000;;;;
090923;0000;;;;
090924;0000;;;;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;156,4;
090930;0000;;;;
091001;0000;;;;
091002;0000;;;;
091003;0000;;;;
091004;0000;;;;
091005;0000;;;;
091006;0000;;;;
091007;0000;;;;
091008;0000;;;;
091009;0000;;;710,697;
091010;0000;;;;
091011;0000;;;;
091012;0000;;;165,2;
091013;0000;;;91,3999;
091014;0000;;;926;
091015;0000;;;;
091016;0000;;;;
091017;0000;;;;
091018;0000;;;144,2;
091019;0000;;;;
091020;0000;;;;
091021;0000;;;511,8;
091022;0000;;;;
091023;0000;;;166,5;
091024;0000;;;;
091025;0000;;;497,6;
091026;0000;;;;
091027;0000;;;49,41;
091028;0000;;;47,37;
091029;0000;;;;
091030;0000;;;;
091031;0000;;;8,79999;
091101;0000;;;;
091102;0000;;;;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;;
091106;0000;;;;
091107;0000;;;728,5;
091108;0000;;;;
091109;0000;;;4,739;
091110;0000;;;588,397;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;;;;
091115;0000;;;;
091116;0000;;;;
091117;0000;;;;
091118;0000;;;;
091119;0000;;;;
091120;0000;;;;
091121;0000;;;;
091122;0000;;;;
091123;0000;;;;
091124;0000;;;;
091125;0000;;;;
091126;0000;;;;
091127;0000;;;;
091128;0000;;;;
091129;0000;;;;
091130;0000;;;;
091201;0000;;;;
091202;0000;;;;
091203;0000;;;;
091204;0000;;;;
091205;0000;;;;
091206;0000;;;;
091207;0000;;;;
091208;0000;;;57,52;
091209;0000;;;14,89;
091210;0000;;;;
091211;0000;;;;
091212;0000;;;;
091213;0000;;;;
091214;0000;;;;
091215;0000;;;;
091216;0000;;;;
091217;0000;;;;
091218;0000;;;100,8;
091219;0000;;;;
091220;0000;;;;
091221;0000;;;;
091222;0000;;;;
091223;0000;;;11,5;
091224;0000;;;;
091225;0000;;;37,9;
091226;0000;;;;
091227;0000;;;;
091228;0000;;;;
091229;0000;;;;
091230;0000;;;;
091231;0000;;;;
100101;0000;;;69,7;
100102;0000;;;12,86;
100103;0000;;;28,42;
100104;0000;;;96,9247;
100105;0000;;;12,86;
100106;0000;;;;
100107;0000;;;;
100108;0000;;;41,28;
100109;0000;;;0;
100110;0000;;;;
100111;0000;;;796,5;
100112;0000;;;321,5;
100113;0000;;;;
100114;0000;;;;
100115;0000;;;;
100116;0000;;;92;
