FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161022;0000;;;1,63301;
161023;0000;;;1,07851;
161024;0000;;;10,2076;
161025;0000;;;11,1842;
161026;0000;;;;
161027;0000;;;;
161028;0000;;;;
161029;0000;;;;
161030;0000;;;;
161031;0000;;;;
161101;0000;;;;
161102;0000;;;;
161103;0000;;;;
161104;0000;;;10,9615;
161105;0000;;;7,17759;
161106;0000;;;6,74297;
161107;0000;;;9,53142;
161108;0000;;;2,77534;
161109;0000;;;8,35851;
161110;0000;;;2,71135;
161111;0000;;;7,66751;
161112;0000;;;5,73363;
161113;0000;;;3,4205;
161114;0000;;;2,06863;
161115;0000;;;5,0602;
161116;0000;;;3,8048;
161117;0000;;;8,62854;
161118;0000;;;;
161119;0000;;;;
161120;0000;;;;
161121;0000;;;;
161122;0000;;;;
161123;0000;;;;
161124;0000;;;;
161125;0000;;;;
161126;0000;;;;
161127;0000;;;;
161128;0000;;;;
161129;0000;;;;
161130;0000;;;;
161201;0000;;;;
161202;0000;;;8,88428;
161203;0000;;;;
161204;0000;;;;
161205;0000;;;;
161206;0000;;;8,40886;
161207;0000;;;6,98566;
161208;0000;;;;
161209;0000;;;;
161210;0000;;;;
161211;0000;;;0,115901;
161212;0000;;;2,74669;
161213;0000;;;42,9491;
161214;0000;;;78,5535;
161215;0000;;;22,1264;
161216;0000;;;;
161217;0000;;;16,6553;
161218;0000;;;8,31914;
161219;0000;;;9,83757;
161220;0000;;;11,608;
161221;0000;;;14,5936;
161222;0000;;;13,2205;
161223;0000;;;21,5195;
161224;0000;;;9,60323;
161225;0000;;;3,51885;
161226;0000;;;13,15;
161227;0000;;;14,8378;
161228;0000;;;14,6527;
161229;0000;;;4,86845;
161230;0000;;;6,80343;
161231;0000;;;5,69531;
170101;0000;;6,93346;;
170102;0000;;9,3416;;
170103;0000;;9,99542;;
170104;0000;;11,8034;;
170105;0000;;15,5641;;
170106;0000;;14,6808;;
170107;0000;;14,1496;;
170108;0000;;5,98705;;
170109;0000;;15,0945;;
170110;0000;;15,1343;;
170111;0000;;12,687;;
170112;0000;;10,9242;;
170113;0000;;16,6866;;
170114;0000;;4,00822;;
170115;0000;;;3,07719;
170116;0000;;11,6397;;
170117;0000;;14,8466;;
170118;0000;;14,3239;;
170119;0000;;10,5365;;
170120;0000;;13,7023;;
170121;0000;;11,8157;;
170122;0000;;3,2179;;
170123;0000;;11,6773;;
170124;0000;;17,6239;;
170125;0000;;5,42002;;
170126;0000;;15,5329;;
170127;0000;;6,27931;;
170128;0000;;11,7395;;
170129;0000;;;2,38599;
170130;0000;;7,23118;;
170131;0000;;8,50807;;
170201;0000;;12,5838;;
170202;0000;;12,504;;
170203;0000;;9,53191;;
170204;0000;;10,3107;;
170205;0000;;10,8627;;
170206;0000;;10,2497;;
170207;0000;;6,26344;;
170208;0000;;9,44415;;
170209;0000;;5,32269;;
170210;0000;;5,7371;;
170211;0000;;7,6819;;
170212;0000;;8,12466;;
170213;0000;;11,3939;;
170214;0000;;5,87011;;
170215;0000;;7,27969;;
170216;0000;;8,25476;;
170217;0000;;21,1;;
170218;0000;;5,59866;;
170219;0000;;7,21448;;
170220;0000;;23,7423;;
170221;0000;;20,7601;;
170222;0000;;15,6454;;
170223;0000;;20,3035;;
170224;0000;;16,9872;;
170225;0000;;15,0724;;
170226;0000;;5,75689;;
170227;0000;;9,53004;;
170228;0000;;7,53781;;
170301;0000;;13,5938;;
170302;0000;;21,019;;
170303;0000;;7,27509;;
170304;0000;;7,48038;;
170305;0000;;6,71655;;
170306;0000;;25,6058;;
170307;0000;;17,1299;;
170308;0000;;8,63252;;
170309;0000;;16,9133;;
170310;0000;;22,979;;
170311;0000;;11,5978;;
170312;0000;;10,6974;;
170313;0000;;28,5247;;
170314;0000;;11,7498;;
170315;0000;;15,2821;;
170316;0000;;24,7998;;
170317;0000;;4,72722;;
170318;0000;;6,12557;;
170319;0000;;4,50793;;
170320;0000;;23,1043;;
170321;0000;;32,5681;;
170322;0000;;13,1599;;
170323;0000;;9,297;;
170324;0000;;7,05061;;
170325;0000;;5,2621;;
170326;0000;;10,2662;;
170327;0000;;28,1682;;
170328;0000;;56,1514;;
170329;0000;;27,9725;;
170330;0000;;20,1079;;
170331;0000;;34,42;;
170401;0000;;19,7348;;
170402;0000;;17,3521;;
170403;0000;;23,3101;;
170404;0000;;35,8591;;
170405;0000;;34,5975;;
170406;0000;;28,2579;;
170407;0000;;11,7717;;
170408;0000;;7,43615;;
170409;0000;;14,7066;;
170410;0000;;27,3671;;
170411;0000;;37,4897;;
170412;0000;;7,88402;;
170413;0000;;9,93687;;
170414;0000;;17,4526;;
170415;0000;;20,9941;;
170416;0000;;4,87071;;
170417;0000;;15,5013;;
170418;0000;;13,2954;;
170419;0000;;3,58471;;
170420;0000;;9,72421;;
170421;0000;;13,9726;;
170422;0000;;14,686;;
170423;0000;;7,86783;;
170424;0000;;49,6665;;
170425;0000;;57,8191;;
170426;0000;;27,2823;;
170427;0000;;49,1548;;
170428;0000;;36,1194;;
170429;0000;;26,0548;;
170430;0000;;38,4689;;
170501;0000;;7,0983;;
170502;0000;;26,6803;;
170503;0000;;35,7585;;
170504;0000;;60,8777;;
170505;0000;;3,40082;;
170506;0000;;3,22157;;
170507;0000;;6,04824;;
170508;0000;;16,9072;;
170509;0000;;;;
170510;0000;;;;
170511;0000;;3,11308;;
170512;0000;;5,69907;;
170513;0000;;4,62244;;
170514;0000;;11,0615;;
170515;0000;;27,3867;;
170516;0000;;25,8037;;
170517;0000;;30,6836;;
170518;0000;;34,5425;;
170519;0000;;37,6398;;
170520;0000;;27,6364;;
170521;0000;;7,50523;;
170522;0000;;22,8712;;
170523;0000;;32,1522;;
170524;0000;;33,8701;;
170525;0000;;41,5944;;
170526;0000;;35,6559;;
170527;0000;;63,4083;;
170528;0000;;43,7851;;
170529;0000;;50,08;;
170530;0000;;53,1893;;
170531;0000;;18,8686;;
170601;0000;;18,8811;;
170602;0000;;53,7518;;
170603;0000;;15,2704;;
170604;0000;;19,6864;;
170605;0000;;38,2964;;
170606;0000;;36,0878;;
170607;0000;;3,6657;;
170608;0000;;44,5697;;
170609;0000;;18,9667;;
170610;0000;;24,4373;;
170611;0000;;11,9817;;
170612;0000;;50,8528;;
170613;0000;;30,5455;;
170614;0000;;11,4379;;
170615;0000;;2,50502;;
170616;0000;;2,80446;;
170617;0000;;;;
170618;0000;;;;
170619;0000;;;;
170620;0000;;33,9717;;
170621;0000;;3,98931;;
170622;0000;;4,85714;;
170623;0000;;25,8398;;
170624;0000;;3,23534;;
170625;0000;;2,21239;;
170626;0000;;3,77792;;
170627;0000;;33,028;;
170628;0000;;23,8705;;
170629;0000;;5,02496;;
170630;0000;;17,5044;;
170701;0000;;21,3218;;
170702;0000;;2,18611;;
170703;0000;;6,6597;;
170704;0000;;7,46658;;
170705;0000;;17,0061;;
170706;0000;;12,9718;;
170707;0000;;25,2304;;
170708;0000;;25,1172;;
170709;0000;;;;
170710;0000;;34,6907;;
170711;0000;;45,0063;;
170712;0000;;2,31817;;
170713;0000;;7,4638;;
170714;0000;;3,65952;;
170715;0000;;;;
170716;0000;;3,28723;;
170717;0000;;15,5187;;
170718;0000;;6,80306;;
170719;0000;;13,5615;;
170720;0000;;9,79689;;
170721;0000;;20,9272;;
170722;0000;;;;
170723;0000;;;;
170724;0000;;48,0032;;
170725;0000;;48,4008;;
170726;0000;;47,8246;;
170727;0000;;32,1472;;
170728;0000;;15,2845;;
170729;0000;;9,92419;;
170730;0000;;14,9255;;
170731;0000;;22,8398;;
170801;0000;;37,5755;;
170802;0000;;18,0753;;
170803;0000;;33,4701;;
170804;0000;;14,9335;;
170805;0000;;;;
170806;0000;;;;
170807;0000;;;;
170808;0000;;;;
170809;0000;;;;
170810;0000;;;;
170811;0000;;;;
170812;0000;;;;
170813;0000;;;;
170814;0000;;;;
170815;0000;;7,64673;;
170816;0000;;20,3111;;
170817;0000;;12,2625;;
170818;0000;;;;
170819;0000;;5,8087;;
170820;0000;;4,0181;;
170821;0000;;37,8394;;
170822;0000;;3,57389;;
170823;0000;;2,21906;;
170824;0000;;3,78965;;
170825;0000;;5,35337;;
170826;0000;;1,45353;;
170827;0000;;2,87339;;
170828;0000;;;;
170829;0000;;;;
170830;0000;;;;
170831;0000;;;;
170901;0000;;;;
170902;0000;;;;
170903;0000;;;;
170904;0000;;;;
170905;0000;;;;
170906;0000;;10,2083;;
170907;0000;;13,8394;;
170908;0000;;5,8689;;
170909;0000;;4,63286;;
170910;0000;;4,43813;;
170911;0000;;12,3755;;
170912;0000;;32,3843;;
170913;0000;;4,17355;;
170914;0000;;5,41566;;
170915;0000;;14,0784;;
170916;0000;;19,9012;;
170917;0000;;9,82008;;
170918;0000;;1,51621;;
170919;0000;;2,06229;;
170920;0000;;8,49461;;
170921;0000;;7,24123;;
170922;0000;;19,7556;;
170923;0000;;13,5595;;
170924;0000;;5,12254;;
170925;0000;;15,2484;;
170926;0000;;11,2899;;
170927;0000;;15,1139;;
170928;0000;;10,6262;;
170929;0000;;3,68885;;
170930;0000;;1,46808;;
171001;0000;;1,31662;;
171002;0000;;8,70511;;
171003;0000;;3,17962;;
171004;0000;;1,69526;;
171005;0000;;2,47363;;
171006;0000;;6,87017;;
171007;0000;;3,45547;;
171008;0000;;3,64489;;
171009;0000;;5,76803;;
171010;0000;;8,18378;;
171011;0000;;9,45889;;
171012;0000;;12,3888;;
171013;0000;;6,92841;;
171014;0000;;6,93668;;
171015;0000;;6,4207;;
171016;0000;;3,90297;;
171017;0000;;5,39162;;
171018;0000;;8,31433;;
171019;0000;;7,8437;;
171020;0000;;5,38714;;
171021;0000;;7,9566;;
171022;0000;;5,62509;;
171023;0000;;6,22964;;
171024;0000;;9,93513;;
171025;0000;;7,73147;;
171026;0000;;6,81297;;
171027;0000;;5,98174;;
171028;0000;;2,6636;;
171029;0000;;3,38647;;
171030;0000;;6,25163;;
171031;0000;;2,53485;;
171101;0000;;1,98249;;
