FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161022;0000;;;11,7699;
161023;0000;;;8,63232;
161024;0000;;;17,258;
161025;0000;;;16,7746;
161026;0000;;;;
161027;0000;;;;
161028;0000;;;;
161029;0000;;;;
161030;0000;;;;
161031;0000;;;;
161101;0000;;;;
161102;0000;;;;
161103;0000;;;;
161104;0000;;;11,188;
161105;0000;;;8,29263;
161106;0000;;;9,34129;
161107;0000;;;12,6653;
161108;0000;;;9,0721;
161109;0000;;;10,6097;
161110;0000;;;10,4194;
161111;0000;;;13,4555;
161112;0000;;;10,3616;
161113;0000;;;8,35187;
161114;0000;;;5,97358;
161115;0000;;;9,73134;
161116;0000;;;9,36737;
161117;0000;;;13,7713;
161118;0000;;;;
161119;0000;;;;
161120;0000;;;;
161121;0000;;;;
161122;0000;;;;
161123;0000;;;;
161124;0000;;;;
161125;0000;;;;
161126;0000;;;;
161127;0000;;;;
161128;0000;;;;
161129;0000;;;;
161130;0000;;;;
161201;0000;;;;
161202;0000;;;11,0821;
161203;0000;;;8,11488;
161204;0000;;;4,42251;
161205;0000;;;8,95146;
161206;0000;;;10,4387;
161207;0000;;;11,7515;
161208;0000;;;9,15381;
161209;0000;;;;
161210;0000;;;;
161211;0000;;;;
161212;0000;;;;
161213;0000;;;26,0044;
161214;0000;;;32,9293;
161215;0000;;;17,7692;
161216;0000;;;;
161217;0000;;;5,6261;
161218;0000;;;;
161219;0000;;;5,0113;
161220;0000;;;;
161221;0000;;;;
161222;0000;;;5,21637;
161223;0000;;;6,43612;
161224;0000;;;;
161225;0000;;;;
161226;0000;;;4,35596;
161227;0000;;;6,27032;
161228;0000;;;5,47301;
161229;0000;;;;
161230;0000;;;3,67247;
161231;0000;;;;
170101;0000;;2,22264;;
170102;0000;;2,16449;;
170103;0000;;2,74639;;
170104;0000;;4,29738;;
170105;0000;;5,44093;;
170106;0000;;4,09597;;
170107;0000;;2,82641;;
170108;0000;;1,16727;;
170109;0000;;4,15033;;
170110;0000;;4,72202;;
170111;0000;;4,06208;;
170112;0000;;2,86095;;
170113;0000;;3,09248;;
170114;0000;;1,06756;;
170115;0000;;;;
170116;0000;;2,17562;;
170117;0000;;2,08548;;
170118;0000;;4,78754;;
170119;0000;;3,31358;;
170120;0000;;1,99423;;
170121;0000;;3,86338;;
170122;0000;;1,34246;;
170123;0000;;2,55148;;
170124;0000;;3,6626;;
170125;0000;;1,5443;;
170126;0000;;6,75042;;
170127;0000;;5,7979;;
170128;0000;;7,06951;;
170129;0000;;;;
170130;0000;;4,39315;;
170131;0000;;7,39319;;
170201;0000;;8,55952;;
170202;0000;;6,47778;;
170203;0000;;8,23898;;
170204;0000;;8,35297;;
170205;0000;;7,7416;;
170206;0000;;8,34592;;
170207;0000;;6,06949;;
170208;0000;;6,44494;;
170209;0000;;4,84403;;
170210;0000;;5,05912;;
170211;0000;;5,47205;;
170212;0000;;5,55695;;
170213;0000;;10,9207;;
170214;0000;;7,4795;;
170215;0000;;6,52547;;
170216;0000;;7,19016;;
170217;0000;;10,4746;;
170218;0000;;5,44344;;
170219;0000;;5,74223;;
170220;0000;;7,34907;;
170221;0000;;4,32548;;
170222;0000;;3,13773;;
170223;0000;;5,36768;;
170224;0000;;8,44695;;
170225;0000;;8,35037;;
170226;0000;;7,33971;;
170227;0000;;8,57346;;
170228;0000;;6,06351;;
170301;0000;;9,18372;;
170302;0000;;11,5338;;
170303;0000;;6,88834;;
170304;0000;;7,04428;;
170305;0000;;6,86299;;
170306;0000;;13,3233;;
170307;0000;;12,0478;;
170308;0000;;6,61357;;
170309;0000;;11,773;;
170310;0000;;12,4018;;
170311;0000;;8,67354;;
170312;0000;;7,74819;;
170313;0000;;14,4765;;
170314;0000;;12,0659;;
170315;0000;;11,2987;;
170316;0000;;17,0044;;
170317;0000;;8,99358;;
170318;0000;;6,7571;;
170319;0000;;6,51679;;
170320;0000;;13,4709;;
170321;0000;;16,2588;;
170322;0000;;7,14742;;
170323;0000;;11,7996;;
170324;0000;;8,51448;;
170325;0000;;6,34925;;
170326;0000;;9,04948;;
170327;0000;;13,5018;;
170328;0000;;16,1663;;
170329;0000;;13,7069;;
170330;0000;;11,5119;;
170331;0000;;15,4487;;
170401;0000;;8,50763;;
170402;0000;;8,90858;;
170403;0000;;11,2286;;
170404;0000;;14,8832;;
170405;0000;;11,681;;
170406;0000;;11,136;;
170407;0000;;8,83789;;
170408;0000;;7,81805;;
170409;0000;;8,93117;;
170410;0000;;14,3768;;
170411;0000;;11,9458;;
170412;0000;;8,16507;;
170413;0000;;14,3129;;
170414;0000;;16,9402;;
170415;0000;;10,3819;;
170416;0000;;9,46565;;
170417;0000;;13,9158;;
170418;0000;;10,5903;;
170419;0000;;4,12692;;
170420;0000;;10,4492;;
170421;0000;;12,2429;;
170422;0000;;11,6056;;
170423;0000;;10,201;;
170424;0000;;16,1898;;
170425;0000;;17,0083;;
170426;0000;;14,5922;;
170427;0000;;15,6223;;
170428;0000;;13,5609;;
170429;0000;;15,0256;;
170430;0000;;11,9767;;
170501;0000;;4,9;;
170502;0000;;11,74;;
170503;0000;;15,58;;
170504;0000;;19,68;;
170505;0000;;5,87;;
170506;0000;;2,21;;
170507;0000;;5,78;;
170508;0000;;13,79;;
170509;0000;;;;
170510;0000;;;;
170511;0000;;5,05;;
170512;0000;;5,92;;
170513;0000;;4,28;;
170514;0000;;7,5;;
170515;0000;;14,23;;
170516;0000;;7,91;;
170517;0000;;15,3;;
170518;0000;;16,32;;
170519;0000;;16,97;;
170520;0000;;19,56;;
170521;0000;;8,69;;
170522;0000;;14,33;;
170523;0000;;18,98;;
170524;0000;;20,45;;
170525;0000;;22,23;;
170526;0000;;20;;
170527;0000;;21,04;;
170528;0000;;18,75;;
170529;0000;;17,4;;
170530;0000;;21,25;;
170531;0000;;17,6;;
170601;0000;;17,47;;
170602;0000;;15,68;;
170603;0000;;13,09;;
170604;0000;;14,68;;
170605;0000;;18,08;;
170606;0000;;17,58;;
170607;0000;;8,66;;
170608;0000;;23,56;;
170609;0000;;17,09;;
170610;0000;;17,75;;
170611;0000;;16,66;;
170612;0000;;22,37;;
170613;0000;;17,79;;
170614;0000;;9,72;;
170615;0000;;2,4;;
170616;0000;;1,84;;
170617;0000;;;;
170618;0000;;;;
170619;0000;;;;
170620;0000;;18,42;;
170621;0000;;4,18;;
170622;0000;;8,04;;
170623;0000;;17,08;;
170624;0000;;5,37;;
170625;0000;;3,23;;
170626;0000;;7,49;;
170627;0000;;16,71;;
170628;0000;;13,49;;
170629;0000;;9,16;;
170630;0000;;16,24;;
170701;0000;;13,03;;
170702;0000;;3,75;;
170703;0000;;11,93;;
170704;0000;;14,45;;
170705;0000;;16,37;;
170706;0000;;13,39;;
170707;0000;;12,7;;
170708;0000;;5,61;;
170709;0000;;7,32;;
170710;0000;;14,72;;
170711;0000;;19,01;;
170712;0000;;4,38;;
170713;0000;;5,15;;
170714;0000;;;3,1;
170715;0000;;;7,25;
170716;0000;;;7,23;
170717;0000;;;13,1;
170718;0000;;;10,24;
170719;0000;;;11,28;
170720;0000;;;14,34;
170721;0000;;;10,93;
170722;0000;;;2,28;
170723;0000;;;12,41;
170724;0000;;;17,76;
170725;0000;;;20,09;
170726;0000;;;19,88;
170727;0000;;;15,56;
170728;0000;;;10,43;
170729;0000;;;12,53;
170730;0000;;;10,13;
170731;0000;;;15,58;
170801;0000;;;17,39;
170802;0000;;;12,53;
170803;0000;;;18,73;
170804;0000;;;9,86;
170805;0000;;;;
170806;0000;;;;
170807;0000;;;;
170808;0000;;;;
170809;0000;;;;
170810;0000;;;;
170811;0000;;;;
170812;0000;;;;
170813;0000;;;;
170814;0000;;;;
170815;0000;;9,54;;
170816;0000;;10,34;;
170817;0000;;11,85;;
170818;0000;;;;
170819;0000;;9,64;;
170820;0000;;8,2;;
170821;0000;;9,95;;
170822;0000;;7,76;;
170823;0000;;3,97;;
170824;0000;;11,59;;
170825;0000;;8,26;;
170826;0000;;2,03;;
170827;0000;;5,48;;
170828;0000;;;;
170829;0000;;;;
170830;0000;;;;
170831;0000;;;;
170901;0000;;;;
170902;0000;;;;
170903;0000;;;;
170904;0000;;;;
170905;0000;;;;
170906;0000;;11,19;;
170907;0000;;13,94;;
170908;0000;;8,5;;
170909;0000;;9,26;;
170910;0000;;8,62;;
170911;0000;;13,01;;
170912;0000;;14,3;;
170913;0000;;5,83;;
170914;0000;;9,24;;
170915;0000;;13,52;;
170916;0000;;14,99;;
170917;0000;;7,38;;
170918;0000;;4,45;;
170919;0000;;3,99;;
170920;0000;;9,82;;
170921;0000;;9,49;;
170922;0000;;13,96;;
170923;0000;;11,72;;
170924;0000;;10,08;;
170925;0000;;11,11;;
170926;0000;;12;;
170927;0000;;14;;
170928;0000;;8,5;;
170929;0000;;3,86;;
170930;0000;;1,88;;
171001;0000;;2,69;;
171002;0000;;6,08;;
171003;0000;;2,86;;
171004;0000;;1,94;;
171005;0000;;1,56;;
171006;0000;;7,99;;
171007;0000;;6,92;;
171008;0000;;6,98;;
171009;0000;;7,78;;
171010;0000;;8,8;;
171011;0000;;9,67;;
171012;0000;;10,96;;
171013;0000;;7,35;;
171014;0000;;7,3;;
171015;0000;;7,2;;
171016;0000;;4,7;;
171017;0000;;4,55;;
171018;0000;;9,32;;
171019;0000;;8,8;;
171020;0000;;7,56;;
171021;0000;;9,47;;
171022;0000;;7,92;;
171023;0000;;7,57;;
171024;0000;;10,19;;
171025;0000;;8,27;;
171026;0000;;8,23;;
171027;0000;;7,59;;
171028;0000;;3,78;;
171029;0000;;3,13;;
171030;0000;;6,31;;
171031;0000;;2,82;;
171101;0000;;1,86;;
171102;0000;;2,79;;
171103;0000;;6,67;;
171104;0000;;5,14;;
171105;0000;;3,24;;
171106;0000;;6,95;;
171107;0000;;6,73;;
171108;0000;;6,37;;
171109;0000;;4,92;;
171110;0000;;6,48;;
171111;0000;;6,47;;
171112;0000;;3,28;;
171113;0000;;3,93;;
171114;0000;;6,77;;
171115;0000;;7,56;;
171116;0000;;5,64;;
171117;0000;;4,97;;
171118;0000;;4,07;;
171119;0000;;4,21;;
171120;0000;;4,13;;
171121;0000;;7,41;;
171122;0000;;7,75;;
171123;0000;;5,51;;
171124;0000;;7,63;;
171125;0000;;6,69;;
171126;0000;;3,64;;
171127;0000;;7,5;;
171128;0000;;3,56;;
171129;0000;;7,42;;
171130;0000;;5,46;;
171201;0000;;6,07;;
171202;0000;;5,18;;
171203;0000;;3,29;;
171204;0000;;4,35;;
171205;0000;;2,57;;
171206;0000;;5,47;;
171207;0000;;5,57;;
171208;0000;;4,71;;
171209;0000;;5,78;;
171210;0000;;4,79;;
171211;0000;;1,81;;
171212;0000;;2,17;;
171213;0000;;4,72;;
171214;0000;;3,7;;
171215;0000;;2,97;;
171216;0000;;3,78;;
171217;0000;;3,95;;
171218;0000;;5,59;;
171219;0000;;4,67;;
171220;0000;;4,33;;
171221;0000;;5,35;;
171222;0000;;6,42;;
171223;0000;;4,13;;
171224;0000;;2,97;;
171225;0000;;2,59;;
171226;0000;;3,92;;
171227;0000;;6,11;;
171228;0000;;5,66;;
171229;0000;;3,95;;
171230;0000;;;;
171231;0000;;;;
180101;0000;;;;
180102;0000;;;;
180103;0000;;11,85;;
180104;0000;;12,08;;
180105;0000;;11,07;;
180106;0000;;6,1;;
180107;0000;;7,43;;
180108;0000;;5,37;;
180109;0000;;6,9;;
180110;0000;;6,36;;
180111;0000;;5,64;;
180112;0000;;4,85;;
180113;0000;;6,51;;
180114;0000;;3,58;;
180115;0000;;3,65;;
180116;0000;;5,39;;
180117;0000;;3,66;;
180118;0000;;4,55;;
180119;0000;;5;;
180120;0000;;4,16;;
180121;0000;;5,4;;
180122;0000;;3,95;;
180123;0000;;7,54;;
180124;0000;;5,32;;
180125;0000;;2,79;;
180126;0000;;5,06;;
180127;0000;;6,65;;
180128;0000;;4,32;;
180129;0000;;3,29;;
180130;0000;;4,46;;
180131;0000;;7,27;;
180201;0000;;9,43;;
180202;0000;;7,37;;
180203;0000;;4,5;;
180204;0000;;7,3;;
180205;0000;;2,55;;
180206;0000;;4,54;;
180207;0000;;6,43;;
180208;0000;;4,25;;
180209;0000;;3,88;;
180210;0000;;;;
180211;0000;;;;
180212;0000;;11,09;;
180213;0000;;7;;
180214;0000;;4,21;;
180215;0000;;9,3;;
180216;0000;;5,98;;
180217;0000;;;;
180218;0000;;;;
180219;0000;;8,18;;
180220;0000;;7,96;;
180221;0000;;7,8;;
180222;0000;;6,39;;
180223;0000;;8,07;;
180224;0000;;5,93;;
180225;0000;;4,55;;
180226;0000;;7,79;;
180227;0000;;8,05;;
180228;0000;;3,94;;
180301;0000;;7,26;;
180302;0000;;6,47;;
180303;0000;;5,49;;
180304;0000;;7,32;;
180305;0000;;10,22;;
180306;0000;;12,45;;
180307;0000;;5,97;;
180308;0000;;8,22;;
180309;0000;;7,83;;
180310;0000;;6,08;;
180311;0000;;6,88;;
180312;0000;;8,31;;
180313;0000;;9,63;;
180314;0000;;8,33;;
180315;0000;;10,07;;
180316;0000;;3,83;;
180317;0000;;2,71;;
180318;0000;;5,44;;
180319;0000;;9,69;;
180320;0000;;13,34;;
180321;0000;;5,94;;
180322;0000;;3,58;;
180323;0000;;7,35;;
180324;0000;;7,37;;
180325;0000;;6,32;;
180326;0000;;11,67;;
180327;0000;;11,94;;
180328;0000;;12,27;;
180329;0000;;10,4;;
180330;0000;;6,14;;
180331;0000;;7,69;;
180401;0000;;9,55;;
180402;0000;;6,34;;
180403;0000;;8,7;;
180404;0000;;10,71;;
180405;0000;;9,99;;
180406;0000;;12,56;;
180407;0000;;7,51;;
180408;0000;;4,61;;
180409;0000;;4,11;;
180410;0000;;3,88;;
180411;0000;;10,39;;
180412;0000;;11,08;;
180413;0000;;15,44;;
180414;0000;;17,01;;
180415;0000;;13,84;;
180416;0000;;14,25;;
180417;0000;;13,76;;
180418;0000;;16,06;;
180419;0000;;14,24;;
180420;0000;;17,16;;
180421;0000;;13,35;;
180422;0000;;8,13;;
180423;0000;;13,4;;
180424;0000;;19,18;;
180425;0000;;19,19;;
180426;0000;;8,43;;
180427;0000;;15,36;;
180428;0000;;17,13;;
180429;0000;;12,63;;
180430;0000;;9,72;;
180501;0000;;7,23;;
180502;0000;;12,2;;
180503;0000;;12,53;;
180504;0000;;15,35;;
180505;0000;;9,17;;
180506;0000;;7,21;;
180507;0000;;14,61;;
180508;0000;;12,81;;
180509;0000;;12,45;;
180510;0000;;13,32;;
180511;0000;;14,95;;
180512;0000;;10,57;;
180513;0000;;4,4;;
180514;0000;;12,69;;
180515;0000;;17,87;;
180516;0000;;14,71;;
180517;0000;;12,39;;
180518;0000;;18,53;;
180519;0000;;14,41;;
180520;0000;;14,43;;
180521;0000;;14,78;;
180522;0000;;18,7;;
180523;0000;;19,82;;
180524;0000;;;;
180525;0000;;8,31;;
180526;0000;;5,92;;
180527;0000;;5,25;;
180528;0000;;6,16;;
180529;0000;;9,36;;
180530;0000;;12,74;;
180531;0000;;14,22;;
180601;0000;;17,95;;
180602;0000;;19,16;;
180603;0000;;15,82;;
180604;0000;;22,97;;
180605;0000;;14,26;;
180606;0000;;14,27;;
180607;0000;;15,58;;
180608;0000;;17,75;;
180609;0000;;;;
180610;0000;;;;
180611;0000;;;;
180612;0000;;14,19;;
180613;0000;;15,62;;
180614;0000;;20,19;;
180615;0000;;19,71;;
180616;0000;;14,7;;
180617;0000;;;;
180618;0000;;;;
180619;0000;;13,07;;
180620;0000;;17,39;;
180621;0000;;17,15;;
180622;0000;;15,37;;
180623;0000;;10,73;;
180624;0000;;12,28;;
180625;0000;;13,53;;
180626;0000;;5,24;;
180627;0000;;9,72;;
180628;0000;;16,21;;
180629;0000;;7,33;;
180630;0000;;9,74;;
180701;0000;;6,87;;
180702;0000;;8,85;;
180703;0000;;6,31;;
180704;0000;;2,98;;
180705;0000;;3,86;;
180706;0000;;6,67;;
180707;0000;;9,82;;
180708;0000;;12,44;;
180709;0000;;25,27;;
180710;0000;;17,2;;
180711;0000;;18,15;;
180712;0000;;16,89;;
180713;0000;;13,29;;
180714;0000;;12,81;;
180715;0000;;12,86;;
180716;0000;;11,63;;
180717;0000;;16,37;;
180718;0000;;16,76;;
180719;0000;;15,56;;
180720;0000;;18,93;;
180721;0000;;16,27;;
180722;0000;;14,36;;
180723;0000;;17,49;;
180724;0000;;15,53;;
180725;0000;;;;
180726;0000;;;;
180727;0000;;10,63;;
180728;0000;;10,71;;
180729;0000;;10,5;;
180730;0000;;9,49;;
180731;0000;;9,75;;
180801;0000;;12,74;;
180802;0000;;7,21;;
180803;0000;;9,47;;
180804;0000;;13,05;;
180805;0000;;3,95;;
180806;0000;;3,71;;
180807;0000;;11,72;;
180808;0000;;;;
180809;0000;;13,39;;
180810;0000;;10,05;;
180811;0000;;6,77;;
180812;0000;;6,37;;
180813;0000;;10,02;;
180814;0000;;9,54;;
180815;0000;;9,67;;
180816;0000;;16,95;;
180817;0000;;11,13;;
180818;0000;;11,1;;
180819;0000;;8,13;;
180820;0000;;13,46;;
180821;0000;;10,7;;
180822;0000;;4,27;;
180823;0000;;6,95;;
180824;0000;;10,4;;
180825;0000;;11,02;;
180826;0000;;6,34;;
180827;0000;;6,59;;
180828;0000;;12,79;;
180829;0000;;18,03;;
