FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161022;0000;;;13,4029;
161023;0000;;;9,66153;
161024;0000;;;27,4645;
161025;0000;;;27,9588;
161026;0000;;;;
161027;0000;;;;
161028;0000;;;;
161029;0000;;;;
161030;0000;;;;
161031;0000;;;;
161101;0000;;;;
161102;0000;;;;
161103;0000;;;;
161104;0000;;;22,1495;
161105;0000;;;15,4702;
161106;0000;;;16,0843;
161107;0000;;;22,1967;
161108;0000;;;11,8474;
161109;0000;;;18,9594;
161110;0000;;;13,1307;
161111;0000;;;21,123;
161112;0000;;;16,0783;
161113;0000;;;11,6247;
161114;0000;;;8,03996;
161115;0000;;;14,7899;
161116;0000;;;12,9859;
161117;0000;;;22,3776;
161118;0000;;;;
161119;0000;;;;
161120;0000;;;;
161121;0000;;;;
161122;0000;;;;
161123;0000;;;;
161124;0000;;;;
161125;0000;;;;
161126;0000;;;;
161127;0000;;;;
161128;0000;;;;
161129;0000;;;;
161130;0000;;;;
161201;0000;;;;
161202;0000;;;22,3578;
161203;0000;;;11,066;
161204;0000;;;4,32838;
161205;0000;;;15,7912;
161206;0000;;;17,0843;
161207;0000;;;18,2281;
161208;0000;;;13,9419;
161209;0000;;;;
161210;0000;;;;
161211;0000;;;;
161212;0000;;;;
161213;0000;;;68,6688;
161214;0000;;;110,721;
161215;0000;;;39,3896;
161216;0000;;;;
161217;0000;;;21,9261;
161218;0000;;;11,3487;
161219;0000;;;14,4149;
161220;0000;;;15,6369;
161221;0000;;;18,9028;
161222;0000;;;17,3173;
161223;0000;;;27,6386;
161224;0000;;;11,8367;
161225;0000;;;4,00037;
161226;0000;;;16,4725;
161227;0000;;;21,0002;
161228;0000;;;19,2071;
161229;0000;;;6,24373;
161230;0000;;;9,50407;
161231;0000;;;6,73245;
170101;0000;;7,69014;;
170102;0000;;10,5805;;
170103;0000;;11,6848;;
170104;0000;;14,9696;;
170105;0000;;20,6413;;
170106;0000;;18,2561;;
170107;0000;;15,6725;;
170108;0000;;4,62772;;
170109;0000;;18,7204;;
170110;0000;;19,2475;;
170111;0000;;16,4088;;
170112;0000;;12,9357;;
170113;0000;;19,3112;;
170114;0000;;3,51789;;
170115;0000;;;;
170116;0000;;13,0821;;
170117;0000;;15,9138;;
170118;0000;;18,7584;;
170119;0000;;12,9585;;
170120;0000;;14,4174;;
170121;0000;;15,0712;;
170122;0000;;3,51014;;
170123;0000;;13,3298;;
170124;0000;;20,589;;
170125;0000;;5,75108;;
