FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161020;0000;;;17,0268;
161021;0000;;;6,38194;
161022;0000;;;0,550938;
161023;0000;;;0,335401;
161024;0000;;;5,90627;
161025;0000;;;6,9049;
161026;0000;;;20,7374;
161027;0000;;;17,8836;
161028;0000;;;1,22821;
161029;0000;;;5,57583;
161030;0000;;;2,34795;
161031;0000;;;1,64652;
161101;0000;;;7,36349;
161102;0000;;;15,035;
161103;0000;;;17,6509;
161104;0000;;;6,13639;
161105;0000;;;2,37317;
161106;0000;;;3,32792;
161107;0000;;;7,23939;
161108;0000;;;1,69189;
161109;0000;;;2,56916;
161110;0000;;;1,98854;
161111;0000;;;5,93009;
161112;0000;;;4,40246;
161113;0000;;;3,3339;
161114;0000;;;0,801259;
161115;0000;;;3,85378;
161116;0000;;;7,86497;
161117;0000;;;6,39143;
161118;0000;;;3,13548;
161119;0000;;;0,571087;
161120;0000;;;3,17;
161121;0000;;;5,29868;
161122;0000;;;;
161123;0000;;;0,64369;
161124;0000;;;;
161125;0000;;;0,970881;
161126;0000;;;1,40664;
161127;0000;;;3,26095;
161128;0000;;;2,74375;
161129;0000;;;11,0691;
161130;0000;;;2,14671;
161201;0000;;;11,8647;
161202;0000;;;4,6767;
161203;0000;;;2,59922;
161204;0000;;;1,69928;
161205;0000;;;3,11837;
161206;0000;;;5,38754;
161207;0000;;;11,188;
161208;0000;;;5,91634;
161209;0000;;;2,02646;
161210;0000;;;2,77103;
161211;0000;;;13,4676;
161212;0000;;;6,89406;
161213;0000;;;8,09891;
161214;0000;;;7,64935;
161215;0000;;;;
161216;0000;;;;
161217;0000;;;8,91142;
161218;0000;;;6,56278;
161219;0000;;;5,80793;
161220;0000;;;3,44783;
161221;0000;;;12,8524;
161222;0000;;;9,50108;
161223;0000;;;11,1456;
161224;0000;;;4,03598;
161225;0000;;;;
161226;0000;;;;
161227;0000;;;5,55962;
161228;0000;;;3,80929;
161229;0000;;;2,24605;
161230;0000;;;2,31091;
161231;0000;;;3,87006;
170101;0000;;8,98064;;
170102;0000;;10,1681;;
170103;0000;;6,35139;;
170104;0000;;8,73984;;
170105;0000;;8,05736;;
170106;0000;;6,84721;;
170107;0000;;7,04894;;
170108;0000;;5,07623;;
170109;0000;;9,478;;
170110;0000;;9,46916;;
170111;0000;;10,4507;;
170112;0000;;9,76129;;
170113;0000;;10,5693;;
170114;0000;;6,73607;;
170115;0000;;7,1549;;
170116;0000;;6,9509;;
170117;0000;;5,8465;;
170118;0000;;8,1105;;
170119;0000;;7,27871;;
170120;0000;;6,99881;;
170121;0000;;5,53348;;
170122;0000;;10,9561;;
170123;0000;;6,93901;;
170124;0000;;2,37518;;
170125;0000;;1,56294;;
170126;0000;;2,61161;;
170127;0000;;1,5209;;
170128;0000;;1,53622;;
170129;0000;;1,07021;;
170130;0000;;2,05195;;
170131;0000;;4,09965;;
170201;0000;;2,30374;;
170202;0000;;1,48905;;
170203;0000;;1,01958;;
170204;0000;;2,2126;;
170205;0000;;5,03919;;
170206;0000;;4,90381;;
170207;0000;;2,66874;;
170208;0000;;2,24656;;
170209;0000;;1,28618;;
170210;0000;;1,53099;;
170211;0000;;2,11721;;
170212;0000;;4,73421;;
170213;0000;;;;
170214;0000;;;;
170215;0000;;1,37057;;
170216;0000;;1,12905;;
170217;0000;;4,57616;;
170218;0000;;1,02941;;
170219;0000;;1,53321;;
