FECHA (YYMMDD);HORA (HHMM);;
180827;0100;;
180827;0200;;
180827;0300;;
180827;0400;;
180827;0500;;
180827;0600;;
180827;0700;;
180827;0800;;
180827;0900;;
180827;1000;;
180827;1100;;
180827;1200;;
180827;1300;;
180827;1400;12,31;
180827;1500;13,56;
180827;1600;13,29;
180827;1700;12,31;
180827;1800;11,53;
180827;1900;11,47;
180827;2000;11,11;
180827;2100;10,77;
180827;2200;10,56;
180827;2300;11,16;
180828;0000;10,98;
180828;0100;10,05;
180828;0200;10,41;
180828;0300;10,95;
180828;0400;11,05;
180828;0500;10,86;
180828;0600;10,76;
180828;0700;11,17;
180828;0800;10,93;
180828;0900;11,3;
180828;1000;12,46;
180828;1100;13,76;
180828;1200;14,48;
180828;1300;14,68;
180828;1400;14,86;
180828;1500;14,65;
180828;1600;13,87;
180828;1700;12,59;
180828;1800;11,71;
180828;1900;11,34;
180828;2000;11,27;
180828;2100;10,98;
180828;2200;10,79;
180828;2300;10,78;
180829;0000;10,39;
180829;0100;10,29;
180829;0200;9,965;
180829;0300;9,743;
180829;0400;10,06;
180829;0500;10,25;
180829;0600;10,04;
180829;0700;9,80501;
180829;0800;10,24;
180829;0900;11,04;
180829;1000;11,96;
180829;1100;12,94;
180829;1200;13,37;
180829;1300;13,16;
180829;1400;13,1;
180829;1500;13,18;
180829;1600;13,06;
180829;1700;12,74;
180829;1800;11,81;
180829;1900;11,54;
180829;2000;11,35;
180829;2100;11,19;
180829;2200;11,14;
180829;2300;10,94;
180830;0000;11,41;
180830;0100;10,96;
180830;0200;10,63;
180830;0300;10,2;
180830;0400;9,97501;
180830;0500;9,91499;
180830;0600;9,957;
180830;0700;9,935;
180830;0800;11,15;
180830;0900;11,87;
180830;1000;12,58;
180830;1100;14,01;
180830;1200;16,36;
180830;1300;15,89;
180830;1400;15,8;
180830;1500;14,62;
180830;1600;13,92;
180830;1700;12,68;
180830;1800;12,15;
180830;1900;11,65;
180830;2000;11,26;
180830;2100;11,46;
180830;2200;11,57;
180830;2300;11,24;
180831;0000;10,76;
180831;0100;10,87;
180831;0200;10,53;
180831;0300;10,07;
180831;0400;9,963;
180831;0500;9,883;
180831;0600;9,77299;
180831;0700;9,64999;
180831;0800;9,93001;
180831;0900;10,86;
180831;1000;12,39;
180831;1100;14,01;
180831;1200;13,62;
180831;1300;14,1;
180831;1400;13,81;
180831;1500;13,09;
180831;1600;12,7;
180831;1700;12,35;
180831;1800;11,6;
180831;1900;10,91;
180831;2000;9,99001;
180831;2100;9,80501;
180831;2200;9,39;
180831;2300;8,243;
180901;0000;8,20399;
180901;0100;7,498;
180901;0200;6,932;
180901;0300;6,606;
180901;0400;7,09;
180901;0500;7,159;
180901;0600;6,954;
180901;0700;6,498;
180901;0800;7,295;
180901;0900;9,72501;
180901;1000;11,2;
180901;1100;11,75;
180901;1200;13,67;
180901;1300;14,78;
180901;1400;13,9;
180901;1500;13,32;
180901;1600;13,44;
180901;1700;12,69;
180901;1800;11,79;
180901;1900;11,28;
180901;2000;11,02;
180901;2100;11,01;
180901;2200;10,9;
180901;2300;10,51;
180902;0000;10,83;
180902;0100;10,89;
180902;0200;10,61;
180902;0300;10,22;
180902;0400;9,978;
180902;0500;10,02;
180902;0600;9,562;
180902;0700;7,723;
180902;0800;10,16;
180902;0900;12,11;
180902;1000;13,11;
180902;1100;13,61;
180902;1200;14,18;
180902;1300;14,38;
180902;1400;14,29;
180902;1500;14,15;
180902;1600;13,39;
180902;1700;13;
180902;1800;12,04;
180902;1900;11,66;
180902;2000;11,82;
180902;2100;12,22;
180902;2200;12,2;
180902;2300;11,79;
180903;0000;11,75;
180903;0100;10,52;
180903;0200;9,93001;
180903;0300;10,17;
180903;0400;9,13699;
180903;0500;8,998;
180903;0600;8,783;
180903;0700;9,10699;
180903;0800;11,22;
180903;0900;13,52;
180903;1000;14,97;
180903;1100;16,38;
180903;1200;17,54;
180903;1300;18,57;
180903;1400;18,97;
180903;1500;18,74;
180903;1600;18,58;
180903;1700;17,43;
180903;1800;15,16;
180903;1900;14,62;
180903;2000;13,9;
180903;2100;13,08;
180903;2200;12,44;
180903;2300;12;
180904;0000;11,48;
180904;0100;11,07;
180904;0200;10,71;
180904;0300;10,72;
180904;0400;10,42;
180904;0500;10,39;
180904;0600;10,33;
180904;0700;10,11;
180904;0800;11,21;
180904;0900;12,82;
180904;1000;14,01;
180904;1100;15,21;
180904;1200;17,55;
180904;1300;17,21;
180904;1400;17,21;
180904;1500;16,61;
180904;1600;15,27;
180904;1700;13,8;
180904;1800;11,96;
180904;1900;11,48;
180904;2000;10,99;
180904;2100;10,65;
180904;2200;10,04;
180904;2300;9,705;
180905;0000;10,18;
180905;0100;10,27;
180905;0200;9,56799;
180905;0300;9,77;
180905;0400;10,43;
180905;0500;10,98;
180905;0600;11,14;
180905;0700;11,41;
180905;0800;11,87;
180905;0900;12,29;
180905;1000;12,53;
180905;1100;13,03;
180905;1200;13,17;
180905;1300;12,86;
180905;1400;11,76;
180905;1500;11,03;
180905;1600;10,01;
180905;1700;11,6;
180905;1800;9,925;
180905;1900;9,23;
180905;2000;9,028;
180905;2100;9,605;
180905;2200;9,705;
180905;2300;9,13499;
180906;0000;9,05501;
180906;0100;9,213;
180906;0200;8,565;
180906;0300;7,27;
180906;0400;7,059;
180906;0500;7,75;
180906;0600;6,834;
180906;0700;6,657;
180906;0800;7,948;
180906;0900;9,64799;
180906;1000;12,29;
180906;1100;13,08;
180906;1200;13,53;
180906;1300;13,96;
180906;1400;13,95;
180906;1500;14,12;
180906;1600;13,99;
180906;1700;13,03;
180906;1800;11,73;
180906;1900;11,27;
180906;2000;10,52;
180906;2100;9,83501;
180906;2200;9,31799;
180906;2300;8,76199;
180907;0000;8,465;
180907;0100;8,01601;
180907;0200;7,327;
180907;0300;6,83;
180907;0400;5,522;
180907;0500;4,283;
180907;0600;4,088;
180907;0700;6,178;
180907;0800;7,431;
180907;0900;9,228;
180907;1000;10,36;
180907;1100;11,75;
180907;1200;13,05;
180907;1300;13,81;
180907;1400;13,72;
180907;1500;13,37;
180907;1600;13,24;
180907;1700;12,84;
180907;1800;11,57;
180907;1900;10,8;
180907;2000;10,09;
180907;2100;9,545;
180907;2200;8,97301;
180907;2300;8,283;
180908;0000;7,968;
180908;0100;8,088;
180908;0200;7,858;
180908;0300;7,548;
180908;0400;6,801;
180908;0500;5,223;
180908;0600;3,935;
180908;0700;4,184;
180908;0800;7,68;
180908;0900;10,1;
180908;1000;11,27;
180908;1100;12,81;
180908;1200;14,2;
180908;1300;15,29;
180908;1400;15,53;
180908;1500;15,14;
180908;1600;14,77;
180908;1700;14,41;
180908;1800;12,72;
180908;1900;12,08;
180908;2000;11,64;
180908;2100;10,62;
180908;2200;10,22;
180908;2300;10,05;
180909;0000;9,545;
180909;0100;8,752;
180909;0200;7,752;
180909;0300;5,878;
180909;0400;6,455;
180909;0500;6,972;
180909;0600;6,621;
180909;0700;7,035;
180909;0800;9,125;
180909;0900;11,04;
180909;1000;13,79;
180909;1100;14,34;
180909;1200;15,07;
180909;1300;16,66;
180909;1400;16,26;
180909;1500;15,69;
180909;1600;15,18;
180909;1700;13,78;
180909;1800;12,19;
180909;1900;10,73;
180909;2000;10,07;
180909;2100;10,33;
180909;2200;10,26;
180909;2300;10,1;
180910;0000;9,495;
180910;0100;8,743;
180910;0200;7,893;
180910;0300;8,83;
180910;0400;8,69;
180910;0500;8,088;
180910;0600;8,2;
180910;0700;8,23;
180910;0800;8,72501;
180910;0900;10,56;
180910;1000;12,46;
180910;1100;14,49;
180910;1200;14,72;
180910;1300;15,04;
180910;1400;15,46;
180910;1500;15,71;
180910;1600;15,24;
180910;1700;14,23;
180910;1800;13,13;
180910;1900;12,39;
180910;2000;12,16;
180910;2100;11,89;
180910;2200;11,36;
180910;2300;10,64;
180911;0000;10,05;
180911;0100;9,825;
180911;0200;9,53;
180911;0300;9,34801;
180911;0400;9,243;
180911;0500;8,44501;
180911;0600;7,914;
180911;0700;8,37;
180911;0800;9,86301;
180911;0900;11,07;
180911;1000;11,93;
180911;1100;13,08;
180911;1200;13,86;
180911;1300;14,41;
180911;1400;14,48;
180911;1500;14,79;
180911;1600;14,27;
180911;1700;13,8;
180911;1800;12,52;
