FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;0,1;
191201;0000;;;0,1;
191202;0000;;;0,1;
191203;0000;;;0,43;
191204;0000;;;0,1;
191205;0000;;;0,1;
191206;0000;;;0,1;
191207;0000;;;0,13;
191208;0000;;;0,1;
191209;0000;;;0,41;
191210;0000;;;0,13;
191211;0000;;;0,1;
191212;0000;;;0,13;
191213;0000;;;0,14;
191214;0000;;;0,13;
191215;0000;;;0,13;
191216;0000;;;0,1;
191217;0000;;;0,39;
191218;0000;;;0,11;
191219;0000;;;0,13;
191220;0000;;;0,13;
191221;0000;;;0,12;
191222;0000;;;0,12;
191223;0000;;;0,35;
191224;0000;;;0,1;
191225;0000;;;0,1;
191226;0000;;;0,11;
191227;0000;;;0,1;
191228;0000;;;0,11;
191229;0000;;;0,1;
191230;0000;;;0,11;
191231;0000;;;0,14;
200101;0000;;;0,25;
200102;0000;;;0,6;
200103;0000;;;0,75;
200104;0000;;;0,73;
200105;0000;;;0,57;
200106;0000;;;0,55;
200107;0000;;;0,52;
200108;0000;;;0,76;
200109;0000;;;0,55;
200110;0000;;;0,56;
200111;0000;;;0,53;
200112;0000;;;0,46;
200113;0000;;;0,68;
200114;0000;;;0,43;
200115;0000;;;0,52;
200116;0000;;;0,52;
200117;0000;;;0,59;
200118;0000;;;0,52;
200119;0000;;;0,46;
200120;0000;;;0,72;
200121;0000;;;0,47;
200122;0000;;;0,4;
200123;0000;;;0,4;
200124;0000;;;0,42;
200125;0000;;;0,76;
200126;0000;;;0,57;
200127;0000;;;0,57;
200128;0000;;;0,63;
200129;0000;;;0,41;
200130;0000;;;0,53;
200131;0000;;;0,43;
200201;0000;;;0,39;
200202;0000;;;0,4;
200203;0000;;;0,3;
200204;0000;;;0,35;
200205;0000;;;0,6;
200206;0000;;;0,42;
200207;0000;;;0,38;
200208;0000;;;0,44;
200209;0000;;;0,45;
200210;0000;;;0,42;
200211;0000;;;0,39;
200212;0000;;;0,57;
200213;0000;;;0,33;
200214;0000;;;0,35;
200215;0000;;;0,29;
