FECHA (YYMMDD);HORA (HHMM);;
191129;0100;;
191129;0200;;
191129;0300;;
191129;0400;;
191129;0500;;
191129;0600;;
191129;0700;;
191129;0800;;
191129;0900;;
191129;1000;;
191129;1100;;
191129;1200;;
191129;1300;;
191129;1400;;
191129;1500;;
191129;1600;291;
191129;1700;288;
191129;1800;277;
191129;1900;260;
191129;2000;252;
191129;2100;227;
191129;2200;232;
191129;2300;160;
191130;0000;281;
191130;0100;133;
191130;0200;117;
191130;0300;86;
191130;0400;135;
191130;0500;196;
191130;0600;29;
191130;0700;205;
191130;0800;244;
191130;0900;242;
191130;1000;241;
191130;1100;250;
191130;1200;253;
191130;1300;278;
191130;1400;267;
191130;1500;256;
191130;1600;271;
191130;1700;253;
191130;1800;244;
191130;1900;242;
191130;2000;239;
191130;2100;236;
191130;2200;219;
191130;2300;197;
191201;0000;122;
191201;0100;90;
191201;0200;57;
191201;0300;57;
191201;0400;38;
191201;0500;1;
191201;0600;79;
191201;0700;88;
191201;0800;349;
191201;0900;324;
191201;1000;288;
191201;1100;239;
191201;1200;269;
191201;1300;293;
191201;1400;271;
191201;1500;247;
191201;1600;249;
191201;1700;251;
191201;1800;250;
191201;1900;261;
191201;2000;247;
191201;2100;245;
191201;2200;242;
191201;2300;238;
191202;0000;239;
191202;0100;205;
191202;0200;243;
191202;0300;241;
191202;0400;240;
191202;0500;242;
191202;0600;154;
191202;0700;203;
191202;0800;241;
191202;0900;238;
191202;1000;231;
191202;1100;256;
191202;1200;261;
191202;1300;255;
191202;1400;249;
191202;1500;256;
191202;1600;253;
191202;1700;247;
191202;1800;246;
191202;1900;247;
191202;2000;244;
191202;2100;247;
191202;2200;245;
191202;2300;241;
191203;0000;222;
191203;0100;228;
191203;0200;233;
191203;0300;216;
191203;0400;184;
191203;0500;195;
191203;0600;230;
191203;0700;234;
191203;0800;212;
191203;0900;242;
191203;1000;246;
191203;1100;246;
191203;1200;247;
191203;1300;249;
191203;1400;248;
191203;1500;247;
191203;1600;247;
191203;1700;248;
191203;1800;250;
191203;1900;242;
191203;2000;239;
191203;2100;235;
191203;2200;241;
191203;2300;238;
191204;0000;216;
191204;0100;157;
191204;0200;129;
191204;0300;107;
191204;0400;143;
191204;0500;148;
191204;0600;201;
191204;0700;227;
191204;0800;237;
191204;0900;237;
191204;1000;239;
191204;1100;241;
191204;1200;250;
191204;1300;233;
191204;1400;244;
191204;1500;259;
191204;1600;248;
191204;1700;246;
191204;1800;234;
191204;1900;244;
191204;2000;239;
191204;2100;227;
191204;2200;236;
191204;2300;238;
191205;0000;237;
191205;0100;233;
191205;0200;197;
191205;0300;200;
191205;0400;192;
191205;0500;147;
191205;0600;141;
191205;0700;216;
191205;0800;242;
191205;0900;244;
191205;1000;232;
191205;1100;265;
191205;1200;284;
191205;1300;276;
191205;1400;277;
191205;1500;285;
191205;1600;257;
191205;1700;246;
191205;1800;247;
191205;1900;241;
191205;2000;240;
191205;2100;241;
191205;2200;238;
191205;2300;223;
191206;0000;234;
191206;0100;200;
191206;0200;172;
191206;0300;169;
191206;0400;174;
191206;0500;149;
191206;0600;143;
191206;0700;170;
191206;0800;236;
191206;0900;246;
191206;1000;238;
191206;1100;256;
191206;1200;286;
191206;1300;274;
191206;1400;273;
191206;1500;268;
191206;1600;260;
191206;1700;250;
191206;1800;248;
191206;1900;247;
191206;2000;243;
191206;2100;241;
191206;2200;239;
