FECHA (YYMMDD);HORA (HHMM);;
191129;0100;;
191129;0200;;
191129;0300;;
191129;0400;;
191129;0500;;
191129;0600;;
191129;0700;;
191129;0800;;
191129;0900;;
191129;1000;;
191129;1100;;
191129;1200;;
191129;1300;;
191129;1400;;
191129;1500;;
191129;1600;53;
191129;1700;57;
191129;1800;59;
191129;1900;58;
191129;2000;67;
191129;2100;71;
191129;2200;71;
191129;2300;78;
191130;0000;88;
191130;0100;86;
191130;0200;90;
191130;0300;92;
191130;0400;94;
191130;0500;93;
191130;0600;87;
191130;0700;70;
191130;0800;65;
191130;0900;59;
191130;1000;50;
191130;1100;43;
191130;1200;41;
191130;1300;45;
191130;1400;48;
191130;1500;49;
191130;1600;50;
191130;1700;53;
191130;1800;57;
191130;1900;64;
191130;2000;73;
191130;2100;78;
191130;2200;81;
191130;2300;88;
191201;0000;93;
191201;0100;95;
191201;0200;96;
191201;0300;97;
191201;0400;98;
191201;0500;98;
191201;0600;99;
191201;0700;82;
191201;0800;61;
191201;0900;52;
191201;1000;51;
191201;1100;47;
191201;1200;42;
191201;1300;49;
191201;1400;50;
191201;1500;52;
191201;1600;53;
191201;1700;52;
191201;1800;50;
191201;1900;55;
191201;2000;67;
191201;2100;76;
191201;2200;82;
191201;2300;85;
191202;0000;86;
191202;0100;91;
191202;0200;90;
191202;0300;89;
191202;0400;86;
191202;0500;84;
191202;0600;83;
191202;0700;74;
191202;0800;71;
191202;0900;67;
191202;1000;59;
191202;1100;48;
191202;1200;46;
191202;1300;55;
191202;1400;56;
191202;1500;53;
191202;1600;58;
191202;1700;61;
191202;1800;64;
191202;1900;68;
191202;2000;73;
191202;2100;77;
191202;2200;79;
191202;2300;79;
191203;0000;79;
191203;0100;81;
191203;0200;82;
191203;0300;84;
191203;0400;89;
191203;0500;90;
191203;0600;87;
191203;0700;76;
191203;0800;65;
191203;0900;56;
191203;1000;49;
191203;1100;48;
191203;1200;47;
191203;1300;43;
191203;1400;42;
191203;1500;45;
191203;1600;49;
191203;1700;55;
191203;1800;58;
191203;1900;65;
191203;2000;71;
191203;2100;70;
191203;2200;72;
191203;2300;77;
191204;0000;81;
191204;0100;88;
191204;0200;93;
191204;0300;95;
191204;0400;94;
191204;0500;93;
191204;0600;82;
191204;0700;63;
191204;0800;57;
191204;0900;47;
191204;1000;44;
191204;1100;40;
191204;1200;39;
191204;1300;44;
191204;1400;42;
191204;1500;43;
191204;1600;37;
191204;1700;40;
191204;1800;46;
191204;1900;57;
191204;2000;64;
191204;2100;73;
191204;2200;79;
191204;2300;83;
191205;0000;85;
191205;0100;87;
191205;0200;89;
191205;0300;93;
191205;0400;94;
191205;0500;95;
191205;0600;93;
191205;0700;79;
191205;0800;72;
191205;0900;65;
191205;1000;55;
191205;1100;47;
191205;1200;51;
191205;1300;53;
191205;1400;54;
191205;1500;54;
191205;1600;50;
191205;1700;54;
191205;1800;61;
191205;1900;71;
191205;2000;77;
191205;2100;81;
191205;2200;84;
191205;2300;86;
191206;0000;87;
191206;0100;89;
191206;0200;94;
191206;0300;96;
191206;0400;97;
191206;0500;97;
191206;0600;98;
191206;0700;88;
191206;0800;72;
191206;0900;65;
191206;1000;54;
191206;1100;49;
191206;1200;51;
191206;1300;52;
191206;1400;52;
191206;1500;53;
191206;1600;55;
191206;1700;59;
191206;1800;65;
191206;1900;74;
191206;2000;81;
191206;2100;84;
191206;2200;85;
