FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;38;
191201;0000;;;30;
191202;0000;;;58;
191203;0000;;;71;
191204;0000;;;56;
191205;0000;;;47;
191206;0000;;;41;
191207;0000;;;42;
191208;0000;;;32;
191209;0000;;;31;
191210;0000;;;28;
191211;0000;;;37;
191212;0000;;;62;
191213;0000;;;45;
191214;0000;;;54;
191215;0000;;;57;
191216;0000;;;50;
191217;0000;;;43;
191218;0000;;;29;
191219;0000;;;44;
191220;0000;;;63;
191221;0000;;;56;
191222;0000;;;39;
191223;0000;;;44;
191224;0000;;;45;
191225;0000;;;28;
191226;0000;;;37;
191227;0000;;;35;
191228;0000;;;46;
191229;0000;;;44;
191230;0000;;;56;
191231;0000;;;55;
200101;0000;;;65;
200102;0000;;;52;
200103;0000;;;108;
200104;0000;;;90;
200105;0000;;;34;
200106;0000;;;42;
200107;0000;;;32;
200108;0000;;;25;
200109;0000;;;24;
200110;0000;;;31;
200111;0000;;;40;
200112;0000;;;32;
200113;0000;;;23;
200114;0000;;;36;
200115;0000;;;61;
200116;0000;;;65;
200117;0000;;;78;
200118;0000;;;67;
200119;0000;;;52;
200120;0000;;;133;
200121;0000;;;66;
200122;0000;;;49;
200123;0000;;;44;
200124;0000;;;61;
200125;0000;;;94;
200126;0000;;;54;
200127;0000;;;71;
200128;0000;;;66;
200129;0000;;;60;
200130;0000;;;69;
200131;0000;;;61;
200201;0000;;;35;
200202;0000;;;42;
200203;0000;;;34;
200204;0000;;;27;
200205;0000;;;104;
200206;0000;;;36;
200207;0000;;;46;
200208;0000;;;64;
200209;0000;;;51;
200210;0000;;;49;
200211;0000;;;54;
200212;0000;;;43;
200213;0000;;;48;
200214;0000;;;46;
200215;0000;;;38;
200216;0000;;;28;
200217;0000;;;26;
200218;0000;;;43;
200219;0000;;;54;
200220;0000;;;79;
200221;0000;;;71;
200222;0000;;;63;
200223;0000;;;54;
200224;0000;;;85;
200225;0000;;;49;
200226;0000;;;62;
200227;0000;;;87;
200228;0000;;;59;
200229;0000;;;65;
200301;0000;;;43;
200302;0000;;;42;
200303;0000;;;53;
200304;0000;;;83;
200305;0000;;;55;
200306;0000;;;52;
200307;0000;;;45;
200308;0000;;;60;
200309;0000;;;57;
200310;0000;;;42;
200311;0000;;;54;
200312;0000;;;36;
200313;0000;;;23;
200314;0000;;;42;
200315;0000;;;40;
200316;0000;;;43;
200317;0000;;;41;
200318;0000;;;45;
200319;0000;;;55;
200320;0000;;;63;
200321;0000;;;43;
200322;0000;;;37;
200323;0000;;;44;
200324;0000;;;29;
200325;0000;;;35;
200326;0000;;;42;
200327;0000;;;32;
200328;0000;;;36;
200329;0000;;;37;
200330;0000;;;90;
200331;0000;;;43;
200401;0000;;;48;
200402;0000;;;48;
200403;0000;;;53;
200404;0000;;;40;
200405;0000;;;39;
200406;0000;;;117;
200407;0000;;;;
200408;0000;;;98;
200409;0000;;;65;
200410;0000;;;62;
200411;0000;;;34;
200412;0000;;;42;
200413;0000;;;70;
200414;0000;;;106;
200415;0000;;;53;
200416;0000;;;45;
200417;0000;;;50;
200418;0000;;;;
200419;0000;;;;
200420;0000;;;;
200421;0000;;;;
200422;0000;;;;
200423;0000;;;;
200424;0000;;;;
200425;0000;;;;
200426;0000;;;;
200427;0000;;;;
200428;0000;;;;
200429;0000;;;;
200430;0000;;;;
200501;0000;;;;
200502;0000;;;;
200503;0000;;;;
200504;0000;;;;
200505;0000;;;;
200506;0000;;;;
200507;0000;;;;
200508;0000;;;;
200509;0000;;;;
200510;0000;;;;
200511;0000;;;;
200512;0000;;;;
200513;0000;;;;
200514;0000;;;;
200515;0000;;;;
200516;0000;;;24;
200517;0000;;;57;
200518;0000;;;54;
200519;0000;;;42;
200520;0000;;;37;
200521;0000;;;81;
200522;0000;;;124;
200523;0000;;;162;
200524;0000;;;121;
200525;0000;;;325;
200526;0000;;;189;
200527;0000;;;75;
200528;0000;;;82;
200529;0000;;;76;
200530;0000;;;73;
200531;0000;;;172;
200601;0000;;;195;
200602;0000;;;57;
200603;0000;;;146;
200604;0000;;;159;
200605;0000;;;86;
200606;0000;;;48;
200607;0000;;;80;
200608;0000;;;67;
200609;0000;;;87;
200610;0000;;;43;
200611;0000;;;54;
200612;0000;;;68;
200613;0000;;;102;
200614;0000;;;223;
200615;0000;;;56;
200616;0000;;;42;
200617;0000;;;41;
200618;0000;;;42;
200619;0000;;;76;
200620;0000;;;55;
200621;0000;;;46;
200622;0000;;;90;
200623;0000;;;73;
200624;0000;;;33;
200625;0000;;;33;
200626;0000;;;46;
200627;0000;;;40;
200628;0000;;;42;
200629;0000;;;60;
200630;0000;;;42;
200701;0000;;;107;
200702;0000;;;186;
200703;0000;;;59;
200704;0000;;;51;
200705;0000;;;57;
200706;0000;;;152;
200707;0000;;;125;
200708;0000;;;94;
200709;0000;;;50;
200710;0000;;;69;
200711;0000;;;65;
200712;0000;;;38;
200713;0000;;;47;
200714;0000;;;215;
200715;0000;;;247;
200716;0000;;;50;
200717;0000;;;38;
200718;0000;;;51;
200719;0000;;;49;
200720;0000;;;37;
200721;0000;;;30;
200722;0000;;;55;
200723;0000;;;87;
200724;0000;;;87;
200725;0000;;;46;
200726;0000;;;37;
200727;0000;;;48;
200728;0000;;;119;
200729;0000;;;80;
200730;0000;;;100;
200731;0000;;;66;
200801;0000;;;77;
200802;0000;;;43;
200803;0000;;;;
200804;0000;;;;
200805;0000;;;;
200806;0000;;;81;
200807;0000;;;84;
200808;0000;;;90;
200809;0000;;;48;
200810;0000;;;57;
200811;0000;;;47;
200812;0000;;;48;
200813;0000;;;59;
200814;0000;;;59;
200815;0000;;;29;
200816;0000;;;65;
200817;0000;;;71;
200818;0000;;;40;
200819;0000;;;58;
200820;0000;;;;
200821;0000;;;104;
200822;0000;;;101;
200823;0000;;;44;
200824;0000;;;;
200825;0000;;;22;
200826;0000;;;49;
200827;0000;;;41;
200828;0000;;;;
200829;0000;;;;
200830;0000;;;41;
200831;0000;;;90;
200901;0000;;;98;
200902;0000;;;46;
200903;0000;;;48;
200904;0000;;;69;
200905;0000;;;48;
200906;0000;;;94;
200907;0000;;;55;
200908;0000;;;49;
200909;0000;;;42;
200910;0000;;;44;
200911;0000;;;53;
200912;0000;;;38;
200913;0000;;;37;
200914;0000;;;44;
200915;0000;;;36;
200916;0000;;;27;
200917;0000;;;29;
200918;0000;;;29;
200919;0000;;;28;
200920;0000;;;53;
200921;0000;;;53;
200922;0000;;;41;
200923;0000;;;52;
200924;0000;;;67;
200925;0000;;;60;
200926;0000;;;39;
200927;0000;;;50;
200928;0000;;;30;
200929;0000;;;50;
200930;0000;;;25;
201001;0000;;;25;
201002;0000;;;33;
201003;0000;;;27;
201004;0000;;;26;
201005;0000;;;28;
201006;0000;;;30;
201007;0000;;;30;
201008;0000;;;33;
201009;0000;;;31;
201010;0000;;;22;
201011;0000;;;35;
201012;0000;;;37;
201013;0000;;;33;
201014;0000;;;44;
201015;0000;;;61;
201016;0000;;;50;
201017;0000;;;33;
201018;0000;;;34;
201019;0000;;;28;
201020;0000;;;36;
201021;0000;;;32;
201022;0000;;;37;
201023;0000;;;34;
201024;0000;;;31;
201025;0000;;;29;
201026;0000;;;29;
201027;0000;;;24;
201028;0000;;;22;
201029;0000;;;35;
201030;0000;;;62;
201031;0000;;;95;
201101;0000;;;;
201102;0000;;;30;
201103;0000;;;40;
201104;0000;;;36;
201105;0000;;;35;
201106;0000;;;33;
201107;0000;;;39;
201108;0000;;;33;
201109;0000;;;32;
201110;0000;;;42;
201111;0000;;;31;
201112;0000;;;34;
201113;0000;;;32;
201114;0000;;;43;
201115;0000;;;35;
201116;0000;;;40;
201117;0000;;;39;
201118;0000;;;33;
201119;0000;;;30;
201120;0000;;;33;
201121;0000;;;21;
201122;0000;;;20;
201123;0000;;;27;
201124;0000;;;27;
201125;0000;;;30;
201126;0000;;;43;
201127;0000;;;29;
201128;0000;;;23;
201129;0000;;;34;
201130;0000;;;43;
201201;0000;;;34;
201202;0000;;;34;
201203;0000;;;41;
201204;0000;;;45;
201205;0000;;;57;
201206;0000;;;37;
201207;0000;;;34;
201208;0000;;;26;
201209;0000;;;41;
201210;0000;;;29;
201211;0000;;;31;
201212;0000;;;29;
201213;0000;;;24;
201214;0000;;;21;
201215;0000;;;34;
