FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;7,1125;
191201;0000;;;10,1875;
191202;0000;;;6,58334;
191203;0000;;;4,47917;
191204;0000;;;6,80417;
191205;0000;;;5,84167;
191206;0000;;;6,525;
191207;0000;;;5,6;
191208;0000;;;7,7125;
191209;0000;;;10,7833;
191210;0000;;;4,12917;
191211;0000;;;6,45;
191212;0000;;;15,0833;
191213;0000;;;5,3125;
191214;0000;;;3,8375;
191215;0000;;;10,5333;
191216;0000;;;4,60416;
191217;0000;;;14,45;
191218;0000;;;4,95417;
191219;0000;;;5,6125;
191220;0000;;;11,3042;
191221;0000;;;6,42084;
191222;0000;;;6,09583;
191223;0000;;;7,75;
191224;0000;;;1,45833;
191225;0000;;;1,95833;
191226;0000;;;6,73333;
191227;0000;;;6,51666;
191228;0000;;;7,74583;
191229;0000;;;3,4125;
191230;0000;;;3,9875;
191231;0000;;;7,41666;
200101;0000;;;3,7875;
200102;0000;;;10,0542;
200103;0000;;;4,44583;
200104;0000;;;1,49167;
200105;0000;;;2,46667;
200106;0000;;;5,8125;
200107;0000;;;3,96667;
200108;0000;;;5,32084;
200109;0000;;;4,08337;
200110;0000;;;11,0708;
200111;0000;;;5,02917;
200112;0000;;;5,6125;
200113;0000;;;5,80417;
200114;0000;;;4,64584;
200115;0000;;;4,24583;
200116;0000;;;5,8625;
200117;0000;;;6,3125;
200118;0000;;;6,45833;
200119;0000;;;4,25;
200120;0000;;;7,97917;
200121;0000;;;10,3875;
200122;0000;;;4,025;
200123;0000;;;3,00834;
200124;0000;;;15,3417;
200125;0000;;;11,4958;
200126;0000;;;7,6375;
200127;0000;;;8,37917;
200128;0000;;;12,3542;
200129;0000;;;8,39583;
200130;0000;;;16,9458;
200131;0000;;;15,4375;
200201;0000;;;8,29167;
200202;0000;;;6,72083;
200203;0000;;;2,36667;
200204;0000;;;4,7875;
200205;0000;;;11,5208;
200206;0000;;;9,4875;
200207;0000;;;15,7875;
200208;0000;;;14,4542;
200209;0000;;;16,1292;
200210;0000;;;12,225;
200211;0000;;;11,075;
200212;0000;;;13,3708;
200213;0000;;;6,3875;
200214;0000;;;8,55833;
200215;0000;;;10,3917;
200216;0000;;;4,925;
200217;0000;;;6,75;
200218;0000;;;6,125;
200219;0000;;;11,9833;
200220;0000;;;16,6667;
200221;0000;;;6,9125;
200222;0000;;;3,72084;
200223;0000;;;3,75417;
200224;0000;;;9,30417;
200225;0000;;;10,6542;
200226;0000;;;18,675;
200227;0000;;;18,4375;
200228;0000;;;16,7833;
200229;0000;;;13,2375;
200301;0000;;;2,05416;
200302;0000;;;5,475;
200303;0000;;;20,3833;
200304;0000;;;7,82916;
200305;0000;;;9,71249;
200306;0000;;;9,27499;
200307;0000;;;5,42084;
200308;0000;;;6,62083;
200309;0000;;;10,525;
200310;0000;;;9,18333;
200311;0000;;;14,6708;
200312;0000;;;6,54166;
200313;0000;;;5,575;
200314;0000;;;13,5083;
200315;0000;;;10,675;
200316;0000;;;13,4;
200317;0000;;;13,6125;
200318;0000;;;8,85834;
200319;0000;;;15,4792;
200320;0000;;;10,9208;
200321;0000;;;1,65;
200322;0000;;;1,07917;
200323;0000;;;6,63333;
200324;0000;;;8,10834;
200325;0000;;;18,75;
200326;0000;;;7,52917;
200327;0000;;;5,64167;
200328;0000;;;12,8417;
200329;0000;;;15,775;
200330;0000;;;20,0333;
200331;0000;;;13,6458;
200401;0000;;;19,325;
200402;0000;;;17,6875;
200403;0000;;;28,2333;
200404;0000;;;9,34167;
200405;0000;;;8,425;
200406;0000;;;20,4668;
200407;0000;;;11,2168;
200408;0000;;;25,3833;
200409;0000;;;3,79583;
200410;0000;;;11,1708;
200411;0000;;;11,4833;
200412;0000;;;7,8625;
200413;0000;;;18,0417;
200414;0000;;;17,4625;
200415;0000;;;15,7458;
200416;0000;;;2,9;
200417;0000;;;14,5125;
200418;0000;;;;
200419;0000;;;;
200420;0000;;;;
200421;0000;;;;
200422;0000;;;;
200423;0000;;;;
200424;0000;;;;
200425;0000;;;;
200426;0000;;;;
200427;0000;;;;
200428;0000;;;;
200429;0000;;;;
200430;0000;;;;
200501;0000;;;;
200502;0000;;;;
200503;0000;;;;
200504;0000;;;;
200505;0000;;;;
200506;0000;;;;
200507;0000;;;;
200508;0000;;;;
200509;0000;;;;
200510;0000;;;;
200511;0000;;;;
200512;0000;;;;
200513;0000;;;;
200514;0000;;;;
200515;0000;;;;
200516;0000;;;17,8025;
200517;0000;;;41,3038;
200518;0000;;;13,0829;
200519;0000;;;4,43584;
200520;0000;;;5,29375;
200521;0000;;;15,6017;
200522;0000;;;27,9521;
200523;0000;;;45,0696;
200524;0000;;;31,6067;
200525;0000;;;92,3109;
200526;0000;;;54,9058;
200527;0000;;;14,5558;
200528;0000;;;9,79791;
200529;0000;;;10,9208;
200530;0000;;;18,0575;
200531;0000;;;23,0554;
200601;0000;;;45,9767;
